year,age_gr,quintil_oecd,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,1st Quintile,No,0.93106,713,713,0.91245,0.94967
2009,17-29 y.,2nd Quintile,No,0.88495,483,483,0.85646,0.91343
2009,17-29 y.,3rd Quintile,No,0.93807,553,553,0.91796,0.95818
2009,17-29 y.,4th Quintile,No,0.94679,587,587,0.92862,0.96497
2009,17-29 y.,5th Quintile,No,0.94241,505,505,0.92207,0.96275
2009,30-45 y.,1st Quintile,No,0.97556,635,635,0.96353,0.98758
2009,30-45 y.,2nd Quintile,No,0.99118,824,824,0.98479,0.99757
2009,30-45 y.,3rd Quintile,No,0.98670,955,955,0.97943,0.99397
2009,30-45 y.,4th Quintile,No,0.97891,1024,1024,0.97011,0.98772
2009,30-45 y.,5th Quintile,No,0.99128,1152,1152,0.98591,0.99665
2009,46-65 y.,1st Quintile,Yes,0.11550,93,786,0.09314,0.13786
2009,46-65 y.,1st Quintile,No,0.88450,693,786,0.86214,0.90686
2009,46-65 y.,2nd Quintile,Yes,0.08747,72,787,0.06772,0.10722
2009,46-65 y.,2nd Quintile,No,0.91253,715,787,0.89278,0.93228
2009,46-65 y.,3rd Quintile,Yes,0.06663,70,1051,0.05155,0.08171
2009,46-65 y.,3rd Quintile,No,0.93337,981,1051,0.91829,0.94845
2009,46-65 y.,4th Quintile,Yes,0.06890,90,1407,0.05566,0.08213
2009,46-65 y.,4th Quintile,No,0.93110,1317,1407,0.91787,0.94434
2009,46-65 y.,5th Quintile,Yes,0.05527,125,2293,0.04592,0.06463
2009,46-65 y.,5th Quintile,No,0.94473,2168,2293,0.93537,0.95408
2009,66 and older,1st Quintile,Yes,0.19865,161,723,0.16954,0.22775
2009,66 and older,1st Quintile,No,0.80135,562,723,0.77225,0.83046
2009,66 and older,2nd Quintile,Yes,0.22422,230,1048,0.19895,0.24948
2009,66 and older,2nd Quintile,No,0.77578,818,1048,0.75052,0.80105
2009,66 and older,3rd Quintile,Yes,0.15890,147,857,0.13441,0.18339
2009,66 and older,3rd Quintile,No,0.84110,710,857,0.81661,0.86559
2009,66 and older,4th Quintile,Yes,0.15895,120,694,0.13173,0.18618
2009,66 and older,4th Quintile,No,0.84105,574,694,0.81382,0.86827
2009,66 and older,5th Quintile,Yes,0.12086,94,840,0.09881,0.14292
2009,66 and older,5th Quintile,No,0.87914,746,840,0.85708,0.90119
2011,17-29 y.,1st Quintile,No,0.71672,527,527,0.67821,0.75522
2011,17-29 y.,2nd Quintile,No,0.72351,419,419,0.68064,0.76639
2011,17-29 y.,3rd Quintile,No,0.86864,476,476,0.83826,0.89902
2011,17-29 y.,4th Quintile,No,0.89166,455,455,0.86307,0.92025
2011,17-29 y.,5th Quintile,No,0.92504,391,391,0.89891,0.95118
2011,30-45 y.,1st Quintile,No,0.48670,493,493,0.44254,0.53087
2011,30-45 y.,2nd Quintile,No,0.65790,648,648,0.62134,0.69446
2011,30-45 y.,3rd Quintile,No,0.79853,775,775,0.77027,0.82678
2011,30-45 y.,4th Quintile,No,0.82932,828,828,0.80368,0.85496
2011,30-45 y.,5th Quintile,No,0.86206,891,891,0.83941,0.88472
2011,46-65 y.,1st Quintile,Yes,0.12811,88,738,0.10398,0.15223
2011,46-65 y.,1st Quintile,No,0.77162,650,738,0.74131,0.80192
2011,46-65 y.,2nd Quintile,Yes,0.08979,79,738,0.06915,0.11043
2011,46-65 y.,2nd Quintile,No,0.83138,659,738,0.80435,0.85841
2011,46-65 y.,3rd Quintile,Yes,0.07285,80,1022,0.05691,0.08879
2011,46-65 y.,3rd Quintile,No,0.88842,942,1022,0.86911,0.90774
2011,46-65 y.,4th Quintile,Yes,0.07231,94,1306,0.05826,0.08636
2011,46-65 y.,4th Quintile,No,0.90516,1212,1306,0.88926,0.92106
2011,46-65 y.,5th Quintile,Yes,0.06224,115,2070,0.05183,0.07265
2011,46-65 y.,5th Quintile,No,0.92518,1955,2070,0.91384,0.93651
2011,66 and older,1st Quintile,Yes,0.21740,159,686,0.18651,0.24829
2011,66 and older,1st Quintile,No,0.78131,527,686,0.75036,0.81227
2011,66 and older,2nd Quintile,Yes,0.21559,213,939,0.18928,0.24191
2011,66 and older,2nd Quintile,No,0.78345,726,939,0.75710,0.80981
2011,66 and older,3rd Quintile,Yes,0.17731,148,783,0.15054,0.20408
2011,66 and older,3rd Quintile,No,0.82191,635,783,0.79509,0.84872
2011,66 and older,4th Quintile,Yes,0.12892,83,609,0.10229,0.15556
2011,66 and older,4th Quintile,No,0.87021,526,609,0.84350,0.89693
2011,66 and older,5th Quintile,Yes,0.14257,101,783,0.11806,0.16707
2011,66 and older,5th Quintile,No,0.85732,682,783,0.83281,0.88183
2013,17-29 y.,1st Quintile,No,0.76282,664,664,0.73045,0.79520
2013,17-29 y.,2nd Quintile,No,0.75974,467,467,0.72095,0.79853
2013,17-29 y.,3rd Quintile,No,0.84196,483,483,0.80940,0.87453
2013,17-29 y.,4th Quintile,No,0.89584,498,498,0.86899,0.92270
2013,17-29 y.,5th Quintile,No,0.89286,409,409,0.86284,0.92287
2013,30-45 y.,1st Quintile,No,0.64151,623,623,0.60382,0.67919
2013,30-45 y.,2nd Quintile,No,0.73075,774,774,0.69948,0.76202
2013,30-45 y.,3rd Quintile,No,0.80210,783,783,0.77417,0.83002
2013,30-45 y.,4th Quintile,No,0.84648,894,894,0.82284,0.87012
2013,30-45 y.,5th Quintile,No,0.88484,925,925,0.86426,0.90543
2013,46-65 y.,1st Quintile,Yes,0.12934,137,968,0.10819,0.15049
2013,46-65 y.,1st Quintile,No,0.77518,831,968,0.74887,0.80150
2013,46-65 y.,2nd Quintile,Yes,0.10239,112,965,0.08325,0.12153
2013,46-65 y.,2nd Quintile,No,0.80788,853,965,0.78301,0.83275
2013,46-65 y.,3rd Quintile,Yes,0.08725,113,1264,0.07169,0.10281
2013,46-65 y.,3rd Quintile,No,0.85888,1151,1264,0.83968,0.87808
2013,46-65 y.,4th Quintile,Yes,0.07515,134,1662,0.06247,0.08783
2013,46-65 y.,4th Quintile,No,0.89396,1528,1662,0.87916,0.90877
2013,46-65 y.,5th Quintile,Yes,0.06192,147,2461,0.05240,0.07144
2013,46-65 y.,5th Quintile,No,0.91910,2314,2461,0.90832,0.92987
2013,66 and older,1st Quintile,Yes,0.22292,195,820,0.19442,0.25143
2013,66 and older,1st Quintile,No,0.77582,625,820,0.74726,0.80438
2013,66 and older,2nd Quintile,Yes,0.22058,290,1216,0.19726,0.24389
2013,66 and older,2nd Quintile,No,0.77803,926,1216,0.75466,0.80140
2013,66 and older,3rd Quintile,Yes,0.20469,221,1050,0.18027,0.22911
2013,66 and older,3rd Quintile,No,0.79408,829,1050,0.76961,0.81855
2013,66 and older,4th Quintile,Yes,0.14937,136,869,0.12565,0.17308
2013,66 and older,4th Quintile,No,0.85012,733,869,0.82637,0.87387
2013,66 and older,5th Quintile,Yes,0.10939,115,981,0.08985,0.12893
2013,66 and older,5th Quintile,No,0.89045,866,981,0.87089,0.91000
2015,17-29 y.,1st Quintile,No,0.92482,1224,1224,0.91004,0.93959
2015,17-29 y.,2nd Quintile,No,0.91072,858,858,0.89163,0.92981
2015,17-29 y.,3rd Quintile,No,0.90533,739,739,0.88421,0.92645
2015,17-29 y.,4th Quintile,No,0.93189,621,621,0.91206,0.95172
2015,17-29 y.,5th Quintile,No,0.93088,447,447,0.90733,0.95442
