year,age_gr,bula_h,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.93000,84,84,0.87510,0.98489
2009,17-29 y.,Hamburg,No,0.97791,58,58,0.93975,1.01607
2009,17-29 y.,Lower Saxony,No,0.96283,225,225,0.93805,0.98760
2009,17-29 y.,North Rhine-Westphalia,No,0.90494,532,532,0.88000,0.92989
2009,17-29 y.,Hesse,No,0.94246,188,188,0.90908,0.97584
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.86179,156,156,0.80746,0.91612
2009,17-29 y.,Baden-Wuerttemberg,No,0.92996,400,400,0.90492,0.95501
2009,17-29 y.,Bavaria,No,0.91902,408,408,0.89252,0.94553
2009,17-29 y.,Berlin,No,0.87950,117,117,0.82026,0.93874
2009,17-29 y.,Brandenburg,No,0.95978,106,106,0.92220,0.99736
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.96754,61,61,0.92270,1.01238
2009,17-29 y.,Saxony,No,0.97459,227,227,0.95408,0.99511
2009,17-29 y.,Saxony-Anhalt,No,0.98068,135,135,0.95738,1.00399
2009,17-29 y.,Thuringa,No,0.95452,131,131,0.91870,0.99034
2009,30-45 y.,Schleswig-Holstein,No,0.97790,106,106,0.94979,1.00602
2009,30-45 y.,Lower Saxony,No,0.98032,441,441,0.96735,0.99330
2009,30-45 y.,North Rhine-Westphalia,No,0.98868,984,984,0.98206,0.99529
2009,30-45 y.,Hesse,No,0.97956,313,313,0.96385,0.99526
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.98040,238,238,0.96276,0.99805
2009,30-45 y.,Baden-Wuerttemberg,No,0.99049,575,575,0.98254,0.99843
2009,30-45 y.,Bavaria,No,0.98083,709,709,0.97072,0.99093
2009,30-45 y.,Berlin,No,0.97242,150,150,0.94612,0.99872
2009,30-45 y.,Brandenburg,No,0.98404,178,178,0.96557,1.00250
2009,30-45 y.,Saxony,No,0.99778,332,332,0.99272,1.00285
2009,30-45 y.,Saxony-Anhalt,No,0.97966,166,166,0.95813,1.00120
2009,30-45 y.,Thuringa,No,0.97526,188,188,0.95299,0.99752
2009,46-65 y.,Schleswig-Holstein,No,0.94630,166,166,0.91190,0.98070
2009,46-65 y.,Hamburg,No,0.87230,75,75,0.79625,0.94834
2009,46-65 y.,Lower Saxony,Yes,0.07183,41,531,0.04985,0.09382
2009,46-65 y.,Lower Saxony,No,0.92817,490,531,0.90618,0.95015
2009,46-65 y.,Bremen,No,0.87396,36,36,0.76400,0.98392
2009,46-65 y.,North Rhine-Westphalia,Yes,0.07583,87,1238,0.06108,0.09058
2009,46-65 y.,North Rhine-Westphalia,No,0.92417,1151,1238,0.90942,0.93892
2009,46-65 y.,Hesse,Yes,0.08504,31,464,0.05963,0.11045
2009,46-65 y.,Hesse,No,0.91496,433,464,0.88955,0.94037
2009,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.93253,380,380,0.90728,0.95778
2009,46-65 y.,Baden-Wuerttemberg,Yes,0.05899,46,677,0.04123,0.07675
2009,46-65 y.,Baden-Wuerttemberg,No,0.94101,631,677,0.92325,0.95877
2009,46-65 y.,Bavaria,Yes,0.05940,50,919,0.04411,0.07469
2009,46-65 y.,Bavaria,No,0.94060,869,919,0.92531,0.95589
2009,46-65 y.,Berlin,No,0.92734,244,244,0.89470,0.95998
2009,46-65 y.,Brandenburg,No,0.89569,254,254,0.85802,0.93335
