,Unnamed: 0,year,quintil_oecd_hh,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2006,1st Quintile,Yes,0.30519,644,11726,0.28862,0.32227
1,1,2006,1st Quintile,No,0.69481,1333,11726,0.67464,0.71818
2,2,2006,2nd Quintile,Yes,0.07148,170,11726,0.06296,0.08141
3,3,2006,2nd Quintile,No,0.92852,1960,11726,0.89907,0.95066
4,4,2006,3rd Quintile,Yes,0.03504,90,11726,0.02898,0.0405
5,5,2006,3rd Quintile,No,0.96496,2216,11726,0.93562,0.99497
6,6,2006,4th Quintile,Yes,0.02301,50,11726,0.01829,0.02743
7,7,2006,4th Quintile,No,0.97699,2306,11726,0.95185,1.01249
8,8,2006,5th Quintile,Yes,0.00984,31,11726,0.00721,0.01259
9,9,2006,5th Quintile,No,0.99016,2926,11726,0.95453,1.02588
10,10,2007,1st Quintile,Yes,0.32783,644,10966,0.31206,0.34612
11,11,2007,1st Quintile,No,0.67217,1201,10966,0.64326,0.70207
12,12,2007,2nd Quintile,Yes,0.0986,219,10966,0.08839,0.11097
13,13,2007,2nd Quintile,No,0.9014,1818,10966,0.87148,0.93147
14,14,2007,3rd Quintile,Yes,0.04377,97,10966,0.03759,0.05033
15,15,2007,3rd Quintile,No,0.95623,2010,10966,0.92278,0.98726
16,16,2007,4th Quintile,Yes,0.02952,67,10966,0.02329,0.03605
17,17,2007,4th Quintile,No,0.97048,2165,10966,0.94147,1.00142
18,18,2007,5th Quintile,Yes,0.01749,51,10966,0.01323,0.02204
19,19,2007,5th Quintile,No,0.98251,2694,10966,0.94895,1.01524
20,20,2008,1st Quintile,Yes,0.30301,568,10279,0.28101,0.32249
21,21,2008,1st Quintile,No,0.69699,1220,10279,0.6693,0.72841
22,22,2008,2nd Quintile,Yes,0.09297,176,10279,0.08252,0.10285
23,23,2008,2nd Quintile,No,0.90703,1699,10279,0.87048,0.93666
24,24,2008,3rd Quintile,Yes,0.03977,80,10279,0.03252,0.04718
25,25,2008,3rd Quintile,No,0.96023,1962,10279,0.93321,0.99509
26,26,2008,4th Quintile,Yes,0.03034,66,10279,0.02462,0.03704
27,27,2008,4th Quintile,No,0.96966,1966,10279,0.93115,1.00149
28,28,2008,5th Quintile,No,1.0,2542,10279,0.95993,1.04266
29,29,2009,1st Quintile,Yes,0.27336,517,10140,0.25479,0.29213
30,30,2009,1st Quintile,No,0.72664,1269,10140,0.70053,0.75819
31,31,2009,2nd Quintile,Yes,0.07824,153,10140,0.06649,0.08853
32,32,2009,2nd Quintile,No,0.92176,1751,10140,0.88984,0.95204
33,33,2009,3rd Quintile,Yes,0.03418,66,10140,0.02828,0.0415
34,34,2009,3rd Quintile,No,0.96582,1900,10140,0.93136,1.00298
35,35,2009,4th Quintile,Yes,0.02127,45,10140,0.01609,0.0281
36,36,2009,4th Quintile,No,0.97873,1985,10140,0.94174,1.01398
37,37,2009,5th Quintile,No,1.0,2454,10140,0.96033,1.03868
38,38,2010,1st Quintile,Yes,0.27678,1246,13773,0.25282,0.29718
39,39,2010,1st Quintile,No,0.72322,1908,13773,0.68652,0.7578
40,40,2010,2nd Quintile,Yes,0.08321,311,13773,0.06937,0.09776
41,41,2010,2nd Quintile,No,0.91679,2577,13773,0.87656,0.95625
42,42,2010,3rd Quintile,Yes,0.02499,86,13773,0.01918,0.0315
43,43,2010,3rd Quintile,No,0.97501,2496,13773,0.93666,1.02435
44,44,2010,4th Quintile,Yes,0.01808,43,13773,0.01219,0.02502
45,45,2010,4th Quintile,No,0.98192,2403,13773,0.93139,1.01737
46,46,2010,5th Quintile,No,1.0,2703,13773,0.96046,1.03964
47,47,2011,1st Quintile,Yes,0.29159,1435,16331,0.27117,0.3133
48,48,2011,1st Quintile,No,0.70841,2210,16331,0.67874,0.74107
49,49,2011,2nd Quintile,Yes,0.06967,346,16331,0.06036,0.08003
50,50,2011,2nd Quintile,No,0.93033,3081,16331,0.89917,0.96569
51,51,2011,3rd Quintile,Yes,0.03325,136,16331,0.02709,0.0406
52,52,2011,3rd Quintile,No,0.96675,3022,16331,0.93125,1.0036
53,53,2011,4th Quintile,Yes,0.01817,50,16331,0.01286,0.02481
54,54,2011,4th Quintile,No,0.98183,2913,16331,0.94391,1.01221
55,55,2011,5th Quintile,Yes,0.00843,34,16331,0.00614,0.01072
56,56,2011,5th Quintile,No,0.99157,3104,16331,0.95168,1.02908
57,57,2012,1st Quintile,Yes,0.28493,1339,15983,0.26808,0.30515
58,58,2012,1st Quintile,No,0.71507,2248,15983,0.68187,0.74765
59,59,2012,2nd Quintile,Yes,0.07155,313,15983,0.06133,0.08301
60,60,2012,2nd Quintile,No,0.92845,2896,15983,0.89501,0.96592
61,61,2012,3rd Quintile,Yes,0.03327,128,15983,0.02761,0.03834
62,62,2012,3rd Quintile,No,0.96673,3043,15983,0.93196,0.99852
63,63,2012,4th Quintile,Yes,0.01311,56,15983,0.01025,0.01665
64,64,2012,4th Quintile,No,0.98689,2891,15983,0.94539,1.02791
65,65,2012,5th Quintile,No,1.0,3069,15983,0.96254,1.03263
66,66,2013,1st Quintile,Yes,0.30242,1578,17516,0.28567,0.32015
67,67,2013,1st Quintile,No,0.69758,2581,17516,0.6698,0.72685
68,68,2013,2nd Quintile,Yes,0.0691,403,17516,0.06069,0.07971
69,69,2013,2nd Quintile,No,0.9309,3401,17516,0.89987,0.97271
70,70,2013,3rd Quintile,Yes,0.03078,131,17516,0.02387,0.03761
71,71,2013,3rd Quintile,No,0.96922,3204,17516,0.93229,1.00483
72,72,2013,4th Quintile,Yes,0.01522,54,17516,0.01062,0.01971
73,73,2013,4th Quintile,No,0.98478,3020,17516,0.94603,1.01972
74,74,2013,5th Quintile,No,1.0,3144,17516,0.96547,1.03977
75,75,2014,1st Quintile,Yes,0.29648,1332,15651,0.27641,0.31786
76,76,2014,1st Quintile,No,0.70352,2095,15651,0.6689,0.73279
77,77,2014,2nd Quintile,Yes,0.08326,343,15651,0.07174,0.09692
78,78,2014,2nd Quintile,No,0.91674,2955,15651,0.88298,0.95339
79,79,2014,3rd Quintile,Yes,0.02649,109,15651,0.021,0.03188
80,80,2014,3rd Quintile,No,0.97351,2953,15651,0.94151,1.01026
81,81,2014,4th Quintile,Yes,0.01717,54,15651,0.01267,0.02297
82,82,2014,4th Quintile,No,0.98283,2877,15651,0.94435,1.01548
83,83,2014,5th Quintile,No,1.0,2933,15651,0.95847,1.03894
84,84,2015,1st Quintile,Yes,0.30457,1324,15414,0.28272,0.32286
85,85,2015,1st Quintile,No,0.69543,2167,15414,0.66111,0.73061
86,86,2015,2nd Quintile,Yes,0.0791,345,15414,0.06903,0.08839
87,87,2015,2nd Quintile,No,0.9209,2952,15414,0.88636,0.95917
88,88,2015,3rd Quintile,Yes,0.02778,106,15414,0.02178,0.03555
89,89,2015,3rd Quintile,No,0.97222,2864,15414,0.93272,1.00808
90,90,2015,4th Quintile,Yes,0.01812,46,15414,0.01272,0.02443
91,91,2015,4th Quintile,No,0.98188,2690,15414,0.94152,1.01759
92,92,2015,5th Quintile,Yes,0.0093,32,15414,0.00594,0.014
93,93,2015,5th Quintile,No,0.9907,2888,15414,0.94793,1.02531
94,94,2016,1st Quintile,Yes,0.31601,1181,14092,0.29349,0.34102
95,95,2016,1st Quintile,No,0.68399,1865,14092,0.6536,0.71539
96,96,2016,2nd Quintile,Yes,0.06528,281,14092,0.05569,0.07547
97,97,2016,2nd Quintile,No,0.93472,2783,14092,0.90139,0.97349
98,98,2016,3rd Quintile,Yes,0.02822,84,14092,0.02121,0.03611
99,99,2016,3rd Quintile,No,0.97178,2620,14092,0.93524,1.01038
100,100,2016,4th Quintile,Yes,0.01267,43,14092,0.00938,0.01641
101,101,2016,4th Quintile,No,0.98733,2570,14092,0.94574,1.02261
102,102,2016,5th Quintile,No,1.0,2665,14092,0.96043,1.04109
103,103,2017,1st Quintile,Yes,0.29551,1698,17014,0.27538,0.31526
104,104,2017,1st Quintile,No,0.70449,2907,17014,0.66841,0.73139
105,105,2017,2nd Quintile,Yes,0.06699,337,17014,0.05701,0.0785
106,106,2017,2nd Quintile,No,0.93301,2965,17014,0.89077,0.96499
107,107,2017,3rd Quintile,Yes,0.0203,96,17014,0.01479,0.02641
108,108,2017,3rd Quintile,No,0.9797,2962,17014,0.9481,1.01781
109,109,2017,4th Quintile,Yes,0.00898,39,17014,0.00618,0.01235
110,110,2017,4th Quintile,No,0.99102,2959,17014,0.95026,1.02921
111,111,2017,5th Quintile,No,1.0,3051,17014,0.96659,1.03501
112,112,2018,1st Quintile,Yes,0.27831,2335,17543,0.25658,0.30065
113,113,2018,1st Quintile,No,0.72169,2932,17543,0.6816,0.75687
114,114,2018,2nd Quintile,Yes,0.0598,394,17543,0.05234,0.06981
115,115,2018,2nd Quintile,No,0.9402,3116,17543,0.90343,0.97169
116,116,2018,3rd Quintile,Yes,0.02114,131,17543,0.01633,0.02617
117,117,2018,3rd Quintile,No,0.97886,2812,17543,0.94279,1.02373
118,118,2018,4th Quintile,Yes,0.01745,63,17543,0.01159,0.02241
119,119,2018,4th Quintile,No,0.98255,2793,17543,0.94138,1.02186
120,120,2018,5th Quintile,No,1.0,2967,17543,0.96397,1.03923
121,121,2019,1st Quintile,Yes,0.27022,2404,18240,0.25063,0.29569
122,122,2019,1st Quintile,No,0.72978,2601,18240,0.69528,0.76908
123,123,2019,2nd Quintile,Yes,0.05005,278,18240,0.04262,0.05718
124,124,2019,2nd Quintile,No,0.94995,2820,18240,0.91294,0.99128
125,125,2019,3rd Quintile,Yes,0.02276,93,18240,0.01714,0.02887
126,126,2019,3rd Quintile,No,0.97724,2817,18240,0.93539,1.01772
