,Unnamed: 0,year,quintil_oecd_hh,rentown,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2006,1st Quintile,Owner,Yes,0.12513,49,11643,0.1024,0.14964
1,1,2006,1st Quintile,Owner,No,0.87487,274,11643,0.80769,0.94146
2,2,2006,1st Quintile,Tenant,Yes,0.33594,595,11643,0.31732,0.3552
3,3,2006,1st Quintile,Tenant,No,0.66406,1059,11643,0.63858,0.69008
4,4,2006,2nd Quintile,Owner,Yes,0.03741,39,11643,0.02718,0.05137
5,5,2006,2nd Quintile,Owner,No,0.96259,729,11643,0.90526,1.0064
6,6,2006,2nd Quintile,Tenant,Yes,0.08722,131,11643,0.07697,0.09811
7,7,2006,2nd Quintile,Tenant,No,0.91278,1231,11643,0.87704,0.94887
8,8,2006,3rd Quintile,Owner,Yes,0.02074,34,11643,0.01729,0.02631
9,9,2006,3rd Quintile,Owner,No,0.97926,1121,11643,0.93645,1.02421
10,10,2006,3rd Quintile,Tenant,Yes,0.04689,56,11643,0.04021,0.05548
11,11,2006,3rd Quintile,Tenant,No,0.95311,1094,11643,0.91125,0.99426
12,12,2006,4th Quintile,Owner,No,1.0,1377,11643,0.95355,1.03747
13,13,2006,4th Quintile,Tenant,No,1.0,929,11643,0.95815,1.04381
14,14,2006,5th Quintile,Owner,No,1.0,2058,11643,0.96037,1.03916
15,15,2006,5th Quintile,Tenant,No,1.0,867,11643,0.9446,1.04886
16,16,2007,1st Quintile,Owner,Yes,0.11219,48,10861,0.09213,0.13747
17,17,2007,1st Quintile,Owner,No,0.88781,257,10861,0.81783,0.95454
18,18,2007,1st Quintile,Tenant,Yes,0.36701,596,10861,0.34456,0.38345
19,19,2007,1st Quintile,Tenant,No,0.63299,944,10861,0.60736,0.66155
20,20,2007,2nd Quintile,Owner,Yes,0.04615,52,10861,0.0384,0.05564
21,21,2007,2nd Quintile,Owner,No,0.95385,656,10861,0.90026,1.00755
22,22,2007,2nd Quintile,Tenant,Yes,0.12327,167,10861,0.11171,0.13763
23,23,2007,2nd Quintile,Tenant,No,0.87673,1162,10861,0.84494,0.90737
24,24,2007,3rd Quintile,Owner,No,1.0,1032,10861,0.95524,1.05104
25,25,2007,3rd Quintile,Tenant,Yes,0.06513,68,10861,0.05549,0.07636
26,26,2007,3rd Quintile,Tenant,No,0.93487,978,10861,0.8967,0.97581
27,27,2007,4th Quintile,Owner,No,1.0,1314,10861,0.95254,1.04
28,28,2007,4th Quintile,Tenant,Yes,0.04596,42,10861,0.03512,0.05608
29,29,2007,4th Quintile,Tenant,No,0.95404,851,10861,0.90795,1.00211
30,30,2007,5th Quintile,Owner,No,1.0,1941,10861,0.95672,1.03991
31,31,2007,5th Quintile,Tenant,No,1.0,753,10861,0.93784,1.06233
32,32,2008,1st Quintile,Owner,Yes,0.09241,38,10252,0.06748,0.11919
33,33,2008,1st Quintile,Owner,No,0.90759,272,10252,0.83149,0.98562
34,34,2008,1st Quintile,Tenant,Yes,0.34354,530,10252,0.32187,0.36483
35,35,2008,1st Quintile,Tenant,No,0.65646,948,10252,0.62879,0.68164
36,36,2008,2nd Quintile,Owner,Yes,0.03967,35,10252,0.02827,0.05474
37,37,2008,2nd Quintile,Owner,No,0.96033,659,10252,0.90585,1.02083
38,38,2008,2nd Quintile,Tenant,Yes,0.11929,141,10252,0.10481,0.13541
39,39,2008,2nd Quintile,Tenant,No,0.88071,1040,10252,0.8466,0.91818
40,40,2008,3rd Quintile,Owner,Yes,0.02092,31,10252,0.01423,0.02822
41,41,2008,3rd Quintile,Owner,No,0.97908,985,10252,0.93933,1.02085
42,42,2008,3rd Quintile,Tenant,Yes,0.05532,49,10252,0.0451,0.06707
43,43,2008,3rd Quintile,Tenant,No,0.94468,977,10252,0.89647,0.98493
44,44,2008,4th Quintile,Owner,No,1.0,1195,10252,0.95886,1.04206
45,45,2008,4th Quintile,Tenant,Yes,0.0438,39,10252,0.03266,0.05541
46,46,2008,4th Quintile,Tenant,No,0.9562,771,10252,0.90976,1.00361
47,47,2008,5th Quintile,Owner,No,1.0,1847,10252,0.95697,1.04316
48,48,2008,5th Quintile,Tenant,No,1.0,695,10252,0.94301,1.07033
49,49,2009,1st Quintile,Owner,Yes,0.06881,32,10052,0.05162,0.08483
50,50,2009,1st Quintile,Owner,No,0.93119,263,10052,0.85601,1.02219
51,51,2009,1st Quintile,Tenant,Yes,0.31375,485,10052,0.29156,0.33913
52,52,2009,1st Quintile,Tenant,No,0.68625,1006,10052,0.65726,0.71939
53,53,2009,2nd Quintile,Owner,No,1.0,673,10052,0.93902,1.06899
54,54,2009,2nd Quintile,Tenant,Yes,0.10222,129,10052,0.08863,0.11757
55,55,2009,2nd Quintile,Tenant,No,0.89778,1078,10052,0.86113,0.94371
56,56,2009,3rd Quintile,Owner,No,1.0,996,10052,0.9425,1.04362
57,57,2009,3rd Quintile,Tenant,Yes,0.04801,47,10052,0.0368,0.0626
58,58,2009,3rd Quintile,Tenant,No,0.95199,904,10052,0.90605,0.99998
59,59,2009,4th Quintile,Owner,No,1.0,1237,10052,0.95592,1.04874
60,60,2009,4th Quintile,Tenant,No,1.0,748,10052,0.93793,1.0553
61,61,2009,5th Quintile,Owner,No,1.0,1780,10052,0.95855,1.04902
62,62,2009,5th Quintile,Tenant,No,1.0,674,10052,0.93675,1.06303
63,63,2010,1st Quintile,Owner,Yes,0.09699,63,13734,0.07049,0.12515
64,64,2010,1st Quintile,Owner,No,0.90301,395,13734,0.78739,1.01144
65,65,2010,1st Quintile,Tenant,Yes,0.31169,1183,13734,0.2864,0.33443
66,66,2010,1st Quintile,Tenant,No,0.68831,1513,13734,0.65309,0.7231
67,67,2010,2nd Quintile,Owner,Yes,0.03104,43,13734,0.0191,0.04635
68,68,2010,2nd Quintile,Owner,No,0.96896,1038,13734,0.91019,1.06072
69,69,2010,2nd Quintile,Tenant,Yes,0.11363,268,13734,0.09532,0.13408
70,70,2010,2nd Quintile,Tenant,No,0.88637,1539,13734,0.83931,0.93528
71,71,2010,3rd Quintile,Owner,No,1.0,1318,13734,0.94927,1.06172
72,72,2010,3rd Quintile,Tenant,Yes,0.03227,58,13734,0.02408,0.043
73,73,2010,3rd Quintile,Tenant,No,0.96773,1178,13734,0.91057,1.02477
74,74,2010,4th Quintile,Owner,No,1.0,1499,13734,0.94033,1.05516
75,75,2010,4th Quintile,Tenant,Yes,0.02791,32,13734,0.01849,0.03949
76,76,2010,4th Quintile,Tenant,No,0.97209,904,13734,0.90599,1.0455
77,77,2010,5th Quintile,Owner,No,1.0,1926,13734,0.94916,1.04658
78,78,2010,5th Quintile,Tenant,No,1.0,777,13734,0.94046,1.06694
79,79,2011,1st Quintile,Owner,Yes,0.10594,70,16255,0.08012,0.13418
80,80,2011,1st Quintile,Owner,No,0.89406,482,16255,0.81513,0.99073
81,81,2011,1st Quintile,Tenant,Yes,0.32578,1365,16255,0.3034,0.34413
82,82,2011,1st Quintile,Tenant,No,0.67422,1728,16255,0.64254,0.70731
83,83,2011,2nd Quintile,Owner,Yes,0.01684,40,16255,0.01248,0.02223
84,84,2011,2nd Quintile,Owner,No,0.98316,1269,16255,0.93551,1.04862
85,85,2011,2nd Quintile,Tenant,Yes,0.10046,306,16255,0.08686,0.11427
86,86,2011,2nd Quintile,Tenant,No,0.89954,1812,16255,0.85638,0.94369
87,87,2011,3rd Quintile,Owner,No,1.0,1603,16255,0.95642,1.05784
88,88,2011,3rd Quintile,Tenant,Yes,0.0543,110,16255,0.04241,0.06835
89,89,2011,3rd Quintile,Tenant,No,0.9457,1419,16255,0.89894,0.9973
90,90,2011,4th Quintile,Owner,No,1.0,1801,16255,0.95008,1.04625
91,91,2011,4th Quintile,Tenant,Yes,0.02972,34,16255,0.01861,0.04264
92,92,2011,4th Quintile,Tenant,No,0.97028,1112,16255,0.9129,1.02664
93,93,2011,5th Quintile,Owner,No,1.0,2234,16255,0.95826,1.03964
94,94,2011,5th Quintile,Tenant,No,1.0,870,16255,0.94382,1.05866
95,95,2012,1st Quintile,Owner,Yes,0.09859,63,15935,0.0736,0.1306
96,96,2012,1st Quintile,Owner,No,0.90141,487,15935,0.82412,0.98659
97,97,2012,1st Quintile,Tenant,Yes,0.31829,1276,15935,0.29596,0.341
98,98,2012,1st Quintile,Tenant,No,0.68171,1761,15935,0.6408,0.7131
99,99,2012,2nd Quintile,Owner,Yes,0.0252,31,15935,0.01851,0.03416
100,100,2012,2nd Quintile,Owner,No,0.9748,1142,15935,0.91406,1.03366
101,101,2012,2nd Quintile,Tenant,Yes,0.0976,282,15935,0.08182,0.11136
102,102,2012,2nd Quintile,Tenant,No,0.9024,1754,15935,0.8601,0.94236
103,103,2012,3rd Quintile,Owner,No,1.0,1609,15935,0.95268,1.05306
104,104,2012,3rd Quintile,Tenant,Yes,0.05204,102,15935,0.04141,0.0629
105,105,2012,3rd Quintile,Tenant,No,0.94796,1434,15935,0.89525,0.9863
106,106,2012,4th Quintile,Owner,No,1.0,1819,15935,0.95928,1.04271
107,107,2012,4th Quintile,Tenant,Yes,0.02346,34,15935,0.01635,0.03249
108,108,2012,4th Quintile,Tenant,No,0.97654,1072,15935,0.92694,1.03632
109,109,2012,5th Quintile,Owner,No,1.0,2229,15935,0.95651,1.05194
110,110,2012,5th Quintile,Tenant,No,1.0,840,15935,0.93078,1.0508
111,111,2013,1st Quintile,Owner,Yes,0.11479,71,17453,0.07781,0.15961
112,112,2013,1st Quintile,Owner,No,0.88521,501,17453,0.78972,0.97478
113,113,2013,1st Quintile,Tenant,Yes,0.33827,1507,17453,0.31418,0.36247
114,114,2013,1st Quintile,Tenant,No,0.66173,2080,17453,0.6264,0.69499
115,115,2013,2nd Quintile,Owner,No,1.0,1182,17453,0.92711,1.07351
116,116,2013,2nd Quintile,Tenant,Yes,0.09305,373,17453,0.08106,0.11005
117,117,2013,2nd Quintile,Tenant,No,0.90695,2219,17453,0.85906,0.95703
118,118,2013,3rd Quintile,Owner,No,1.0,1674,17453,0.95147,1.04484
119,119,2013,3rd Quintile,Tenant,Yes,0.0561,114,17453,0.04371,0.06777
120,120,2013,3rd Quintile,Tenant,No,0.9439,1530,17453,0.89812,1.00164
121,121,2013,4th Quintile,Owner,No,1.0,1781,17453,0.9451,1.05213
122,122,2013,4th Quintile,Tenant,Yes,0.02301,38,17453,0.01527,0.03109
123,123,2013,4th Quintile,Tenant,No,0.97699,1239,17453,0.92332,1.03146
124,124,2013,5th Quintile,Owner,No,1.0,2257,17453,0.94694,1.04213
125,125,2013,5th Quintile,Tenant,No,1.0,887,17453,0.92904,1.07176
126,126,2014,1st Quintile,Owner,Yes,0.07355,57,15580,0.05017,0.10129
127,127,2014,1st Quintile,Owner,No,0.92645,435,15580,0.84087,1.03313
128,128,2014,1st Quintile,Tenant,Yes,0.34082,1275,15580,0.31624,0.36793
129,129,2014,1st Quintile,Tenant,No,0.65918,1660,15580,0.62449,0.69436
130,130,2014,2nd Quintile,Owner,No,1.0,1083,15580,0.94016,1.06889
131,131,2014,2nd Quintile,Tenant,Yes,0.11837,313,15580,0.10039,0.13466
132,132,2014,2nd Quintile,Tenant,No,0.88163,1872,15580,0.83281,0.9242
133,133,2014,3rd Quintile,Owner,No,1.0,1515,15580,0.95296,1.04625
134,134,2014,3rd Quintile,Tenant,Yes,0.04118,87,15580,0.03257,0.05268
135,135,2014,3rd Quintile,Tenant,No,0.95882,1438,15580,0.90542,1.00909
136,136,2014,4th Quintile,Owner,No,1.0,1695,15580,0.95394,1.05452
137,137,2014,4th Quintile,Tenant,Yes,0.02823,35,15580,0.01944,0.03859
138,138,2014,4th Quintile,Tenant,No,0.97177,1182,15580,0.91372,1.0283
139,139,2014,5th Quintile,Owner,No,1.0,2103,15580,0.96065,1.04732
140,140,2014,5th Quintile,Tenant,No,1.0,830,15580,0.93676,1.08044
141,141,2015,1st Quintile,Owner,Yes,0.08961,56,15328,0.06707,0.12165
142,142,2015,1st Quintile,Owner,No,0.91039,401,15328,0.81701,1.01786
143,143,2015,1st Quintile,Tenant,Yes,0.34255,1268,15328,0.31539,0.36645
144,144,2015,1st Quintile,Tenant,No,0.65745,1766,15328,0.62511,0.69173
145,145,2015,2nd Quintile,Owner,No,1.0,1043,15328,0.93267,1.0648
146,146,2015,2nd Quintile,Tenant,Yes,0.11547,323,15328,0.10049,0.13054
147,147,2015,2nd Quintile,Tenant,No,0.88453,1909,15328,0.83675,0.93153
148,148,2015,3rd Quintile,Owner,No,1.0,1384,15328,0.95114,1.05437
149,149,2015,3rd Quintile,Tenant,Yes,0.03249,84,15328,0.02487,0.041
150,150,2015,3rd Quintile,Tenant,No,0.96751,1480,15328,0.90729,1.01857
151,151,2015,4th Quintile,Owner,No,1.0,1577,15328,0.95867,1.05396
152,152,2015,4th Quintile,Tenant,Yes,0.03617,36,15328,0.02295,0.04927
153,153,2015,4th Quintile,Tenant,No,0.96383,1113,15328,0.90241,1.0308
154,154,2015,5th Quintile,Owner,No,1.0,2015,15328,0.95773,1.04239
155,155,2015,5th Quintile,Tenant,No,1.0,873,15328,0.92945,1.09041
156,156,2016,1st Quintile,Owner,Yes,0.10594,46,14036,0.07401,0.14182
157,157,2016,1st Quintile,Owner,No,0.89406,333,14036,0.79032,0.99368
158,158,2016,1st Quintile,Tenant,Yes,0.35146,1135,14036,0.3251,0.38106
159,159,2016,1st Quintile,Tenant,No,0.64854,1531,14036,0.61591,0.68465
160,160,2016,2nd Quintile,Owner,No,1.0,990,14036,0.92944,1.05594
161,161,2016,2nd Quintile,Tenant,Yes,0.09121,256,14036,0.078,0.10536
162,162,2016,2nd Quintile,Tenant,No,0.90879,1793,14036,0.8672,0.9491
163,163,2016,3rd Quintile,Owner,No,1.0,1345,14036,0.94845,1.0471
164,164,2016,3rd Quintile,Tenant,Yes,0.04286,66,14036,0.03056,0.0571
165,165,2016,3rd Quintile,Tenant,No,0.95714,1275,14036,0.90798,1.01141
166,166,2016,4th Quintile,Owner,No,1.0,1512,14036,0.95961,1.06157
167,167,2016,4th Quintile,Tenant,Yes,0.0214,31,14036,0.01489,0.02988
168,168,2016,4th Quintile,Tenant,No,0.9786,1058,14036,0.91451,1.03459
169,169,2016,5th Quintile,Owner,No,1.0,1899,14036,0.94625,1.05189
170,170,2016,5th Quintile,Tenant,No,1.0,766,14036,0.92954,1.06281
171,171,2017,1st Quintile,Owner,Yes,0.08363,40,16939,0.05726,0.11431
172,172,2017,1st Quintile,Owner,No,0.91637,330,16939,0.80534,1.03007
173,173,2017,1st Quintile,Tenant,Yes,0.32773,1658,16939,0.30365,0.34871
174,174,2017,1st Quintile,Tenant,No,0.67227,2577,16939,0.63139,0.70724
175,175,2017,2nd Quintile,Owner,No,1.0,1075,16939,0.93549,1.06935
176,176,2017,2nd Quintile,Tenant,Yes,0.09694,311,16939,0.08092,0.11344
177,177,2017,2nd Quintile,Tenant,No,0.90306,1890,16939,0.86203,0.96207
178,178,2017,3rd Quintile,Owner,No,1.0,1486,16939,0.94526,1.04962
179,179,2017,3rd Quintile,Tenant,Yes,0.03691,86,16939,0.02599,0.04914
180,180,2017,3rd Quintile,Tenant,No,0.96309,1476,16939,0.91935,1.00592
181,181,2017,4th Quintile,Owner,No,1.0,1749,16939,0.95024,1.05353
182,182,2017,4th Quintile,Tenant,No,1.0,1210,16939,0.94693,1.05641
183,183,2017,5th Quintile,Owner,No,1.0,2219,16939,0.96475,1.03823
184,184,2017,5th Quintile,Tenant,No,1.0,832,16939,0.93532,1.06757
185,185,2018,1st Quintile,Owner,Yes,0.08547,39,17499,0.06243,0.11071
186,186,2018,1st Quintile,Owner,No,0.91453,330,17499,0.8127,1.03612
187,187,2018,1st Quintile,Tenant,Yes,0.30825,2296,17499,0.28331,0.33679
188,188,2018,1st Quintile,Tenant,No,0.69175,2602,17499,0.65383,0.7294
189,189,2018,2nd Quintile,Owner,No,1.0,1086,17499,0.92328,1.07209
190,190,2018,2nd Quintile,Tenant,Yes,0.0881,375,17499,0.07611,0.10089
191,191,2018,2nd Quintile,Tenant,No,0.9119,2030,17499,0.86662,0.96048
192,192,2018,3rd Quintile,Owner,No,1.0,1366,17499,0.94065,1.05164
193,193,2018,3rd Quintile,Tenant,Yes,0.0356,118,17499,0.0274,0.04393
194,194,2018,3rd Quintile,Tenant,No,0.9644,1446,17499,0.91087,1.02274
195,195,2018,4th Quintile,Owner,No,1.0,1669,17499,0.94768,1.05122
196,196,2018,4th Quintile,Tenant,Yes,0.03216,51,17499,0.02036,0.04631
197,197,2018,4th Quintile,Tenant,No,0.96784,1124,17499,0.91148,1.02901
198,198,2018,5th Quintile,Owner,No,1.0,2142,17499,0.94679,1.04923
199,199,2018,5th Quintile,Tenant,No,1.0,825,17499,0.93778,1.06459
200,200,2019,1st Quintile,Owner,Yes,0.07516,34,18179,0.05111,0.10208
201,201,2019,1st Quintile,Owner,No,0.92484,340,18179,0.80883,1.01922
202,202,2019,1st Quintile,Tenant,Yes,0.30107,2369,18179,0.27937,0.32597
203,203,2019,1st Quintile,Tenant,No,0.69893,2261,18179,0.66438,0.73662
204,204,2019,2nd Quintile,Owner,No,1.0,985,18179,0.92937,1.06566
205,205,2019,2nd Quintile,Tenant,Yes,0.07261,261,18179,0.06113,0.08301
206,206,2019,2nd Quintile,Tenant,No,0.92739,1835,18179,0.87906,0.97564
207,207,2019,3rd Quintile,Owner,No,1.0,1416,18179,0.94311,1.06537
208,208,2019,3rd Quintile,Tenant,Yes,0.03779,87,18179,0.02953,0.04661
209,209,2019,3rd Quintile,Tenant,No,0.96221,1401,18179,0.903,1.01786
210,210,2019,4th Quintile,Owner,No,1.0,1766,18179,0.94643,1.05396
211,211,2019,4th Quintile,Tenant,No,1.0,1141,18179,0.93245,1.06261
212,212,2019,5th Quintile,Owner,No,1.0,3225,18179,0.95378,1.05484
213,213,2019,5th Quintile,Tenant,No,1.0,1058,18179,0.92588,1.08799
214,214,2020,1st Quintile,Owner,No,1.0,287,18754,0.8741,1.11384
215,215,2020,1st Quintile,Tenant,Yes,0.28427,2658,18754,0.25562,0.31136
216,216,2020,1st Quintile,Tenant,No,0.71573,3068,18754,0.66141,0.75748
217,217,2020,2nd Quintile,Owner,No,1.0,933,18754,0.93074,1.06788
218,218,2020,2nd Quintile,Tenant,Yes,0.07513,273,18754,0.06351,0.09013
219,219,2020,2nd Quintile,Tenant,No,0.92487,2197,18754,0.87499,0.97948
220,220,2020,3rd Quintile,Owner,No,1.0,1293,18754,0.94651,1.04879
221,221,2020,3rd Quintile,Tenant,Yes,0.04233,70,18754,0.0303,0.05707
222,222,2020,3rd Quintile,Tenant,No,0.95767,1545,18754,0.90335,1.02071
