year,quintil_oecd_hh,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,West,Yes,0.25336,355,1364,0.23027,0.27645
2006,1st Quintile,West,No,0.74664,1009,1364,0.72355,0.76973
2006,1st Quintile,East,Yes,0.43470,282,627,0.39586,0.47353
2006,1st Quintile,East,No,0.56530,345,627,0.52647,0.60414
2006,2nd Quintile,West,Yes,0.06673,83,1429,0.05379,0.07968
2006,2nd Quintile,West,No,0.93327,1346,1429,0.92032,0.94621
2006,2nd Quintile,East,Yes,0.10259,92,696,0.08003,0.12515
2006,2nd Quintile,East,No,0.89741,604,696,0.87485,0.91997
2006,3rd Quintile,West,Yes,0.03479,60,1651,0.02595,0.04364
2006,3rd Quintile,West,No,0.96521,1591,1651,0.95636,0.97405
2006,3rd Quintile,East,No,0.96036,599,599,0.94473,0.97600
2006,4th Quintile,West,Yes,0.02285,37,1885,0.01610,0.02960
2006,4th Quintile,West,No,0.97715,1848,1885,0.97040,0.98390
2006,4th Quintile,East,No,0.97369,468,468,0.95917,0.98821
2006,5th Quintile,West,No,0.99047,2603,2603,0.98674,0.99421
2006,5th Quintile,East,No,0.98476,328,328,0.97148,0.99804
2007,1st Quintile,West,Yes,0.27890,353,1287,0.25439,0.30341
2007,1st Quintile,West,No,0.72110,934,1287,0.69659,0.74561
2007,1st Quintile,East,Yes,0.45094,286,584,0.41055,0.49134
2007,1st Quintile,East,No,0.54906,298,584,0.50866,0.58945
2007,2nd Quintile,West,Yes,0.08573,122,1390,0.07100,0.10045
2007,2nd Quintile,West,No,0.91427,1268,1390,0.89955,0.92900
2007,2nd Quintile,East,Yes,0.13963,91,614,0.11220,0.16707
2007,2nd Quintile,East,No,0.86037,523,614,0.83293,0.88780
2007,3rd Quintile,West,Yes,0.04624,70,1497,0.03560,0.05688
2007,3rd Quintile,West,No,0.95376,1427,1497,0.94312,0.96440
2007,3rd Quintile,East,Yes,0.06157,42,620,0.04263,0.08050
2007,3rd Quintile,East,No,0.93843,578,620,0.91950,0.95737
2007,4th Quintile,West,Yes,0.02644,41,1745,0.01891,0.03397
2007,4th Quintile,West,No,0.97356,1704,1745,0.96603,0.98109
2007,4th Quintile,East,No,0.96140,471,471,0.94398,0.97881
2007,5th Quintile,West,Yes,0.01587,34,2412,0.01088,0.02086
2007,5th Quintile,West,No,0.98413,2378,2412,0.97914,0.98912
2007,5th Quintile,East,No,0.96016,308,308,0.93828,0.98204
2008,1st Quintile,West,Yes,0.25904,306,1226,0.23451,0.28358
2008,1st Quintile,West,No,0.74096,920,1226,0.71642,0.76549
2008,1st Quintile,East,Yes,0.45262,263,561,0.41139,0.49385
2008,1st Quintile,East,No,0.54738,298,561,0.50615,0.58861
2008,2nd Quintile,West,Yes,0.07443,95,1278,0.06003,0.08882
2008,2nd Quintile,West,No,0.92557,1183,1278,0.91118,0.93997
2008,2nd Quintile,East,Yes,0.12274,72,596,0.09637,0.14911
2008,2nd Quintile,East,No,0.87726,524,596,0.85089,0.90363
2008,3rd Quintile,West,Yes,0.03924,44,1411,0.02910,0.04937
2008,3rd Quintile,West,No,0.96076,1367,1411,0.95063,0.97090
2008,3rd Quintile,East,Yes,0.05291,42,637,0.03551,0.07031
2008,3rd Quintile,East,No,0.94709,595,637,0.92969,0.96449
2008,4th Quintile,West,Yes,0.02552,42,1604,0.01780,0.03324
2008,4th Quintile,West,No,0.97448,1562,1604,0.96676,0.98220
2008,4th Quintile,East,No,0.92526,386,386,0.89899,0.95153
2008,5th Quintile,West,No,0.98972,2236,2236,0.98554,0.99390
2008,5th Quintile,East,No,0.96619,318,318,0.94629,0.98609
2009,1st Quintile,West,Yes,0.22550,269,1205,0.20190,0.24911
2009,1st Quintile,West,No,0.77450,936,1205,0.75089,0.79810
2009,1st Quintile,East,Yes,0.41167,246,587,0.37182,0.45151
2009,1st Quintile,East,No,0.58833,341,587,0.54849,0.62818
2009,2nd Quintile,West,Yes,0.07863,100,1266,0.06380,0.09346
2009,2nd Quintile,West,No,0.92137,1166,1266,0.90654,0.93620
2009,2nd Quintile,East,Yes,0.09512,59,619,0.07199,0.11825
2009,2nd Quintile,East,No,0.90488,560,619,0.88175,0.92801
2009,3rd Quintile,West,Yes,0.02254,34,1355,0.01463,0.03045
2009,3rd Quintile,West,No,0.97746,1321,1355,0.96955,0.98537
2009,3rd Quintile,East,Yes,0.05543,31,594,0.03701,0.07385
2009,3rd Quintile,East,No,0.94457,563,594,0.92615,0.96299
2009,4th Quintile,West,No,0.98079,1607,1607,0.97407,0.98750
2009,4th Quintile,East,No,0.95779,410,410,0.93830,0.97728
2009,5th Quintile,West,No,0.98985,2132,2132,0.98559,0.99411
2009,5th Quintile,East,No,0.96310,323,323,0.94251,0.98369
2010,1st Quintile,West,Yes,0.23945,805,2282,0.22193,0.25696
2010,1st Quintile,West,No,0.76055,1477,2282,0.74304,0.77807
2010,1st Quintile,East,Yes,0.40403,437,864,0.37130,0.43677
2010,1st Quintile,East,No,0.59597,427,864,0.56323,0.62870
2010,2nd Quintile,West,Yes,0.08031,206,2059,0.06857,0.09205
2010,2nd Quintile,West,No,0.91969,1853,2059,0.90795,0.93143
2010,2nd Quintile,East,Yes,0.08264,109,860,0.06423,0.10105
2010,2nd Quintile,East,No,0.91736,751,860,0.89895,0.93577
2010,3rd Quintile,West,Yes,0.02081,54,1906,0.01440,0.02722
2010,3rd Quintile,West,No,0.97919,1852,1906,0.97278,0.98560
2010,3rd Quintile,East,Yes,0.04538,33,651,0.02938,0.06138
2010,3rd Quintile,East,No,0.95462,618,651,0.93862,0.97062
2010,4th Quintile,West,Yes,0.01394,31,1991,0.00879,0.01910
2010,4th Quintile,West,No,0.98606,1960,1991,0.98090,0.99121
2010,4th Quintile,East,No,0.97601,457,457,0.96196,0.99005
2010,5th Quintile,West,No,0.98977,2377,2377,0.98572,0.99381
2010,5th Quintile,East,No,0.99834,315,315,0.99383,1.00284
2011,1st Quintile,West,Yes,0.26173,912,2585,0.24478,0.27868
2011,1st Quintile,West,No,0.73827,1673,2585,0.72132,0.75522
2011,1st Quintile,East,Yes,0.38403,522,1088,0.35512,0.41295
2011,1st Quintile,East,No,0.61597,566,1088,0.58705,0.64488
2011,2nd Quintile,West,Yes,0.06181,231,2425,0.05222,0.07140
2011,2nd Quintile,West,No,0.93819,2194,2425,0.92860,0.94778
2011,2nd Quintile,East,Yes,0.08464,119,941,0.06684,0.10243
2011,2nd Quintile,East,No,0.91536,822,941,0.89757,0.93316
2011,3rd Quintile,West,Yes,0.03152,87,2389,0.02451,0.03853
2011,3rd Quintile,West,No,0.96848,2302,2389,0.96147,0.97549
2011,3rd Quintile,East,Yes,0.04085,41,775,0.02691,0.05480
2011,3rd Quintile,East,No,0.95915,734,775,0.94520,0.97309
2011,4th Quintile,West,Yes,0.01142,36,2485,0.00724,0.01560
2011,4th Quintile,West,No,0.98858,2449,2485,0.98440,0.99276
2011,4th Quintile,East,No,0.94849,502,502,0.92914,0.96785
2011,5th Quintile,West,No,0.99022,2747,2747,0.98654,0.99390
2011,5th Quintile,East,No,0.99032,341,341,0.97991,1.00073
2012,1st Quintile,West,Yes,0.24202,810,2512,0.22527,0.25877
2012,1st Quintile,West,No,0.75798,1702,2512,0.74123,0.77473
2012,1st Quintile,East,Yes,0.40509,514,1040,0.37524,0.43494
2012,1st Quintile,East,No,0.59491,526,1040,0.56506,0.62476
2012,2nd Quintile,West,Yes,0.06629,220,2459,0.05645,0.07612
2012,2nd Quintile,West,No,0.93371,2239,2459,0.92388,0.94355
2012,2nd Quintile,East,Yes,0.09737,105,802,0.07684,0.11790
2012,2nd Quintile,East,No,0.90263,697,802,0.88210,0.92316
2012,3rd Quintile,West,Yes,0.02946,84,2350,0.02262,0.03630
2012,3rd Quintile,West,No,0.97054,2266,2350,0.96370,0.97738
2012,3rd Quintile,East,Yes,0.04819,45,788,0.03323,0.06315
2012,3rd Quintile,East,No,0.95181,743,788,0.93685,0.96677
2012,4th Quintile,West,Yes,0.01256,41,2397,0.00810,0.01702
2012,4th Quintile,West,No,0.98744,2356,2397,0.98298,0.99190
2012,4th Quintile,East,No,0.96919,545,545,0.95467,0.98371
2012,5th Quintile,West,No,0.99395,2646,2646,0.99099,0.99690
2012,5th Quintile,East,No,0.98614,427,427,0.97504,0.99724
2013,1st Quintile,West,Yes,0.27014,1070,3130,0.25458,0.28570
2013,1st Quintile,West,No,0.72986,2060,3130,0.71430,0.74542
2013,1st Quintile,East,Yes,0.39600,506,1060,0.36654,0.42545
2013,1st Quintile,East,No,0.60400,554,1060,0.57455,0.63346
2013,2nd Quintile,West,Yes,0.07084,301,2859,0.06144,0.08025
2013,2nd Quintile,West,No,0.92916,2558,2859,0.91975,0.93856
2013,2nd Quintile,East,Yes,0.07337,98,934,0.05664,0.09010
2013,2nd Quintile,East,No,0.92663,836,934,0.90990,0.94336
2013,3rd Quintile,West,Yes,0.03013,101,2601,0.02356,0.03670
2013,3rd Quintile,West,No,0.96987,2500,2601,0.96330,0.97644
2013,3rd Quintile,East,Yes,0.03648,38,718,0.02275,0.05020
2013,3rd Quintile,East,No,0.96352,680,718,0.94980,0.97725
2013,4th Quintile,West,Yes,0.01276,40,2545,0.00840,0.01713
2013,4th Quintile,West,No,0.98724,2505,2545,0.98287,0.99160
2013,4th Quintile,East,No,0.98249,495,495,0.97092,0.99406
2013,5th Quintile,West,No,0.98676,2811,2811,0.98254,0.99099
2013,5th Quintile,East,No,0.99324,351,351,0.98466,1.00183
2014,1st Quintile,West,Yes,0.26920,909,2538,0.25194,0.28646
