,Unnamed: 0,year,age_gr,pgisced97,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,Pre-primary Level,Seldom,0.72281,71,8675,0.63673,0.83716
1,1,1990,17-29 y.,Pre-primary Level,Never,0.27719,42,8675,0.21273,0.33552
2,2,1990,17-29 y.,Primary Level,Never,1.0,75,8675,0.76859,1.27669
3,3,1990,17-29 y.,Lower Secondary Level,At least once per week,0.12651,102,8675,0.10865,0.14645
4,4,1990,17-29 y.,Lower Secondary Level,At least once per month,0.14462,102,8675,0.12353,0.16838
5,5,1990,17-29 y.,Lower Secondary Level,Seldom,0.31311,224,8675,0.28187,0.34484
6,6,1990,17-29 y.,Lower Secondary Level,Never,0.41575,365,8675,0.37411,0.4583
7,7,1990,17-29 y.,Upper Secondary Level,At least once per week,0.10478,142,8675,0.09421,0.11654
8,8,1990,17-29 y.,Upper Secondary Level,At least once per month,0.13948,183,8675,0.1284,0.15514
9,9,1990,17-29 y.,Upper Secondary Level,Seldom,0.35806,425,8675,0.33381,0.38187
10,10,1990,17-29 y.,Upper Secondary Level,Never,0.39768,509,8675,0.37492,0.42428
11,11,1990,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.54962,43,8675,0.44565,0.67766
12,12,1990,17-29 y.,Post-secondary Non-tertiary Level,Never,0.45038,48,8675,0.35841,0.54577
13,13,1990,17-29 y.,First Stage of Tertiary Education,Never,1.0,36,8675,0.8075,1.25166
14,14,1990,17-29 y.,Second Stage of Tertiary Education,Never,1.0,39,8675,0.81528,1.17811
15,15,1990,30-45 y.,Primary Level,Never,1.0,148,8675,0.8575,1.16627
16,16,1990,30-45 y.,Lower Secondary Level,At least once per week,0.06912,37,8675,0.05339,0.08516
17,17,1990,30-45 y.,Lower Secondary Level,At least once per month,0.0532,35,8675,0.03925,0.06808
18,18,1990,30-45 y.,Lower Secondary Level,Seldom,0.26734,104,8675,0.2313,0.30168
19,19,1990,30-45 y.,Lower Secondary Level,Never,0.61035,311,8675,0.5556,0.6612
20,20,1990,30-45 y.,Upper Secondary Level,At least once per week,0.0993,131,8675,0.09116,0.10969
21,21,1990,30-45 y.,Upper Secondary Level,At least once per month,0.12064,176,8675,0.11059,0.12957
22,22,1990,30-45 y.,Upper Secondary Level,Seldom,0.32964,437,8675,0.31541,0.34602
23,23,1990,30-45 y.,Upper Secondary Level,Never,0.45042,672,8675,0.43235,0.47139
24,24,1990,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.35471,31,8675,0.27074,0.42184
25,25,1990,30-45 y.,Post-secondary Non-tertiary Level,Never,0.64529,52,8675,0.53082,0.75098
26,26,1990,30-45 y.,First Stage of Tertiary Education,Seldom,0.37841,65,8675,0.32357,0.42049
27,27,1990,30-45 y.,First Stage of Tertiary Education,Never,0.62159,108,8675,0.56652,0.66487
28,28,1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.3849,115,8675,0.34362,0.41999
29,29,1990,30-45 y.,Second Stage of Tertiary Education,Never,0.6151,186,8675,0.56414,0.66007
30,30,1990,46-65 y.,Primary Level,Never,1.0,251,8675,0.87818,1.12226
31,31,1990,46-65 y.,Lower Secondary Level,At least once per month,0.066,53,8675,0.0546,0.07733
32,32,1990,46-65 y.,Lower Secondary Level,Seldom,0.17948,129,8675,0.16218,0.19339
33,33,1990,46-65 y.,Lower Secondary Level,Never,0.75452,591,8675,0.71047,0.79287
34,34,1990,46-65 y.,Upper Secondary Level,At least once per week,0.0586,82,8675,0.0534,0.06445
35,35,1990,46-65 y.,Upper Secondary Level,At least once per month,0.08942,112,8675,0.08231,0.09859
36,36,1990,46-65 y.,Upper Secondary Level,Seldom,0.27051,343,8675,0.25621,0.28281
37,37,1990,46-65 y.,Upper Secondary Level,Never,0.58147,813,8675,0.56108,0.60218
38,38,1990,46-65 y.,Post-secondary Non-tertiary Level,Never,1.0,34,8675,0.71415,1.22802
39,39,1990,46-65 y.,First Stage of Tertiary Education,Seldom,0.34256,47,8675,0.30374,0.3822
40,40,1990,46-65 y.,First Stage of Tertiary Education,Never,0.65744,87,8675,0.60044,0.70908
41,41,1990,46-65 y.,Second Stage of Tertiary Education,Seldom,0.30365,60,8675,0.27494,0.33455
42,42,1990,46-65 y.,Second Stage of Tertiary Education,Never,0.69635,142,8675,0.65181,0.74824
43,43,1990,66 and older,Lower Secondary Level,Never,1.0,354,8675,0.95621,1.03483
44,44,1990,66 and older,Upper Secondary Level,Seldom,0.09851,53,8675,0.09145,0.10521
45,45,1990,66 and older,Upper Secondary Level,Never,0.90149,405,8675,0.87469,0.93155
46,46,1990,66 and older,First Stage of Tertiary Education,Never,1.0,52,8675,0.90121,1.07601
47,47,1990,66 and older,Second Stage of Tertiary Education,Never,1.0,53,8675,0.92591,1.09288
48,48,1995,17-29 y.,Pre-primary Level,At least once per month,0.19079,54,12370,0.15804,0.21933
49,49,1995,17-29 y.,Pre-primary Level,Seldom,0.48254,115,12370,0.41722,0.54993
50,50,1995,17-29 y.,Pre-primary Level,Never,0.32666,83,12370,0.28068,0.3746
51,51,1995,17-29 y.,Primary Level,Never,1.0,51,12370,0.74936,1.21782
52,52,1995,17-29 y.,Lower Secondary Level,At least once per week,0.11412,81,12370,0.09655,0.13208
53,53,1995,17-29 y.,Lower Secondary Level,At least once per month,0.1418,100,12370,0.11857,0.17016
54,54,1995,17-29 y.,Lower Secondary Level,Seldom,0.32021,226,12370,0.2848,0.35593
55,55,1995,17-29 y.,Lower Secondary Level,Never,0.42387,348,12370,0.38607,0.46287
56,56,1995,17-29 y.,Upper Secondary Level,At least once per week,0.07831,132,12370,0.0656,0.09162
57,57,1995,17-29 y.,Upper Secondary Level,At least once per month,0.12591,191,12370,0.11104,0.1404
58,58,1995,17-29 y.,Upper Secondary Level,Seldom,0.34412,553,12370,0.32271,0.36434
59,59,1995,17-29 y.,Upper Secondary Level,Never,0.45166,715,12370,0.42118,0.4763
60,60,1995,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.5069,62,12370,0.41718,0.63211
61,61,1995,17-29 y.,Post-secondary Non-tertiary Level,Never,0.4931,74,12370,0.42324,0.57472
62,62,1995,17-29 y.,First Stage of Tertiary Education,Seldom,0.43332,39,12370,0.33452,0.53044
63,63,1995,17-29 y.,First Stage of Tertiary Education,Never,0.56668,49,12370,0.43489,0.73367
64,64,1995,17-29 y.,Second Stage of Tertiary Education,Seldom,0.42264,57,12370,0.34985,0.51388
65,65,1995,17-29 y.,Second Stage of Tertiary Education,Never,0.57736,88,12370,0.50879,0.66364
66,66,1995,30-45 y.,Primary Level,Never,1.0,107,12370,0.84341,1.16077
67,67,1995,30-45 y.,Lower Secondary Level,Seldom,0.30259,104,12370,0.26972,0.34176
68,68,1995,30-45 y.,Lower Secondary Level,Never,0.69741,311,12370,0.63312,0.76699
69,69,1995,30-45 y.,Upper Secondary Level,At least once per week,0.05782,132,12370,0.05082,0.06704
70,70,1995,30-45 y.,Upper Secondary Level,At least once per month,0.08731,194,12370,0.07907,0.09665
71,71,1995,30-45 y.,Upper Secondary Level,Seldom,0.33252,727,12370,0.31636,0.3503
72,72,1995,30-45 y.,Upper Secondary Level,Never,0.52234,1320,12370,0.50102,0.54645
73,73,1995,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.3771,69,12370,0.32048,0.44927
74,74,1995,30-45 y.,Post-secondary Non-tertiary Level,Never,0.6229,115,12370,0.53548,0.70296
75,75,1995,30-45 y.,First Stage of Tertiary Education,At least once per month,0.11553,34,12370,0.08732,0.14908
76,76,1995,30-45 y.,First Stage of Tertiary Education,Seldom,0.40671,121,12370,0.35313,0.4768
77,77,1995,30-45 y.,First Stage of Tertiary Education,Never,0.47776,151,12370,0.42358,0.54244
78,78,1995,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.07649,60,12370,0.06374,0.08906
79,79,1995,30-45 y.,Second Stage of Tertiary Education,Seldom,0.37533,288,12370,0.33779,0.40711
80,80,1995,30-45 y.,Second Stage of Tertiary Education,Never,0.54819,479,12370,0.50594,0.58419
81,81,1995,46-65 y.,Primary Level,Never,1.0,228,12370,0.88257,1.15478
82,82,1995,46-65 y.,Lower Secondary Level,At least once per month,0.04609,37,12370,0.03635,0.05673
83,83,1995,46-65 y.,Lower Secondary Level,Seldom,0.18257,129,12370,0.16277,0.20632
84,84,1995,46-65 y.,Lower Secondary Level,Never,0.77134,595,12370,0.72285,0.81746
85,85,1995,46-65 y.,Upper Secondary Level,At least once per week,0.05641,97,12370,0.04817,0.06477
86,86,1995,46-65 y.,Upper Secondary Level,At least once per month,0.06228,131,12370,0.05696,0.06816
87,87,1995,46-65 y.,Upper Secondary Level,Seldom,0.27751,517,12370,0.26176,0.29292
88,88,1995,46-65 y.,Upper Secondary Level,Never,0.60381,1228,12370,0.58088,0.62471
89,89,1995,46-65 y.,Post-secondary Non-tertiary Level,Never,1.0,48,12370,0.78654,1.21834
90,90,1995,46-65 y.,First Stage of Tertiary Education,Seldom,0.35712,90,12370,0.31539,0.39778
91,91,1995,46-65 y.,First Stage of Tertiary Education,Never,0.64288,123,12370,0.57131,0.71736
92,92,1995,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.0567,32,12370,0.0446,0.07218
93,93,1995,46-65 y.,Second Stage of Tertiary Education,Seldom,0.2947,172,12370,0.26421,0.32496
94,94,1995,46-65 y.,Second Stage of Tertiary Education,Never,0.6486,354,12370,0.59846,0.69816
95,95,1995,66 and older,Primary Level,Never,1.0,35,12370,0.69114,1.31676
96,96,1995,66 and older,Lower Secondary Level,Never,1.0,433,12370,0.95587,1.04739
97,97,1995,66 and older,Upper Secondary Level,Seldom,0.13204,85,12370,0.11809,0.15044
98,98,1995,66 and older,Upper Secondary Level,Never,0.86796,612,12370,0.83248,0.90729
99,99,1995,66 and older,First Stage of Tertiary Education,Never,1.0,68,12370,0.87352,1.11929
100,100,1995,66 and older,Second Stage of Tertiary Education,Never,1.0,126,12370,0.91576,1.08763
101,101,1998,17-29 y.,Pre-primary Level,At least once per week,0.13375,42,12947,0.11491,0.16022
102,102,1998,17-29 y.,Pre-primary Level,At least once per month,0.19635,56,12947,0.17146,0.22663
103,103,1998,17-29 y.,Pre-primary Level,Seldom,0.42432,142,12947,0.37291,0.48671
104,104,1998,17-29 y.,Pre-primary Level,Never,0.24558,85,12947,0.2129,0.27741
105,105,1998,17-29 y.,Lower Secondary Level,At least once per week,0.10839,71,12947,0.0909,0.12817
106,106,1998,17-29 y.,Lower Secondary Level,At least once per month,0.13327,94,12947,0.11529,0.15127
107,107,1998,17-29 y.,Lower Secondary Level,Seldom,0.34839,248,12947,0.31634,0.38457
108,108,1998,17-29 y.,Lower Secondary Level,Never,0.40995,321,12947,0.3749,0.44733
109,109,1998,17-29 y.,Upper Secondary Level,At least once per week,0.08366,114,12947,0.07427,0.09404
110,110,1998,17-29 y.,Upper Secondary Level,At least once per month,0.11801,170,12947,0.10549,0.13014
111,111,1998,17-29 y.,Upper Secondary Level,Seldom,0.37633,520,12947,0.35362,0.40191
112,112,1998,17-29 y.,Upper Secondary Level,Never,0.422,600,12947,0.39558,0.44763
113,113,1998,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.57762,67,12947,0.47064,0.72108
114,114,1998,17-29 y.,Post-secondary Non-tertiary Level,Never,0.42238,60,12947,0.35751,0.499
115,115,1998,17-29 y.,First Stage of Tertiary Education,Seldom,0.43174,45,12947,0.34554,0.52576
116,116,1998,17-29 y.,First Stage of Tertiary Education,Never,0.56826,44,12947,0.46414,0.73863
117,117,1998,17-29 y.,Second Stage of Tertiary Education,Seldom,0.46379,48,12947,0.35061,0.62425
118,118,1998,17-29 y.,Second Stage of Tertiary Education,Never,0.53621,74,12947,0.45108,0.62908
119,119,1998,30-45 y.,Primary Level,Never,1.0,82,12947,0.82001,1.20657
120,120,1998,30-45 y.,Lower Secondary Level,At least once per week,0.06836,36,12947,0.05411,0.08572
121,121,1998,30-45 y.,Lower Secondary Level,At least once per month,0.08979,42,12947,0.07222,0.10708
122,122,1998,30-45 y.,Lower Secondary Level,Seldom,0.30722,128,12947,0.27134,0.3453
123,123,1998,30-45 y.,Lower Secondary Level,Never,0.53463,270,12947,0.48033,0.59115
124,124,1998,30-45 y.,Upper Secondary Level,At least once per week,0.07053,155,12947,0.06243,0.07935
125,125,1998,30-45 y.,Upper Secondary Level,At least once per month,0.09324,219,12947,0.08381,0.10288
126,126,1998,30-45 y.,Upper Secondary Level,Seldom,0.35745,888,12947,0.34204,0.37504
127,127,1998,30-45 y.,Upper Secondary Level,Never,0.47878,1261,12947,0.45775,0.4978
128,128,1998,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.42096,93,12947,0.35116,0.48722
129,129,1998,30-45 y.,Post-secondary Non-tertiary Level,Never,0.57904,125,12947,0.50122,0.65584
130,130,1998,30-45 y.,First Stage of Tertiary Education,Seldom,0.51232,152,12947,0.45262,0.58141
131,131,1998,30-45 y.,First Stage of Tertiary Education,Never,0.48768,149,12947,0.43335,0.54989
132,132,1998,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.09321,81,12947,0.07785,0.11128
133,133,1998,30-45 y.,Second Stage of Tertiary Education,Seldom,0.40456,349,12947,0.374,0.43594
134,134,1998,30-45 y.,Second Stage of Tertiary Education,Never,0.50223,468,12947,0.46436,0.5365
135,135,1998,46-65 y.,Primary Level,Never,1.0,186,12947,0.87854,1.13233
136,136,1998,46-65 y.,Lower Secondary Level,Seldom,0.21465,139,12947,0.19365,0.23698
137,137,1998,46-65 y.,Lower Secondary Level,Never,0.78535,576,12947,0.74357,0.83297
138,138,1998,46-65 y.,Upper Secondary Level,At least once per week,0.0451,93,12947,0.04054,0.05006
139,139,1998,46-65 y.,Upper Secondary Level,At least once per month,0.07207,144,12947,0.06517,0.0813
140,140,1998,46-65 y.,Upper Secondary Level,Seldom,0.3171,642,12947,0.30079,0.33525
141,141,1998,46-65 y.,Upper Secondary Level,Never,0.56574,1285,12947,0.5453,0.58779
142,142,1998,46-65 y.,Post-secondary Non-tertiary Level,Never,1.0,52,12947,0.85745,1.20008
143,143,1998,46-65 y.,First Stage of Tertiary Education,Seldom,0.39417,97,12947,0.35363,0.4502
144,144,1998,46-65 y.,First Stage of Tertiary Education,Never,0.60583,137,12947,0.54965,0.65796
145,145,1998,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.0653,39,12947,0.04987,0.08515
146,146,1998,46-65 y.,Second Stage of Tertiary Education,Seldom,0.31588,228,12947,0.28629,0.35419
147,147,1998,46-65 y.,Second Stage of Tertiary Education,Never,0.61883,412,12947,0.57972,0.66861
148,148,1998,66 and older,Primary Level,Never,1.0,46,12947,0.77069,1.30873
149,149,1998,66 and older,Lower Secondary Level,Seldom,0.06868,36,12947,0.05655,0.07859
150,150,1998,66 and older,Lower Secondary Level,Never,0.93132,486,12947,0.89082,0.97385
151,151,1998,66 and older,Upper Secondary Level,At least once per month,0.04058,32,12947,0.03521,0.04734
152,152,1998,66 and older,Upper Secondary Level,Seldom,0.16212,134,12947,0.14827,0.17806
153,153,1998,66 and older,Upper Secondary Level,Never,0.79731,677,12947,0.76915,0.8312
154,154,1998,66 and older,First Stage of Tertiary Education,Never,1.0,61,12947,0.87173,1.13264
155,155,1998,66 and older,Second Stage of Tertiary Education,Never,1.0,146,12947,0.92853,1.08958
156,156,2003,17-29 y.,Pre-primary Level,At least once per week,0.12713,88,21331,0.1104,0.14616
157,157,2003,17-29 y.,Pre-primary Level,At least once per month,0.19011,116,21331,0.1583,0.2246
158,158,2003,17-29 y.,Pre-primary Level,Seldom,0.37705,228,21331,0.33552,0.41673
159,159,2003,17-29 y.,Pre-primary Level,Never,0.3057,172,21331,0.27312,0.3483
160,160,2003,17-29 y.,Lower Secondary Level,At least once per week,0.09635,66,21331,0.07751,0.11823
161,161,2003,17-29 y.,Lower Secondary Level,At least once per month,0.15087,113,21331,0.13097,0.17049
162,162,2003,17-29 y.,Lower Secondary Level,Seldom,0.26054,238,21331,0.23556,0.28972
163,163,2003,17-29 y.,Lower Secondary Level,Never,0.49224,396,21331,0.45129,0.53133
164,164,2003,17-29 y.,Upper Secondary Level,At least once per week,0.07986,138,21331,0.06973,0.09131
165,165,2003,17-29 y.,Upper Secondary Level,At least once per month,0.10802,210,21331,0.09229,0.12326
166,166,2003,17-29 y.,Upper Secondary Level,Seldom,0.3648,634,21331,0.33812,0.39209
167,167,2003,17-29 y.,Upper Secondary Level,Never,0.44732,745,21331,0.41872,0.47332
168,168,2003,17-29 y.,Post-secondary Non-tertiary Level,At least once per month,0.12595,35,21331,0.08798,0.16684
169,169,2003,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.39674,108,21331,0.33545,0.46462
170,170,2003,17-29 y.,Post-secondary Non-tertiary Level,Never,0.47731,112,21331,0.40724,0.5504
171,171,2003,17-29 y.,First Stage of Tertiary Education,Seldom,0.53372,34,21331,0.35693,0.70691
172,172,2003,17-29 y.,First Stage of Tertiary Education,Never,0.46628,42,21331,0.34273,0.5798
173,173,2003,17-29 y.,Second Stage of Tertiary Education,At least once per month,0.18544,33,21331,0.11985,0.25312
174,174,2003,17-29 y.,Second Stage of Tertiary Education,Seldom,0.32932,68,21331,0.2568,0.40561
175,175,2003,17-29 y.,Second Stage of Tertiary Education,Never,0.48524,90,21331,0.39917,0.55749
176,176,2003,30-45 y.,Primary Level,Never,1.0,59,21331,0.83861,1.19787
177,177,2003,30-45 y.,Lower Secondary Level,Seldom,0.22885,89,21331,0.19568,0.26724
178,178,2003,30-45 y.,Lower Secondary Level,Never,0.77115,297,21331,0.7175,0.84046
179,179,2003,30-45 y.,Upper Secondary Level,At least once per week,0.06197,245,21331,0.05646,0.06837
180,180,2003,30-45 y.,Upper Secondary Level,At least once per month,0.09068,324,21331,0.08368,0.09753
181,181,2003,30-45 y.,Upper Secondary Level,Seldom,0.34629,1196,21331,0.33293,0.35992
182,182,2003,30-45 y.,Upper Secondary Level,Never,0.50106,1789,21331,0.48418,0.51695
183,183,2003,30-45 y.,Post-secondary Non-tertiary Level,At least once per month,0.14974,72,21331,0.12468,0.18432
184,184,2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.3724,183,21331,0.32401,0.41236
185,185,2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.47786,257,21331,0.43454,0.52262
186,186,2003,30-45 y.,First Stage of Tertiary Education,At least once per week,0.052,41,21331,0.03887,0.06621
187,187,2003,30-45 y.,First Stage of Tertiary Education,At least once per month,0.09604,67,21331,0.07709,0.1154
188,188,2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.3823,251,21331,0.34657,0.43058
189,189,2003,30-45 y.,First Stage of Tertiary Education,Never,0.46966,335,21331,0.43105,0.51098
190,190,2003,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.04804,70,21331,0.03847,0.05846
191,191,2003,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.08565,123,21331,0.07165,0.10297
192,192,2003,30-45 y.,Second Stage of Tertiary Education,Seldom,0.40141,628,21331,0.37413,0.42936
193,193,2003,30-45 y.,Second Stage of Tertiary Education,Never,0.4649,743,21331,0.43565,0.49922
194,194,2003,46-65 y.,Primary Level,Never,1.0,89,21331,0.84948,1.14004
195,195,2003,46-65 y.,Lower Secondary Level,Seldom,0.17137,108,21331,0.14515,0.1987
196,196,2003,46-65 y.,Lower Secondary Level,Never,0.82863,530,21331,0.78555,0.87749
197,197,2003,46-65 y.,Upper Secondary Level,At least once per week,0.04498,167,21331,0.03951,0.05093
198,198,2003,46-65 y.,Upper Secondary Level,At least once per month,0.06502,249,21331,0.05916,0.07224
199,199,2003,46-65 y.,Upper Secondary Level,Seldom,0.2972,1127,21331,0.28434,0.30909
200,200,2003,46-65 y.,Upper Secondary Level,Never,0.59281,2306,21331,0.57642,0.60974
201,201,2003,46-65 y.,Post-secondary Non-tertiary Level,Seldom,0.3181,71,21331,0.24761,0.40658
202,202,2003,46-65 y.,Post-secondary Non-tertiary Level,Never,0.6819,136,21331,0.5945,0.77424
203,203,2003,46-65 y.,First Stage of Tertiary Education,At least once per month,0.08542,41,21331,0.0659,0.10679
204,204,2003,46-65 y.,First Stage of Tertiary Education,Seldom,0.34215,224,21331,0.3042,0.38229
205,205,2003,46-65 y.,First Stage of Tertiary Education,Never,0.57243,346,21331,0.518,0.62713
206,206,2003,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.02469,57,21331,0.0199,0.03227
207,207,2003,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.07448,151,21331,0.06362,0.08733
208,208,2003,46-65 y.,Second Stage of Tertiary Education,Seldom,0.32776,697,21331,0.3037,0.35397
209,209,2003,46-65 y.,Second Stage of Tertiary Education,Never,0.57307,1078,21331,0.54328,0.60269
210,210,2003,66 and older,Primary Level,Never,1.0,48,21331,0.84298,1.16952
211,211,2003,66 and older,Lower Secondary Level,Seldom,0.07906,63,21331,0.06888,0.08833
212,212,2003,66 and older,Lower Secondary Level,Never,0.92094,702,21331,0.8837,0.95723
