,Unnamed: 0,year,regtyp,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
42,42,2013,Urban regions,At least once per month,0.09106,1534,25366,0.08613,0.09635
43,43,2013,Urban regions,Seldom,0.29569,4764,25366,0.28697,0.30474
44,44,2013,Urban regions,Never,0.55444,8777,25366,0.54343,0.56551
45,45,2013,Rural regions,At least once per week,0.06319,624,25366,0.05854,0.06896
46,46,2013,Rural regions,At least once per month,0.09648,899,25366,0.08834,0.1064
47,47,2013,Rural regions,Seldom,0.31207,2867,25366,0.30034,0.32566
48,48,2013,Rural regions,Never,0.52826,4880,25366,0.51031,0.54349
49,49,2017,Urban regions,Daily,0.0112,32,3942,0.00715,0.01586
50,50,2017,Urban regions,At least once per week,0.06467,145,3942,0.05067,0.07747
51,51,2017,Urban regions,At least once per month,0.06089,146,3942,0.05045,0.07218
52,52,2017,Urban regions,Seldom,0.16444,433,3942,0.14714,0.18215
53,53,2017,Urban regions,Never,0.6988,1993,3942,0.66296,0.73122
54,54,2017,Rural regions,At least once per week,0.07088,89,3942,0.05577,0.08776
55,55,2017,Rural regions,At least once per month,0.04968,67,3942,0.03682,0.06483
56,56,2017,Rural regions,Seldom,0.13932,179,3942,0.11568,0.16125
57,57,2017,Rural regions,Never,0.74012,858,3942,0.68786,0.80831
58,58,2018,Urban regions,At least once per week,0.07908,181,3135,0.06569,0.09442
59,59,2018,Urban regions,At least once per month,0.0923,209,3135,0.07864,0.10601
60,60,2018,Urban regions,Seldom,0.19761,453,3135,0.17667,0.22226
61,61,2018,Urban regions,Never,0.63101,1449,3135,0.59059,0.67168
62,62,2018,Rural regions,At least once per week,0.08064,70,3135,0.0634,0.10223
63,63,2018,Rural regions,At least once per month,0.10638,72,3135,0.06744,0.13786
64,64,2018,Rural regions,Seldom,0.19426,152,3135,0.153,0.2355
65,65,2018,Rural regions,Never,0.61872,549,3135,0.55412,0.68322
66,66,2019,Urban regions,Daily,0.00194,52,28163,0.00119,0.00263
67,67,2019,Urban regions,At least once per week,0.05191,1187,28163,0.04787,0.05665
68,68,2019,Urban regions,At least once per month,0.09882,1837,28163,0.09203,0.10631
69,69,2019,Urban regions,Seldom,0.29647,5439,28163,0.28509,0.30678
70,70,2019,Urban regions,Never,0.55086,10069,28163,0.53532,0.56716
71,71,2019,Rural regions,At least once per week,0.05826,637,28163,0.05243,0.06509
72,72,2019,Rural regions,At least once per month,0.10713,1017,28163,0.09692,0.11704
73,73,2019,Rural regions,Seldom,0.30397,2943,28163,0.29064,0.32129
74,74,2019,Rural regions,Never,0.53064,4982,28163,0.51315,0.55195
