year,pli0089,proportion,n,lower_confidence,upper_confidence
1990,5.0,0.5840059473237044,13886,0.5758077250923209,0.5922041695550878
1990,4.0,0.24946898895497027,13886,0.24227184656252118,0.25666613134741934
1990,3.0,0.09197111299915038,13886,0.08716445697113569,0.09677776902716508
1990,2.0,0.07253610875106202,13886,0.06822197979222894,0.0768502377098951
1990,1.0,0.0020178419711129993,13886,0.0012714405545552233,0.0027642433876707753
1995,5.0,0.5998330424224027,13284,0.591501460990644,0.6081646238541613
1995,4.0,0.27001593685967973,13284,0.26246600510110896,0.2775658686182505
1995,3.0,0.07778705319875541,13284,0.07323234136789515,0.08234176502961567
1995,2.0,0.0506185019351901,13284,0.0468905812501711,0.054346422620209105
1995,1.0,0.0017454655839720726,13284,0.001035613390391087,0.0024553177775530582
1998,5.0,0.5668392312601943,14238,0.5586999494571497,0.5749785130632389
1998,4.0,0.3015388979505,14238,0.29400058156249553,0.30907721433850444
1998,3.0,0.07935607403730231,14238,0.07491623208932516,0.08379591598527947
1998,2.0,0.0511311254520956,14238,0.04751305221555993,0.05474919868863126
1998,1.0,0.0011346712999078079,14238,0.000581677729993859,0.0016876648698217567
2003,5.0,0.5712855973068874,22166,0.5647704673728174,0.5778007272409574
2003,4.0,0.2965608224911291,22166,0.2905479420039056,0.30257370297835257
2003,3.0,0.08065690110090074,22166,0.07707204288924713,0.08424175931255434
2003,2.0,0.050086434355381675,22166,0.04721489674063298,0.05295797197013037
2003,1.0,0.0014102447457010282,22166,0.0009162148789212625,0.001904274612480794
2008,5.0,0.5684100962789488,19571,0.5614707894154465,0.5753494031424511
2008,4.0,0.29867291178766586,19571,0.2922607010413626,0.30508512253396913
2008,3.0,0.08347645068956544,19571,0.07960116821239047,0.08735173316674041
2008,2.0,0.047775175644028105,19571,0.044786901351280564,0.050763449936775645
2008,1.0,0.0016653655997918293,19571,0.0010940942728518508,0.002236636926731808
2013,5.0,0.5381220694274794,31177,0.5325880214829186,0.5436561173720402
2013,4.0,0.30068166594428464,31177,0.2955915246137009,0.30577180727486836
2013,3.0,0.09586666141297924,31177,0.09259860945078047,0.09913471337517801
2013,2.0,0.06355648370700186,31177,0.06084841527756823,0.06626455213643549
2013,1.0,0.0017731195082548565,31177,0.0013061134181494725,0.0022401255983602406
2017,5.0,0.7204953247409653,31140,0.7155109935822512,0.7254796558996794
2017,4.0,0.15466262319939347,31140,0.15064652346765028,0.15867872293113666
2017,2.0,0.05913570887035633,31140,0.056515806162283,0.06175561157842966
2017,3.0,0.053828658074298714,31140,0.05132203843099188,0.05633527771760555
2017,1.0,0.011877685114986101,31140,0.010674401440012889,0.013080968789959313
2018,5.0,0.6316787859626937,29779,0.626200275073537,0.6371572968518503
2018,4.0,0.19127410686057542,29779,0.18680696461300095,0.19574124910814988
2018,3.0,0.08883970913689536,29779,0.0856082254135986,0.09207119286019212
2018,2.0,0.07935504268099905,29779,0.07628507099087752,0.08242501437112058
2018,1.0,0.008852355358836548,29779,0.007788458288861464,0.009916252428811632
2019,5.0,0.5353837589590147,29565,0.5296985436162016,0.5410689743018278
2019,4.0,0.29712615684364346,29565,0.2919168940935686,0.30233541959371835
2019,3.0,0.10079326421265047,29565,0.0973615377749204,0.10422499065038054
2019,2.0,0.06394822907243755,29565,0.061159339456124756,0.06673711868875035
2019,1.0,0.0027485909122538445,29565,0.0021517968244273407,0.0033453850000803483
