year,pgisced97,quintil_oecd,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,1st Quintile,Never,0.77087,33,33,0.62526,0.91649
1990,Primary Level,1st Quintile,Never,0.83183,199,199,0.77973,0.88393
1990,Primary Level,2nd Quintile,Never,0.67290,114,114,0.58640,0.75940
1990,Primary Level,3rd Quintile,Never,0.58759,87,87,0.48355,0.69163
1990,Primary Level,4th Quintile,Never,0.74371,64,64,0.63590,0.85152
1990,Lower Secondary Level,1st Quintile,At least once per week,0.04621,45,725,0.03091,0.06150
1990,Lower Secondary Level,1st Quintile,At least once per month,0.04467,46,725,0.02962,0.05971
1990,Lower Secondary Level,1st Quintile,Seldom,0.12284,100,725,0.09893,0.14675
1990,Lower Secondary Level,1st Quintile,Never,0.78226,534,725,0.75219,0.81232
1990,Lower Secondary Level,2nd Quintile,At least once per week,0.04328,35,571,0.02657,0.05998
1990,Lower Secondary Level,2nd Quintile,At least once per month,0.05556,42,571,0.03676,0.07437
1990,Lower Secondary Level,2nd Quintile,Seldom,0.21365,127,571,0.18000,0.24730
1990,Lower Secondary Level,2nd Quintile,Never,0.68604,367,571,0.64794,0.72414
1990,Lower Secondary Level,3rd Quintile,At least once per week,0.06728,42,498,0.04525,0.08930
1990,Lower Secondary Level,3rd Quintile,At least once per month,0.07419,44,498,0.05115,0.09723
1990,Lower Secondary Level,3rd Quintile,Seldom,0.17687,92,498,0.14332,0.21041
1990,Lower Secondary Level,3rd Quintile,Never,0.68078,320,498,0.63980,0.72177
1990,Lower Secondary Level,4th Quintile,At least once per month,0.10414,43,406,0.07439,0.13388
1990,Lower Secondary Level,4th Quintile,Seldom,0.23015,100,406,0.18915,0.27115
1990,Lower Secondary Level,4th Quintile,Never,0.63639,263,406,0.58954,0.68324
1990,Lower Secondary Level,5th Quintile,Seldom,0.24611,53,188,0.18437,0.30784
1990,Lower Secondary Level,5th Quintile,Never,0.60246,135,188,0.53231,0.67260
1990,Upper Secondary Level,1st Quintile,At least once per week,0.04951,38,704,0.03347,0.06554
1990,Upper Secondary Level,1st Quintile,At least once per month,0.05952,49,704,0.04203,0.07701
1990,Upper Secondary Level,1st Quintile,Seldom,0.22156,156,704,0.19086,0.25226
1990,Upper Secondary Level,1st Quintile,Never,0.66705,461,704,0.63222,0.70189
1990,Upper Secondary Level,2nd Quintile,At least once per week,0.08593,74,892,0.06753,0.10433
1990,Upper Secondary Level,2nd Quintile,At least once per month,0.08928,90,892,0.07056,0.10800
1990,Upper Secondary Level,2nd Quintile,Seldom,0.24488,228,892,0.21664,0.27312
1990,Upper Secondary Level,2nd Quintile,Never,0.57678,500,892,0.54434,0.60922
1990,Upper Secondary Level,3rd Quintile,At least once per week,0.06874,78,959,0.05272,0.08476
1990,Upper Secondary Level,3rd Quintile,At least once per month,0.11790,123,959,0.09747,0.13832
1990,Upper Secondary Level,3rd Quintile,Seldom,0.28843,267,959,0.25974,0.31712
1990,Upper Secondary Level,3rd Quintile,Never,0.52260,491,959,0.49097,0.55423
1990,Upper Secondary Level,4th Quintile,At least once per week,0.08455,102,1052,0.06773,0.10137
1990,Upper Secondary Level,4th Quintile,At least once per month,0.10381,112,1052,0.08537,0.12225
1990,Upper Secondary Level,4th Quintile,Seldom,0.29792,315,1052,0.27027,0.32557
1990,Upper Secondary Level,4th Quintile,Never,0.51151,523,1052,0.48129,0.54173
1990,Upper Secondary Level,5th Quintile,At least once per week,0.07490,71,902,0.05771,0.09209
1990,Upper Secondary Level,5th Quintile,At least once per month,0.11903,114,902,0.09789,0.14018
1990,Upper Secondary Level,5th Quintile,Seldom,0.31777,292,902,0.28737,0.34818
1990,Upper Secondary Level,5th Quintile,Never,0.48493,425,902,0.45230,0.51756
1990,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.55455,33,33,0.38234,0.72676
1990,Post-secondary Non-tertiary Level,5th Quintile,Never,0.44043,38,38,0.28046,0.60039
1990,First Stage of Tertiary Education,1st Quintile,Never,0.70324,34,34,0.54737,0.85911
1990,First Stage of Tertiary Education,2nd Quintile,Never,0.50687,40,40,0.34996,0.66378
1990,First Stage of Tertiary Education,3rd Quintile,Never,0.52986,58,58,0.40029,0.65943
1990,First Stage of Tertiary Education,4th Quintile,Never,0.58287,65,65,0.46207,0.70368
1990,First Stage of Tertiary Education,5th Quintile,Seldom,0.35142,66,151,0.27502,0.42783
1990,First Stage of Tertiary Education,5th Quintile,Never,0.51311,85,151,0.43312,0.59310
1990,Second Stage of Tertiary Education,2nd Quintile,Never,0.60715,36,36,0.44535,0.76896
1990,Second Stage of Tertiary Education,3rd Quintile,Never,0.57596,59,59,0.44877,0.70315
1990,Second Stage of Tertiary Education,4th Quintile,Seldom,0.25321,42,137,0.18013,0.32630
1990,Second Stage of Tertiary Education,4th Quintile,Never,0.62164,95,137,0.54013,0.70315
1990,Second Stage of Tertiary Education,5th Quintile,Seldom,0.30726,109,316,0.25631,0.35821
1990,Second Stage of Tertiary Education,5th Quintile,Never,0.59458,207,316,0.54036,0.64880
1995,No answer / don't know,1st Quintile,Never,0.64622,51,51,0.51368,0.77875
1995,No answer / don't know,2nd Quintile,Never,0.66991,39,39,0.52039,0.81942
1995,Pre-primary Level,3rd Quintile,Seldom,0.42041,31,31,0.24377,0.59705
1995,Primary Level,1st Quintile,Never,0.81896,163,163,0.75966,0.87825
1995,Primary Level,2nd Quintile,Never,0.78075,127,127,0.70851,0.85300
1995,Primary Level,3rd Quintile,Never,0.80326,65,65,0.70587,0.90066
1995,Primary Level,4th Quintile,Never,0.75146,45,45,0.62376,0.87915
