year,sampreg,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,West,At least once per week,0.06602676339609437,683,9397,0.0659590324946837,0.06609449429750504
1990,West,At least once per month,0.08775875983003346,866,9397,0.08768158783549636,0.08783593182457057
1990,West,Seldom,0.2593027191982688,2349,9397,0.25918318737444923,0.2594222510220884
1990,West,Never,0.5869117575756033,5499,9397,0.5867774602212312,0.5870460549299754
1995,West,At least once per week,0.05281531940482718,531,13154,0.052755056435958375,0.05287558237369598
1995,West,At least once per month,0.07850223819808884,815,13154,0.07842977101207217,0.0785747053841055
1995,West,Seldom,0.27319589235311215,2567,13154,0.2730758321690846,0.2733159525371397
1995,West,Never,0.5954865500439719,5582,13154,0.5953543122190996,0.5956187878688441
1995,East,At least once per week,0.034241844503930974,136,13154,0.03414186912892308,0.03434181987893887
1995,East,At least once per month,0.051838452504555904,210,13154,0.05171656829145476,0.05196033671765705
1995,East,Seldom,0.24566372851741441,991,13154,0.24542706392413216,0.24590039311069667
1995,East,Never,0.6682559744740988,2322,13154,0.667997121443153,0.6685148275050445
1998,West,At least once per week,0.05462980893288897,572,14085,0.05456884614473175,0.05469077172104619
1998,West,At least once per month,0.0814771035524651,873,14085,0.08140371778968188,0.08155048931524832
1998,West,Seldom,0.3004891026563863,3124,14085,0.30036611525250156,0.300612090060271
1998,West,Never,0.5634039848582597,5694,14085,0.5632709397628016,0.5635370299537178
1998,East,At least once per week,0.03549773098039958,149,14085,0.03539594345973505,0.03559951850106411
1998,East,At least once per month,0.060951738526671066,246,14085,0.06082013133634669,0.06108334571699544
1998,East,Seldom,0.2733598622728871,1128,14085,0.27311469094601,0.27360503359976424
1998,East,Never,0.6301906682200422,2299,14085,0.6299251052426315,0.630456231197453
2003,West,At least once per week,0.05017933057571899,899,21951,0.0501214163652355,0.05023724478620248
2003,West,At least once per month,0.07930257966248469,1424,21951,0.07923089866815354,0.07937426065681584
2003,West,Seldom,0.28276576843038553,4907,21951,0.2826463020181521,0.28288523484261896
2003,West,Never,0.5877523213314109,9420,21951,0.5876217408737442,0.5878829017890775
2003,East,At least once per week,0.034381449955532876,202,21951,0.034281313349183794,0.03448158656188196
2003,East,At least once per month,0.06346632945482006,349,21951,0.06333234285575991,0.06360031605388021
2003,East,Seldom,0.28816015862173244,1612,21951,0.28791125220775304,0.28840906503571184
2003,East,Never,0.6139920619679146,3138,21951,0.6137245104181489,0.6142596135176802
2008,West,At least once per week,0.05039599840117117,722,19183,0.050338264191108074,0.050453732611234266
2008,West,At least once per month,0.08838881494728636,1311,19183,0.08831390018402152,0.08846372971055119
2008,West,Seldom,0.29389944250302996,4361,19183,0.29377921700311743,0.2940196680029425
2008,West,Never,0.5673157441485125,8044,19183,0.5671849880668246,0.5674465002302004
2008,East,At least once per week,0.04216319051477356,196,19183,0.04205250857213073,0.042273872457416393
2008,East,At least once per month,0.06414291573107464,293,19183,0.06400797489607049,0.06427785656607879
2008,East,Seldom,0.2810637136886908,1378,19183,0.2808161357912369,0.28131129158614476
2008,East,Never,0.6126301800654609,2878,19183,0.6123618765500666,0.6128984835808552
2013,West,Daily,0.0019630743386934418,38,25372,0.0019506495702529818,0.001975499107133902
2013,West,At least once per week,0.061591710043056684,1359,25372,0.061524225598981484,0.061659194487131884
2013,West,At least once per month,0.0960660427853101,1999,25372,0.09598332480401355,0.09614876076660665
2013,West,Seldom,0.30361555131515594,5984,25372,0.30348647898097886,0.303744623649333
2013,West,Never,0.5367636215177838,10309,25372,0.5366236500580659,0.5369035929775017
2013,East,At least once per week,0.04560249323195061,254,25372,0.04548246022043181,0.04572252624346942
2013,East,At least once per month,0.07973293691417294,434,25372,0.0795770830478505,0.07988879078049538
2013,East,Seldom,0.29174451771839877,1647,25372,0.2914829777392459,0.2920060576975516
2013,East,Never,0.5829200521354776,3348,25372,0.5826363543712113,0.5832037498997439
2017,West,Daily,0.013980008008848716,38,3948,0.013606548296453793,0.014353467721243638
2017,West,At least once per week,0.06645756253080884,200,3948,0.06566526842527944,0.06724985663633824
2017,West,At least once per month,0.05239137669707367,175,3948,0.05168262910658128,0.05310012428756607
2017,West,Seldom,0.15859055956694484,528,3948,0.15742860393852018,0.1597525151953695
2017,West,Never,0.708580493196324,2436,3948,0.7071350497857403,0.7100259366069077
2017,East,At least once per week,0.06544392030316863,34,3948,0.063684117269342,0.06720372333699526
2017,East,At least once per month,0.08175501110415313,38,3948,0.0798053317205024,0.08370469048780387
2017,East,Seldom,0.14450899661135175,84,3948,0.14200702780301808,0.14701096541968542
2017,East,Never,0.7082920719813266,415,3948,0.705057572904099,0.7115265710585542
2018,West,At least once per week,0.07920190561839228,212,3135,0.07833898320094225,0.08006482803584232
2018,West,At least once per month,0.09615418451925858,245,3135,0.09521217996942294,0.09709618906909423
2018,West,Seldom,0.20920012857640335,547,3135,0.20790044988491974,0.21049980726788697
2018,West,Never,0.6154437812859458,1661,3135,0.6138892629703702,0.6169982996015214
2018,East,At least once per week,0.08111227140394657,39,3135,0.07913256024348667,0.08309198256440647
2018,East,At least once per month,0.0964208821501563,36,3135,0.09428047710008268,0.09856128720022993
2018,East,Seldom,0.1322283494626813,58,3135,0.12977198762596984,0.13468471129939277
2018,East,Never,0.6902384969832158,337,3135,0.6868854423148818,0.6935915516515498
2019,West,Daily,0.0024676947319962504,62,28649,0.0024547623627690866,0.002480627101223414
2019,West,At least once per week,0.05510880746309967,1547,28649,0.05504932755335117,0.05516828737284817
2019,West,At least once per month,0.10406626449171053,2337,28649,0.10398667388384475,0.1041458550995763
2019,West,Seldom,0.2947893680484216,6674,28649,0.2946705221419398,0.2949082139549034
2019,West,Never,0.543567865264772,12092,28649,0.5434380326249684,0.5436976979045756
2019,East,At least once per week,0.04482759038378068,287,28649,0.044708927022341534,0.04494625374521983
2019,East,At least once per month,0.0868951558891598,554,28649,0.08673362292173378,0.08705668885658582
2019,East,Seldom,0.3142135441333767,1846,28649,0.3139473429590072,0.3144797453077462
2019,East,Never,0.5540637095936827,3250,28649,0.5537786607223794,0.554348758464986
