"pli0089","year","bula_h","n","percent","lower_confidence","upper_confidence","NA"
"Taeglich","1990","Schleswig-Holstein","","","","",""
"Taeglich","1990","Hamburg","","","","",""
"Taeglich","1990","Niedersachsen","3","","","",""
"Taeglich","1990","Bremen","1","","","",""
"Taeglich","1990","Nordrhein-Westfalen","8","","","",""
"Taeglich","1990","Hessen","1","","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","","","","",""
"Taeglich","1990","Baden-Wuerttemberg","1","","","",""
"Taeglich","1990","Bayern","5","","","",""
"Taeglich","1990","Saarland","","","","",""
"Taeglich","1990","Berlin","","","","",""
"Taeglich","1990","Brandenburg","","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","","","","",""
"Taeglich","1990","Sachsen","","","","",""
"Taeglich","1990","Sachsen-Anhalt","","","","",""
"Taeglich","1990","Thueringen","","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","23","","","",""
"Min 1x pro Woche","1990","Hamburg","2","","","",""
"Min 1x pro Woche","1990","Niedersachsen","74","0.0701000596456138","0.0540494230393319","0.0861506962518958",""
"Min 1x pro Woche","1990","Bremen","4","","","",""
"Min 1x pro Woche","1990","Nordrhein-Westfalen","179","0.0646877720530916","0.055138888962471","0.0742366551437122",""
"Min 1x pro Woche","1990","Hessen","77","0.0779266672225355","0.0611096501712912","0.0947436842737798",""
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","53","0.0730940507024211","0.0533848260586841","0.0928032753461581",""
"Min 1x pro Woche","1990","Baden-Wuerttemberg","148","0.0667718667240213","0.0551785740039616","0.0783651594440811",""
"Min 1x pro Woche","1990","Bayern","108","0.0671091098073094","0.0548182369995276","0.0793999826150913",""
"Min 1x pro Woche","1990","Saarland","","","","",""
"Min 1x pro Woche","1990","Berlin","15","","","",""
"Min 1x pro Woche","1990","Brandenburg","","","","",""
"Min 1x pro Woche","1990","Mecklenburg-Vorpommern","","","","",""
"Min 1x pro Woche","1990","Sachsen","","","","",""
"Min 1x pro Woche","1990","Sachsen-Anhalt","","","","",""
"Min 1x pro Woche","1990","Thueringen","","","","",""
"Min 1x pro Monat","1990","Schleswig-Holstein","22","","","",""
"Min 1x pro Monat","1990","Hamburg","19","","","",""
"Min 1x pro Monat","1990","Niedersachsen","84","0.0704559847791432","0.0543677319426521","0.0865442376156343",""
"Min 1x pro Monat","1990","Bremen","5","","","",""
"Min 1x pro Monat","1990","Nordrhein-Westfalen","216","0.0874524266963507","0.0764857039738117","0.0984191494188897",""
"Min 1x pro Monat","1990","Hessen","69","0.0774400897613585","0.0606712353075557","0.0942089442151612",""
"Min 1x pro Monat","1990","Rheinland-Pfalz,Saarland","54","0.0823719931010884","0.06155424222913","0.103189743973047",""
"Min 1x pro Monat","1990","Baden-Wuerttemberg","212","0.109756398068395","0.0952391103259269","0.124273685810863",""
