year,pgisced97,sampreg,pli0089,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,West,Seldom,0.4482758620689655,18165,0.44104363522164153,0.4555080889162895
1990,Pre-primary Level,West,Never,0.2413793103448276,18165,0.23515629699317903,0.24760232369647617
1990,Pre-primary Level,West,At least once per week,0.16091954022988506,18165,0.15557580950517752,0.1662632709545926
1990,Pre-primary Level,West,At least once per month,0.14942528735632185,18165,0.14424079004417859,0.15460978466846512
1990,Primary Level,West,Never,0.7821138211382114,18165,0.7761105467777392,0.7881170954986836
1990,Primary Level,West,Seldom,0.11219512195121951,18165,0.1076054238339041,0.11678482006853493
1990,Primary Level,West,At least once per month,0.06666666666666667,18165,0.06303913569557018,0.07029419763776315
1990,Primary Level,West,At least once per week,0.03577235772357724,18165,0.033071498540706463,0.03847321690644801
1990,Primary Level,West,Daily,0.0032520325203252032,18165,0.0024240741718710834,0.004079990868779323
1990,Lower Secondary Level,West,Never,0.6714285714285714,18165,0.6645980607093107,0.678259082147832
1990,Lower Secondary Level,West,Seldom,0.1869747899159664,18165,0.1813048050020768,0.19264477482985598
1990,Lower Secondary Level,West,At least once per month,0.0773109243697479,18165,0.07342685933969634,0.08119498939979947
1990,Lower Secondary Level,West,At least once per week,0.06218487394957983,18165,0.058672996389493234,0.06569675150966643
1990,Lower Secondary Level,West,Daily,0.0021008403361344537,18165,0.0014349875484032397,0.0027666931238656675
1990,Upper Secondary Level,West,Never,0.531589448015961,18165,0.5243327361218918,0.5388461599100302
1990,Upper Secondary Level,West,Seldom,0.27798714254045664,18165,0.2714720109677502,0.2845022741131631
1990,Upper Secondary Level,West,At least once per month,0.10795832409665262,18165,0.10344538980962993,0.11247125838367532
1990,Upper Secondary Level,West,At least once per week,0.0802482819773886,18165,0.076297422839333,0.08419914111544421
1990,Upper Secondary Level,West,Daily,0.0022168033695411215,18165,0.0015328601480821616,0.0029007465910000814
1990,Post-secondary Non-tertiary Level,West,Never,0.5154639175257731,18165,0.508196157697017,0.5227316773545293
1990,Post-secondary Non-tertiary Level,West,Seldom,0.28865979381443296,18165,0.28207002472223885,0.29524956290662707
1990,Post-secondary Non-tertiary Level,West,At least once per month,0.09965635738831616,18165,0.09530028562467892,0.1040124291519534
1990,Post-secondary Non-tertiary Level,West,At least once per week,0.09621993127147767,18165,0.09193146230958324,0.1005084002333721
