year,age_gr,bula_h,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Schleswig-Holstein,Never,0.51196,41,41,0.35705,0.66686
1990,17-29 y.,Lower Saxony,At least once per week,0.12411,33,276,0.08515,0.16308
1990,17-29 y.,Lower Saxony,At least once per month,0.11448,35,276,0.07685,0.15211
1990,17-29 y.,Lower Saxony,Seldom,0.37131,97,276,0.31420,0.42841
1990,17-29 y.,Lower Saxony,Never,0.38782,111,276,0.33023,0.44541
1990,17-29 y.,North Rhine-Westphalia,At least once per week,0.10214,81,735,0.08023,0.12405
1990,17-29 y.,North Rhine-Westphalia,At least once per month,0.13212,92,735,0.10762,0.15661
1990,17-29 y.,North Rhine-Westphalia,Seldom,0.31894,208,735,0.28522,0.35266
1990,17-29 y.,North Rhine-Westphalia,Never,0.44594,354,735,0.40998,0.48190
1990,17-29 y.,Hesse,At least once per week,0.10747,32,237,0.06795,0.14698
1990,17-29 y.,Hesse,Seldom,0.34629,76,237,0.28558,0.40699
1990,17-29 y.,Hesse,Never,0.41306,129,237,0.35024,0.47588
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.37363,64,142,0.29378,0.45348
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.39942,78,142,0.31857,0.48026
1990,17-29 y.,Baden-Wuerttemberg,At least once per week,0.13924,78,536,0.10991,0.16858
1990,17-29 y.,Baden-Wuerttemberg,At least once per month,0.16727,83,536,0.13564,0.19889
1990,17-29 y.,Baden-Wuerttemberg,Seldom,0.38516,173,536,0.34392,0.42640
1990,17-29 y.,Baden-Wuerttemberg,Never,0.30833,202,536,0.26920,0.34746
1990,17-29 y.,Bavaria,At least once per week,0.12603,57,470,0.09599,0.15607
1990,17-29 y.,Bavaria,At least once per month,0.16911,74,470,0.13519,0.20304
1990,17-29 y.,Bavaria,Seldom,0.33971,161,470,0.29685,0.38258
1990,17-29 y.,Bavaria,Never,0.35881,178,470,0.31540,0.40222
1990,17-29 y.,Berlin,Never,0.41123,43,43,0.26242,0.56005
1990,30-45 y.,Schleswig-Holstein,Never,0.42564,34,34,0.25695,0.59434
1990,30-45 y.,Lower Saxony,Seldom,0.32856,72,205,0.26410,0.39301
1990,30-45 y.,Lower Saxony,Never,0.53273,133,205,0.46426,0.60119
1990,30-45 y.,North Rhine-Westphalia,At least once per week,0.06430,53,817,0.04747,0.08113
1990,30-45 y.,North Rhine-Westphalia,At least once per month,0.08746,67,817,0.06808,0.10684
1990,30-45 y.,North Rhine-Westphalia,Seldom,0.34562,261,817,0.31299,0.37825
1990,30-45 y.,North Rhine-Westphalia,Never,0.49625,436,817,0.46195,0.53056
1990,30-45 y.,Hesse,Seldom,0.30988,74,241,0.25138,0.36839
1990,30-45 y.,Hesse,Never,0.46508,167,241,0.40198,0.52819
1990,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.27255,46,136,0.19743,0.34766
1990,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.50710,90,136,0.42276,0.59143
1990,30-45 y.,Baden-Wuerttemberg,At least once per week,0.06383,43,543,0.04325,0.08441
1990,30-45 y.,Baden-Wuerttemberg,At least once per month,0.13202,71,543,0.10352,0.16052
1990,30-45 y.,Baden-Wuerttemberg,Seldom,0.26621,124,543,0.22900,0.30342
1990,30-45 y.,Baden-Wuerttemberg,Never,0.53748,305,543,0.49551,0.57946
1990,30-45 y.,Bavaria,At least once per week,0.09807,36,459,0.07083,0.12530
1990,30-45 y.,Bavaria,At least once per month,0.10166,47,459,0.07398,0.12933
1990,30-45 y.,Bavaria,Seldom,0.32461,138,459,0.28173,0.36749
1990,30-45 y.,Bavaria,Never,0.47480,238,459,0.42906,0.52053
1990,30-45 y.,Berlin,Never,0.52218,57,57,0.39135,0.65301
1990,46-65 y.,Schleswig-Holstein,Never,0.53244,61,61,0.40619,0.65869
1990,46-65 y.,Lower Saxony,Seldom,0.28371,91,287,0.23146,0.33595
1990,46-65 y.,Lower Saxony,Never,0.57782,196,287,0.52058,0.63507
1990,46-65 y.,North Rhine-Westphalia,At least once per week,0.05977,42,753,0.04283,0.07672
1990,46-65 y.,North Rhine-Westphalia,At least once per month,0.08179,50,753,0.06221,0.10138
1990,46-65 y.,North Rhine-Westphalia,Seldom,0.22711,146,753,0.19716,0.25705
1990,46-65 y.,North Rhine-Westphalia,Never,0.62573,515,753,0.59114,0.66031
1990,46-65 y.,Hesse,Seldom,0.25335,63,280,0.20231,0.30439
1990,46-65 y.,Hesse,Never,0.62329,217,280,0.56643,0.68015
1990,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.15316,33,199,0.10299,0.20332
1990,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.72111,166,199,0.65865,0.78358
1990,46-65 y.,Baden-Wuerttemberg,At least once per month,0.08493,52,514,0.06081,0.10906
1990,46-65 y.,Baden-Wuerttemberg,Seldom,0.24745,119,514,0.21011,0.28480
1990,46-65 y.,Baden-Wuerttemberg,Never,0.63013,343,514,0.58835,0.67190
1990,46-65 y.,Bavaria,At least once per month,0.07254,34,448,0.04849,0.09658
1990,46-65 y.,Bavaria,Seldom,0.24416,103,448,0.20434,0.28399
1990,46-65 y.,Bavaria,Never,0.64930,311,448,0.60507,0.69354
1990,46-65 y.,Berlin,Never,0.78400,82,82,0.69439,0.87362
1990,66 and older,Lower Saxony,Never,0.86258,98,98,0.79406,0.93109
1990,66 and older,North Rhine-Westphalia,Never,0.90581,213,213,0.86649,0.94513
1990,66 and older,Hesse,Never,0.85911,87,87,0.78557,0.93264
1990,66 and older,"Rhineland-Palatinate, Saarland",Never,0.93663,83,83,0.88390,0.98936
1990,66 and older,Baden-Wuerttemberg,Never,0.83585,135,135,0.77314,0.89857
1990,66 and older,Bavaria,Never,0.84399,165,165,0.78845,0.89953
1995,17-29 y.,Schleswig-Holstein,Never,0.46787,36,36,0.30256,0.63318
1995,17-29 y.,Lower Saxony,At least once per month,0.16468,41,248,0.11843,0.21094
1995,17-29 y.,Lower Saxony,Seldom,0.37877,97,248,0.31828,0.43927
1995,17-29 y.,Lower Saxony,Never,0.38469,110,248,0.32401,0.44537
1995,17-29 y.,North Rhine-Westphalia,At least once per week,0.09893,61,660,0.07614,0.12173
1995,17-29 y.,North Rhine-Westphalia,At least once per month,0.15013,91,660,0.12286,0.17740
1995,17-29 y.,North Rhine-Westphalia,Seldom,0.34268,207,660,0.30644,0.37892
1995,17-29 y.,North Rhine-Westphalia,Never,0.39929,301,660,0.36189,0.43668
1995,17-29 y.,Hesse,At least once per month,0.15700,31,208,0.10744,0.20656
1995,17-29 y.,Hesse,Seldom,0.33638,72,208,0.27202,0.40074
1995,17-29 y.,Hesse,Never,0.35484,105,208,0.28966,0.42002
1995,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.28988,45,137,0.21363,0.36614
1995,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.52361,92,137,0.43967,0.60755
1995,17-29 y.,Baden-Wuerttemberg,At least once per week,0.06305,42,514,0.04202,0.08408
1995,17-29 y.,Baden-Wuerttemberg,At least once per month,0.19447,104,514,0.16022,0.22872
1995,17-29 y.,Baden-Wuerttemberg,Seldom,0.35823,175,514,0.31674,0.39973
1995,17-29 y.,Baden-Wuerttemberg,Never,0.38032,193,514,0.33831,0.42233
1995,17-29 y.,Bavaria,At least once per week,0.10828,44,443,0.07931,0.13724
1995,17-29 y.,Bavaria,At least once per month,0.11757,54,443,0.08754,0.14759
1995,17-29 y.,Bavaria,Seldom,0.38220,167,443,0.33690,0.42750
1995,17-29 y.,Bavaria,Never,0.38101,178,443,0.33574,0.42629
1995,17-29 y.,Berlin,Seldom,0.24090,31,109,0.16025,0.32155
1995,17-29 y.,Berlin,Never,0.62607,78,109,0.53482,0.71733
1995,17-29 y.,Brandenburg,Seldom,0.25952,40,117,0.17974,0.33930
1995,17-29 y.,Brandenburg,Never,0.61764,77,117,0.52920,0.70607
1995,17-29 y.,Mecklenburg-Western Pomerania,Seldom,0.35945,37,92,0.26086,0.45803
1995,17-29 y.,Mecklenburg-Western Pomerania,Never,0.54098,55,92,0.43859,0.64336
1995,17-29 y.,Saxony,Seldom,0.34497,84,197,0.27842,0.41152
1995,17-29 y.,Saxony,Never,0.50448,113,197,0.43448,0.57448
1995,17-29 y.,Saxony-Anhalt,Seldom,0.38892,64,129,0.30446,0.47337
1995,17-29 y.,Saxony-Anhalt,Never,0.44015,65,129,0.35415,0.52615
1995,17-29 y.,Thuringa,Seldom,0.35195,56,120,0.26614,0.43775
1995,17-29 y.,Thuringa,Never,0.47638,64,120,0.38664,0.56612
1995,30-45 y.,Schleswig-Holstein,Seldom,0.43232,36,81,0.32376,0.54088
1995,30-45 y.,Schleswig-Holstein,Never,0.42983,45,81,0.32135,0.53832
1995,30-45 y.,Lower Saxony,Seldom,0.37706,118,291,0.32128,0.43284
1995,30-45 y.,Lower Saxony,Never,0.48725,173,291,0.42972,0.54477
1995,30-45 y.,North Rhine-Westphalia,At least once per week,0.06518,55,889,0.04894,0.08141
1995,30-45 y.,North Rhine-Westphalia,At least once per month,0.08704,73,889,0.06850,0.10559
1995,30-45 y.,North Rhine-Westphalia,Seldom,0.34236,279,889,0.31115,0.37357
1995,30-45 y.,North Rhine-Westphalia,Never,0.50542,482,889,0.47253,0.53830
1995,30-45 y.,Hesse,Seldom,0.38629,92,263,0.32734,0.44525
1995,30-45 y.,Hesse,Never,0.49597,171,263,0.43543,0.55652
1995,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.29537,76,224,0.23549,0.35525
1995,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.56902,148,224,0.50403,0.63402
1995,30-45 y.,Baden-Wuerttemberg,At least once per month,0.12491,66,537,0.09692,0.15289
1995,30-45 y.,Baden-Wuerttemberg,Seldom,0.31265,167,537,0.27340,0.35189
1995,30-45 y.,Baden-Wuerttemberg,Never,0.50962,304,537,0.46730,0.55194
1995,30-45 y.,Bavaria,At least once per month,0.10113,58,524,0.07529,0.12697
1995,30-45 y.,Bavaria,Seldom,0.31639,164,524,0.27653,0.35625
1995,30-45 y.,Bavaria,Never,0.53687,302,524,0.49413,0.57960
1995,30-45 y.,Berlin,Seldom,0.37322,64,181,0.30256,0.44387
1995,30-45 y.,Berlin,Never,0.58439,117,181,0.51240,0.65639
1995,30-45 y.,Brandenburg,Seldom,0.28324,54,199,0.22048,0.34600
1995,30-45 y.,Brandenburg,Never,0.67864,145,199,0.61359,0.74368
1995,30-45 y.,Mecklenburg-Western Pomerania,Seldom,0.32747,37,116,0.24170,0.41324
1995,30-45 y.,Mecklenburg-Western Pomerania,Never,0.57743,79,116,0.48714,0.66771
1995,30-45 y.,Saxony,Seldom,0.26675,103,344,0.21995,0.31355
1995,30-45 y.,Saxony,Never,0.63932,241,344,0.58850,0.69014
1995,30-45 y.,Saxony-Anhalt,Seldom,0.26753,65,202,0.20633,0.32872
1995,30-45 y.,Saxony-Anhalt,Never,0.63954,137,202,0.57316,0.70592
1995,30-45 y.,Thuringa,Seldom,0.27281,70,206,0.21183,0.33378
1995,30-45 y.,Thuringa,Never,0.56974,136,206,0.50196,0.63751
