"pli0089","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","7","","",""
"Min 1x pro Monat","1990","Baden-Wuerttemberg","Staedtischer Raum","191","0.113457110679681","0.0976377044619633","0.129276516897399"
"Min 1x pro Monat","1990","Baden-Wuerttemberg","Laendlicher Raum","21","","",""
"Min 1x pro Monat","1990","Bayern","Staedtischer Raum","74","0.0753115450780533","0.0572051701890688","0.0934179199670377"
"Min 1x pro Monat","1990","Bayern","Laendlicher Raum","86","0.112422209894537","0.0901969676863608","0.134647452102714"
"Min 1x pro Monat","1990","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Berlin","Staedtischer Raum","25","","",""
"Min 1x pro Monat","1990","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Thueringen","Laendlicher Raum","","","",""
"Seltener","1990","Schleswig-Holstein","Staedtischer Raum","30","0.238850384434947","0.16771158422678","0.309989184643113"
"Seltener","1990","Schleswig-Holstein","Laendlicher Raum","44","0.30998970295019","0.234712147098487","0.385267258801892"
"Seltener","1990","Hamburg","Staedtischer Raum","44","0.242250721734726","0.177074474233777","0.307426969235675"
"Seltener","1990","Hamburg","Laendlicher Raum","","","",""
"Seltener","1990","Niedersachsen","Staedtischer Raum","133","0.279886258811748","0.239555540947639","0.320216976675858"
"Seltener","1990","Niedersachsen","Laendlicher Raum","140","0.28434256628625","0.244643454919451","0.324041677653048"
"Seltener","1990","Bremen","Staedtischer Raum","23","","",""
"Seltener","1990","Bremen","Laendlicher Raum","","","",""
"Seltener","1990","Nordrhein-Westfalen","Staedtischer Raum","610","0.260494308751449","0.243213370435053","0.277775247067844"
"Seltener","1990","Nordrhein-Westfalen","Laendlicher Raum","18","","",""
"Seltener","1990","Hessen","Staedtischer Raum","200","0.273412041616744","0.24330660277337","0.303517480460118"
"Seltener","1990","Hessen","Laendlicher Raum","29","","",""
"Seltener","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","114","0.196105814103956","0.163191344145562","0.229020284062349"
"Seltener","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","32","0.270907005726326","0.188229344608708","0.353584666843945"
"Seltener","1990","Baden-Wuerttemberg","Staedtischer Raum","374","0.261238141258358","0.239325487918876","0.28315079459784"
"Seltener","1990","Baden-Wuerttemberg","Laendlicher Raum","61","0.295642732873864","0.237545690734305","0.353739775013422"
"Seltener","1990","Bayern","Staedtischer Raum","190","0.244028931500172","0.214559194614999","0.273498668385345"
"Seltener","1990","Bayern","Laendlicher Raum","237","0.284929494387298","0.253170966248697","0.316688022525899"
