year,quintil_oecd,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,male,At least once per week,0.07156,81,846,0.05418,0.08894
1990,1st Quintile,male,At least once per month,0.10019,94,846,0.07994,0.12043
1990,1st Quintile,male,Seldom,0.25328,196,846,0.22396,0.28260
1990,1st Quintile,male,Never,0.56884,475,846,0.53545,0.60223
1990,1st Quintile,female,Seldom,0.13826,142,992,0.11676,0.15975
1990,1st Quintile,female,Never,0.81569,850,992,0.79155,0.83984
1990,2nd Quintile,male,At least once per week,0.11925,105,884,0.09787,0.14063
1990,2nd Quintile,male,At least once per month,0.11659,114,884,0.09542,0.13776
1990,2nd Quintile,male,Seldom,0.29789,250,884,0.26772,0.32805
1990,2nd Quintile,male,Never,0.46136,415,884,0.42848,0.49424
1990,2nd Quintile,female,At least once per week,0.03235,36,992,0.02133,0.04336
1990,2nd Quintile,female,At least once per month,0.05711,61,992,0.04267,0.07156
1990,2nd Quintile,female,Seldom,0.18905,192,992,0.16467,0.21343
1990,2nd Quintile,female,Never,0.72136,703,992,0.69345,0.74927
1990,3rd Quintile,male,At least once per week,0.10632,114,935,0.08655,0.12609
1990,3rd Quintile,male,At least once per month,0.14158,137,935,0.11923,0.16394
1990,3rd Quintile,male,Seldom,0.31537,266,935,0.28557,0.34517
1990,3rd Quintile,male,Never,0.43358,418,935,0.40180,0.46536
1990,3rd Quintile,female,At least once per week,0.03725,37,948,0.02519,0.04931
1990,3rd Quintile,female,At least once per month,0.06713,63,948,0.05119,0.08307
1990,3rd Quintile,female,Seldom,0.21957,198,948,0.19321,0.24594
1990,3rd Quintile,female,Never,0.67604,650,948,0.64624,0.70585
1990,4th Quintile,male,At least once per week,0.11220,123,1010,0.09272,0.13167
1990,4th Quintile,male,At least once per month,0.12632,129,1010,0.10582,0.14682
1990,4th Quintile,male,Seldom,0.32877,326,1010,0.29978,0.35775
1990,4th Quintile,male,Never,0.43012,432,1010,0.39957,0.46067
1990,4th Quintile,female,At least once per week,0.03408,35,924,0.02237,0.04578
1990,4th Quintile,female,At least once per month,0.06825,60,924,0.05198,0.08452
1990,4th Quintile,female,Seldom,0.22505,211,924,0.19810,0.25199
1990,4th Quintile,female,Never,0.67262,618,924,0.64235,0.70290
1990,5th Quintile,male,At least once per week,0.08650,89,952,0.06864,0.10437
1990,5th Quintile,male,At least once per month,0.13452,132,952,0.11284,0.15621
1990,5th Quintile,male,Seldom,0.34803,318,952,0.31775,0.37830
1990,5th Quintile,male,Never,0.42833,413,952,0.39688,0.45978
1990,5th Quintile,female,At least once per week,0.03933,37,861,0.02634,0.05232
1990,5th Quintile,female,At least once per month,0.05868,52,861,0.04297,0.07439
1990,5th Quintile,female,Seldom,0.27720,250,861,0.24728,0.30712
1990,5th Quintile,female,Never,0.62287,522,861,0.59047,0.65526
1995,1st Quintile,male,At least once per week,0.05994,69,1098,0.04589,0.07399
1995,1st Quintile,male,At least once per month,0.08897,102,1098,0.07212,0.10582
1995,1st Quintile,male,Seldom,0.25940,284,1098,0.23346,0.28534
1995,1st Quintile,male,Never,0.58920,643,1098,0.56008,0.61831
1995,1st Quintile,female,At least once per week,0.03114,32,1409,0.02207,0.04022
1995,1st Quintile,female,At least once per month,0.03059,45,1409,0.02159,0.03958
1995,1st Quintile,female,Seldom,0.15573,219,1409,0.13679,0.17467
1995,1st Quintile,female,Never,0.78253,1113,1409,0.76099,0.80408
1995,2nd Quintile,male,At least once per week,0.07267,117,1337,0.05875,0.08659
1995,2nd Quintile,male,At least once per month,0.10071,140,1337,0.08457,0.11685
1995,2nd Quintile,male,Seldom,0.30441,396,1337,0.27974,0.32909
1995,2nd Quintile,male,Never,0.52084,684,1337,0.49405,0.54763
1995,2nd Quintile,female,At least once per month,0.04972,70,1494,0.03869,0.06075
1995,2nd Quintile,female,Seldom,0.17326,288,1494,0.15406,0.19246
1995,2nd Quintile,female,Never,0.76043,1136,1494,0.73878,0.78208
1995,3rd Quintile,male,At least once per week,0.07264,97,1317,0.05862,0.08667
1995,3rd Quintile,male,At least once per month,0.11143,149,1317,0.09443,0.12843
1995,3rd Quintile,male,Seldom,0.33966,462,1317,0.31407,0.36525
1995,3rd Quintile,male,Never,0.47174,609,1317,0.44477,0.49871
1995,3rd Quintile,female,At least once per week,0.02860,39,1381,0.01981,0.03740
1995,3rd Quintile,female,At least once per month,0.04630,70,1381,0.03521,0.05738
1995,3rd Quintile,female,Seldom,0.21979,315,1381,0.19794,0.24164
1995,3rd Quintile,female,Never,0.70531,957,1381,0.68126,0.72937
1995,4th Quintile,male,At least once per week,0.09633,129,1341,0.08053,0.11213
1995,4th Quintile,male,At least once per month,0.10242,162,1341,0.08619,0.11866
1995,4th Quintile,male,Seldom,0.34087,470,1341,0.31549,0.36625
1995,4th Quintile,male,Never,0.45839,580,1341,0.43172,0.48507
1995,4th Quintile,female,At least once per week,0.03955,48,1303,0.02897,0.05014
1995,4th Quintile,female,At least once per month,0.05288,85,1303,0.04072,0.06503
1995,4th Quintile,female,Seldom,0.24470,324,1303,0.22135,0.26805
1995,4th Quintile,female,Never,0.66287,846,1303,0.63719,0.68855
1995,5th Quintile,male,At least once per week,0.05881,83,1247,0.04575,0.07188
1995,5th Quintile,male,At least once per month,0.10875,140,1247,0.09146,0.12604
1995,5th Quintile,male,Seldom,0.37108,464,1247,0.34426,0.39791
1995,5th Quintile,male,Never,0.45861,560,1247,0.43094,0.48628
1995,5th Quintile,female,At least once per month,0.04713,62,1170,0.03498,0.05928
1995,5th Quintile,female,Seldom,0.26334,336,1170,0.23810,0.28859
1995,5th Quintile,female,Never,0.66749,772,1170,0.64049,0.69450
1998,1st Quintile,male,At least once per week,0.08204,89,1026,0.06524,0.09884
1998,1st Quintile,male,At least once per month,0.11819,101,1026,0.09842,0.13795
1998,1st Quintile,male,Seldom,0.28271,302,1026,0.25515,0.31028
1998,1st Quintile,male,Never,0.51539,534,1026,0.48480,0.54599
1998,1st Quintile,female,At least once per month,0.03204,44,1257,0.02230,0.04178
1998,1st Quintile,female,Seldom,0.18992,248,1257,0.16822,0.21161
1998,1st Quintile,female,Never,0.75837,965,1257,0.73470,0.78205
1998,2nd Quintile,male,At least once per week,0.06554,84,1166,0.05133,0.07975
1998,2nd Quintile,male,At least once per month,0.10244,131,1166,0.08502,0.11985
1998,2nd Quintile,male,Seldom,0.31616,386,1166,0.28946,0.34286
1998,2nd Quintile,male,Never,0.51354,565,1166,0.48484,0.54224
1998,2nd Quintile,female,At least once per week,0.03057,43,1311,0.02124,0.03989
1998,2nd Quintile,female,At least once per month,0.03362,57,1311,0.02386,0.04338
1998,2nd Quintile,female,Seldom,0.22541,314,1311,0.20279,0.24804
1998,2nd Quintile,female,Never,0.70952,897,1311,0.68493,0.73410
1998,3rd Quintile,male,At least once per week,0.07571,83,1230,0.06092,0.09050
1998,3rd Quintile,male,At least once per month,0.10220,135,1230,0.08526,0.11914
1998,3rd Quintile,male,Seldom,0.36393,455,1230,0.33703,0.39083
1998,3rd Quintile,male,Never,0.45714,557,1230,0.42928,0.48499
1998,3rd Quintile,female,At least once per week,0.02826,34,1325,0.01933,0.03718
1998,3rd Quintile,female,At least once per month,0.04247,58,1325,0.03160,0.05333
1998,3rd Quintile,female,Seldom,0.24141,336,1325,0.21836,0.26446
1998,3rd Quintile,female,Never,0.68787,897,1325,0.66291,0.71283
1998,4th Quintile,male,At least once per week,0.07331,102,1309,0.05919,0.08744
1998,4th Quintile,male,At least once per month,0.10432,149,1309,0.08775,0.12089
1998,4th Quintile,male,Seldom,0.37110,494,1309,0.34492,0.39728
1998,4th Quintile,male,Never,0.44858,564,1309,0.42162,0.47553
1998,4th Quintile,female,At least once per week,0.02622,34,1273,0.01744,0.03500
1998,4th Quintile,female,At least once per month,0.04029,58,1273,0.02948,0.05110
1998,4th Quintile,female,Seldom,0.28437,376,1273,0.25958,0.30917
1998,4th Quintile,female,Never,0.64789,805,1273,0.62164,0.67413
1998,5th Quintile,male,At least once per week,0.06675,79,1178,0.05249,0.08101
1998,5th Quintile,male,At least once per month,0.12578,153,1178,0.10684,0.14473
1998,5th Quintile,male,Seldom,0.38231,453,1178,0.35454,0.41007
1998,5th Quintile,male,Never,0.42488,493,1178,0.39664,0.45312
1998,5th Quintile,female,At least once per month,0.04264,51,1069,0.03052,0.05475
1998,5th Quintile,female,Seldom,0.31418,358,1069,0.28634,0.34202
1998,5th Quintile,female,Never,0.61295,660,1069,0.58374,0.64217
2003,1st Quintile,male,At least once per week,0.06249,84,1423,0.04991,0.07507
2003,1st Quintile,male,At least once per month,0.08696,131,1423,0.07232,0.10161
2003,1st Quintile,male,Seldom,0.26178,371,1423,0.23893,0.28462
2003,1st Quintile,male,Never,0.58586,837,1423,0.56025,0.61146
2003,1st Quintile,female,At least once per week,0.01557,35,1940,0.01006,0.02108
