year,regtyp,sampreg,pli0089,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,West,Never,0.596081588835212,18165,0.5889458647504796,0.6032173129199444
1990,Urban regions,West,Seldom,0.24020397208803007,18165,0.23399132088011512,0.24641662329594502
1990,Urban regions,West,At least once per month,0.09380032206119163,18165,0.08956045258827829,0.09804019153410497
1990,Urban regions,West,At least once per week,0.06816961889425657,18165,0.06450438042402075,0.0718348573644924
1990,Urban regions,West,Daily,0.0017444981213097155,18165,0.0011376297835842676,0.0023513664590351633
1990,Rural regions,West,Never,0.5381873727087576,18165,0.5309373724179702,0.545437372999545
1990,Rural regions,West,Seldom,0.2846232179226069,18165,0.27806114650203323,0.2911852893431806
1990,Rural regions,West,At least once per week,0.08910386965376782,18165,0.08496081100254498,0.09324692830499066
1990,Rural regions,West,At least once per month,0.08503054989816701,18165,0.08097425836555473,0.08908684143077929
1990,Rural regions,West,Daily,0.003054989816700611,18165,0.0022524273307194514,0.0038575523026817705
1995,Urban regions,West,Never,0.603494623655914,17246,0.5961937787377106,0.6107954685741174
1995,Urban regions,West,Seldom,0.2584677419354839,17246,0.2519337276593773,0.26500175621159044
1995,Urban regions,West,At least once per month,0.0825268817204301,17246,0.07842005600765216,0.08663370743320804
1995,Urban regions,West,At least once per week,0.05309139784946237,17246,0.04974499677154529,0.05643779892737944
1995,Urban regions,West,Daily,0.0024193548387096775,17246,0.0016861325260557956,0.0031525771513635594
1995,Urban regions,East,Never,0.6719269102990033,17246,0.6649194894305914,0.6789343311674152
1995,Urban regions,East,Seldom,0.25,17246,0.24353732202128126,0.25646267797871874
1995,Urban regions,East,At least once per month,0.044850498338870434,17246,0.04176140384298756,0.04793959283475331
1995,Urban regions,East,At least once per week,0.03239202657807309,17246,0.02974973549140804,0.035034317664738135
1995,Urban regions,East,Daily,0.0008305647840531562,17246,0.00040061453265605824,0.001260515035450254
1995,Rural regions,West,Never,0.5265188042430087,17246,0.5190668497949389,0.5339707586910785
1995,Rural regions,West,Seldom,0.3105110896817743,17246,0.30360528834112344,0.3174168910224252
1995,Rural regions,West,At least once per month,0.09691417550626807,17246,0.0924987755824246,0.10132957543011155
1995,Rural regions,West,At least once per week,0.06557377049180328,17246,0.06187932325063861,0.06926821773296796
1995,Rural regions,West,Daily,0.00048216007714561236,17246,0.00015451565455516867,0.000809804499736056
1995,Rural regions,East,Never,0.615290768605124,17246,0.6080294016592259,0.6225521355510221
1995,Rural regions,East,Seldom,0.2806018706791379,17246,0.27389620629206585,0.28730753506620993
1995,Rural regions,East,At least once per month,0.0634404229361529,17246,0.05980242356301148,0.06707842230929432
1995,Rural regions,East,At least once per week,0.03944692964619764,17246,0.03654170870796026,0.042352150584435026
1995,Rural regions,East,Daily,0.0012200081333875558,17246,0.000699019605447542,0.0017409966613275698
1998,Urban regions,West,Never,0.5688004032258065,18147,0.5615947597088967,0.5760060467427163
1998,Urban regions,West,Seldom,0.2972530241935484,18147,0.29060310626665564,0.3039029421204411
1998,Urban regions,West,At least once per month,0.08152721774193548,18147,0.07754579669390535,0.08550863878996562
1998,Urban regions,West,At least once per week,0.05115927419354839,18147,0.04795365080947539,0.05436489757762139
1998,Urban regions,West,Daily,0.0012600806451612903,18147,0.0007439269669006486,0.0017762343234219318
1998,Urban regions,East,Never,0.6342443729903537,18147,0.6272366412037909,0.6412521047769166
1998,Urban regions,East,Seldom,0.2845659163987138,18147,0.2780009893307769,0.29113084346665075
1998,Urban regions,East,At least once per month,0.05627009646302251,18147,0.052917229358982965,0.05962296356706205
1998,Urban regions,East,At least once per week,0.024115755627009645,18147,0.02188370910570847,0.02634780214831082
1998,Urban regions,East,Daily,0.0008038585209003215,18147,0.00039150582742295166,0.0012162112143776914
1998,Rural regions,West,Never,0.5044890979050877,18147,0.49721454759825956,0.5117636482119158
1998,Rural regions,West,Seldom,0.3270628473706712,18147,0.32023700096643265,0.33388869377490976
1998,Rural regions,West,At least once per month,0.09662248824283882,18147,0.09232388464316386,0.10092109184251379
1998,Rural regions,West,At least once per week,0.07097050021376657,18147,0.06723449617442823,0.0747065042531049
1998,Rural regions,West,Daily,0.0008550662676357417,18147,0.0004297932939434852,0.0012803392413279983
1998,Rural regions,East,Never,0.5848179705654531,18147,0.5776485628293172,0.5919873783015891
1998,Rural regions,East,Seldom,0.2997676219984508,18147,0.2931015944023813,0.3064336495945203
1998,Rural regions,East,At least once per month,0.06816421378776143,18147,0.06449729274062033,0.07183113483490253
1998,Rural regions,East,At least once per week,0.04608830364058869,18147,0.04303757836371561,0.04913902891746177
1998,Rural regions,East,Daily,0.0011618900077459333,18147,0.0006662301907015105,0.0016575498247903562
2003,Urban regions,West,Never,0.5780009341429239,27727,0.5721876085836333,0.5838142597022145
2003,Urban regions,West,Seldom,0.2862369609216877,27727,0.28091655811652316,0.29155736372685226
2003,Urban regions,West,At least once per month,0.08267164876226063,27727,0.07943015389871325,0.08591314362580801
2003,Urban regions,West,At least once per week,0.051455706056359955,27727,0.04885524587024922,0.05405616624247069
2003,Urban regions,West,Daily,0.0016347501167678655,27727,0.0011592232635992774,0.0021102769699364535
2003,Urban regions,East,Never,0.5958904109589042,27727,0.5901142750083591,0.6016665469094492
2003,Urban regions,East,Seldom,0.3093607305936073,27727,0.30391992940465345,0.31480153178256115
2003,Urban regions,East,At least once per month,0.0656392694063927,27727,0.06272423430825698,0.06855430450452842
2003,Urban regions,East,At least once per week,0.02910958904109589,27727,0.02713076228837353,0.03108841579381825
2003,Rural regions,West,Never,0.5207517619420516,27727,0.5148714513373897,0.5266320725467136
2003,Rural regions,West,Seldom,0.32106499608457323,27727,0.3155693948808982,0.32656059728824827
2003,Rural regions,West,At least once per month,0.09449229966066301,27727,0.09104920539269509,0.09793539392863093
2003,Rural regions,West,At least once per week,0.06212477160010441,27727,0.05928352083753219,0.06496602236267664
2003,Rural regions,West,Daily,0.0015661707126076742,27727,0.0011007091500580366,0.002031632275157312
2003,Rural regions,East,Never,0.5893611032929919,27727,0.583570478742634,0.5951517278433497
2003,Rural regions,East,Seldom,0.3011539544047284,27727,0.2957540052412947,0.30655390356816214
2003,Rural regions,East,At least once per month,0.06585983675766957,27727,0.06294025274007557,0.06877942077526357
2003,Rural regions,East,At least once per week,0.04249929636926541,27727,0.0401248353137302,0.04487375742480062
2003,Rural regions,East,Daily,0.001125809175344779,27727,0.0007310861889020112,0.001520532161787547
2008,Urban regions,West,Never,0.5625170749476368,23673,0.556197646064519,0.5688365038307546
2008,Urban regions,West,Seldom,0.30206720699389855,23673,0.2962181208908946,0.3079162930969025
2008,Urban regions,West,At least once per month,0.08797013022493398,23673,0.08436183909453579,0.09157842135533217
2008,Urban regions,West,At least once per week,0.04589745924779164,23673,0.04323169787346986,0.04856322062211343
2008,Urban regions,West,Daily,0.0015481285857390037,23673,0.0010472914710934148,0.0020489657003845926
2008,Urban regions,East,Never,0.6153846153846154,23673,0.6091871220884586,0.6215821086807722
2008,Urban regions,East,Seldom,0.29714640198511166,23673,0.2913247385192419,0.3029680654509814
2008,Urban regions,East,At least once per month,0.05831265508684864,23673,0.055327518568239455,0.06129779160545782
2008,Urban regions,East,At least once per week,0.028535980148883373,23673,0.026414987420717725,0.03065697287704902
2008,Urban regions,East,Daily,0.0006203473945409429,23673,0.00030316274938566035,0.0009375320396962255
2008,Rural regions,West,Never,0.5361860999425617,23673,0.5298333892476764,0.542538810637447
2008,Rural regions,West,Seldom,0.2998276852383688,23673,0.29399098007925983,0.3056643903974777
