year,age_gr,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,No migration background,"No, never",0.22445,667,1617,0.20411,0.24479
2005,17-29 y.,No migration background,"Yes, every week",0.08695,225,1617,0.07322,0.10069
2005,17-29 y.,No migration background,"Yes, every 2 weeks",0.09549,266,1617,0.08116,0.10982
2005,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.04008,131,1617,0.03052,0.04965
2005,17-29 y.,No migration background,"Yes, less frequently",0.11461,328,1617,0.09908,0.13014
2005,17-29 y.,Direct migration background,"No, never",0.15877,58,58,0.06389,0.25365
2005,17-29 y.,Indirect migration background,"No, never",0.22004,112,230,0.16638,0.27370
2005,17-29 y.,Indirect migration background,"Yes, every week",0.07730,43,230,0.04271,0.11190
2005,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.08958,40,230,0.05259,0.12657
2005,17-29 y.,Indirect migration background,"Yes, less frequently",0.06704,35,230,0.03464,0.09943
2005,30-45 y.,No migration background,"No, never",0.26471,1402,4098,0.25120,0.27822
2005,30-45 y.,No migration background,"Yes, every week",0.11826,541,4098,0.10837,0.12815
2005,30-45 y.,No migration background,"Yes, every 2 weeks",0.12630,619,4098,0.11612,0.13647
2005,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.08508,416,4098,0.07653,0.09362
2005,30-45 y.,No migration background,"Yes, less frequently",0.21261,1120,4098,0.20009,0.22514
2005,30-45 y.,Direct migration background,"No, never",0.26816,217,566,0.23163,0.30469
2005,30-45 y.,Direct migration background,"Yes, every week",0.08756,71,566,0.06425,0.11086
2005,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.08712,73,566,0.06387,0.11038
2005,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.06880,64,566,0.04793,0.08967
2005,30-45 y.,Direct migration background,"Yes, less frequently",0.19259,141,566,0.16008,0.22511
2005,30-45 y.,Indirect migration background,"No, never",0.30232,76,114,0.21764,0.38700
2005,30-45 y.,Indirect migration background,"Yes, less frequently",0.19323,38,114,0.12043,0.26603
2005,46-65 y.,No migration background,"No, never",0.23270,1449,3919,0.21947,0.24593
2005,46-65 y.,No migration background,"Yes, every week",0.08927,583,3919,0.08034,0.09820
2005,46-65 y.,No migration background,"Yes, every 2 weeks",0.07490,462,3919,0.06666,0.08315
2005,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.04941,328,3919,0.04263,0.05620
2005,46-65 y.,No migration background,"Yes, less frequently",0.16492,1097,3919,0.15330,0.17654
2005,46-65 y.,Direct migration background,"No, never",0.23516,229,480,0.19718,0.27314
2005,46-65 y.,Direct migration background,"Yes, every week",0.06661,49,480,0.04428,0.08894
2005,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.08720,69,480,0.06193,0.11247
2005,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.05197,41,480,0.03209,0.07185
2005,46-65 y.,Direct migration background,"Yes, less frequently",0.10211,92,480,0.07500,0.12923
2005,66 and older,No migration background,"No, never",0.01280,49,80,-0.01199,0.03759
2005,66 and older,No migration background,"Yes, every week",0.00992,31,80,-0.01193,0.03177
2007,17-29 y.,No migration background,"No, never",0.21812,606,1566,0.19766,0.23858
2007,17-29 y.,No migration background,"Yes, every week",0.09111,238,1566,0.07685,0.10537
2007,17-29 y.,No migration background,"Yes, every 2 weeks",0.09878,277,1566,0.08400,0.11357
2007,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.04809,137,1566,0.03749,0.05869
2007,17-29 y.,No migration background,"Yes, less frequently",0.11542,308,1566,0.09959,0.13125
2007,17-29 y.,Direct migration background,"No, never",0.20600,50,82,0.11792,0.29407
2007,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.08683,32,82,0.02550,0.14815
2007,17-29 y.,Indirect migration background,"No, never",0.23723,120,197,0.17768,0.29678
