year,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,"No, never",0.16195,3567,9756,0.15464,0.16926
2005,No migration background,"Yes, every week",0.06738,1380,9756,0.06241,0.07236
2005,No migration background,"Yes, every 2 weeks",0.06510,1356,9756,0.06020,0.06999
2005,No migration background,"Yes, every 3-4 weeks",0.04028,885,9756,0.03638,0.04418
2005,No migration background,"Yes, less frequently",0.11397,2568,9756,0.10767,0.12028
2005,Direct migration background,"No, never",0.19242,511,1201,0.17011,0.21472
2005,Direct migration background,"Yes, every week",0.06425,151,1201,0.05038,0.07812
2005,Direct migration background,"Yes, every 2 weeks",0.07287,167,1201,0.05817,0.08758
2005,Direct migration background,"Yes, every 3-4 weeks",0.04549,117,1201,0.03370,0.05728
2005,Direct migration background,"Yes, less frequently",0.11168,255,1201,0.09386,0.12950
2005,Indirect migration background,"No, never",0.10702,198,465,0.07889,0.13515
2005,Indirect migration background,"Yes, every week",0.03774,71,465,0.02040,0.05508
2005,Indirect migration background,"Yes, every 2 weeks",0.03961,67,465,0.02187,0.05736
2005,Indirect migration background,"Yes, every 3-4 weeks",0.02540,42,465,0.01109,0.03972
2005,Indirect migration background,"Yes, less frequently",0.05009,87,465,0.03024,0.06993
2007,No migration background,"No, never",0.16008,3504,9904,0.15285,0.16730
2007,No migration background,"Yes, every week",0.06866,1473,9904,0.06368,0.07364
2007,No migration background,"Yes, every 2 weeks",0.07082,1445,9904,0.06577,0.07587
2007,No migration background,"Yes, every 3-4 weeks",0.04590,958,9904,0.04178,0.05003
2007,No migration background,"Yes, less frequently",0.11686,2524,9904,0.11053,0.12318
2007,Direct migration background,"No, never",0.19788,431,1081,0.17412,0.22164
2007,Direct migration background,"Yes, every week",0.06163,138,1081,0.04729,0.07597
2007,Direct migration background,"Yes, every 2 weeks",0.08047,186,1081,0.06424,0.09669
2007,Direct migration background,"Yes, every 3-4 weeks",0.03746,101,1081,0.02613,0.04878
2007,Direct migration background,"Yes, less frequently",0.09799,225,1081,0.08026,0.11572
2007,Indirect migration background,"No, never",0.12393,217,491,0.09475,0.15310
2007,Indirect migration background,"Yes, every week",0.05549,78,491,0.03522,0.07576
2007,Indirect migration background,"Yes, every 2 weeks",0.03538,59,491,0.01902,0.05174
2007,Indirect migration background,"Yes, every 3-4 weeks",0.03903,52,491,0.02188,0.05617
2007,Indirect migration background,"Yes, less frequently",0.03839,85,491,0.02138,0.05541
2009,No migration background,"No, never",0.16389,3121,8856,0.15618,0.17160
2009,No migration background,"Yes, every week",0.07142,1333,8856,0.06606,0.07678
2009,No migration background,"Yes, every 2 weeks",0.07121,1257,8856,0.06585,0.07657
2009,No migration background,"Yes, every 3-4 weeks",0.04304,823,8856,0.03881,0.04726
2009,No migration background,"Yes, less frequently",0.12434,2322,8856,0.11747,0.13121
2009,Direct migration background,"No, never",0.21787,361,874,0.19049,0.24525
2009,Direct migration background,"Yes, every week",0.09198,146,874,0.07281,0.11115
2009,Direct migration background,"Yes, every 2 weeks",0.07143,130,874,0.05435,0.08851
2009,Direct migration background,"Yes, every 3-4 weeks",0.04014,61,874,0.02712,0.05316
2009,Direct migration background,"Yes, less frequently",0.09095,176,874,0.07187,0.11002
2009,Indirect migration background,"No, never",0.15029,195,429,0.11643,0.18414
2009,Indirect migration background,"Yes, every week",0.06818,81,429,0.04430,0.09205
2009,Indirect migration background,"Yes, every 2 weeks",0.05591,69,429,0.03414,0.07767
2009,Indirect migration background,"Yes, less frequently",0.06595,84,429,0.04243,0.08946
2011,No migration background,"No, never",0.17791,5311,14139,0.17160,0.18421
2011,No migration background,"Yes, every week",0.07005,2033,14139,0.06584,0.07425
2011,No migration background,"Yes, every 2 weeks",0.07238,2183,14139,0.06811,0.07665
2011,No migration background,"Yes, every 3-4 weeks",0.04386,1303,14139,0.04049,0.04724
2011,No migration background,"Yes, less frequently",0.11697,3309,14139,0.11167,0.12226
2011,Direct migration background,"No, never",0.20535,699,1805,0.18671,0.22399
2011,Direct migration background,"Yes, every week",0.07698,272,1805,0.06468,0.08928
2011,Direct migration background,"Yes, every 2 weeks",0.09027,307,1805,0.07704,0.10349
2011,Direct migration background,"Yes, every 3-4 weeks",0.05059,170,1805,0.04047,0.06070
2011,Direct migration background,"Yes, less frequently",0.09587,357,1805,0.08229,0.10946
2011,Indirect migration background,"No, never",0.11520,303,789,0.09291,0.13749
2011,Indirect migration background,"Yes, every week",0.05825,126,789,0.04189,0.07460
