year,hhtyp,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Yes,0.01239,54,3384,0.00866,0.01612
2016,Single-person household,No,0.98761,3330,3384,0.98388,0.99134
2016,Couple without children,Yes,0.02436,112,4086,0.01963,0.02909
2016,Couple without children,No,0.97564,3974,4086,0.97091,0.98037
2016,Single parent,No,0.98585,1499,1499,0.97986,0.99183
2016,Couple with children,Yes,0.02676,110,4982,0.02228,0.03124
2016,Couple with children,No,0.97324,4872,4982,0.96876,0.97772
2016,Other Combinations,No,0.98077,190,190,0.96120,1.00035
2017,Single-person household,Yes,0.01930,71,3827,0.01494,0.02366
2017,Single-person household,No,0.98070,3756,3827,0.97634,0.98506
2017,Couple without children,Yes,0.02338,118,4607,0.01902,0.02775
2017,Couple without children,No,0.97662,4489,4607,0.97225,0.98098
2017,Single parent,Yes,0.01510,32,1539,0.00900,0.02119
2017,Single parent,No,0.98490,1507,1539,0.97881,0.99100
2017,Couple with children,Yes,0.03643,145,5312,0.03140,0.04147
2017,Couple with children,No,0.96357,5167,5312,0.95853,0.96860
2017,Other Combinations,No,0.97205,253,253,0.95170,0.99240
2018,Single-person household,Yes,0.01636,70,4021,0.01244,0.02028
2018,Single-person household,No,0.98364,3951,4021,0.97972,0.98756
2018,Couple without children,Yes,0.02338,116,4541,0.01898,0.02777
2018,Couple without children,No,0.97662,4425,4541,0.97223,0.98102
2018,Single parent,Yes,0.02824,31,1510,0.01988,0.03660
2018,Single parent,No,0.97176,1479,1510,0.96340,0.98012
2018,Couple with children,Yes,0.03169,129,5016,0.02684,0.03653
2018,Couple with children,No,0.96831,4887,5016,0.96347,0.97316
2018,Multi-generational household,No,0.99570,116,116,0.98375,1.00766
2018,Other Combinations,No,0.99976,227,227,0.99776,1.00176
2019,Single-person household,Yes,0.01509,78,4136,0.01138,0.01881
2019,Single-person household,No,0.98491,4058,4136,0.98119,0.98862
2019,Couple without children,Yes,0.02372,137,5086,0.01954,0.02790
2019,Couple without children,No,0.97628,4949,5086,0.97210,0.98046
2019,Single parent,No,0.98891,1394,1394,0.98341,0.99441
2019,Couple with children,Yes,0.03467,164,5150,0.02967,0.03966
2019,Couple with children,No,0.96533,4986,5150,0.96034,0.97033
2019,Multi-generational household,No,0.97194,103,103,0.93989,1.00399
2019,Other Combinations,No,0.96892,217,217,0.94577,0.99206
2020,Single-person household,Yes,0.01970,84,4603,0.01568,0.02371
2020,Single-person household,No,0.98030,4519,4603,0.97629,0.98432
2020,Couple without children,Yes,0.02814,140,5018,0.02356,0.03271
2020,Couple without children,No,0.97186,4878,5018,0.96729,0.97644
2020,Single parent,No,0.98259,1311,1311,0.97551,0.98968
2020,Couple with children,Yes,0.03324,141,4897,0.02822,0.03827
2020,Couple with children,No,0.96676,4756,4897,0.96173,0.97178
2020,Multi-generational household,No,0.98121,115,115,0.95629,1.00614
2020,Other Combinations,No,0.95211,292,292,0.92758,0.97665
2021,Single-person household,Yes,0.01866,69,3188,0.01396,0.02336
2021,Single-person household,No,0.98134,3119,3188,0.97664,0.98604
2021,Couple without children,Yes,0.02643,120,3414,0.02105,0.03181
2021,Couple without children,No,0.97357,3294,3414,0.96819,0.97895
2021,Single parent,No,0.95091,866,866,0.93652,0.96531
2021,Couple with children,Yes,0.02413,95,3170,0.01879,0.02948
2021,Couple with children,No,0.97587,3075,3170,0.97052,0.98121
2021,Multi-generational household,No,0.96976,74,74,0.93047,1.00904
2021,Other Combinations,No,0.94766,254,254,0.92022,0.97511
2022,No answer / don't know,No,0.95983,402,402,0.94061,0.97905
2022,Single-person household,Yes,0.01832,108,5559,0.01480,0.02185
2022,Single-person household,No,0.98168,5451,5559,0.97815,0.98520
2022,Couple without children,Yes,0.03386,185,5706,0.02917,0.03855
2022,Couple without children,No,0.96614,5521,5706,0.96145,0.97083
2022,Single parent,Yes,0.02611,32,1137,0.01684,0.03539
2022,Single parent,No,0.97389,1105,1137,0.96461,0.98316
2022,Couple with children,Yes,0.03865,181,5138,0.03338,0.04392
2022,Couple with children,No,0.96135,4957,5138,0.95608,0.96662
2022,Multi-generational household,No,0.93839,79,79,0.88503,0.99175
2022,Other Combinations,Yes,0.03636,44,1106,0.02533,0.04740
2022,Other Combinations,No,0.96364,1062,1106,0.95260,0.97467
