year,hhtyp,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,Yes,0.01221,45,2532,0.00794,0.01649
2016,Single-person household,West,No,0.98779,2487,2532,0.98351,0.99206
2016,Single-person household,East,No,0.98690,843,843,0.97922,0.99458
2016,Couple without children,West,Yes,0.02420,87,3077,0.01877,0.02963
2016,Couple without children,West,No,0.97580,2990,3077,0.97037,0.98123
2016,Couple without children,East,No,0.97492,984,984,0.96515,0.98470
2016,Single parent,West,No,0.98331,1165,1165,0.97595,0.99067
2016,Single parent,East,No,0.99778,334,334,0.99273,1.00283
2016,Couple with children,West,Yes,0.02901,96,4163,0.02391,0.03411
2016,Couple with children,West,No,0.97099,4067,4163,0.96589,0.97609
2016,Couple with children,East,No,0.98635,805,805,0.97834,0.99437
2016,Other Combinations,West,No,0.98364,163,163,0.96411,1.00317
2017,Single-person household,West,Yes,0.02090,59,2857,0.01565,0.02614
2017,Single-person household,West,No,0.97910,2798,2857,0.97386,0.98435
2017,Single-person household,East,No,0.98724,958,958,0.98013,0.99435
2017,Couple without children,West,Yes,0.02432,96,3475,0.01920,0.02944
2017,Couple without children,West,No,0.97568,3379,3475,0.97056,0.98080
2017,Couple without children,East,No,0.98101,1110,1110,0.97297,0.98904
2017,Single parent,West,No,0.98497,1169,1169,0.97799,0.99195
2017,Single parent,East,No,0.98458,338,338,0.97142,0.99773
2017,Couple with children,West,Yes,0.03769,116,4403,0.03207,0.04332
2017,Couple with children,West,No,0.96231,4287,4403,0.95668,0.96793
2017,Couple with children,East,No,0.97086,880,880,0.95975,0.98198
2017,Other Combinations,West,No,0.96948,218,218,0.94660,0.99237
2018,Single-person household,West,Yes,0.01880,61,2999,0.01394,0.02367
2018,Single-person household,West,No,0.98120,2938,2999,0.97633,0.98606
2018,Single-person household,East,No,0.99390,1013,1013,0.98911,0.99870
2018,Couple without children,West,Yes,0.02397,90,3412,0.01884,0.02911
2018,Couple without children,West,No,0.97603,3322,3412,0.97089,0.98116
2018,Couple without children,East,No,0.97936,1103,1103,0.97097,0.98776
2018,Single parent,West,No,0.97048,1147,1147,0.96068,0.98028
2018,Single parent,East,No,0.97775,332,332,0.96186,0.99364
2018,Couple with children,West,Yes,0.03468,112,4133,0.02910,0.04026
2018,Couple with children,West,No,0.96532,4021,4133,0.95974,0.97090
2018,Couple with children,East,No,0.98540,866,866,0.97741,0.99340
2018,Multi-generational household,West,No,0.99468,90,90,0.97958,1.00979
2018,Other Combinations,West,No,0.99974,198,198,0.99750,1.00198
2019,Single-person household,Does not apply,No,0.97589,39,39,0.92712,1.02466
2019,Single-person household,West,Yes,0.01689,60,3091,0.01235,0.02143
2019,Single-person household,West,No,0.98311,3031,3091,0.97857,0.98765
2019,Single-person household,East,No,0.99257,988,988,0.98722,0.99793
