year,rentown,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.02521,152,5137,0.02092,0.02950
2016,Owner,West,No,0.97479,4985,5137,0.97050,0.97908
2016,Owner,East,No,0.97905,1127,1127,0.97069,0.98742
2016,Tenant,West,Yes,0.01479,102,6072,0.01176,0.01783
2016,Tenant,West,No,0.98521,5970,6072,0.98217,0.98824
2016,Tenant,East,No,0.98641,1890,1890,0.98119,0.99163
2017,Owner,West,Yes,0.03244,200,5743,0.02785,0.03702
2017,Owner,West,No,0.96756,5543,5743,0.96298,0.97215
2017,Owner,East,Yes,0.02769,39,1311,0.01880,0.03657
2017,Owner,East,No,0.97231,1272,1311,0.96343,0.98120
2017,Tenant,West,Yes,0.01862,105,6501,0.01533,0.02190
2017,Tenant,West,No,0.98138,6396,6501,0.97810,0.98467
2017,Tenant,East,No,0.98842,2074,2074,0.98381,0.99302
2018,Owner,West,Yes,0.03497,199,5495,0.03012,0.03983
2018,Owner,West,No,0.96503,5296,5495,0.96017,0.96988
2018,Owner,East,Yes,0.01947,31,1252,0.01182,0.02713
2018,Owner,East,No,0.98053,1221,1252,0.97287,0.98818
2018,Tenant,West,Yes,0.01368,92,6512,0.01086,0.01650
2018,Tenant,West,No,0.98632,6420,6512,0.98350,0.98914
2018,Tenant,East,No,0.99107,2148,2148,0.98710,0.99505
2019,Owner,West,Yes,0.03238,240,6302,0.02801,0.03675
2019,Owner,West,No,0.96762,6062,6302,0.96325,0.97199
2019,Owner,East,Yes,0.01656,37,1548,0.01020,0.02292
2019,Owner,East,No,0.98344,1511,1548,0.97708,0.98980
2019,Tenant,West,Yes,0.01514,100,6165,0.01209,0.01819
2019,Tenant,West,No,0.98486,6065,6165,0.98181,0.98791
2019,Tenant,East,Yes,0.01161,31,2040,0.00696,0.01626
2019,Tenant,East,No,0.98839,2009,2040,0.98374,0.99304
2020,Owner,West,Yes,0.03606,222,5585,0.03117,0.04095
2020,Owner,West,No,0.96394,5363,5585,0.95905,0.96883
2020,Owner,East,Yes,0.03676,50,1357,0.02675,0.04678
2020,Owner,East,No,0.96324,1307,1357,0.95322,0.97325
2020,Tenant,West,Yes,0.01676,100,7246,0.01381,0.01972
2020,Tenant,West,No,0.98324,7146,7246,0.98028,0.98619
2020,Tenant,East,No,0.98795,2055,2055,0.98323,0.99267
2021,Owner,West,Yes,0.03408,172,4121,0.02854,0.03962
2021,Owner,West,No,0.96592,3949,4121,0.96038,0.97146
2021,Owner,East,No,0.97102,920,920,0.96018,0.98187
2021,Tenant,West,Yes,0.01743,95,4549,0.01363,0.02123
2021,Tenant,West,No,0.98257,4454,4549,0.97877,0.98637
2021,Tenant,East,No,0.98738,1414,1414,0.98156,0.99320
2022,Owner,West,Yes,0.03891,278,6265,0.03412,0.04370
2022,Owner,West,No,0.96109,5987,6265,0.95630,0.96588
2022,Owner,East,Yes,0.03120,50,1538,0.02250,0.03989
2022,Owner,East,No,0.96880,1488,1538,0.96011,0.97750
2022,Tenant,West,Yes,0.02138,201,8692,0.01834,0.02442
2022,Tenant,West,No,0.97862,8491,8692,0.97558,0.98166
2022,Tenant,East,Yes,0.01160,46,2643,0.00751,0.01568
2022,Tenant,East,No,0.98840,2597,2643,0.98432,0.99249
