year,quintil_oecd_hh,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,No,0.99045,2250,2250,0.98643,0.99447
2016,1st Quintile,East,No,0.98868,810,810,0.98138,0.99597
2016,2nd Quintile,West,Yes,0.01166,35,2237,0.00721,0.01611
2016,2nd Quintile,West,No,0.98834,2202,2237,0.98389,0.99279
2016,2nd Quintile,East,No,0.98956,783,783,0.98244,0.99669
2016,3rd Quintile,West,Yes,0.01769,41,2069,0.01201,0.02338
2016,3rd Quintile,West,No,0.98231,2028,2069,0.97662,0.98799
2016,3rd Quintile,East,No,0.99332,664,664,0.98711,0.99952
2016,4th Quintile,West,Yes,0.02380,68,2199,0.01743,0.03017
2016,4th Quintile,West,No,0.97620,2131,2199,0.96983,0.98257
2016,4th Quintile,East,No,0.98509,448,448,0.97385,0.99632
2016,5th Quintile,West,Yes,0.03223,84,2426,0.02520,0.03926
2016,5th Quintile,West,No,0.96777,2342,2426,0.96074,0.97480
2016,5th Quintile,East,No,0.92885,312,312,0.90028,0.95742
2017,1st Quintile,West,No,0.99102,2302,2302,0.98717,0.99487
2017,1st Quintile,East,No,0.99220,873,873,0.98637,0.99804
2017,2nd Quintile,West,Yes,0.02164,46,2332,0.01574,0.02755
2017,2nd Quintile,West,No,0.97836,2286,2332,0.97245,0.98426
2017,2nd Quintile,East,No,0.99129,891,891,0.98519,0.99740
2017,3rd Quintile,West,Yes,0.03291,67,2361,0.02571,0.04011
2017,3rd Quintile,West,No,0.96709,2294,2361,0.95989,0.97429
2017,3rd Quintile,East,No,0.98177,709,709,0.97192,0.99162
2017,4th Quintile,West,Yes,0.02657,76,2514,0.02028,0.03286
2017,4th Quintile,West,No,0.97343,2438,2514,0.96714,0.97972
2017,4th Quintile,East,No,0.96351,512,512,0.94725,0.97977
2017,5th Quintile,West,Yes,0.03375,97,2712,0.02696,0.04055
2017,5th Quintile,West,No,0.96625,2615,2712,0.95945,0.97304
2017,5th Quintile,East,No,0.96188,361,361,0.94211,0.98166
2018,1st Quintile,West,No,0.98877,2336,2336,0.98449,0.99304
2018,1st Quintile,East,No,0.99192,934,934,0.98617,0.99766
2018,2nd Quintile,West,Yes,0.01550,34,2349,0.01050,0.02050
2018,2nd Quintile,West,No,0.98450,2315,2349,0.97950,0.98950
2018,2nd Quintile,East,No,0.98950,927,927,0.98294,0.99607
2018,3rd Quintile,West,Yes,0.02346,55,2260,0.01722,0.02970
2018,3rd Quintile,West,No,0.97654,2205,2260,0.97030,0.98278
2018,3rd Quintile,East,No,0.99074,670,670,0.98349,0.99800
2018,4th Quintile,West,Yes,0.02793,70,2381,0.02131,0.03455
2018,4th Quintile,West,No,0.97207,2311,2381,0.96545,0.97869
2018,4th Quintile,East,No,0.98427,490,490,0.97324,0.99530
2018,5th Quintile,West,Yes,0.03839,103,2647,0.03107,0.04571
2018,5th Quintile,West,No,0.96161,2544,2647,0.95429,0.96893
2018,5th Quintile,East,No,0.96304,348,348,0.94319,0.98289
2019,1st Quintile,West,No,0.99083,2074,2074,0.98673,0.99493
2019,1st Quintile,East,No,0.99337,820,820,0.98781,0.99893
2019,2nd Quintile,West,Yes,0.01767,32,2189,0.01215,0.02319
2019,2nd Quintile,West,No,0.98233,2157,2189,0.97681,0.98785
2019,2nd Quintile,East,No,0.99339,816,816,0.98782,0.99895
2019,3rd Quintile,West,Yes,0.02030,62,2175,0.01437,0.02623
2019,3rd Quintile,West,No,0.97970,2113,2175,0.97377,0.98563
2019,3rd Quintile,East,No,0.97875,674,674,0.96786,0.98965
2019,4th Quintile,West,Yes,0.03444,76,2369,0.02710,0.04179
2019,4th Quintile,West,No,0.96556,2293,2369,0.95821,0.97290
2019,4th Quintile,East,No,0.97812,531,531,0.96566,0.99057
2019,5th Quintile,West,Yes,0.03278,147,3636,0.02699,0.03857
2019,5th Quintile,West,No,0.96722,3489,3636,0.96143,0.97301
2019,5th Quintile,East,No,0.98184,677,677,0.97177,0.99190
2020,1st Quintile,West,Yes,0.01733,34,2618,0.01233,0.02233
2020,1st Quintile,West,No,0.98267,2584,2618,0.97767,0.98767
2020,1st Quintile,East,No,0.99254,814,814,0.98663,0.99846
2020,2nd Quintile,West,No,0.98628,2445,2445,0.98166,0.99089
2020,2nd Quintile,East,No,0.98335,847,847,0.97473,0.99197
2020,3rd Quintile,West,Yes,0.02351,55,2219,0.01720,0.02981
2020,3rd Quintile,West,No,0.97649,2164,2219,0.97019,0.98280
2020,3rd Quintile,East,No,0.97352,642,642,0.96109,0.98595
2020,4th Quintile,West,Yes,0.02759,61,2343,0.02096,0.03423
2020,4th Quintile,West,No,0.97241,2282,2343,0.96577,0.97904
2020,4th Quintile,East,No,0.95608,500,500,0.93810,0.97406
2020,5th Quintile,West,Yes,0.04493,147,3156,0.03770,0.05216
2020,5th Quintile,West,No,0.95507,3009,3156,0.94784,0.96230
2020,5th Quintile,East,No,0.97656,557,557,0.96398,0.98914
2021,1st Quintile,West,No,0.97398,1481,1481,0.96587,0.98209
2021,1st Quintile,East,No,0.98792,523,523,0.97855,0.99729
2021,2nd Quintile,West,No,0.98117,1583,1583,0.97447,0.98786
2021,2nd Quintile,East,No,0.98913,557,557,0.98052,0.99775
2021,3rd Quintile,West,Yes,0.01763,45,1556,0.01109,0.02417
2021,3rd Quintile,West,No,0.98237,1511,1556,0.97583,0.98891
2021,3rd Quintile,East,No,0.97944,468,468,0.96658,0.99231
2021,4th Quintile,West,Yes,0.02342,59,1692,0.01621,0.03063
2021,4th Quintile,West,No,0.97658,1633,1692,0.96937,0.98379
2021,4th Quintile,East,No,0.97199,380,380,0.95537,0.98860
2021,5th Quintile,West,Yes,0.04046,110,2293,0.03239,0.04852
2021,5th Quintile,West,No,0.95954,2183,2293,0.95148,0.96761
2021,5th Quintile,East,No,0.96618,403,403,0.94851,0.98385
2022,Not included in this version of the questionnaire,West,No,0.92379,148,148,0.88090,0.96668
2022,1st Quintile,West,Yes,0.02696,92,3358,0.02148,0.03244
2022,1st Quintile,West,No,0.97304,3266,3358,0.96756,0.97852
2022,1st Quintile,East,No,0.98558,1082,1082,0.97847,0.99269
2022,2nd Quintile,West,Yes,0.01741,50,2872,0.01262,0.02219
2022,2nd Quintile,West,No,0.98259,2822,2872,0.97781,0.98738
2022,2nd Quintile,East,No,0.97997,980,980,0.97119,0.98875
2022,3rd Quintile,West,Yes,0.02460,78,2573,0.01862,0.03059
2022,3rd Quintile,West,No,0.97540,2495,2573,0.96941,0.98138
2022,3rd Quintile,East,No,0.98145,795,795,0.97206,0.99083
2022,4th Quintile,West,Yes,0.03513,110,2772,0.02828,0.04199
2022,4th Quintile,West,No,0.96487,2662,2772,0.95801,0.97172
2022,4th Quintile,East,No,0.97549,626,626,0.96337,0.98761
2022,5th Quintile,West,Yes,0.04196,146,3243,0.03506,0.04887
2022,5th Quintile,West,No,0.95804,3097,3243,0.95113,0.96494
2022,5th Quintile,East,No,0.97910,558,558,0.96721,0.99098
