year,regtyp,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.33506,5656,13389,0.32707,0.34306
2007,Urban regions,Seldom,0.25733,4187,13389,0.24993,0.26474
2007,Urban regions,Sometimes,0.15902,2430,13389,0.15282,0.16521
2007,Urban regions,Often,0.06067,883,13389,0.05663,0.06472
2007,Urban regions,Very often,0.01609,233,13389,0.01396,0.01822
2007,Rural regions,Very seldom,0.32031,2757,7032,0.30940,0.33121
2007,Rural regions,Seldom,0.27101,2277,7032,0.26062,0.28140
2007,Rural regions,Sometimes,0.17357,1444,7032,0.16472,0.18242
2007,Rural regions,Often,0.05626,435,7032,0.05088,0.06165
2007,Rural regions,Very often,0.01394,119,7032,0.01120,0.01668
2008,Urban regions,Very seldom,0.33772,5247,12615,0.32947,0.34598
2008,Urban regions,Seldom,0.27486,4265,12615,0.26707,0.28265
2008,Urban regions,Sometimes,0.14919,2141,12615,0.14298,0.15541
2008,Urban regions,Often,0.05568,762,12615,0.05168,0.05968
2008,Urban regions,Very often,0.01496,200,12615,0.01284,0.01708
2008,Rural regions,Very seldom,0.31932,2512,6622,0.30809,0.33055
2008,Rural regions,Seldom,0.29756,2414,6622,0.28655,0.30858
2008,Rural regions,Sometimes,0.15286,1185,6622,0.14419,0.16153
2008,Rural regions,Often,0.05697,405,6622,0.05139,0.06255
2008,Rural regions,Very often,0.01321,106,6622,0.01046,0.01597
2009,Urban regions,Very seldom,0.33107,4761,11604,0.32251,0.33964
2009,Urban regions,Seldom,0.27625,3866,11604,0.26811,0.28438
2009,Urban regions,Sometimes,0.15745,2091,11604,0.15083,0.16408
2009,Urban regions,Often,0.05419,698,11604,0.05007,0.05831
2009,Urban regions,Very often,0.01364,188,11604,0.01153,0.01575
2009,Rural regions,Very seldom,0.30817,2400,6292,0.29676,0.31958
2009,Rural regions,Seldom,0.29411,2228,6292,0.28285,0.30537
2009,Rural regions,Sometimes,0.16451,1155,6292,0.15535,0.17367
2009,Rural regions,Often,0.05427,407,6292,0.04867,0.05987
2009,Rural regions,Very often,0.01518,102,6292,0.01216,0.01821
2010,Urban regions,Very seldom,0.28598,4317,10848,0.27748,0.29449
2010,Urban regions,Seldom,0.26611,3807,10848,0.25779,0.27442
2010,Urban regions,Sometimes,0.14435,1949,10848,0.13774,0.15096
2010,Urban regions,Often,0.04986,643,10848,0.04576,0.05396
2010,Urban regions,Very often,0.00983,132,10848,0.00798,0.01169
2010,Rural regions,Very seldom,0.26915,2130,5729,0.25766,0.28064
2010,Rural regions,Seldom,0.28508,2122,5729,0.27339,0.29678
2010,Rural regions,Sometimes,0.14961,1054,5729,0.14037,0.15884
2010,Rural regions,Often,0.05156,351,5729,0.04583,0.05729
2010,Rural regions,Very often,0.00910,72,5729,0.00664,0.01156
2011,Urban regions,Very seldom,0.29146,5258,13275,0.28373,0.29919
2011,Urban regions,Seldom,0.25268,4423,13275,0.24528,0.26007
2011,Urban regions,Sometimes,0.15167,2581,13275,0.14556,0.15777
2011,Urban regions,Often,0.05182,807,13275,0.04805,0.05559
2011,Urban regions,Very often,0.01247,206,13275,0.01058,0.01435
2011,Rural regions,Very seldom,0.27485,2757,7340,0.26464,0.28506
2011,Rural regions,Seldom,0.27065,2590,7340,0.26049,0.28082
2011,Rural regions,Sometimes,0.15365,1437,7340,0.14540,0.16191
2011,Rural regions,Often,0.04958,449,7340,0.04461,0.05455
2011,Rural regions,Very often,0.01201,107,7340,0.00951,0.01450
2012,Urban regions,Very seldom,0.31590,5445,13003,0.30791,0.32389
2012,Urban regions,Seldom,0.25763,4379,13003,0.25011,0.26515
2012,Urban regions,Sometimes,0.13748,2260,13003,0.13156,0.14340
2012,Urban regions,Often,0.04526,762,13003,0.04168,0.04883
2012,Urban regions,Very often,0.00970,157,13003,0.00801,0.01138
2012,Rural regions,Very seldom,0.30180,3023,7422,0.29136,0.31225
2012,Rural regions,Seldom,0.28306,2692,7422,0.27281,0.29331
2012,Rural regions,Sometimes,0.13029,1217,7422,0.12263,0.13795
2012,Rural regions,Often,0.04434,391,7422,0.03966,0.04903
