year,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Very seldom,0.33032,8413,20421,0.32387,0.33677
2007,Seldom,0.26173,6464,20421,0.25570,0.26776
2007,Sometimes,0.16369,3874,20421,0.15862,0.16877
2007,Often,0.05926,1318,20421,0.05602,0.06249
2007,Very often,0.01540,352,20421,0.01371,0.01709
2008,Very seldom,0.33186,7759,19237,0.32520,0.33851
2008,Seldom,0.28210,6679,19237,0.27574,0.28846
2008,Sometimes,0.15036,3326,19237,0.14531,0.15541
2008,Often,0.05609,1167,19237,0.05284,0.05935
2008,Very often,0.01440,306,19237,0.01272,0.01609
2009,Very seldom,0.32367,7161,17896,0.31681,0.33053
2009,Seldom,0.28202,6094,17896,0.27543,0.28862
2009,Sometimes,0.15973,3246,17896,0.15437,0.16510
2009,Often,0.05422,1105,17896,0.05090,0.05754
2009,Very often,0.01414,290,17896,0.01241,0.01587
2010,Very seldom,0.28064,6447,16577,0.27380,0.28748
2010,Seldom,0.27213,5929,16577,0.26536,0.27891
2010,Sometimes,0.14602,3003,16577,0.14064,0.15140
2010,Often,0.05040,994,16577,0.04707,0.05373
2010,Very often,0.00960,204,16577,0.00812,0.01108
2011,Very seldom,0.28605,8015,20615,0.27988,0.29222
2011,Seldom,0.25853,7013,20615,0.25255,0.26451
2011,Sometimes,0.15231,4018,20615,0.14741,0.15722
2011,Often,0.05109,1256,20615,0.04809,0.05410
2011,Very often,0.01232,313,20615,0.01081,0.01382
2012,Very seldom,0.31130,8468,20425,0.30495,0.31765
2012,Seldom,0.26593,7071,20425,0.25987,0.27199
2012,Sometimes,0.13513,3477,20425,0.13044,0.13982
2012,Often,0.04496,1153,20425,0.04212,0.04780
2012,Very often,0.01016,256,20425,0.00879,0.01154
2013,Very seldom,0.31239,10557,25587,0.30671,0.31807
2013,Seldom,0.26377,9059,25587,0.25837,0.26916
2013,Sometimes,0.13356,4131,25587,0.12940,0.13773
2013,Often,0.04704,1469,25587,0.04444,0.04963
2013,Very often,0.01071,371,25587,0.00945,0.01197
2014,Very seldom,0.34701,11416,26997,0.34133,0.35269
2014,Seldom,0.28664,9252,26997,0.28125,0.29203
2014,Sometimes,0.14084,4381,26997,0.13669,0.14499
2014,Often,0.05250,1522,26997,0.04984,0.05516
2014,Very often,0.01238,426,26997,0.01106,0.01369
2015,Very seldom,0.33377,10282,24957,0.32792,0.33962
2015,Seldom,0.28397,8746,24957,0.27838,0.28956
2015,Sometimes,0.14309,4124,24957,0.13875,0.14744
2015,Often,0.04821,1422,24957,0.04555,0.05086
2015,Very often,0.01193,383,24957,0.01058,0.01328
2016,Very seldom,0.31698,9413,24094,0.31111,0.32286
2016,Seldom,0.29284,8519,24094,0.28709,0.29858
2016,Sometimes,0.15120,4233,24094,0.14668,0.15572
2016,Often,0.05802,1554,24094,0.05507,0.06097
2016,Very often,0.01261,375,24094,0.01120,0.01402
2017,Very seldom,0.32693,10748,26374,0.32127,0.33259
2017,Seldom,0.29395,9336,26374,0.28845,0.29945
2017,Sometimes,0.14438,4376,26374,0.14014,0.14863
2017,Often,0.05250,1513,26374,0.04981,0.05519
2017,Very often,0.01136,401,26374,0.01008,0.01264
2018,Very seldom,0.34064,10770,25524,0.33482,0.34645
2018,Seldom,0.29240,8804,25524,0.28682,0.29798
2018,Sometimes,0.14036,4162,25524,0.13610,0.14462
2018,Often,0.04632,1396,25524,0.04375,0.04890
2018,Very often,0.01357,392,25524,0.01215,0.01499
2019,Very seldom,0.34411,11209,25671,0.33830,0.34993
2019,Seldom,0.29254,8781,25671,0.28698,0.29811
2019,Sometimes,0.13367,3950,25671,0.12950,0.13783
2019,Often,0.04540,1370,25671,0.04286,0.04795
2019,Very often,0.01334,361,25671,0.01194,0.01474
2020,Very seldom,0.29397,9266,25616,0.28839,0.29955
2020,Seldom,0.28349,8651,25616,0.27797,0.28901
2020,Sometimes,0.16832,5114,25616,0.16374,0.17291
2020,Often,0.06370,2075,25616,0.06071,0.06670
2020,Very often,0.01641,510,25616,0.01485,0.01797
2021,Very seldom,0.32729,7137,17173,0.32027,0.33431
2021,Seldom,0.29809,6099,17173,0.29125,0.30493
2021,Sometimes,0.13294,2608,17173,0.12786,0.13802
2021,Often,0.05074,1064,17173,0.04746,0.05402
2021,Very often,0.01249,265,17173,0.01083,0.01415
