year,sampreg,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Very seldom,0.33309,6554,15432,0.32565,0.34053
2007,West,Seldom,0.25709,4822,15432,0.25019,0.26398
2007,West,Sometimes,0.15871,2792,15432,0.15294,0.16447
2007,West,Often,0.05787,1000,15432,0.05418,0.06155
2007,West,Very often,0.01490,264,15432,0.01299,0.01682
2007,East,Very seldom,0.31777,1859,4989,0.30485,0.33069
2007,East,Seldom,0.28273,1642,4989,0.27024,0.29523
2007,East,Sometimes,0.18627,1082,4989,0.17546,0.19707
2007,East,Often,0.06554,318,4989,0.05867,0.07241
2007,East,Very often,0.01765,88,4989,0.01400,0.02131
2008,West,Very seldom,0.33410,6012,14481,0.32642,0.34178
2008,West,Seldom,0.27537,4908,14481,0.26809,0.28264
2008,West,Sometimes,0.14835,2456,14481,0.14256,0.15414
2008,West,Often,0.05453,871,14481,0.05083,0.05823
2008,West,Very often,0.01437,234,14481,0.01244,0.01631
2008,East,Very seldom,0.32153,1747,4756,0.30826,0.33481
2008,East,Seldom,0.31308,1771,4756,0.29990,0.32626
2008,East,Sometimes,0.15963,870,4756,0.14922,0.17004
2008,East,Often,0.06328,296,4756,0.05636,0.07020
2008,East,Very often,0.01453,72,4756,0.01113,0.01793
2009,West,Very seldom,0.32456,5465,13386,0.31662,0.33249
2009,West,Seldom,0.27677,4446,13386,0.26919,0.28435
2009,West,Sometimes,0.15852,2428,13386,0.15233,0.16471
2009,West,Often,0.05429,820,13386,0.05045,0.05813
2009,West,Very often,0.01419,227,13386,0.01218,0.01619
2009,East,Very seldom,0.31970,1696,4510,0.30609,0.33331
2009,East,Seldom,0.30557,1648,4510,0.29213,0.31902
2009,East,Sometimes,0.16519,818,4510,0.15435,0.17603
2009,East,Often,0.05390,285,4510,0.04731,0.06049
2009,East,Very often,0.01392,63,4510,0.01050,0.01734
2010,West,Very seldom,0.27818,4930,12468,0.27031,0.28604
2010,West,Seldom,0.26856,4383,12468,0.26078,0.27634
2010,West,Sometimes,0.14461,2256,12468,0.13844,0.15078
2010,West,Often,0.04881,743,12468,0.04503,0.05259
2010,West,Very often,0.00953,156,12468,0.00782,0.01123
2010,East,Very seldom,0.29213,1517,4109,0.27823,0.30604
2010,East,Seldom,0.28877,1546,4109,0.27491,0.30263
2010,East,Sometimes,0.15259,747,4109,0.14159,0.16358
2010,East,Often,0.05781,251,4109,0.05067,0.06494
2010,East,Very often,0.00994,48,4109,0.00691,0.01298
2011,West,Very seldom,0.28529,6170,15736,0.27824,0.29235
2011,West,Seldom,0.25313,5299,15736,0.24633,0.25992
2011,West,Sometimes,0.15231,3052,15736,0.14669,0.15792
2011,West,Often,0.05032,968,15736,0.04690,0.05374
2011,West,Very often,0.01275,247,15736,0.01099,0.01450
2011,East,Very seldom,0.28959,1845,4879,0.27686,0.30232
2011,East,Seldom,0.28371,1714,4879,0.27106,0.29636
2011,East,Sometimes,0.15235,966,4879,0.14227,0.16244
2011,East,Often,0.05469,288,4879,0.04831,0.06107
2011,East,Very often,0.01032,66,4879,0.00748,0.01315
2012,West,Very seldom,0.31126,6581,15592,0.30399,0.31853
2012,West,Seldom,0.26266,5307,15592,0.25575,0.26956
2012,West,Sometimes,0.13354,2626,15592,0.12821,0.13888
2012,West,Often,0.04363,887,15592,0.04043,0.04684
2012,West,Very often,0.01042,191,15592,0.00882,0.01201
2012,East,Very seldom,0.31146,1887,4833,0.29840,0.32452
2012,East,Seldom,0.28153,1764,4833,0.26885,0.29421
2012,East,Sometimes,0.14268,851,4833,0.13282,0.15254
2012,East,Often,0.05127,266,4833,0.04505,0.05748
2012,East,Very often,0.00896,65,4833,0.00630,0.01162
2013,West,Very seldom,0.30650,8210,19869,0.30009,0.31291
2013,West,Seldom,0.25873,7043,19869,0.25264,0.26482
2013,West,Sometimes,0.13018,3192,19869,0.12550,0.13486
2013,West,Often,0.04652,1148,19869,0.04359,0.04945
2013,West,Very often,0.01010,276,19869,0.00871,0.01150
2013,East,Very seldom,0.34013,2347,5718,0.32785,0.35241
2013,East,Seldom,0.28749,2016,5718,0.27576,0.29922
2013,East,Sometimes,0.14954,939,5718,0.14029,0.15878
2013,East,Often,0.04950,321,5718,0.04387,0.05512
2013,East,Very often,0.01358,95,5718,0.01058,0.01658
2014,West,Very seldom,0.34744,9135,21422,0.34106,0.35382
2014,West,Seldom,0.28415,7250,21422,0.27811,0.29019
2014,West,Sometimes,0.13942,3465,21422,0.13478,0.14406
2014,West,Often,0.05234,1226,21422,0.04936,0.05532
2014,West,Very often,0.01240,346,21422,0.01091,0.01388
2014,East,Very seldom,0.34499,2281,5575,0.33251,0.35747
2014,East,Seldom,0.29835,2002,5575,0.28634,0.31037
2014,East,Sometimes,0.14753,916,5575,0.13822,0.15684
2014,East,Often,0.05326,296,5575,0.04736,0.05915
2014,East,Very often,0.01228,80,5575,0.00939,0.01517
2015,West,Very seldom,0.33618,8234,19722,0.32959,0.34277
2015,West,Seldom,0.27897,6831,19722,0.27271,0.28523
2015,West,Sometimes,0.14162,3226,19722,0.13676,0.14649
2015,West,Often,0.04770,1121,19722,0.04473,0.05068
2015,West,Very often,0.01237,310,19722,0.01083,0.01391
2015,East,Very seldom,0.32238,2048,5235,0.30972,0.33505
2015,East,Seldom,0.30758,1915,5235,0.29507,0.32008
2015,East,Sometimes,0.15005,898,5235,0.14037,0.15972
2015,East,Often,0.05059,301,5235,0.04465,0.05653
2015,East,Very often,0.00987,73,5235,0.00719,0.01255
2016,West,Very seldom,0.32172,7542,19076,0.31509,0.32835
2016,West,Seldom,0.28870,6656,19076,0.28227,0.29513
2016,West,Sometimes,0.15004,3365,19076,0.14497,0.15510
2016,West,Often,0.05551,1214,19076,0.05226,0.05875
2016,West,Very often,0.01287,299,19076,0.01127,0.01447
2016,East,Very seldom,0.29454,1871,5018,0.28193,0.30716
2016,East,Seldom,0.31245,1863,5018,0.29962,0.32528
2016,East,Sometimes,0.15672,868,5018,0.14666,0.16678
2016,East,Often,0.06992,340,5018,0.06286,0.07697
