year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,Owner,1214,1611.59921,1540.77153,1682.42688,1002.54201,1482.13296,2045.00000,0.00000,3608.68698,,,
1985,Urban regions,Tenant,2756,1129.23308,1104.69635,1153.76982,701.53386,1023.00000,1457.00000,0.00000,2590.19922,,,
1985,Rural regions,Owner,520,1419.14075,1358.02934,1480.25216,920.00000,1323.45737,1790.00000,220.00000,3095.00000,,,
1985,Rural regions,Tenant,479,1045.40803,991.55097,1099.26510,614.00000,920.00000,1329.00000,205.00000,2401.50000,,,
1986,Urban regions,Owner,1211,1702.47153,1607.25525,1797.68782,1023.00000,1534.00000,2045.00000,87.00000,3578.00000,,,
1986,Urban regions,Tenant,2601,1178.99457,1152.32800,1205.66113,737.90158,1023.00000,1534.00000,0.00000,2728.14763,,,
1986,Rural regions,Owner,512,1569.45952,1373.40115,1765.51788,934.75580,1380.00000,1892.00000,213.00000,3327.86630,,,
1986,Rural regions,Tenant,449,1074.18127,1021.52671,1126.83583,665.00000,971.00000,1432.00000,68.00000,2582.50000,,,
1987,Urban regions,Owner,1238,1757.86356,1668.03533,1847.69178,1023.00000,1534.00000,2147.00000,0.00000,3833.00000,,,
1987,Urban regions,Tenant,2558,1202.38767,1177.02095,1227.75438,767.00000,1051.40404,1534.00000,0.00000,2684.50000,,,
1987,Rural regions,Owner,494,1561.16661,1488.08297,1634.25026,997.00000,1457.00000,1943.00000,51.00000,3362.00000,,,
1987,Rural regions,Tenant,454,1164.23597,1088.06542,1240.40653,690.00000,1023.00000,1483.00000,112.00000,2672.50000,,,
1988,Urban regions,Owner,1200,1770.50987,1698.51124,1842.50849,1074.00000,1534.00000,2147.00000,256.00000,3756.50000,,,
1988,Urban regions,Tenant,2465,1261.75347,1219.00427,1304.50267,767.00000,1099.00000,1585.00000,0.00000,2812.00000,,,
1988,Rural regions,Owner,456,1584.96169,1504.89804,1665.02533,1023.00000,1432.00000,1961.11827,79.00000,3368.29568,,,
1988,Rural regions,Tenant,443,1166.81754,1107.70113,1225.93394,721.60557,1023.00000,1534.00000,51.00000,2752.59164,,,
1989,Urban regions,Owner,1185,1852.74457,1774.87075,1930.61838,1125.00000,1636.00000,2301.00000,205.00000,4065.00000,,,
1989,Urban regions,Tenant,2395,1298.57302,1271.29161,1325.85443,818.00000,1176.00000,1636.00000,102.00000,2863.00000,,,
1989,Rural regions,Owner,447,1674.18944,1560.45946,1787.91942,1023.00000,1492.53070,2045.00000,0.00000,3578.00000,,,
1989,Rural regions,Tenant,424,1212.84456,1150.48717,1275.20195,765.62993,1099.18342,1534.00000,92.00000,2686.55511,,,
1990,Urban regions,Owner,1279,1916.15305,1832.27129,2000.03480,1125.00000,1738.00000,2403.00000,0.00000,4320.00000,,,
1990,Urban regions,Tenant,2972,1309.10445,1281.91507,1336.29382,804.57045,1176.00000,1675.67822,0.00000,2982.33987,,,
1990,Rural regions,Owner,983,1427.13391,1368.91132,1485.35649,810.34396,1227.00000,1841.00000,87.00000,3386.98405,,,
1990,Rural regions,Tenant,1241,996.27516,957.63846,1034.91186,537.00000,920.00000,1278.00000,107.00000,2389.50000,,,
1991,Urban regions,Owner,1274,2019.19290,1957.13526,2081.25054,1278.00000,1841.00000,2556.00000,280.00000,4473.00000,,,
1991,Urban regions,Tenant,2908,1379.77654,1352.12914,1407.42393,818.00000,1244.43140,1790.00000,102.00000,3248.00000,,,
1991,Rural regions,Owner,953,1540.80199,1486.66085,1594.94313,920.00000,1329.00000,2045.00000,184.00000,3732.50000,,,
1991,Rural regions,Tenant,1197,1084.47405,1048.29371,1120.65438,614.00000,971.00000,1435.72064,102.00000,2668.30161,,,
1992,Urban regions,Owner,1308,2104.41421,2042.67220,2166.15623,1278.00000,1989.04765,2556.00000,256.00000,4473.00000,,,
1992,Urban regions,Tenant,2907,1442.39449,1413.76620,1471.02278,920.00000,1278.00000,1841.00000,0.00000,3222.50000,,,
1992,Rural regions,Owner,926,1665.03811,1604.61645,1725.45978,1023.00000,1534.00000,2045.00000,266.00000,3578.00000,,,
