year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,1209,784.1196086454646,770.1550968295003,798.0841204614289,511.0,716.0,941.4339618054956,0.0,1587.0849045137393,716.0,701.0,767.0
1984,Couple without children,1270,1417.47941248421,1376.0004244043412,1458.9584005640786,920.0,1227.0,1636.0,184.0,2710.0,1227.0,1176.0,1278.0
1984,Single parent,310,1120.1964776177608,1063.0412880188196,1177.351667216702,660.7626173174826,971.0,1278.0,205.0,2203.8560740237763,971.0,919.0,1073.0
1984,Couple with children,2497,1662.065698458295,1641.7277618294688,1682.403635087121,1125.0,1534.0,1943.0,8.0,3170.0,1534.0,1534.0,1534.0
1984,Multi-generational household,122,1652.8125633687791,1579.2260368110344,1726.3990899265239,1023.0,1534.0,2045.0,239.0,3578.0,1534.0,1278.0,1740.2749999999999
1984,Other Combinations,124,1576.7284004614216,1449.2758246601618,1704.1809762626815,971.0,1349.628419603357,1826.8061532318864,102.0,3110.5153830797162,1370.0,1206.0,1538.0
1985,Single-person household,1069,786.5348688944795,773.0054495616504,800.0642882273086,511.0,716.0,971.0,0.0,1661.0,716.0,690.875,742.0
1985,Couple without children,1139,1390.815277586561,1372.0307912024678,1409.5997639706543,971.0,1278.0,1687.0,243.0,2761.0,1278.0,1278.0,1329.0
1985,Single parent,286,1110.486479497268,1078.19680119643,1142.776157798106,665.238014852233,1023.0,1467.6685167963233,49.0,2671.3142697124586,1023.0,921.0,1100.25
1985,Couple with children,2250,1707.7431134480087,1691.0301636067572,1724.45606328926,1176.0,1534.0,2045.0,0.0,3348.5,1534.0,1534.0,1534.0
1985,Multi-generational household,107,2076.6154109633803,1755.3009400909589,2397.9298818358016,1072.6110494442132,1493.4799612306704,2097.206141881072,189.0,3634.0987805363607,1479.0,1168.0,1680.0
1985,Other Combinations,118,1506.3061047776546,1439.9547771512882,1572.657432404021,960.4519788124173,1432.0,1903.616081828564,307.0,3318.362236352784,1432.0,1330.0,1586.0
1986,Single-person household,1017,826.8771758753236,814.0461448283611,839.7082069222861,554.379476334377,767.0,1023.0,0.0,1725.9307854984345,767.0,767.0,793.0
1986,Couple without children,1134,1450.204869614095,1428.9557723493174,1471.4539668788727,1023.0,1329.0,1790.0,0.0,2940.5,1329.0,1278.0,1380.0
1986,Single parent,265,1158.0005856147836,1120.1412097549626,1195.8599614746047,665.0,1023.0,1534.0,153.0,2837.5,1023.0,970.7249999999997,1126.0
1986,Couple with children,2141,1857.9316579733088,1817.6686518413487,1898.1946641052689,1278.0,1636.0,2096.0,51.0,3323.0,1636.0,1585.0,1713.0
1986,Multi-generational household,110,1907.2134112864424,1703.430632723793,2110.996189849092,970.515294819049,1555.5484021912803,2301.0,460.0,4296.727057771426,1534.0,1176.0,1688.0
1986,Other Combinations,109,1477.4638546586334,1407.1638584364923,1547.7638508807745,971.0,1290.160615416833,1823.81051423772,213.0,3103.0262855943,1304.0,1174.7249999999997,1432.0
1987,Single-person household,1023,849.6032556035506,836.9259390868663,862.2805721202349,562.0,767.0,1023.0,0.0,1714.5,767.0,716.0,767.0
1987,Couple without children,1126,1543.758119799588,1508.7508701539298,1578.7653694452463,1023.0,1380.0,1815.0,256.0,3003.0,1380.0,1328.0,1431.0
1987,Single parent,270,1209.8818598794574,1169.7175003660345,1250.0462193928802,691.8741848091955,1074.0,1534.0,0.0,2797.1887227862067,1074.0,921.0,1137.025
1987,Couple with children,2103,1853.6561392712717,1829.3577602975533,1877.9545182449901,1278.0,1687.0,2147.0,0.0,3450.5,1687.0,1636.0,1738.0
1987,Multi-generational household,115,2095.993882682782,1952.9760576951876,2239.0117076703764,1326.5421978500406,1687.959977151441,2273.8902192219452,460.0,3694.912251279802,1687.0,1558.35,1840.0
1987,Other Combinations,108,1578.3298027299224,1498.8609526116263,1657.7986528482186,1023.0,1517.790502552159,1790.0,215.0,2940.5,1534.0,1534.0,1790.0
