year,quintil_oecd_hh,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,West,1154,689.78333,661.03018,718.53649,409.00000,562.00000,895.00000,77.00000,1624.00000,,,
1984,2nd Quintile,West,1134,1002.91896,963.12924,1042.70867,665.00000,920.00000,1227.00000,169.00000,2070.00000,,,
1984,3rd Quintile,West,1128,1240.78535,1202.22745,1279.34325,844.00000,1150.00000,1534.00000,378.00000,2569.00000,,,
1984,4th Quintile,West,1111,1505.11216,1455.93583,1554.28848,1023.00000,1432.00000,1790.00000,8.00000,2940.50000,,,
1984,5th Quintile,West,987,2037.52015,1914.98074,2160.05955,1329.00000,1790.00000,2352.00000,230.00000,3886.50000,,,
1985,1st Quintile,West,1033,671.56811,648.22772,694.90849,409.00000,552.00000,869.00000,0.00000,1559.00000,,,
1985,2nd Quintile,West,1021,1001.75744,975.76288,1027.75200,679.54524,971.00000,1227.00000,207.00000,2048.18213,,,
1985,3rd Quintile,West,1024,1311.07257,1235.65555,1386.48960,866.61598,1176.00000,1534.00000,153.00000,2535.07603,,,
1985,4th Quintile,West,977,1474.95890,1440.31600,1509.60179,1023.00000,1432.00000,1790.00000,0.00000,2940.50000,,,
1985,5th Quintile,West,910,2011.56211,1952.11815,2071.00607,1432.00000,1841.00000,2454.00000,256.00000,3987.00000,,,
1986,1st Quintile,West,950,732.35050,693.44778,771.25323,460.00000,614.00000,920.00000,0.00000,1610.00000,,,
1986,2nd Quintile,West,989,1031.94500,1006.50769,1057.38232,716.00000,1013.04588,1278.00000,26.00000,2121.00000,,,
1986,3rd Quintile,West,989,1325.00474,1273.02321,1376.98626,869.00000,1253.00000,1536.15098,0.00000,2536.87744,,,
1986,4th Quintile,West,962,1534.07753,1497.32604,1570.82902,1023.00000,1483.00000,1892.00000,184.00000,3195.50000,,,
1986,5th Quintile,West,883,2209.19147,2047.20425,2371.17868,1534.00000,1994.00000,2556.00000,1.00000,4089.00000,,,
1987,1st Quintile,West,907,739.99937,700.71443,779.28431,461.94200,614.00000,920.00000,0.00000,1607.08701,,,
1987,2nd Quintile,West,973,1079.97719,1052.58533,1107.36905,716.00000,1023.00000,1329.00000,179.00000,2248.50000,,,
1987,3rd Quintile,West,987,1311.74591,1280.15033,1343.34148,895.00000,1278.00000,1636.00000,0.00000,2747.50000,,,
1987,4th Quintile,West,974,1613.95183,1557.61885,1670.28480,1125.00000,1534.00000,1943.00000,0.00000,3170.00000,,,
1987,5th Quintile,West,901,2230.77736,2120.31902,2341.23570,1534.00000,2045.00000,2556.00000,325.00000,4089.00000,,,
1988,1st Quintile,West,896,746.65225,721.39144,771.91305,501.00000,628.00000,946.00000,0.00000,1613.50000,,,
1988,2nd Quintile,West,938,1094.38043,1057.26522,1131.49564,754.98475,1023.00000,1329.00000,169.00000,2190.02287,,,
1988,3rd Quintile,West,948,1367.46342,1333.23570,1401.69113,924.07942,1329.00000,1636.00000,153.00000,2703.88086,,,
1988,4th Quintile,West,933,1645.78177,1592.19520,1699.36835,1125.00000,1534.00000,1994.00000,0.00000,3297.50000,,,
1988,5th Quintile,West,848,2305.13141,2183.30857,2426.95426,1534.00000,2045.00000,2556.00000,281.00000,4089.00000,,,
1989,1st Quintile,West,872,789.24337,760.65641,817.83032,511.00000,665.00000,1010.45189,81.00000,1759.62973,,,
1989,2nd Quintile,West,948,1154.06528,1119.90871,1188.22185,803.96358,1043.00000,1404.65437,0.00000,2305.69055,,,
1989,3rd Quintile,West,915,1420.08932,1366.66168,1473.51697,1014.60700,1329.00000,1687.00000,307.00000,2695.58950,,,
1989,4th Quintile,West,903,1702.14400,1659.15630,1745.13170,1225.74954,1620.55804,2045.00000,302.00000,3273.87570,,,
1989,5th Quintile,West,814,2396.08311,2294.55855,2497.60767,1636.00000,2199.00000,2812.00000,307.00000,4576.00000,,,
1990,1st Quintile,West,35,425.42898,337.96362,512.89434,256.00000,386.52665,608.96739,0.00000,971.00000,,,
1990,1st Quintile,East,2127,752.81872,736.20875,769.42869,460.00000,741.00000,1023.00000,153.00000,1867.50000,,,
1990,2nd Quintile,West,1116,931.16540,895.61383,966.71697,584.31820,807.62378,1176.00000,51.00000,2063.52271,,,
1990,3rd Quintile,West,1128,1398.04050,1338.03345,1458.04755,941.99469,1278.00000,1687.00000,179.00000,2804.50796,,,
1990,4th Quintile,West,1101,1640.16077,1602.03124,1678.29029,1125.00000,1534.00000,2045.00000,0.00000,3425.00000,,,
1990,5th Quintile,West,1016,2408.61769,2325.22445,2492.01092,1687.00000,2199.00000,2812.00000,358.00000,4499.50000,,,
1991,1st Quintile,West,59,854.16681,679.10814,1029.22548,388.76958,674.57062,999.28890,184.00000,1915.06788,,,
1991,1st Quintile,East,1956,911.12321,889.80706,932.43935,511.00000,869.00000,1176.00000,102.00000,2173.50000,,,
1991,2nd Quintile,West,1093,943.78035,916.73145,970.82926,614.00000,818.00000,1191.54105,182.00000,2057.85261,,,
1991,3rd Quintile,West,1131,1400.05814,1367.53308,1432.58320,971.00000,1329.00000,1738.00000,256.00000,2888.50000,,,
1991,4th Quintile,West,1132,1766.53785,1727.76777,1805.30792,1273.00000,1687.00000,2147.00000,266.00000,3458.00000,,,
1991,5th Quintile,West,1008,2534.04852,2466.90109,2601.19596,1790.00000,2352.00000,3068.00000,460.00000,4985.00000,,,
1992,1st Quintile,West,561,788.34249,752.03472,824.65025,511.00000,665.00000,997.00000,0.00000,1726.00000,,,
1992,1st Quintile,East,790,782.47690,759.41034,805.54346,517.87275,716.61921,1023.00000,179.00000,1780.69088,,,
1992,2nd Quintile,West,834,1241.11892,1202.55225,1279.68559,818.00000,1125.00000,1534.00000,205.00000,2608.00000,,,
1992,2nd Quintile,East,607,1238.10757,1203.64562,1272.56953,949.48795,1227.00000,1534.00000,256.00000,2410.76807,,,
1992,3rd Quintile,West,972,1485.24659,1448.79276,1521.70042,1023.00000,1432.00000,1790.00000,358.00000,2940.50000,,,
1992,3rd Quintile,East,320,1505.64382,1448.86197,1562.42567,1176.00000,1534.00000,1834.39098,205.00000,2821.97746,,,
1992,4th Quintile,West,1106,1838.60616,1795.96003,1881.25229,1278.00000,1790.00000,2199.00000,256.00000,3580.50000,,,
1992,4th Quintile,East,127,1736.51096,1625.71771,1847.30422,1278.00000,1615.97435,2200.17362,511.00000,3583.43406,,,
1992,5th Quintile,West,996,2642.09378,2571.21288,2712.97468,1892.00000,2505.00000,3068.00000,358.00000,4832.00000,,,
1992,5th Quintile,East,57,2033.32857,1820.72901,2245.92814,1278.00000,2205.08503,2556.00000,665.00000,3579.00000,,,
1993,1st Quintile,West,660,897.17541,862.02360,932.32721,581.46982,767.00000,1125.00000,77.00000,1940.29527,,,
1993,1st Quintile,East,585,813.16840,784.12038,842.21641,544.00000,716.00000,1023.00000,184.00000,1741.50000,,,
1993,2nd Quintile,West,825,1291.08426,1254.67251,1327.49600,869.00000,1176.00000,1566.37888,291.00000,2612.44721,,,
1993,2nd Quintile,East,612,1297.12654,1260.79756,1333.45552,920.00000,1278.00000,1585.00000,220.00000,2582.50000,,,
1993,3rd Quintile,West,942,1636.29974,1578.13880,1694.46068,1074.00000,1534.00000,2045.00000,256.00000,3501.50000,,,
1993,3rd Quintile,East,380,1690.34884,1635.09150,1745.60618,1329.00000,1636.00000,2045.00000,358.00000,3119.00000,,,
