year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1988,Schleswig-Holstein,154,1361.31453,1249.78588,1472.84318,828.42620,1329.00000,1636.00000,197.00000,2847.36070,1329.00000,1072.72500,1432.00000
1988,Hamburg,111,1316.64664,1181.60542,1451.68786,852.68163,1074.00000,1687.00000,51.00000,2938.47755,1074.00000,1023.00000,1380.00000
1988,Lower Saxony,471,1375.06632,1306.26471,1443.86793,869.00000,1227.00000,1790.00000,0.00000,3171.50000,1227.00000,1124.35000,1329.00000
1988,Bremen,57,1062.49985,922.94422,1202.05547,716.00000,938.73898,1345.85173,378.00000,2290.62932,945.00000,767.00000,1053.52500
1988,North Rhine-Westphalia,1224,1401.61339,1352.32022,1450.90657,818.00000,1227.00000,1790.00000,0.00000,3248.00000,1227.00000,1176.00000,1278.00000
1988,Hesse,452,1479.64878,1353.06717,1606.23039,920.00000,1278.00000,1790.00000,205.00000,3095.00000,1278.00000,1176.00000,1347.82500
1988,"Rhineland-Palatinate, Saarland",319,1485.97125,1230.40885,1741.53364,818.00000,1227.00000,1738.00000,322.00000,3118.00000,1227.00000,1125.00000,1329.65000
1988,Baden-Wuerttemberg,831,1495.38136,1428.45357,1562.30916,869.00000,1329.00000,1892.00000,51.00000,3426.50000,1329.00000,1278.00000,1432.00000
1988,Bavaria,761,1475.97532,1404.74586,1547.20479,895.00000,1278.00000,1841.00000,0.00000,3260.00000,1278.00000,1252.47500,1380.00000
1988,Berlin,185,1431.29411,1312.00535,1550.58287,869.00000,1176.00000,1916.08288,317.00000,3486.70719,1176.00000,1032.90000,1304.00000
1989,Schleswig-Holstein,150,1445.07227,1313.28003,1576.86451,848.42143,1278.00000,1786.03699,0.00000,3192.46032,1278.00000,1224.45000,1432.62500
1989,Hamburg,110,1325.69475,1210.75617,1440.63334,906.71501,1241.74930,1762.14921,102.00000,3045.30052,1253.00000,1023.00000,1380.00000
1989,Lower Saxony,472,1434.08375,1359.44203,1508.72547,881.00470,1278.00000,1745.03095,81.00000,3041.07031,1278.00000,1227.00000,1329.27500
1989,Bremen,59,1127.60594,986.17857,1269.03331,696.06969,1023.00000,1529.36511,291.00000,2779.30823,1023.00000,832.62500,1083.97500
1989,North Rhine-Westphalia,1175,1475.14707,1425.13419,1525.15995,869.00000,1278.00000,1892.00000,153.00000,3426.50000,1278.00000,1277.32500,1380.00000
1989,Hesse,458,1527.81540,1447.10271,1608.52809,920.00000,1329.00000,1943.00000,240.00000,3477.50000,1329.00000,1232.85000,1432.00000
1989,"Rhineland-Palatinate, Saarland",310,1389.99421,1299.27840,1480.71001,818.00000,1278.00000,1790.00000,179.00000,3248.00000,1278.00000,1176.00000,1380.00000
1989,Baden-Wuerttemberg,791,1538.74507,1477.20291,1600.28724,920.00000,1432.00000,2045.00000,92.00000,3732.50000,1432.00000,1278.00000,1508.00000
1989,Bavaria,747,1582.83509,1469.36624,1696.30394,920.00000,1430.40481,1943.00000,215.00000,3477.50000,1432.00000,1328.67500,1534.00000
