year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,1286.38899,1256.05055,1316.72744,767.00000,1078.00000,1576.88788,0.00000,2791.71970,5532.00000
1985,1288.41369,1263.55783,1313.26955,767.00000,1125.00000,1636.00000,0.00000,2939.50000,4969.00000
1986,1358.79300,1321.39283,1396.19316,795.00000,1176.00000,1698.68470,0.00000,3054.21176,4776.00000
1987,1393.25280,1362.81212,1423.69347,818.00000,1227.00000,1790.00000,0.00000,3248.00000,4745.00000
1988,1430.91752,1398.82309,1463.01195,867.83049,1278.00000,1790.00000,0.00000,3173.25426,4565.00000
1989,1489.23541,1459.22574,1519.24508,895.00000,1329.00000,1892.00000,0.00000,3387.50000,4453.00000
1990,1416.15611,1390.66040,1441.65182,803.00000,1227.00000,1795.25275,0.00000,3283.63187,6525.00000
1991,1502.04768,1479.67117,1524.42418,869.00000,1278.00000,1949.50805,102.00000,3570.27011,6379.00000
1992,1594.51984,1571.27849,1617.76119,936.00000,1404.66642,2045.00000,0.00000,3708.50000,6372.00000
1993,1706.65916,1681.19659,1732.12173,1023.00000,1534.00000,2199.00000,26.00000,3963.00000,6301.00000
1994,1748.23081,1722.46467,1773.99694,1023.00000,1534.00000,2250.00000,153.00000,4090.50000,6241.00000
1995,1833.02557,1803.05040,1863.00074,1074.00000,1585.00000,2301.00000,72.00000,4141.50000,6360.00000
1996,1848.22641,1820.49305,1875.95977,1099.00000,1636.00000,2301.00000,179.00000,4104.00000,6303.00000
1997,1866.68870,1840.30568,1893.07173,1125.00000,1656.55921,2352.00000,153.00000,4192.50000,6281.00000
1998,1873.53833,1848.79269,1898.28397,1125.00000,1636.00000,2352.00000,179.00000,4192.50000,6997.00000
1999,1936.75230,1910.17339,1963.33120,1176.00000,1738.00000,2454.00000,102.00000,4371.00000,6799.00000
2000,1975.32833,1954.25127,1996.40539,1176.00000,1764.00000,2556.00000,0.00000,4626.00000,12025.00000
2001,2011.02498,1988.82137,2033.22859,1227.00000,1790.00000,2556.00000,28.00000,4549.50000,11023.00000
2002,2050.28665,2022.04400,2078.52930,1200.00000,1800.00000,2500.00000,10.00000,4450.00000,11537.00000
2003,2094.18342,2065.84079,2122.52604,1200.00000,1800.00000,2600.00000,0.00000,4700.00000,11137.00000
2004,2112.26022,2080.70824,2143.81220,1200.00000,1822.25816,2600.00000,0.00000,4700.00000,10936.00000
2005,2115.30976,2089.00271,2141.61681,1250.00000,1800.00000,2650.00000,0.00000,4750.00000,10625.00000
2006,2107.82740,2081.10362,2134.55118,1200.00000,1800.00000,2600.00000,0.00000,4700.00000,11468.00000
2007,2163.23201,2133.93625,2192.52777,1234.00000,1820.00000,2700.00000,0.00000,4899.00000,10871.00000
2008,2197.67931,2163.92788,2231.43075,1220.00000,1900.00000,2800.00000,0.00000,5170.00000,10233.00000
2009,2243.14664,2213.71989,2272.57338,1300.00000,1980.00000,2834.38038,0.00000,5135.95095,9684.00000
2010,2318.17609,2290.85109,2345.50110,1300.00000,2000.00000,3000.00000,0.00000,5550.00000,12995.00000
2011,2351.41719,2325.61810,2377.21628,1300.00000,2000.00000,3000.00000,40.00000,5550.00000,15859.00000
2012,2414.45056,2384.46415,2444.43698,1350.00000,2000.00000,3000.00000,0.00000,5475.00000,15578.00000
2013,2450.96913,2423.85866,2478.07960,1389.61852,2000.00000,3000.00000,0.00000,5415.57222,17026.00000
2014,2524.44211,2495.01448,2553.86974,1400.00000,2100.00000,3200.00000,158.00000,5900.00000,15153.00000
2015,2576.16045,2547.61593,2604.70496,1400.00000,2195.57551,3300.00000,0.00000,6150.00000,14997.00000
2016,2643.18705,2613.96928,2672.40482,1470.00000,2200.00000,3400.00000,0.00000,6295.00000,15648.00000
2017,2772.76587,2653.55117,2891.98058,1500.00000,2300.00000,3500.00000,88.00000,6500.00000,17377.00000
2018,2804.60097,2776.08627,2833.11567,1513.31421,2400.00000,3600.00000,100.00000,6730.02869,16873.00000
2019,2968.31582,2843.69340,3092.93824,1600.00000,2500.00000,3700.00000,-1550.00000,6850.00000,17295.00000
2020,3028.82142,2992.22472,3065.41811,1660.19788,2550.64597,4000.00000,0.00000,7509.70319,18011.00000
2021,3188.98312,3082.19471,3295.77154,1700.00000,2700.00000,4000.00000,0.00000,7450.00000,11957.00000
2022,3290.11248,3251.66636,3328.55861,1800.00000,2800.00000,4200.00000,0.00000,7800.00000,18805.00000
