year,hhtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,West,1209,784.11961,755.28025,812.95897,511.00000,716.00000,941.43396,0.00000,1587.08490,716.00000,665.00000,737.10000
1984,Couple without children,West,1270,1417.47941,1331.82158,1503.13724,920.00000,1227.00000,1636.00000,184.00000,2710.00000,1227.00000,1176.00000,1278.00000
1984,Single parent,West,310,1120.19648,1001.81479,1238.57816,660.76262,971.00000,1278.00000,205.00000,2203.85607,971.00000,869.00000,1023.00000
1984,Couple with children,West,2497,1662.06570,1620.08574,1704.04566,1125.00000,1534.00000,1943.00000,8.00000,3170.00000,1534.00000,1534.00000,1534.00000
1984,Multi-generational household,West,122,1652.81256,1499.46105,1806.16408,1023.00000,1534.00000,2045.00000,239.00000,3578.00000,1534.00000,1327.72500,1790.00000
1984,Other Combinations,West,124,1576.72840,1311.16571,1842.29109,971.00000,1349.62842,1826.80615,102.00000,3110.51538,1370.00000,1226.37500,1534.00000
1985,Single-person household,West,1069,786.53487,758.59038,814.47935,511.00000,716.00000,971.00000,0.00000,1661.00000,716.00000,696.82500,741.00000
1985,Couple without children,West,1139,1390.81528,1352.01937,1429.61119,971.00000,1278.00000,1687.00000,243.00000,2761.00000,1278.00000,1227.00000,1304.00000
1985,Single parent,West,286,1110.48648,1043.58490,1177.38806,665.23801,1023.00000,1467.66852,49.00000,2671.31427,1023.00000,957.70000,1075.27500
1985,Couple with children,West,2250,1707.74311,1673.24373,1742.24250,1176.00000,1534.00000,2045.00000,0.00000,3348.50000,1534.00000,1534.00000,1534.00000
1985,Multi-generational household,West,107,2076.61541,1406.04995,2747.18087,1072.61105,1493.47996,2097.20614,189.00000,3634.09878,1479.00000,1278.00000,1790.00000
1985,Other Combinations,West,118,1506.30610,1367.98471,1644.62750,960.45198,1432.00000,1903.61608,307.00000,3318.36224,1432.00000,1278.00000,1534.00000
1986,Single-person household,West,1017,826.87718,800.37365,853.38071,554.19371,767.00000,1023.00000,0.00000,1726.20944,767.00000,741.00000,767.00000
1986,Couple without children,West,1134,1450.20487,1406.31855,1494.09119,1023.00000,1329.00000,1790.00000,0.00000,2940.50000,1329.00000,1278.00000,1370.25000
1986,Single parent,West,265,1158.00059,1079.53243,1236.46874,665.00000,1023.00000,1534.00000,153.00000,2837.50000,1023.00000,920.00000,1074.00000
1986,Couple with children,West,2141,1857.93166,1774.81724,1941.04608,1278.00000,1636.00000,2096.00000,51.00000,3323.00000,1636.00000,1539.00000,1687.00000
1986,Multi-generational household,West,110,1907.21341,1482.06516,2332.36167,970.51529,1555.54840,2301.00000,460.00000,4296.72706,1534.00000,1380.00000,1892.00000
1986,Other Combinations,West,109,1477.46385,1330.78302,1624.14468,971.00000,1290.16062,1823.81051,213.00000,3103.02629,1304.00000,1125.00000,1483.00000
1987,Single-person household,West,1023,849.60326,823.41742,875.78909,562.00000,767.00000,1023.00000,0.00000,1714.50000,767.00000,767.00000,818.00000
1987,Couple without children,West,1126,1543.75812,1471.45618,1616.06006,1023.00000,1380.00000,1815.00000,256.00000,3003.00000,1380.00000,1329.00000,1432.00000
1987,Single parent,West,270,1209.88186,1126.64347,1293.12025,691.87418,1074.00000,1534.00000,0.00000,2797.18872,1074.00000,1022.72500,1227.00000
1987,Couple with children,West,2103,1853.65614,1803.49679,1903.81549,1278.00000,1687.00000,2147.00000,0.00000,3450.50000,1687.00000,1636.00000,1764.00000
1987,Multi-generational household,West,115,2095.99388,1797.76524,2394.22252,1326.54220,1687.95998,2273.89022,460.00000,3694.91225,1687.00000,1534.00000,1849.00000
1987,Other Combinations,West,108,1578.32980,1412.50062,1744.15899,1023.00000,1517.79050,1790.00000,215.00000,2940.50000,1534.00000,1357.95000,1534.00000
1988,Single-person household,West,977,891.34012,859.53292,923.14731,583.00000,818.00000,1074.00000,0.00000,1810.50000,818.00000,767.00000,831.05000
1988,Couple without children,West,1122,1544.88001,1498.18677,1591.57325,1023.00000,1432.00000,1841.00000,205.00000,3068.00000,1432.00000,1380.00000,1483.00000
1988,Single parent,West,268,1306.78541,1220.20158,1393.36925,818.00000,1125.00000,1534.00000,26.00000,2608.00000,1125.00000,1023.00000,1258.50000
1988,Couple with children,West,2010,1901.47151,1852.37606,1950.56697,1329.00000,1738.00000,2202.54670,307.00000,3512.86676,1738.00000,1687.00000,1790.00000
1988,Multi-generational household,West,99,1854.27434,1666.93249,2041.61619,1240.06254,1790.00000,2301.00000,297.00000,3892.40619,1790.00000,1534.00000,1985.52500
1988,Other Combinations,West,89,2106.11464,1163.91616,3048.31312,1023.00000,1392.91702,1930.52118,256.00000,3291.80295,1380.00000,1278.00000,1534.00000
1989,Single-person household,West,985,934.51297,904.24336,964.78259,614.00000,845.13270,1106.89762,81.00000,1846.24405,846.00000,818.00000,869.00000
1989,Couple without children,West,1102,1664.49790,1588.99347,1740.00233,1114.28739,1534.00000,1968.00000,153.00000,3248.56891,1534.00000,1457.00000,1534.00000
1989,Single parent,West,252,1363.03331,1269.05392,1457.01269,810.70355,1176.00000,1790.00000,307.00000,3258.94467,1176.00000,1023.00000,1278.00000
1989,Couple with children,West,1929,1969.55329,1925.82834,2013.27824,1389.41519,1790.00000,2352.00000,0.00000,3795.87721,1790.00000,1738.00000,1790.00000
1989,Multi-generational household,West,103,2028.48578,1838.63391,2218.33765,1272.89996,1894.32315,2556.00000,516.00000,4480.65006,1892.00000,1635.10000,2045.00000
1989,Other Combinations,West,82,1653.26836,1437.63840,1868.89833,1074.15273,1471.06611,2045.00000,451.00000,3501.27090,1508.00000,1227.00000,1791.27500
