year,age_gr,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,Yes,0.21115,558,1886,0.19273,0.22958
1986,17-29 y.,No,0.42799,1328,1886,0.40565,0.45032
1986,30-45 y.,Yes,0.26373,759,2349,0.24591,0.28156
1986,30-45 y.,No,0.46654,1590,2349,0.44636,0.48672
1986,46-65 y.,Yes,0.16322,530,1887,0.14654,0.17990
1986,46-65 y.,No,0.37926,1357,1887,0.35737,0.40116
1988,17-29 y.,Yes,0.22400,574,1784,0.20465,0.24335
1988,17-29 y.,No,0.41559,1210,1784,0.39271,0.43846
1988,30-45 y.,Yes,0.27358,727,2182,0.25487,0.29229
1988,30-45 y.,No,0.48062,1455,2182,0.45966,0.50159
1988,46-65 y.,Yes,0.17816,529,1843,0.16068,0.19563
1988,46-65 y.,No,0.39274,1314,1843,0.37044,0.41504
1988,66 and older,No,0.02599,31,31,-0.03094,0.08292
1989,17-29 y.,Yes,0.24907,615,1801,0.22909,0.26905
1989,17-29 y.,No,0.40380,1186,1801,0.38113,0.42647
1989,30-45 y.,Yes,0.29816,764,2148,0.27881,0.31751
1989,30-45 y.,No,0.47408,1384,2148,0.45296,0.49521
1989,46-65 y.,Yes,0.18208,528,1765,0.16407,0.20009
1989,46-65 y.,No,0.38296,1237,1765,0.36028,0.40565
1989,66 and older,No,0.02623,32,32,-0.03003,0.08249
1990,17-29 y.,Yes,0.24321,853,2601,0.22672,0.25970
1990,17-29 y.,No,0.43131,1748,2601,0.41228,0.45035
1990,30-45 y.,Yes,0.31689,1297,3578,0.30164,0.33213
1990,30-45 y.,No,0.50153,2281,3578,0.48515,0.51792
1990,46-65 y.,Yes,0.20882,875,2777,0.19370,0.22394
1990,46-65 y.,No,0.40527,1902,2777,0.38701,0.42354
1990,66 and older,No,0.02267,44,44,-0.02182,0.06716
1991,17-29 y.,Yes,0.25901,845,2453,0.24167,0.27635
1991,17-29 y.,No,0.41427,1608,2453,0.39477,0.43377
1991,30-45 y.,Yes,0.32436,1288,3515,0.30888,0.33984
1991,30-45 y.,No,0.48246,2227,3515,0.46594,0.49898
1991,46-65 y.,Yes,0.19578,760,2536,0.18033,0.21123
1991,46-65 y.,No,0.40266,1776,2536,0.38357,0.42175
1991,66 and older,No,0.02172,36,36,-0.02657,0.07002
1992,17-29 y.,Yes,0.28212,885,2295,0.26370,0.30053
1992,17-29 y.,No,0.36773,1410,2295,0.34800,0.38746
