year,quintil_oecd,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,1st Quintile,Yes,0.05384,165,766,0.03785,0.06984
1986,1st Quintile,No,0.16874,601,766,0.14220,0.19528
1986,2nd Quintile,Yes,0.10280,286,1058,0.08449,0.12111
1986,2nd Quintile,No,0.23890,772,1058,0.21319,0.26460
1986,3rd Quintile,Yes,0.14252,379,1299,0.12350,0.16154
1986,3rd Quintile,No,0.31277,920,1299,0.28755,0.33799
1986,4th Quintile,Yes,0.20682,499,1508,0.18637,0.22727
1986,4th Quintile,No,0.34811,1009,1508,0.32406,0.37216
1986,5th Quintile,Yes,0.21710,517,1519,0.19636,0.23783
1986,5th Quintile,No,0.40713,1002,1519,0.38242,0.43185
1988,1st Quintile,Yes,0.06209,188,730,0.04457,0.07961
1988,1st Quintile,No,0.16126,542,730,0.13456,0.18795
1988,2nd Quintile,Yes,0.10864,321,1041,0.08972,0.12755
1988,2nd Quintile,No,0.22926,720,1041,0.20372,0.25481
1988,3rd Quintile,Yes,0.14283,368,1235,0.12331,0.16235
1988,3rd Quintile,No,0.32692,867,1235,0.30075,0.35310
1988,4th Quintile,Yes,0.19608,431,1393,0.17523,0.21694
1988,4th Quintile,No,0.35349,962,1393,0.32838,0.37861
1988,5th Quintile,Yes,0.24983,525,1443,0.22748,0.27217
1988,5th Quintile,No,0.40714,918,1443,0.38178,0.43250
1989,1st Quintile,Yes,0.06162,188,740,0.04428,0.07895
1989,1st Quintile,No,0.16683,552,740,0.13995,0.19371
1989,2nd Quintile,Yes,0.11154,306,1050,0.09249,0.13059
1989,2nd Quintile,No,0.24748,744,1050,0.22137,0.27360
1989,3rd Quintile,Yes,0.17209,414,1189,0.15062,0.19355
1989,3rd Quintile,No,0.30044,775,1189,0.27437,0.32651
1989,4th Quintile,Yes,0.21995,492,1399,0.19823,0.24166
1989,4th Quintile,No,0.34962,907,1399,0.32462,0.37462
1989,5th Quintile,Yes,0.25417,508,1369,0.23110,0.27725
1989,5th Quintile,No,0.38894,861,1369,0.36310,0.41477
1990,1st Quintile,Yes,0.06961,197,741,0.05127,0.08795
1990,1st Quintile,No,0.17828,544,741,0.15070,0.20586
1990,2nd Quintile,Yes,0.13105,326,1019,0.11032,0.15178
1990,2nd Quintile,No,0.24055,693,1019,0.21429,0.26680
1990,3rd Quintile,Yes,0.16251,387,1195,0.14158,0.18343
1990,3rd Quintile,No,0.30157,808,1195,0.27553,0.32760
1990,4th Quintile,Yes,0.22934,483,1353,0.20693,0.25175
1990,4th Quintile,No,0.36216,870,1353,0.33654,0.38778
1990,5th Quintile,Yes,0.27758,558,1342,0.25361,0.30155
1990,5th Quintile,No,0.36069,784,1342,0.33499,0.38639
1991,1st Quintile,Yes,0.06855,190,742,0.05036,0.08675
1991,1st Quintile,No,0.17658,552,742,0.14912,0.20404
1991,2nd Quintile,Yes,0.13342,350,1059,0.11293,0.15391
1991,2nd Quintile,No,0.24408,709,1059,0.21820,0.26997
1991,3rd Quintile,Yes,0.17928,432,1193,0.15750,0.20105
1991,3rd Quintile,No,0.28577,761,1193,0.26012,0.31141
1991,4th Quintile,Yes,0.24211,503,1352,0.21926,0.26495
1991,4th Quintile,No,0.33573,849,1352,0.31055,0.36092
1991,5th Quintile,Yes,0.29335,592,1384,0.26935,0.31734
1991,5th Quintile,No,0.36589,792,1384,0.34050,0.39127
1992,1st Quintile,Yes,0.08027,355,1082,0.06407,0.09646
1992,1st Quintile,No,0.15920,727,1082,0.13739,0.18101
1992,2nd Quintile,Yes,0.13911,572,1648,0.12239,0.15582
1992,2nd Quintile,No,0.23488,1076,1648,0.21440,0.25535
1992,3rd Quintile,Yes,0.17649,618,1684,0.15827,0.19470
1992,3rd Quintile,No,0.28070,1066,1684,0.25924,0.30217
1992,4th Quintile,Yes,0.22855,689,1804,0.20917,0.24793
1992,4th Quintile,No,0.32463,1115,1804,0.30302,0.34625
1992,5th Quintile,Yes,0.27310,733,1771,0.25235,0.29386
1992,5th Quintile,No,0.36894,1038,1771,0.34646,0.39142
1993,1st Quintile,Yes,0.06677,280,947,0.05086,0.08268
1993,1st Quintile,No,0.16336,667,947,0.13980,0.18692
1993,2nd Quintile,Yes,0.12379,526,1527,0.10726,0.14031
1993,2nd Quintile,No,0.23777,1001,1527,0.21641,0.25913
1993,3rd Quintile,Yes,0.17549,630,1698,0.15740,0.19359
1993,3rd Quintile,No,0.27564,1068,1698,0.25438,0.29690
1993,4th Quintile,Yes,0.21255,677,1805,0.19367,0.23143
1993,4th Quintile,No,0.33843,1128,1805,0.31659,0.36026
1993,5th Quintile,Yes,0.25655,703,1782,0.23627,0.27683
1993,5th Quintile,No,0.39591,1079,1782,0.37319,0.41862
1994,1st Quintile,Yes,0.07146,270,880,0.05444,0.08849
1994,1st Quintile,No,0.15326,610,880,0.12944,0.17707
1994,2nd Quintile,Yes,0.12398,510,1397,0.10669,0.14127
1994,2nd Quintile,No,0.21702,887,1397,0.19540,0.23865
1994,3rd Quintile,Yes,0.17139,647,1701,0.15348,0.18930
1994,3rd Quintile,No,0.27487,1054,1701,0.25365,0.29609
1994,4th Quintile,Yes,0.22984,722,1727,0.21000,0.24969
1994,4th Quintile,No,0.31513,1005,1727,0.29321,0.33705
1994,5th Quintile,Yes,0.26680,732,1763,0.24615,0.28745
