year,age_gr,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,No migration background,Yes,0.21972,445,1342,0.19756,0.24188
1986,17-29 y.,No migration background,No,0.42349,897,1342,0.39705,0.44994
1986,17-29 y.,Direct migration background,Yes,0.13544,100,474,0.10460,0.16628
1986,17-29 y.,Direct migration background,No,0.46757,374,474,0.42260,0.51253
1986,17-29 y.,Indirect migration background,No,0.46909,57,57,0.33838,0.59979
1986,30-45 y.,No migration background,Yes,0.27569,574,1562,0.25352,0.29786
1986,30-45 y.,No migration background,No,0.46120,988,1562,0.43647,0.48593
1986,30-45 y.,Direct migration background,Yes,0.19227,182,775,0.16451,0.22004
1986,30-45 y.,Direct migration background,No,0.49802,593,775,0.46279,0.53324
1986,46-65 y.,No migration background,Yes,0.16416,398,1296,0.14398,0.18433
1986,46-65 y.,No migration background,No,0.37242,898,1296,0.34609,0.39875
1986,46-65 y.,Direct migration background,Yes,0.15634,130,585,0.12688,0.18579
1986,46-65 y.,Direct migration background,No,0.43225,455,585,0.39208,0.47243
1988,17-29 y.,No migration background,Yes,0.23304,427,1213,0.20924,0.25684
1988,17-29 y.,No migration background,No,0.41122,786,1213,0.38352,0.43892
1988,17-29 y.,Direct migration background,Yes,0.15090,125,473,0.11861,0.18319
1988,17-29 y.,Direct migration background,No,0.47203,348,473,0.42700,0.51707
1988,17-29 y.,Indirect migration background,No,0.35176,76,76,0.24369,0.45983
1988,30-45 y.,No migration background,Yes,0.28373,552,1502,0.26093,0.30654
1988,30-45 y.,No migration background,No,0.47772,950,1502,0.45245,0.50299
1988,30-45 y.,Direct migration background,Yes,0.20791,171,669,0.17714,0.23869
1988,30-45 y.,Direct migration background,No,0.49801,498,669,0.46009,0.53593
1988,46-65 y.,No migration background,Yes,0.18079,407,1282,0.15971,0.20186
1988,46-65 y.,No migration background,No,0.39085,875,1282,0.36413,0.41757
1988,46-65 y.,Direct migration background,Yes,0.16000,121,554,0.12945,0.19056
1988,46-65 y.,Direct migration background,No,0.40258,433,554,0.36170,0.44345
1988,66 and older,No migration background,No,0.02731,31,31,-0.03101,0.08563
1989,17-29 y.,No migration background,Yes,0.26160,470,1233,0.23706,0.28615
1989,17-29 y.,No migration background,No,0.40444,763,1233,0.37703,0.43184
1989,17-29 y.,Direct migration background,Yes,0.17579,120,460,0.14096,0.21061
1989,17-29 y.,Direct migration background,No,0.41534,340,460,0.37026,0.46042
1989,17-29 y.,Indirect migration background,No,0.33733,83,83,0.23499,0.43966
1989,30-45 y.,No migration background,Yes,0.30993,582,1498,0.28650,0.33335
1989,30-45 y.,No migration background,No,0.47197,916,1498,0.44668,0.49726
1989,30-45 y.,Direct migration background,Yes,0.22001,178,636,0.18779,0.25223
1989,30-45 y.,Direct migration background,No,0.48771,458,636,0.44883,0.52658
1989,46-65 y.,No migration background,Yes,0.18366,385,1205,0.16179,0.20554
1989,46-65 y.,No migration background,No,0.38301,820,1205,0.35555,0.41047
1989,46-65 y.,Direct migration background,Yes,0.16543,140,552,0.13440,0.19646
1989,46-65 y.,Direct migration background,No,0.38528,412,552,0.34464,0.42591
1989,66 and older,No migration background,No,0.02782,32,32,-0.03007,0.08572
1990,17-29 y.,No migration background,Yes,0.25087,700,2027,0.23200,0.26975
1990,17-29 y.,No migration background,No,0.43374,1327,2027,0.41215,0.45532
1990,17-29 y.,Direct migration background,Yes,0.19706,118,433,0.15955,0.23457
1990,17-29 y.,Direct migration background,No,0.42147,315,433,0.37491,0.46804
1990,17-29 y.,Indirect migration background,Yes,0.12442,35,141,0.06974,0.17909
1990,17-29 y.,Indirect migration background,No,0.37789,106,141,0.29758,0.45821
1990,30-45 y.,No migration background,Yes,0.32739,1106,2902,0.31031,0.34446
1990,30-45 y.,No migration background,No,0.50033,1796,2902,0.48213,0.51852
1990,30-45 y.,Direct migration background,Yes,0.23163,187,662,0.19947,0.26379
1990,30-45 y.,Direct migration background,No,0.51631,475,662,0.47821,0.55440
1990,46-65 y.,No migration background,Yes,0.21422,714,2152,0.19688,0.23156
1990,46-65 y.,No migration background,No,0.40362,1438,2152,0.38288,0.42435
1990,46-65 y.,Direct migration background,Yes,0.16805,158,618,0.13855,0.19755
1990,46-65 y.,Direct migration background,No,0.41660,460,618,0.37770,0.45550
1990,66 and older,No migration background,No,0.02412,44,44,-0.02174,0.06998
1991,17-29 y.,No migration background,Yes,0.27078,685,1850,0.25053,0.29104
1991,17-29 y.,No migration background,No,0.41027,1165,1850,0.38785,0.43269
1991,17-29 y.,Direct migration background,Yes,0.18585,115,422,0.14869,0.22300
1991,17-29 y.,Direct migration background,No,0.43596,307,422,0.38859,0.48333
1991,17-29 y.,Indirect migration background,Yes,0.13563,45,181,0.08561,0.18565
1991,17-29 y.,Indirect migration background,No,0.46448,136,181,0.39162,0.53734
1991,30-45 y.,No migration background,Yes,0.33341,1095,2860,0.31613,0.35069
1991,30-45 y.,No migration background,No,0.48106,1765,2860,0.46274,0.49937
1991,30-45 y.,Direct migration background,Yes,0.24877,184,638,0.21520,0.28235
1991,30-45 y.,Direct migration background,No,0.49875,454,638,0.45992,0.53758
1991,46-65 y.,No migration background,Yes,0.19822,604,1901,0.18029,0.21614
1991,46-65 y.,No migration background,No,0.39811,1297,1901,0.37610,0.42012
1991,46-65 y.,Direct migration background,Yes,0.17719,153,628,0.14730,0.20707
1991,46-65 y.,Direct migration background,No,0.43081,475,628,0.39205,0.46957
1991,66 and older,No migration background,No,0.02055,32,32,-0.02939,0.07050
1992,17-29 y.,No migration background,Yes,0.30306,730,1684,0.28110,0.32502
1992,17-29 y.,No migration background,No,0.35490,954,1684,0.33204,0.37776
1992,17-29 y.,Direct migration background,Yes,0.15460,105,407,0.11943,0.18977
1992,17-29 y.,Direct migration background,No,0.49291,302,407,0.44428,0.54155
1992,17-29 y.,Indirect migration background,Yes,0.14500,50,204,0.09656,0.19344
1992,17-29 y.,Indirect migration background,No,0.36099,154,204,0.29492,0.42706
1992,30-45 y.,No migration background,Yes,0.34481,1170,2747,0.32703,0.36259
1992,30-45 y.,No migration background,No,0.45364,1577,2747,0.43502,0.47226
1992,30-45 y.,Direct migration background,Yes,0.23574,154,590,0.20146,0.27002
1992,30-45 y.,Direct migration background,No,0.49596,436,590,0.45558,0.53633
1992,46-65 y.,No migration background,Yes,0.19684,602,1727,0.17809,0.21560
1992,46-65 y.,No migration background,No,0.36826,1125,1727,0.34550,0.39101
1992,46-65 y.,Direct migration background,Yes,0.16752,145,584,0.13720,0.19783
1992,46-65 y.,Direct migration background,No,0.40204,439,584,0.36224,0.44184
1993,17-29 y.,No migration background,Yes,0.27891,671,1595,0.25689,0.30092
1993,17-29 y.,No migration background,No,0.36694,924,1595,0.34328,0.39060
1993,17-29 y.,Direct migration background,Yes,0.14263,84,372,0.10704,0.17821
1993,17-29 y.,Direct migration background,No,0.51159,288,372,0.46072,0.56245
1993,17-29 y.,Indirect migration background,Yes,0.14350,71,245,0.09951,0.18749
1993,17-29 y.,Indirect migration background,No,0.40195,174,245,0.34043,0.46346
1993,30-45 y.,No migration background,Yes,0.32211,1132,2734,0.30459,0.33963
1993,30-45 y.,No migration background,No,0.48053,1602,2734,0.46180,0.49926
1993,30-45 y.,Direct migration background,Yes,0.19746,122,553,0.16425,0.23067
1993,30-45 y.,Direct migration background,No,0.52751,431,553,0.48586,0.56916
1993,46-65 y.,No migration background,Yes,0.19038,595,1635,0.17134,0.20941
1993,46-65 y.,No migration background,No,0.36215,1040,1635,0.33885,0.38546
1993,46-65 y.,Direct migration background,Yes,0.15265,128,567,0.12302,0.18228
1993,46-65 y.,Direct migration background,No,0.41887,439,567,0.37822,0.45952
1994,17-29 y.,No migration background,Yes,0.28272,666,1507,0.25998,0.30547
1994,17-29 y.,No migration background,No,0.34756,841,1507,0.32351,0.37161
1994,17-29 y.,Direct migration background,Yes,0.15390,78,298,0.11286,0.19494
1994,17-29 y.,Direct migration background,No,0.40143,220,298,0.34568,0.45718
1994,17-29 y.,Indirect migration background,Yes,0.15305,74,252,0.10851,0.19759
1994,17-29 y.,Indirect migration background,No,0.37121,178,252,0.31144,0.43098
1994,30-45 y.,No migration background,Yes,0.33646,1171,2684,0.31858,0.35434
1994,30-45 y.,No migration background,No,0.45302,1513,2684,0.43418,0.47185
1994,30-45 y.,Direct migration background,Yes,0.24506,137,514,0.20784,0.28228
1994,30-45 y.,Direct migration background,No,0.49797,377,514,0.45470,0.54124
1994,46-65 y.,No migration background,Yes,0.20201,623,1627,0.18249,0.22152
1994,46-65 y.,No migration background,No,0.34879,1004,1627,0.32562,0.37196
1994,46-65 y.,Direct migration background,Yes,0.13625,118,524,0.10685,0.16565
1994,46-65 y.,Direct migration background,No,0.39729,406,524,0.35535,0.43923
1995,17-29 y.,No migration background,Yes,0.28930,665,1465,0.26608,0.31253
1995,17-29 y.,No migration background,No,0.34137,800,1465,0.31708,0.36566
1995,17-29 y.,Direct migration background,Yes,0.19287,110,327,0.15004,0.23570
1995,17-29 y.,Direct migration background,No,0.34416,217,327,0.29258,0.39573
1995,17-29 y.,Indirect migration background,Yes,0.16306,88,259,0.11799,0.20814
1995,17-29 y.,Indirect migration background,No,0.37836,171,259,0.31918,0.43754
1995,30-45 y.,No migration background,Yes,0.37434,1304,2772,0.35632,0.39236
1995,30-45 y.,No migration background,No,0.42043,1468,2772,0.40205,0.43880
1995,30-45 y.,Direct migration background,Yes,0.26196,211,646,0.22803,0.29590
1995,30-45 y.,Direct migration background,No,0.42790,435,646,0.38972,0.46608
1995,46-65 y.,No migration background,Yes,0.21467,653,1676,0.19501,0.23434
1995,46-65 y.,No migration background,No,0.34316,1023,1676,0.32042,0.36589
1995,46-65 y.,Direct migration background,Yes,0.13423,134,547,0.10563,0.16282
1995,46-65 y.,Direct migration background,No,0.36042,413,547,0.32015,0.40069
1996,17-29 y.,No migration background,Yes,0.27712,597,1360,0.25333,0.30092
1996,17-29 y.,No migration background,No,0.34161,763,1360,0.31639,0.36682
1996,17-29 y.,Direct migration background,Yes,0.18876,102,284,0.14316,0.23435
1996,17-29 y.,Direct migration background,No,0.33745,182,284,0.28236,0.39254
1996,17-29 y.,Indirect migration background,Yes,0.17565,89,263,0.12957,0.22172
1996,17-29 y.,Indirect migration background,No,0.35349,174,263,0.29560,0.41137
1996,30-45 y.,No migration background,Yes,0.37653,1319,2799,0.35858,0.39448
1996,30-45 y.,No migration background,No,0.42048,1480,2799,0.40218,0.43877
1996,30-45 y.,Direct migration background,Yes,0.26165,193,614,0.22685,0.29644
1996,30-45 y.,Direct migration background,No,0.44937,421,614,0.41000,0.48875
1996,46-65 y.,No migration background,Yes,0.21317,650,1644,0.19337,0.23298
1996,46-65 y.,No migration background,No,0.33440,994,1644,0.31158,0.35721
1996,46-65 y.,Direct migration background,Yes,0.15027,138,513,0.11932,0.18123
1996,46-65 y.,Direct migration background,No,0.35913,375,513,0.31757,0.40068
1996,66 and older,No migration background,No,0.02255,31,31,-0.03058,0.07568
1997,17-29 y.,No migration background,Yes,0.28049,563,851,0.25029,0.31070
1997,17-29 y.,No migration background,No,0.13412,288,851,0.11121,0.15703
1997,17-29 y.,Direct migration background,Yes,0.19256,90,145,0.12816,0.25697
1997,17-29 y.,Direct migration background,No,0.10150,55,145,0.05218,0.15083
1997,17-29 y.,Indirect migration background,Yes,0.22703,100,150,0.15977,0.29430
1997,17-29 y.,Indirect migration background,No,0.10117,50,150,0.05275,0.14959
1997,30-45 y.,No migration background,Yes,0.38340,1310,1855,0.36127,0.40553
1997,30-45 y.,No migration background,No,0.15461,545,1855,0.13816,0.17107
1997,30-45 y.,Direct migration background,Yes,0.27081,206,310,0.22126,0.32036
1997,30-45 y.,Direct migration background,No,0.11339,104,310,0.07804,0.14874
1997,46-65 y.,No migration background,Yes,0.22449,691,980,0.19835,0.25062
1997,46-65 y.,No migration background,No,0.08965,289,980,0.07175,0.10754
1997,46-65 y.,Direct migration background,Yes,0.17980,141,222,0.12917,0.23043
1997,46-65 y.,Direct migration background,No,0.09155,81,222,0.05353,0.12957
1998,17-29 y.,No migration background,Yes,0.27966,636,926,0.25073,0.30858
1998,17-29 y.,No migration background,No,0.12032,290,926,0.09935,0.14128
1998,17-29 y.,Direct migration background,Yes,0.18283,82,119,0.11309,0.25257
1998,17-29 y.,Direct migration background,No,0.08643,37,119,0.03573,0.13713
1998,17-29 y.,Indirect migration background,Yes,0.18335,90,131,0.11683,0.24987
1998,17-29 y.,Indirect migration background,No,0.09404,41,131,0.04386,0.14421
1998,30-45 y.,No migration background,Yes,0.39051,1529,2125,0.36976,0.41125
1998,30-45 y.,No migration background,No,0.14805,596,2125,0.13294,0.16315
1998,30-45 y.,Direct migration background,Yes,0.26415,192,290,0.21332,0.31498
1998,30-45 y.,Direct migration background,No,0.12452,98,290,0.08646,0.16259
1998,30-45 y.,Indirect migration background,Yes,0.41130,35,35,0.24589,0.57670
1998,46-65 y.,No migration background,Yes,0.21900,789,1151,0.19510,0.24291
1998,46-65 y.,No migration background,No,0.09483,362,1151,0.07790,0.11177
1998,46-65 y.,Direct migration background,Yes,0.16589,139,208,0.11522,0.21657
1998,46-65 y.,Direct migration background,No,0.07535,69,208,0.03939,0.11131
1999,17-29 y.,No migration background,Yes,0.27769,607,876,0.24802,0.30737
1999,17-29 y.,No migration background,No,0.11816,269,876,0.09677,0.13955
1999,17-29 y.,Direct migration background,Yes,0.24245,86,86,0.15134,0.33355
1999,17-29 y.,Indirect migration background,Yes,0.19067,102,145,0.12650,0.25483
1999,17-29 y.,Indirect migration background,No,0.09416,43,145,0.04646,0.14186
1999,30-45 y.,No migration background,Yes,0.39563,1565,2149,0.37495,0.41631
1999,30-45 y.,No migration background,No,0.14840,584,2149,0.13337,0.16343
1999,30-45 y.,Direct migration background,Yes,0.27889,186,273,0.22560,0.33219
1999,30-45 y.,Direct migration background,No,0.09788,87,273,0.06257,0.13320
1999,30-45 y.,Indirect migration background,Yes,0.32041,35,35,0.16356,0.47726
1999,46-65 y.,No migration background,Yes,0.22559,785,1111,0.20100,0.25018
1999,46-65 y.,No migration background,No,0.09578,326,1111,0.07847,0.11309
1999,46-65 y.,Direct migration background,Yes,0.17470,118,174,0.11811,0.23128
1999,46-65 y.,Direct migration background,No,0.07002,56,174,0.03199,0.10805
2000,17-29 y.,No migration background,Yes,0.26135,861,1249,0.23698,0.28573
2000,17-29 y.,No migration background,No,0.12024,388,1249,0.10220,0.13829
2000,17-29 y.,Direct migration background,Yes,0.19460,109,160,0.13307,0.25614
2000,17-29 y.,Direct migration background,No,0.09109,51,160,0.04636,0.13581
2000,17-29 y.,Indirect migration background,Yes,0.20934,121,175,0.14889,0.26979
2000,17-29 y.,Indirect migration background,No,0.08583,54,175,0.04421,0.12745
2000,30-45 y.,No migration background,Yes,0.38621,2609,3653,0.37042,0.40200
2000,30-45 y.,No migration background,No,0.15958,1044,3653,0.14770,0.17146
2000,30-45 y.,Direct migration background,Yes,0.23744,264,421,0.19675,0.27814
2000,30-45 y.,Direct migration background,No,0.12601,157,421,0.09427,0.15775
2000,30-45 y.,Indirect migration background,Yes,0.41054,58,58,0.28283,0.53825
2000,46-65 y.,No migration background,Yes,0.21256,1412,2098,0.19505,0.23007
2000,46-65 y.,No migration background,No,0.10853,686,2098,0.09522,0.12185
2000,46-65 y.,Direct migration background,Yes,0.15174,174,286,0.11009,0.19339
2000,46-65 y.,Direct migration background,No,0.10832,112,286,0.07224,0.14441
2001,17-29 y.,No migration background,Yes,0.26664,767,767,0.23532,0.29795
2001,17-29 y.,Direct migration background,Yes,0.19351,104,104,0.11722,0.26980
2001,17-29 y.,Indirect migration background,Yes,0.21920,113,113,0.14258,0.29581
2001,30-45 y.,No migration background,Yes,0.39847,2404,2404,0.37890,0.41805
2001,30-45 y.,Direct migration background,Yes,0.27363,275,275,0.22084,0.32642
2001,30-45 y.,Indirect migration background,Yes,0.35866,54,54,0.22954,0.48778
2001,46-65 y.,No migration background,Yes,0.22528,1399,1399,0.20338,0.24718
2001,46-65 y.,Direct migration background,Yes,0.16698,163,163,0.10955,0.22442
2002,17-29 y.,No migration background,Yes,0.26020,772,1114,0.23443,0.28598
2002,17-29 y.,No migration background,No,0.10312,342,1114,0.08526,0.12099
2002,17-29 y.,Direct migration background,Yes,0.14695,75,115,0.08196,0.21194
2002,17-29 y.,Direct migration background,No,0.10108,40,115,0.04574,0.15641
2002,17-29 y.,Indirect migration background,Yes,0.18629,102,144,0.12247,0.25010
2002,17-29 y.,Indirect migration background,No,0.09452,42,144,0.04657,0.14247
2002,30-45 y.,No migration background,Yes,0.38613,2452,3414,0.36980,0.40247
2002,30-45 y.,No migration background,No,0.16025,962,3414,0.14794,0.17256
2002,30-45 y.,Direct migration background,Yes,0.22291,229,341,0.17867,0.26715
2002,30-45 y.,Direct migration background,No,0.10329,112,341,0.07094,0.13564
2002,30-45 y.,Indirect migration background,Yes,0.32308,63,63,0.20667,0.43949
2002,46-65 y.,No migration background,Yes,0.21709,1725,2427,0.20069,0.23350
2002,46-65 y.,No migration background,No,0.10255,702,2427,0.09048,0.11463
2002,46-65 y.,Direct migration background,Yes,0.13201,157,256,0.09046,0.17356
2002,46-65 y.,Direct migration background,No,0.10278,99,256,0.06551,0.14006
2003,17-29 y.,No migration background,Yes,0.25902,755,1091,0.23301,0.28503
2003,17-29 y.,No migration background,No,0.10766,336,1091,0.08926,0.12607
2003,17-29 y.,Direct migration background,Yes,0.17269,65,98,0.09747,0.24791
2003,17-29 y.,Direct migration background,No,0.09632,33,98,0.03761,0.15504
2003,17-29 y.,Indirect migration background,Yes,0.20955,99,148,0.14376,0.27535
2003,17-29 y.,Indirect migration background,No,0.10832,49,148,0.05808,0.15855
2003,30-45 y.,No migration background,Yes,0.38802,2270,3169,0.37105,0.40499
2003,30-45 y.,No migration background,No,0.15658,899,3169,0.14392,0.16923
2003,30-45 y.,Direct migration background,Yes,0.22090,207,313,0.17487,0.26694
2003,30-45 y.,Direct migration background,No,0.10911,106,313,0.07451,0.14370
2003,30-45 y.,Indirect migration background,Yes,0.31363,61,92,0.21830,0.40896
2003,30-45 y.,Indirect migration background,No,0.15196,31,92,0.07820,0.22571
2003,46-65 y.,No migration background,Yes,0.22745,1687,2385,0.21063,0.24428
