year,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,male,Yes,0.21034,1340,3769,0.19733,0.22335
1986,male,No,0.34261,2429,3769,0.32745,0.35776
1986,female,Yes,0.08429,507,2382,0.07313,0.09545
1986,female,No,0.25132,1875,2382,0.23390,0.26874
1988,male,Yes,0.21278,1273,3551,0.19932,0.22625
1988,male,No,0.34145,2278,3551,0.32585,0.35705
1988,female,Yes,0.09506,560,2292,0.08305,0.10707
1988,female,No,0.25305,1732,2292,0.23525,0.27086
1989,male,Yes,0.22860,1301,3462,0.21461,0.24259
1989,male,No,0.33091,2161,3462,0.31523,0.34658
1989,female,Yes,0.10344,607,2285,0.09095,0.11593
1989,female,No,0.25303,1678,2285,0.23520,0.27086
1990,male,Yes,0.23483,1970,5130,0.22323,0.24643
1990,male,No,0.33786,3160,5130,0.32492,0.35081
1990,female,Yes,0.11597,1058,3873,0.10589,0.12606
1990,female,No,0.27680,2815,3873,0.26271,0.29089
1991,male,Yes,0.23535,1901,4898,0.22347,0.24724
1991,male,No,0.32708,2997,4898,0.31394,0.34022
1991,female,Yes,0.11680,993,3643,0.10637,0.12723
1991,female,No,0.26839,2650,3643,0.25400,0.28279
1992,male,Yes,0.23909,1899,4615,0.22679,0.25140
1992,male,No,0.30609,2716,4615,0.29279,0.31939
1992,female,Yes,0.12323,1068,3376,0.11214,0.13432
1992,female,No,0.24311,2308,3376,0.22863,0.25758
1993,male,Yes,0.22087,1780,4445,0.20867,0.23306
1993,male,No,0.31432,2665,4445,0.30067,0.32797
1993,female,Yes,0.11584,1036,3315,0.10495,0.12674
1993,female,No,0.25197,2279,3315,0.23719,0.26675
1994,male,Yes,0.22676,1815,4265,0.21419,0.23933
1994,male,No,0.29836,2450,4265,0.28463,0.31209
1994,female,Yes,0.12119,1066,3204,0.10989,0.13249
1994,female,No,0.23523,2138,3204,0.22054,0.24992
1995,male,Yes,0.24043,2008,4431,0.22784,0.25301
1995,male,No,0.28307,2423,4431,0.26980,0.29633
1995,female,Yes,0.13037,1174,3333,0.11894,0.14180
1995,female,No,0.22456,2159,3333,0.21039,0.23872
1996,male,Yes,0.23824,1946,4291,0.22549,0.25099
1996,male,No,0.27805,2345,4291,0.26464,0.29145
1996,female,Yes,0.13076,1171,3274,0.11921,0.14231
1996,female,No,0.22511,2103,3274,0.21080,0.23941
1997,male,Yes,0.24255,1914,2750,0.22653,0.25858
1997,male,No,0.09597,836,2750,0.08496,0.10698
1997,female,Yes,0.13885,1213,1802,0.12288,0.15482
1997,female,No,0.06497,589,1802,0.05359,0.07635
1998,male,Yes,0.24345,2150,3012,0.22812,0.25878
1998,male,No,0.09125,862,3012,0.08096,0.10153
1998,female,Yes,0.13661,1351,1990,0.12151,0.15170
1998,female,No,0.06425,639,1990,0.05348,0.07503
1999,male,Yes,0.24241,2127,2935,0.22691,0.25792
1999,male,No,0.09079,808,2935,0.08039,0.10118
1999,female,Yes,0.14530,1366,1965,0.12971,0.16089
1999,female,No,0.06262,599,1965,0.05190,0.07333
2000,male,Yes,0.23421,3476,4904,0.22235,0.24606
2000,male,No,0.10055,1428,4904,0.09213,0.10897
2000,female,Yes,0.13353,2142,3225,0.12179,0.14527
2000,female,No,0.06860,1083,3225,0.05988,0.07733
2001,male,Yes,0.23589,3168,3168,0.22111,0.25068
2001,female,Yes,0.14572,2123,2123,0.13071,0.16073
2002,male,Yes,0.22023,3281,4600,0.20826,0.23221
2002,male,No,0.09506,1319,4600,0.08658,0.10353
2002,female,Yes,0.14028,2315,3329,0.12848,0.15208
2002,female,No,0.06555,1014,3329,0.05714,0.07396
2003,male,Yes,0.22174,3084,4260,0.20926,0.23421
2003,male,No,0.08858,1176,4260,0.08004,0.09711
2003,female,Yes,0.14341,2215,3296,0.13144,0.15538
2003,female,No,0.07016,1081,3296,0.06144,0.07888
2004,male,Yes,0.22221,3003,4119,0.20952,0.23491
2004,male,No,0.08605,1116,4119,0.07748,0.09461
2004,female,Yes,0.14158,2165,3161,0.12943,0.15374
2004,female,No,0.06844,996,3161,0.05964,0.07725
2005,male,Yes,0.22096,2781,3793,0.20775,0.23416
2005,male,No,0.08547,1012,3793,0.07657,0.09437
2005,female,Yes,0.14415,2016,2954,0.13148,0.15682
2005,female,No,0.07001,938,2954,0.06080,0.07921
2006,male,Yes,0.23342,3046,4051,0.22039,0.24645
2006,male,No,0.08481,1005,4051,0.07623,0.09339
2006,female,Yes,0.16048,2395,3399,0.14814,0.17283
2006,female,No,0.06787,1004,3399,0.05941,0.07633
2007,male,Yes,0.24514,2928,3823,0.23150,0.25878
2007,male,No,0.07537,895,3823,0.06700,0.08374
2007,female,Yes,0.16288,2220,3120,0.14993,0.17584
2007,female,No,0.06551,900,3120,0.05683,0.07420
2008,male,Yes,0.25112,2750,3685,0.23711,0.26512
2008,male,No,0.08741,935,3685,0.07829,0.09653
2008,female,Yes,0.17386,2215,3139,0.16060,0.18712
2008,female,No,0.07373,924,3139,0.06459,0.08288
2009,male,Yes,0.23460,2320,3235,0.22000,0.24921
2009,male,No,0.08863,915,3235,0.07883,0.09842
2009,female,Yes,0.16932,1963,2802,0.15543,0.18321
2009,female,No,0.07632,839,2802,0.06649,0.08615
2010,male,Yes,0.22351,3221,4568,0.21143,0.23559
2010,male,No,0.09876,1347,4568,0.09010,0.10741
2010,female,Yes,0.17372,2556,3793,0.16166,0.18578
2010,female,No,0.08618,1237,3793,0.07725,0.09512
2011,male,Yes,0.25195,4095,5389,0.24036,0.26354
2011,male,No,0.08018,1294,5389,0.07293,0.08743
2011,female,Yes,0.18529,3403,4735,0.17422,0.19636
