year,age_gr,quintil_oecd,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,1st Quintile,Yes,0.11872,63,280,0.08076,0.15667
1986,17-29 y.,1st Quintile,No,0.32852,217,280,0.27341,0.38363
1986,17-29 y.,2nd Quintile,Yes,0.16726,80,343,0.12771,0.20682
1986,17-29 y.,2nd Quintile,No,0.42638,263,343,0.37396,0.47879
1986,17-29 y.,3rd Quintile,Yes,0.20098,115,398,0.16156,0.24040
1986,17-29 y.,3rd Quintile,No,0.46244,283,398,0.41339,0.51148
1986,17-29 y.,4th Quintile,Yes,0.28873,164,495,0.24877,0.32869
1986,17-29 y.,4th Quintile,No,0.45516,331,495,0.41125,0.49908
1986,17-29 y.,5th Quintile,Yes,0.27163,135,369,0.22619,0.31708
1986,17-29 y.,5th Quintile,No,0.46980,234,369,0.41881,0.52079
1986,30-45 y.,1st Quintile,Yes,0.11916,66,303,0.08262,0.15570
1986,30-45 y.,1st Quintile,No,0.36171,237,303,0.30751,0.41590
1986,30-45 y.,2nd Quintile,Yes,0.24580,149,448,0.20589,0.28572
1986,30-45 y.,2nd Quintile,No,0.41276,299,448,0.36712,0.45840
1986,30-45 y.,3rd Quintile,Yes,0.25343,151,501,0.21530,0.29155
1986,30-45 y.,3rd Quintile,No,0.49358,350,501,0.44976,0.53740
1986,30-45 y.,4th Quintile,Yes,0.33438,188,513,0.29351,0.37524
1986,30-45 y.,4th Quintile,No,0.46834,325,513,0.42511,0.51156
1986,30-45 y.,5th Quintile,Yes,0.31506,205,584,0.27735,0.35277
1986,30-45 y.,5th Quintile,No,0.54897,379,584,0.50858,0.58937
1986,46-65 y.,1st Quintile,Yes,0.04444,36,182,0.01442,0.07446
1986,46-65 y.,1st Quintile,No,0.19156,146,182,0.13423,0.24889
1986,46-65 y.,2nd Quintile,Yes,0.10114,57,262,0.06456,0.13773
1986,46-65 y.,2nd Quintile,No,0.32771,205,262,0.27076,0.38465
1986,46-65 y.,3rd Quintile,Yes,0.17408,113,393,0.13654,0.21162
1986,46-65 y.,3rd Quintile,No,0.39561,280,393,0.34720,0.44402
1986,46-65 y.,4th Quintile,Yes,0.20348,147,496,0.16801,0.23895
1986,46-65 y.,4th Quintile,No,0.42724,349,496,0.38366,0.47082
1986,46-65 y.,5th Quintile,Yes,0.23100,177,554,0.19587,0.26613
1986,46-65 y.,5th Quintile,No,0.47077,377,554,0.42917,0.51237
1988,17-29 y.,1st Quintile,Yes,0.14704,81,285,0.10585,0.18823
1988,17-29 y.,1st Quintile,No,0.30722,204,285,0.25356,0.36088
1988,17-29 y.,2nd Quintile,Yes,0.19120,105,331,0.14877,0.23363
1988,17-29 y.,2nd Quintile,No,0.38131,226,331,0.32890,0.43372
1988,17-29 y.,3rd Quintile,Yes,0.20905,125,393,0.16879,0.24930
1988,17-29 y.,3rd Quintile,No,0.44782,268,393,0.39859,0.49705
1988,17-29 y.,4th Quintile,Yes,0.24695,130,437,0.20647,0.28743
1988,17-29 y.,4th Quintile,No,0.46784,307,437,0.42100,0.51467
1988,17-29 y.,5th Quintile,Yes,0.32445,133,337,0.27439,0.37451
1988,17-29 y.,5th Quintile,No,0.45266,204,337,0.39943,0.50588
1988,30-45 y.,1st Quintile,Yes,0.14372,72,274,0.10210,0.18533
1988,30-45 y.,1st Quintile,No,0.34463,202,274,0.28825,0.40101
1988,30-45 y.,2nd Quintile,Yes,0.24372,147,448,0.20392,0.28352
1988,30-45 y.,2nd Quintile,No,0.45839,301,448,0.41220,0.50458
1988,30-45 y.,3rd Quintile,Yes,0.23173,138,459,0.19309,0.27038
1988,30-45 y.,3rd Quintile,No,0.53453,321,459,0.48884,0.58021
1988,30-45 y.,4th Quintile,Yes,0.34131,163,464,0.29812,0.38450
1988,30-45 y.,4th Quintile,No,0.48466,301,464,0.43913,0.53018
1988,30-45 y.,5th Quintile,Yes,0.35416,207,537,0.31368,0.39465
1988,30-45 y.,5th Quintile,No,0.53529,330,537,0.49307,0.57752
1988,46-65 y.,1st Quintile,Yes,0.05319,35,169,0.01926,0.08713
1988,46-65 y.,1st Quintile,No,0.22594,134,169,0.16270,0.28918
1988,46-65 y.,2nd Quintile,Yes,0.11905,69,254,0.07914,0.15895
1988,46-65 y.,2nd Quintile,No,0.30360,185,254,0.24694,0.36026
1988,46-65 y.,3rd Quintile,Yes,0.17381,105,382,0.13576,0.21187
1988,46-65 y.,3rd Quintile,No,0.41618,277,382,0.36668,0.46568
1988,46-65 y.,4th Quintile,Yes,0.20463,138,487,0.16876,0.24050
1988,46-65 y.,4th Quintile,No,0.43066,349,487,0.38664,0.47469
1988,46-65 y.,5th Quintile,Yes,0.26519,182,551,0.22830,0.30208
