year,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,Yes,0.14969,1461,4864,0.13967,0.15972
1986,Urban regions,No,0.29463,3403,4864,0.28182,0.30745
1986,Rural regions,Yes,0.12881,386,1287,0.11050,0.14712
1986,Rural regions,No,0.29588,901,1287,0.27094,0.32083
1988,Urban regions,Yes,0.15919,1467,4637,0.14866,0.16972
1988,Urban regions,No,0.29553,3170,4637,0.28239,0.30866
1988,Rural regions,Yes,0.12856,366,1206,0.10966,0.14746
1988,Rural regions,No,0.29598,840,1206,0.27021,0.32176
1989,Urban regions,Yes,0.16988,1527,4588,0.15901,0.18075
1989,Urban regions,No,0.29309,3061,4588,0.27992,0.30626
1989,Rural regions,Yes,0.14431,381,1159,0.12407,0.16455
1989,Rural regions,No,0.28258,778,1159,0.25665,0.30852
1990,Urban regions,Yes,0.17907,1943,5589,0.16901,0.18912
1990,Urban regions,No,0.29643,3646,5589,0.28445,0.30840
1990,Rural regions,Yes,0.16097,1058,3345,0.14851,0.17342
1990,Rural regions,No,0.32729,2287,3345,0.31139,0.34319
1991,Urban regions,Yes,0.18550,1946,5468,0.17519,0.19580
1991,Urban regions,No,0.28940,3522,5468,0.27738,0.30142
1991,Rural regions,Yes,0.15042,925,3011,0.13765,0.16319
1991,Rural regions,No,0.31268,2086,3011,0.29612,0.32924
1992,Urban regions,Yes,0.18761,1953,5216,0.17702,0.19821
1992,Urban regions,No,0.27271,3263,5216,0.26063,0.28480
1992,Rural regions,Yes,0.16123,984,2695,0.14734,0.17512
1992,Rural regions,No,0.27611,1711,2695,0.25923,0.29299
1993,Urban regions,Yes,0.17174,1839,5151,0.16144,0.18204
1993,Urban regions,No,0.28844,3312,5151,0.27607,0.30081
1993,Rural regions,Yes,0.15677,977,2609,0.14281,0.17072
1993,Rural regions,No,0.26922,1632,2609,0.25220,0.28625
1994,Urban regions,Yes,0.17795,1873,4924,0.16727,0.18864
1994,Urban regions,No,0.26958,3051,4924,0.25719,0.28198
1994,Rural regions,Yes,0.16099,1008,2545,0.14671,0.17527
1994,Rural regions,No,0.25814,1537,2545,0.24113,0.27514
1995,Urban regions,Yes,0.19357,2111,5070,0.18269,0.20444
1995,Urban regions,No,0.24846,2959,5070,0.23657,0.26036
1995,Rural regions,Yes,0.16379,1071,2694,0.14982,0.17777
1995,Rural regions,No,0.26289,1623,2694,0.24626,0.27951
1996,Urban regions,Yes,0.18895,2058,4939,0.17803,0.19987
1996,Urban regions,No,0.24980,2881,4939,0.23772,0.26187
1996,Rural regions,Yes,0.17072,1059,2626,0.15633,0.18512
1996,Rural regions,No,0.25348,1567,2626,0.23684,0.27012
1997,Urban regions,Yes,0.19542,2045,2904,0.18099,0.20984
1997,Urban regions,No,0.07676,859,2904,0.06707,0.08644
1997,Rural regions,Yes,0.17671,1082,1648,0.15829,0.19514
1997,Rural regions,No,0.08748,566,1648,0.07383,0.10112
1998,Urban regions,Yes,0.19374,2285,3160,0.17996,0.20752
1998,Urban regions,No,0.07256,875,3160,0.06351,0.08161
1998,Rural regions,Yes,0.17824,1216,1842,0.16076,0.19573
1998,Rural regions,No,0.08796,626,1842,0.07502,0.10089
1999,Urban regions,Yes,0.19667,2281,3111,0.18270,0.21064
1999,Urban regions,No,0.07280,830,3111,0.06367,0.08193
1999,Rural regions,Yes,0.18438,1212,1789,0.16640,0.20235
1999,Rural regions,No,0.08425,577,1789,0.07137,0.09712
2000,Urban regions,Yes,0.18629,3688,5259,0.17577,0.19681
2000,Urban regions,No,0.08288,1571,5259,0.07542,0.09033
2000,Rural regions,Yes,0.17532,1930,2870,0.16141,0.18924
2000,Rural regions,No,0.08710,940,2870,0.07678,0.09742
2001,Urban regions,Yes,0.19324,3497,3497,0.18015,0.20632
2001,Rural regions,Yes,0.18268,1794,1794,0.16479,0.20057
2002,Urban regions,Yes,0.18315,3786,5241,0.17267,0.19362
2002,Urban regions,No,0.07617,1455,5241,0.06899,0.08335
2002,Rural regions,Yes,0.17165,1810,2688,0.15739,0.18591
2002,Rural regions,No,0.08816,878,2688,0.07744,0.09888
2003,Urban regions,Yes,0.18390,3575,4992,0.17315,0.19464
2003,Urban regions,No,0.07463,1417,4992,0.06734,0.08192
2003,Rural regions,Yes,0.17734,1724,2564,0.16256,0.19213
2003,Rural regions,No,0.08902,840,2564,0.07799,0.10004
2004,Urban regions,Yes,0.18389,3461,4819,0.17295,0.19483
2004,Urban regions,No,0.07556,1358,4819,0.06809,0.08302
2004,Rural regions,Yes,0.17515,1707,2461,0.16013,0.19017
2004,Rural regions,No,0.08039,754,2461,0.06964,0.09113
2005,Urban regions,Yes,0.18726,3272,4463,0.17581,0.19870
2005,Urban regions,No,0.07312,1191,4463,0.06549,0.08076
2005,Rural regions,Yes,0.17009,1525,2284,0.15468,0.18550
2005,Rural regions,No,0.08725,759,2284,0.07567,0.09883
2006,Urban regions,Yes,0.20245,3689,4908,0.19121,0.21369
2006,Urban regions,No,0.07139,1219,4908,0.06419,0.07860
2006,Rural regions,Yes,0.18331,1752,2542,0.16826,0.19835
2006,Rural regions,No,0.08628,790,2542,0.07536,0.09719
2007,Urban regions,Yes,0.20975,3449,4512,0.19787,0.22164
2007,Urban regions,No,0.06327,1063,4512,0.05617,0.07038
2007,Rural regions,Yes,0.18960,1699,2431,0.17401,0.20519
2007,Rural regions,No,0.08531,732,2431,0.07420,0.09641
