year,age_gr,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,West,Yes,0.21115,558,1886,0.19273,0.22958
1986,17-29 y.,West,No,0.42799,1328,1886,0.40565,0.45032
1986,30-45 y.,West,Yes,0.26373,759,2349,0.24591,0.28156
1986,30-45 y.,West,No,0.46654,1590,2349,0.44636,0.48672
1986,46-65 y.,West,Yes,0.16322,530,1887,0.14654,0.17990
1986,46-65 y.,West,No,0.37926,1357,1887,0.35737,0.40116
1988,17-29 y.,West,Yes,0.22400,574,1784,0.20465,0.24335
1988,17-29 y.,West,No,0.41559,1210,1784,0.39271,0.43846
1988,30-45 y.,West,Yes,0.27358,727,2182,0.25487,0.29229
1988,30-45 y.,West,No,0.48062,1455,2182,0.45966,0.50159
1988,46-65 y.,West,Yes,0.17816,529,1843,0.16068,0.19563
1988,46-65 y.,West,No,0.39274,1314,1843,0.37044,0.41504
1988,66 and older,West,No,0.02599,31,31,-0.03094,0.08292
1989,17-29 y.,West,Yes,0.24907,615,1801,0.22909,0.26905
1989,17-29 y.,West,No,0.40380,1186,1801,0.38113,0.42647
1989,30-45 y.,West,Yes,0.29816,764,2148,0.27881,0.31751
1989,30-45 y.,West,No,0.47408,1384,2148,0.45296,0.49521
1989,46-65 y.,West,Yes,0.18208,528,1765,0.16407,0.20009
1989,46-65 y.,West,No,0.38296,1237,1765,0.36028,0.40565
1989,66 and older,West,No,0.02623,32,32,-0.03003,0.08249
1990,17-29 y.,West,Yes,0.24895,602,1736,0.22860,0.26930
1990,17-29 y.,West,No,0.40386,1134,1736,0.38078,0.42695
1990,17-29 y.,East,Yes,0.22140,251,865,0.19372,0.24909
1990,17-29 y.,East,No,0.53558,614,865,0.50233,0.56884
1990,30-45 y.,West,Yes,0.31192,788,2167,0.29241,0.33143
1990,30-45 y.,West,No,0.47766,1379,2167,0.45663,0.49870
1990,30-45 y.,East,Yes,0.33693,509,1411,0.31226,0.36160
1990,30-45 y.,East,No,0.59786,902,1411,0.57227,0.62346
1990,46-65 y.,West,Yes,0.20583,560,1719,0.18672,0.22495
1990,46-65 y.,West,No,0.37080,1159,1719,0.34796,0.39364
1990,46-65 y.,East,Yes,0.22092,315,1058,0.19591,0.24593
1990,46-65 y.,East,No,0.54493,743,1058,0.51491,0.57495
1991,17-29 y.,West,Yes,0.27791,665,1779,0.25709,0.29873
1991,17-29 y.,West,No,0.39243,1114,1779,0.36973,0.41513
1991,17-29 y.,East,Yes,0.18594,180,674,0.15654,0.21533
1991,17-29 y.,East,No,0.49873,494,674,0.46096,0.53651
1991,30-45 y.,West,Yes,0.33387,853,2220,0.31424,0.35349
1991,30-45 y.,West,No,0.45782,1367,2220,0.43709,0.47855
1991,30-45 y.,East,Yes,0.28687,435,1295,0.26222,0.31151
