year,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,Yes,0.14934,1417,4229,0.13860,0.16008
1986,No migration background,No,0.29251,2812,4229,0.27879,0.30622
1986,Direct migration background,Yes,0.14091,412,1834,0.12498,0.15684
1986,Direct migration background,No,0.39765,1422,1834,0.37525,0.42006
1986,Indirect migration background,No,0.06613,70,70,0.00749,0.12476
1988,No migration background,Yes,0.15697,1388,4030,0.14574,0.16821
1988,No migration background,No,0.29540,2642,4030,0.28132,0.30949
1988,Direct migration background,Yes,0.15147,418,1697,0.13441,0.16853
1988,Direct migration background,No,0.38885,1279,1697,0.36565,0.41205
1988,Indirect migration background,No,0.06555,89,89,0.01384,0.11726
1989,No migration background,Yes,0.17015,1438,3969,0.15846,0.18184
1989,No migration background,No,0.29224,2531,3969,0.27809,0.30639
1989,Direct migration background,Yes,0.16072,438,1648,0.14299,0.17846
1989,Direct migration background,No,0.36809,1210,1648,0.34480,0.39138
1989,Indirect migration background,Yes,0.02998,32,130,0.00055,0.05941
1989,Indirect migration background,No,0.06286,98,130,0.02098,0.10475
1990,No migration background,Yes,0.17956,2523,7128,0.17064,0.18847
1990,No migration background,No,0.30772,4605,7128,0.29700,0.31844
1990,Direct migration background,Yes,0.16873,463,1713,0.15099,0.18647
1990,Direct migration background,No,0.38876,1250,1713,0.36567,0.41185
1990,Indirect migration background,Yes,0.03084,42,162,0.00414,0.05755
1990,Indirect migration background,No,0.06715,120,162,0.02849,0.10582
1991,No migration background,Yes,0.18036,2385,6644,0.17112,0.18961
1991,No migration background,No,0.29615,4259,6644,0.28517,0.30713
1991,Direct migration background,Yes,0.17366,452,1692,0.15561,0.19172
1991,Direct migration background,No,0.39337,1240,1692,0.37009,0.41665
1991,Indirect migration background,Yes,0.03691,57,205,0.01103,0.06278
1991,Indirect migration background,No,0.08889,148,205,0.04983,0.12794
1992,No migration background,Yes,0.18769,2502,6179,0.17796,0.19743
1992,No migration background,No,0.26956,3677,6179,0.25850,0.28063
1992,Direct migration background,Yes,0.16218,404,1584,0.14402,0.18033
1992,Direct migration background,No,0.39264,1180,1584,0.36859,0.41670
1992,Indirect migration background,Yes,0.04557,61,228,0.01844,0.07270
1992,Indirect migration background,No,0.09312,167,228,0.05531,0.13092
1993,No migration background,Yes,0.17580,2398,5987,0.16616,0.18545
1993,No migration background,No,0.27639,3589,5987,0.26507,0.28772
1993,Direct migration background,Yes,0.14212,334,1495,0.12441,0.15982
1993,Direct migration background,No,0.40991,1161,1495,0.38497,0.43485
1993,Indirect migration background,Yes,0.05328,84,278,0.02683,0.07973
