year,bula_h,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Schleswig-Holstein,Yes,0.17839,67,191,0.12395,0.23283
1986,Schleswig-Holstein,No,0.29355,124,191,0.22879,0.35830
1986,Hamburg,Yes,0.18324,48,142,0.11939,0.24710
1986,Hamburg,No,0.26834,94,142,0.19520,0.34147
1986,Lower Saxony,Yes,0.14802,200,597,0.11951,0.17653
1986,Lower Saxony,No,0.27046,397,597,0.23480,0.30612
1986,Bremen,No,0.24870,35,35,0.10340,0.39400
1986,North Rhine-Westphalia,Yes,0.12501,434,1571,0.10865,0.14137
1986,North Rhine-Westphalia,No,0.28838,1137,1571,0.26597,0.31079
1986,Hesse,Yes,0.16497,195,618,0.13568,0.19426
1986,Hesse,No,0.28432,423,618,0.24873,0.31992
1986,"Rhineland-Palatinate, Saarland",Yes,0.12095,120,418,0.08965,0.15225
1986,"Rhineland-Palatinate, Saarland",No,0.29894,298,418,0.25500,0.34288
1986,Baden-Wuerttemberg,Yes,0.16638,394,1272,0.14591,0.18685
1986,Baden-Wuerttemberg,No,0.30909,878,1272,0.28369,0.33450
1986,Bavaria,Yes,0.14277,319,1077,0.12186,0.16367
1986,Bavaria,No,0.31240,758,1077,0.28471,0.34010
1986,Berlin,Yes,0.15179,58,218,0.10404,0.19953
1986,Berlin,No,0.32733,160,218,0.26489,0.38976
1988,Schleswig-Holstein,Yes,0.16053,65,183,0.10720,0.21386
1988,Schleswig-Holstein,No,0.25522,118,183,0.19188,0.31857
1988,Hamburg,Yes,0.27689,52,115,0.19475,0.35903
1988,Hamburg,No,0.21150,63,115,0.13654,0.28647
1988,Lower Saxony,Yes,0.14236,188,587,0.11407,0.17065
1988,Lower Saxony,No,0.29624,399,587,0.25927,0.33321
1988,North Rhine-Westphalia,Yes,0.14558,473,1497,0.12771,0.16346
1988,North Rhine-Westphalia,No,0.28350,1024,1497,0.26066,0.30634
1988,Hesse,Yes,0.13659,156,586,0.10876,0.16442
1988,Hesse,No,0.28638,430,586,0.24974,0.32301
1988,"Rhineland-Palatinate, Saarland",Yes,0.13807,123,388,0.10370,0.17244
1988,"Rhineland-Palatinate, Saarland",No,0.28158,265,388,0.23677,0.32639
1988,Baden-Wuerttemberg,Yes,0.17284,392,1195,0.15140,0.19429
1988,Baden-Wuerttemberg,No,0.30777,803,1195,0.28158,0.33395
1988,Bavaria,Yes,0.14555,304,1030,0.12400,0.16710
1988,Bavaria,No,0.32837,726,1030,0.29967,0.35706
1988,Berlin,Yes,0.15467,60,216,0.10633,0.20300
1988,Berlin,No,0.35466,156,216,0.29071,0.41861
1989,Schleswig-Holstein,Yes,0.13265,52,173,0.08196,0.18335
1989,Schleswig-Holstein,No,0.29025,121,173,0.22242,0.35809
