year,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,West,Yes,0.14452,1847,6151,0.13574,0.15331
1986,West,No,0.29494,4304,6151,0.28355,0.30634
1988,West,Yes,0.15177,1833,5843,0.14257,0.16097
1988,West,No,0.29564,4010,5843,0.28394,0.30734
1989,West,Yes,0.16383,1908,5747,0.15426,0.17340
1989,West,No,0.29060,3839,5747,0.27886,0.30234
1990,West,Yes,0.17395,1951,5650,0.16406,0.18383
1990,West,No,0.28854,3699,5650,0.27672,0.30035
1990,East,Yes,0.17157,1077,3353,0.15881,0.18434
1990,East,No,0.37404,2276,3353,0.35766,0.39043
1991,West,Yes,0.18399,2085,5762,0.17398,0.19400
1991,West,No,0.28176,3677,5762,0.27014,0.29338
1991,East,Yes,0.13689,809,2779,0.12411,0.14967
1991,East,No,0.35420,1970,2779,0.33641,0.37198
1992,West,Yes,0.18006,2013,5603,0.17000,0.19013
1992,West,No,0.27715,3590,5603,0.26543,0.28887
1992,East,Yes,0.17724,954,2388,0.16192,0.19256
1992,East,No,0.26017,1434,2388,0.24257,0.27777
1993,West,Yes,0.16314,1851,5538,0.15341,0.17287
1993,West,No,0.29383,3687,5538,0.28183,0.30582
1993,East,Yes,0.18212,965,2222,0.16607,0.19818
1993,East,No,0.23702,1257,2222,0.21934,0.25471
1994,West,Yes,0.16704,1867,5278,0.15698,0.17711
1994,West,No,0.27579,3411,5278,0.26374,0.28785
1994,East,Yes,0.19504,1014,2191,0.17845,0.21164
1994,East,No,0.22651,1177,2191,0.20898,0.24404
1995,West,Yes,0.18091,2176,5573,0.17081,0.19102
1995,West,No,0.25667,3397,5573,0.24520,0.26814
1995,East,Yes,0.19706,1006,2191,0.18040,0.21372
1995,East,No,0.23808,1185,2191,0.22024,0.25592
1996,West,Yes,0.18176,2159,5445,0.17151,0.19200
1996,West,No,0.25542,3286,5445,0.24383,0.26700
1996,East,Yes,0.18953,958,2120,0.17284,0.20622
1996,East,No,0.23184,1162,2120,0.21387,0.24981
1997,West,Yes,0.18783,2159,3143,0.17417,0.20149
1997,West,No,0.07760,984,3143,0.06824,0.08695
1997,East,Yes,0.19682,968,1409,0.17605,0.21759
1997,East,No,0.09102,441,1409,0.07600,0.10605
1998,West,Yes,0.18647,2465,3475,0.17352,0.19942
1998,West,No,0.07337,1010,3475,0.06470,0.08204
1998,East,Yes,0.19889,1036,1527,0.17886,0.21892
1998,East,No,0.09489,491,1527,0.08018,0.10959
1999,West,Yes,0.19127,2462,3404,0.17806,0.20449
1999,West,No,0.07202,942,3404,0.06333,0.08071
1999,East,Yes,0.19955,1031,1496,0.17929,0.21981
1999,East,No,0.09567,465,1496,0.08076,0.11058
2000,West,Yes,0.18386,4230,6061,0.17410,0.19361
2000,West,No,0.08253,1831,6061,0.07560,0.08946
2000,East,Yes,0.17808,1388,2068,0.16158,0.19457
2000,East,No,0.09163,680,2068,0.07919,0.10407
2001,West,Yes,0.18915,3947,3947,0.17693,0.20137
2001,East,Yes,0.19311,1344,1344,0.17200,0.21422
2002,West,Yes,0.18013,4272,5968,0.17038,0.18988
2002,West,No,0.07725,1696,5968,0.07047,0.08402
2002,East,Yes,0.17646,1324,1961,0.15958,0.19333
2002,East,No,0.09242,637,1961,0.07960,0.10525
2003,West,Yes,0.18264,4025,5698,0.17261,0.19267
2003,West,No,0.07742,1673,5698,0.07048,0.08436
2003,East,Yes,0.17810,1274,1858,0.16070,0.19550
2003,East,No,0.08717,584,1858,0.07434,0.10000
2004,West,Yes,0.18233,3917,5474,0.17210,0.19256
2004,West,No,0.07597,1557,5474,0.06895,0.08299
2004,East,Yes,0.17567,1251,1806,0.15811,0.19323
2004,East,No,0.08218,555,1806,0.06951,0.09485
2005,West,Yes,0.18355,3648,5060,0.17289,0.19422
2005,West,No,0.07572,1412,5060,0.06843,0.08301
2005,East,Yes,0.17395,1149,1687,0.15586,0.19205
2005,East,No,0.08615,538,1687,0.07275,0.09954
2006,West,Yes,0.19861,4158,5635,0.18819,0.20903
2006,West,No,0.07444,1477,5635,0.06758,0.08129
2006,East,Yes,0.18576,1283,1815,0.16787,0.20366
2006,East,No,0.08409,532,1815,0.07132,0.09686
2007,West,Yes,0.20536,3904,5164,0.19434,0.21638
2007,West,No,0.06626,1260,5164,0.05948,0.07305
2007,East,Yes,0.19384,1244,1779,0.17546,0.21221
2007,East,No,0.08888,535,1779,0.07565,0.10211
2008,West,Yes,0.21340,3750,5087,0.20214,0.22466
2008,West,No,0.07669,1337,5087,0.06937,0.08400
2008,East,Yes,0.20442,1215,1737,0.18545,0.22339
2008,East,No,0.09775,522,1737,0.08378,0.11172
2009,West,Yes,0.20325,3196,4467,0.19145,0.21505
2009,West,No,0.07992,1271,4467,0.07196,0.08787
2009,East,Yes,0.19312,1087,1570,0.17359,0.21265
2009,East,No,0.09336,483,1570,0.07896,0.10776
2010,West,Yes,0.19846,4472,6434,0.18871,0.20820
2010,West,No,0.08992,1962,6434,0.08293,0.09691
2010,East,Yes,0.19696,1305,1927,0.17920,0.21472
2010,East,No,0.10377,622,1927,0.09015,0.11739
2011,West,Yes,0.21896,5900,7851,0.20981,0.22811
2011,West,No,0.07273,1951,7851,0.06699,0.07848
2011,East,Yes,0.21302,1598,2273,0.19618,0.22985
2011,East,No,0.09054,675,2273,0.07874,0.10234
2012,West,Yes,0.22192,5850,8083,0.21286,0.23098
2012,West,No,0.08374,2233,8083,0.07771,0.08978
2012,East,Yes,0.20691,1571,2260,0.19020,0.22361
2012,East,No,0.09994,689,2260,0.08757,0.11231
2013,West,Yes,0.21249,6437,8824,0.20396,0.22103
2013,West,No,0.07907,2387,8824,0.07344,0.08470
2013,East,Yes,0.20938,1530,2160,0.19221,0.22654
2013,East,No,0.08969,630,2160,0.07764,0.10174
2014,West,Yes,0.22180,5758,7973,0.21268,0.23092
2014,West,No,0.07888,2215,7973,0.07297,0.08480
2014,East,Yes,0.21049,1417,1992,0.19258,0.22839
2014,East,No,0.09286,575,1992,0.08011,0.10561
2015,West,Yes,0.23037,5873,7636,0.22092,0.23981
2015,West,No,0.06833,1763,7636,0.06267,0.07399
2015,East,Yes,0.21887,1383,1863,0.20008,0.23765
2015,East,No,0.08278,480,1863,0.07026,0.09530
2016,West,Yes,0.23945,5530,7206,0.22959,0.24930
2016,West,No,0.07135,1676,7206,0.06541,0.07729
2016,East,Yes,0.22523,1346,1820,0.20603,0.24442
2016,East,No,0.08516,474,1820,0.07233,0.09799
2017,West,Yes,0.22241,5948,7761,0.21316,0.23167
2017,West,No,0.06867,1813,7761,0.06304,0.07429
2017,East,Yes,0.22183,1440,1974,0.20349,0.24016
2017,East,No,0.07118,534,1974,0.05984,0.08253
