year,age_gr,quintil_oecd,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,30-45 y.,4th Quintile,Important,0.51389,209,378,0.46344,0.56434
1990,30-45 y.,4th Quintile,Less important,0.15386,63,378,0.11744,0.19028
1990,30-45 y.,5th Quintile,Very important,0.27462,146,535,0.23677,0.31248
1990,30-45 y.,5th Quintile,Important,0.56243,315,535,0.52036,0.60451
1990,30-45 y.,5th Quintile,Less important,0.12987,74,535,0.10136,0.15839
1990,46-65 y.,1st Quintile,Important,0.28904,97,229,0.23020,0.34789
1990,46-65 y.,1st Quintile,Less important,0.19461,62,229,0.14322,0.24600
1990,46-65 y.,1st Quintile,Unimportant,0.21994,70,229,0.16618,0.27371
1990,46-65 y.,2nd Quintile,Very important,0.11874,43,298,0.08195,0.15553
1990,46-65 y.,2nd Quintile,Important,0.39523,136,298,0.33962,0.45083
1990,46-65 y.,2nd Quintile,Less important,0.16970,62,298,0.12700,0.21239
1990,46-65 y.,2nd Quintile,Unimportant,0.16461,57,298,0.12243,0.20678
1990,46-65 y.,3rd Quintile,Very important,0.13462,64,394,0.10087,0.16836
1990,46-65 y.,3rd Quintile,Important,0.42974,196,394,0.38079,0.47868
1990,46-65 y.,3rd Quintile,Less important,0.12792,61,394,0.09490,0.16095
1990,46-65 y.,3rd Quintile,Unimportant,0.18185,73,394,0.14372,0.21999
1990,46-65 y.,4th Quintile,Very important,0.18438,100,512,0.15076,0.21801
1990,46-65 y.,4th Quintile,Important,0.52768,290,512,0.48439,0.57096
1990,46-65 y.,4th Quintile,Less important,0.13011,82,512,0.10094,0.15928
1990,46-65 y.,4th Quintile,Unimportant,0.07036,40,512,0.04819,0.09254
1990,46-65 y.,5th Quintile,Very important,0.17453,113,580,0.14361,0.20545
1990,46-65 y.,5th Quintile,Important,0.51327,318,580,0.47255,0.55398
1990,46-65 y.,5th Quintile,Less important,0.18200,108,580,0.15057,0.21343
1990,46-65 y.,5th Quintile,Unimportant,0.06517,41,580,0.04506,0.08527
1990,66 and older,1st Quintile,Important,0.15301,47,244,0.10775,0.19828
1990,66 and older,1st Quintile,Less important,0.20059,55,244,0.15024,0.25094
1990,66 and older,1st Quintile,Unimportant,0.53259,142,244,0.46986,0.59532
1990,66 and older,2nd Quintile,Important,0.16826,39,189,0.11478,0.22173
1990,66 and older,2nd Quintile,Less important,0.14850,33,189,0.09767,0.19933
1990,66 and older,2nd Quintile,Unimportant,0.55373,117,189,0.48267,0.62479
1990,66 and older,3rd Quintile,Important,0.21148,41,151,0.14613,0.27683
1990,66 and older,3rd Quintile,Less important,0.16279,31,151,0.10371,0.22187
1990,66 and older,3rd Quintile,Unimportant,0.39566,79,151,0.31740,0.47391
1990,66 and older,4th Quintile,Important,0.22924,42,99,0.14602,0.31246
1990,66 and older,4th Quintile,Unimportant,0.33716,57,99,0.24356,0.43075
1990,66 and older,5th Quintile,Important,0.26657,46,100,0.17947,0.35367
1990,66 and older,5th Quintile,Unimportant,0.33441,54,100,0.24147,0.42734
1992,17-29 y.,1st Quintile,Very important,0.37517,232,499,0.33265,0.41770
1992,17-29 y.,1st Quintile,Important,0.37906,221,499,0.33645,0.42167
1992,17-29 y.,1st Quintile,Less important,0.07589,46,499,0.05263,0.09915
1992,17-29 y.,2nd Quintile,Very important,0.33463,236,564,0.29566,0.37361
1992,17-29 y.,2nd Quintile,Important,0.42689,273,564,0.38603,0.46775
1992,17-29 y.,2nd Quintile,Less important,0.09511,55,564,0.07088,0.11935
1992,17-29 y.,3rd Quintile,Very important,0.36347,223,532,0.32256,0.40438
1992,17-29 y.,3rd Quintile,Important,0.41030,257,532,0.36846,0.45214
1992,17-29 y.,3rd Quintile,Less important,0.09382,52,532,0.06902,0.11862
1992,17-29 y.,4th Quintile,Very important,0.31377,192,558,0.27523,0.35231
1992,17-29 y.,4th Quintile,Important,0.49603,302,558,0.45451,0.53755
1992,17-29 y.,4th Quintile,Less important,0.10427,64,558,0.07889,0.12966
1992,17-29 y.,5th Quintile,Very important,0.35771,178,492,0.31532,0.40011
1992,17-29 y.,5th Quintile,Important,0.50995,267,492,0.46573,0.55416
1992,17-29 y.,5th Quintile,Less important,0.08767,47,492,0.06266,0.11269
1992,30-45 y.,1st Quintile,Very important,0.27285,252,667,0.23902,0.30667
1992,30-45 y.,1st Quintile,Important,0.45315,351,667,0.41535,0.49096
1992,30-45 y.,1st Quintile,Less important,0.11833,64,667,0.09380,0.14286
1992,30-45 y.,2nd Quintile,Very important,0.28171,297,831,0.25111,0.31232
1992,30-45 y.,2nd Quintile,Important,0.46732,432,831,0.43338,0.50126
1992,30-45 y.,2nd Quintile,Less important,0.13093,102,831,0.10798,0.15388
1992,30-45 y.,3rd Quintile,Very important,0.24508,220,694,0.21305,0.27710
1992,30-45 y.,3rd Quintile,Important,0.47382,367,694,0.43664,0.51100
1992,30-45 y.,3rd Quintile,Less important,0.16007,107,694,0.13277,0.18737
1992,30-45 y.,4th Quintile,Very important,0.20466,144,614,0.17272,0.23660
1992,30-45 y.,4th Quintile,Important,0.56386,374,614,0.52460,0.60312
1992,30-45 y.,4th Quintile,Less important,0.13558,96,614,0.10848,0.16268
1992,30-45 y.,5th Quintile,Very important,0.28041,208,688,0.24682,0.31400
1992,30-45 y.,5th Quintile,Important,0.58371,398,688,0.54684,0.62057
1992,30-45 y.,5th Quintile,Less important,0.10824,82,688,0.08501,0.13147
1992,46-65 y.,1st Quintile,Very important,0.10991,84,525,0.08313,0.13669
1992,46-65 y.,1st Quintile,Important,0.25997,176,525,0.22241,0.29753
1992,46-65 y.,1st Quintile,Less important,0.15118,87,525,0.12051,0.18185
1992,46-65 y.,1st Quintile,Unimportant,0.28245,178,525,0.24390,0.32099
1992,46-65 y.,2nd Quintile,Very important,0.18688,126,531,0.15369,0.22006
1992,46-65 y.,2nd Quintile,Important,0.35530,237,531,0.31455,0.39604
1992,46-65 y.,2nd Quintile,Less important,0.11697,66,531,0.08961,0.14433
1992,46-65 y.,2nd Quintile,Unimportant,0.19406,102,531,0.16039,0.22773
1992,46-65 y.,3rd Quintile,Very important,0.20812,158,572,0.17482,0.24141
1992,46-65 y.,3rd Quintile,Important,0.40246,265,572,0.36223,0.44268
1992,46-65 y.,3rd Quintile,Less important,0.12053,79,572,0.09383,0.14724
1992,46-65 y.,3rd Quintile,Unimportant,0.12531,70,572,0.09815,0.15246
1992,46-65 y.,4th Quintile,Very important,0.17018,147,677,0.14185,0.19851
1992,46-65 y.,4th Quintile,Important,0.45974,346,677,0.42217,0.49731
1992,46-65 y.,4th Quintile,Less important,0.15988,113,677,0.13226,0.18751
1992,46-65 y.,4th Quintile,Unimportant,0.09541,71,677,0.07326,0.11755
1992,46-65 y.,5th Quintile,Very important,0.20271,165,786,0.17459,0.23083
1992,46-65 y.,5th Quintile,Important,0.52563,442,786,0.49070,0.56056
1992,46-65 y.,5th Quintile,Less important,0.15418,122,786,0.12891,0.17944
1992,46-65 y.,5th Quintile,Unimportant,0.06557,57,786,0.04825,0.08288
1992,66 and older,1st Quintile,Important,0.13401,58,412,0.10107,0.16694
1992,66 and older,1st Quintile,Less important,0.12109,64,412,0.08955,0.15262
1992,66 and older,1st Quintile,Unimportant,0.57447,290,412,0.52667,0.62227
1992,66 and older,2nd Quintile,Important,0.19349,55,246,0.14402,0.24296
1992,66 and older,2nd Quintile,Less important,0.13164,37,246,0.08931,0.17398
1992,66 and older,2nd Quintile,Unimportant,0.52900,154,246,0.46650,0.59151
1992,66 and older,3rd Quintile,Important,0.21760,50,162,0.15386,0.28134
1992,66 and older,3rd Quintile,Unimportant,0.50229,112,162,0.42505,0.57952
1992,66 and older,4th Quintile,Important,0.16085,34,170,0.10546,0.21625
1992,66 and older,4th Quintile,Less important,0.14687,34,170,0.09350,0.20024
1992,66 and older,4th Quintile,Unimportant,0.49031,102,170,0.41494,0.56568
1992,66 and older,5th Quintile,Important,0.23993,46,123,0.16415,0.31571
1992,66 and older,5th Quintile,Unimportant,0.38162,77,123,0.29542,0.46783
1995,17-29 y.,1st Quintile,Very important,0.38255,231,516,0.34057,0.42452
1995,17-29 y.,1st Quintile,Important,0.38414,246,516,0.34213,0.42614
1995,17-29 y.,1st Quintile,Less important,0.06052,39,516,0.03993,0.08112
1995,17-29 y.,2nd Quintile,Very important,0.34763,204,465,0.30430,0.39096
1995,17-29 y.,2nd Quintile,Important,0.38993,219,465,0.34555,0.43431
1995,17-29 y.,2nd Quintile,Less important,0.08263,42,465,0.05758,0.10768
1995,17-29 y.,3rd Quintile,Very important,0.35925,224,576,0.32003,0.39847
1995,17-29 y.,3rd Quintile,Important,0.46323,301,576,0.42247,0.50399
1995,17-29 y.,3rd Quintile,Less important,0.10193,51,576,0.07720,0.12666
1995,17-29 y.,4th Quintile,Very important,0.36658,225,571,0.32702,0.40614
1995,17-29 y.,4th Quintile,Important,0.47404,294,571,0.43305,0.51503
1995,17-29 y.,4th Quintile,Less important,0.08376,52,571,0.06102,0.10650
1995,17-29 y.,5th Quintile,Very important,0.34042,158,440,0.29609,0.38475
1995,17-29 y.,5th Quintile,Important,0.51526,238,440,0.46851,0.56202
1995,17-29 y.,5th Quintile,Less important,0.09709,44,440,0.06940,0.12479
1995,30-45 y.,1st Quintile,Very important,0.23015,191,630,0.19726,0.26305
1995,30-45 y.,1st Quintile,Important,0.49048,359,630,0.45142,0.52955
1995,30-45 y.,1st Quintile,Less important,0.11064,80,630,0.08612,0.13515
1995,30-45 y.,2nd Quintile,Very important,0.24198,242,831,0.21284,0.27111
1995,30-45 y.,2nd Quintile,Important,0.46681,462,831,0.43287,0.50075
1995,30-45 y.,2nd Quintile,Less important,0.18522,127,831,0.15879,0.21165
1995,30-45 y.,3rd Quintile,Very important,0.24129,226,808,0.21177,0.27081
1995,30-45 y.,3rd Quintile,Important,0.51409,452,808,0.47961,0.54858
1995,30-45 y.,3rd Quintile,Less important,0.15707,130,808,0.13197,0.18218
1995,30-45 y.,4th Quintile,Very important,0.23092,188,758,0.20090,0.26094
1995,30-45 y.,4th Quintile,Important,0.60044,471,758,0.56555,0.63533
1995,30-45 y.,4th Quintile,Less important,0.12380,99,758,0.10034,0.14726
1995,30-45 y.,5th Quintile,Very important,0.27548,208,746,0.24340,0.30756
1995,30-45 y.,5th Quintile,Important,0.57004,444,746,0.53449,0.60559
1995,30-45 y.,5th Quintile,Less important,0.13179,94,746,0.10750,0.15608
1995,46-65 y.,1st Quintile,Very important,0.14776,81,407,0.11324,0.18228
1995,46-65 y.,1st Quintile,Important,0.26177,152,407,0.21901,0.30453
1995,46-65 y.,1st Quintile,Less important,0.14014,64,407,0.10638,0.17391
1995,46-65 y.,1st Quintile,Unimportant,0.23066,110,407,0.18968,0.27163
1995,46-65 y.,2nd Quintile,Very important,0.15750,100,502,0.12560,0.18940
1995,46-65 y.,2nd Quintile,Important,0.33967,218,502,0.29820,0.38115
1995,46-65 y.,2nd Quintile,Less important,0.12944,82,502,0.10004,0.15883
1995,46-65 y.,2nd Quintile,Unimportant,0.19477,102,502,0.16009,0.22945
1995,46-65 y.,3rd Quintile,Very important,0.17760,138,564,0.14603,0.20917
1995,46-65 y.,3rd Quintile,Important,0.43224,287,564,0.39132,0.47316
1995,46-65 y.,3rd Quintile,Less important,0.12414,73,564,0.09690,0.15138
1995,46-65 y.,3rd Quintile,Unimportant,0.13208,66,564,0.10412,0.16005
1995,46-65 y.,4th Quintile,Very important,0.17065,159,725,0.14324,0.19805
1995,46-65 y.,4th Quintile,Important,0.45830,378,725,0.42200,0.49459
1995,46-65 y.,4th Quintile,Less important,0.16872,116,725,0.14144,0.19600
1995,46-65 y.,4th Quintile,Unimportant,0.09337,72,725,0.07218,0.11457
1995,46-65 y.,5th Quintile,Very important,0.20021,193,859,0.17344,0.22699
1995,46-65 y.,5th Quintile,Important,0.53535,486,859,0.50197,0.56872
1995,46-65 y.,5th Quintile,Less important,0.14195,130,859,0.11859,0.16530
1995,46-65 y.,5th Quintile,Unimportant,0.05743,50,859,0.04186,0.07300
1995,66 and older,1st Quintile,Important,0.20760,56,222,0.15412,0.26107
1995,66 and older,1st Quintile,Less important,0.14427,42,222,0.09794,0.19059
1995,66 and older,1st Quintile,Unimportant,0.43712,124,222,0.37173,0.50252
1995,66 and older,2nd Quintile,Important,0.21231,87,320,0.16744,0.25719
1995,66 and older,2nd Quintile,Less important,0.12529,55,320,0.08896,0.16162
1995,66 and older,2nd Quintile,Unimportant,0.46063,178,320,0.40593,0.51533
1995,66 and older,3rd Quintile,Important,0.22750,72,228,0.17296,0.28203
1995,66 and older,3rd Quintile,Less important,0.11318,35,228,0.07197,0.15439
1995,66 and older,3rd Quintile,Unimportant,0.37250,121,228,0.30960,0.43539
1995,66 and older,4th Quintile,Very important,0.10753,32,237,0.06801,0.14706
1995,66 and older,4th Quintile,Important,0.23557,57,237,0.18143,0.28971
1995,66 and older,4th Quintile,Less important,0.11676,31,237,0.07579,0.15773
1995,66 and older,4th Quintile,Unimportant,0.41448,117,237,0.35163,0.47733
1995,66 and older,5th Quintile,Important,0.25305,52,125,0.17653,0.32957
1995,66 and older,5th Quintile,Unimportant,0.33228,73,125,0.24937,0.41519
2004,17-29 y.,1st Quintile,Very important,0.39149,353,881,0.35925,0.42374
2004,17-29 y.,1st Quintile,Important,0.48791,443,881,0.45489,0.52094
2004,17-29 y.,1st Quintile,Less important,0.08774,85,881,0.06905,0.10643
2004,17-29 y.,2nd Quintile,Very important,0.40178,292,717,0.36586,0.43769
2004,17-29 y.,2nd Quintile,Important,0.46411,363,717,0.42758,0.50064
2004,17-29 y.,2nd Quintile,Less important,0.09979,62,717,0.07784,0.12175
2004,17-29 y.,3rd Quintile,Very important,0.37758,298,730,0.34239,0.41277
2004,17-29 y.,3rd Quintile,Important,0.53604,380,730,0.49984,0.57224
2004,17-29 y.,3rd Quintile,Less important,0.06241,52,730,0.04485,0.07996
