year,migback,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Very important,0.13159,1412,6341,0.12327,0.13992
1990,No migration background,Important,0.30294,3167,6341,0.29163,0.31425
1990,No migration background,Less important,0.09997,1014,6341,0.09258,0.10735
1990,No migration background,Unimportant,0.08993,748,6341,0.08288,0.09697
1990,Direct migration background,Very important,0.10400,108,418,0.07470,0.13330
1990,Direct migration background,Important,0.18130,183,418,0.14432,0.21827
1990,Direct migration background,Less important,0.06290,59,418,0.03960,0.08621
1990,Direct migration background,Unimportant,0.08289,68,418,0.05643,0.10936
1992,No migration background,Very important,0.19166,2786,9985,0.18394,0.19938
1992,No migration background,Important,0.36422,4676,9985,0.35478,0.37366
1992,No migration background,Less important,0.11196,1290,9985,0.10577,0.11814
1992,No migration background,Unimportant,0.12903,1233,9985,0.12246,0.13561
1992,Direct migration background,Very important,0.11250,136,555,0.08619,0.13881
1992,Direct migration background,Important,0.20990,233,555,0.17599,0.24381
1992,Direct migration background,Less important,0.06896,72,555,0.04786,0.09006
1992,Direct migration background,Unimportant,0.09948,114,555,0.07455,0.12440
1992,Indirect migration background,Important,0.04769,43,43,-0.01676,0.11213
1995,No migration background,Very important,0.18056,2519,9526,0.17284,0.18829
1995,No migration background,Important,0.37649,4786,9526,0.36676,0.38622
1995,No migration background,Less important,0.11277,1243,9526,0.10641,0.11912
1995,No migration background,Unimportant,0.10783,978,9526,0.10160,0.11406
1995,Direct migration background,Very important,0.17211,303,1084,0.14963,0.19459
1995,Direct migration background,Important,0.26443,486,1084,0.23817,0.29070
1995,Direct migration background,Less important,0.08340,153,1084,0.06694,0.09987
1995,Direct migration background,Unimportant,0.09612,142,1084,0.07857,0.11368
1995,Indirect migration background,Very important,0.06832,52,113,0.02159,0.11504
1995,Indirect migration background,Important,0.06696,61,113,0.02067,0.11326
2004,No migration background,Very important,0.15918,3767,17271,0.15372,0.16463
2004,No migration background,Important,0.40893,9133,17271,0.40159,0.41626
2004,No migration background,Less important,0.12645,2651,17271,0.12150,0.13141
2004,No migration background,Unimportant,0.09888,1720,17271,0.09443,0.10333
2004,Direct migration background,Very important,0.20360,510,2408,0.18752,0.21969
2004,Direct migration background,Important,0.40926,1122,2408,0.38961,0.42890
2004,Direct migration background,Less important,0.19553,514,2408,0.17968,0.21137
2004,Direct migration background,Unimportant,0.09881,262,2408,0.08688,0.11073
2004,Indirect migration background,Very important,0.16362,306,761,0.13732,0.18992
2004,Indirect migration background,Important,0.19577,378,761,0.16756,0.22398
2004,Indirect migration background,Less important,0.03888,77,761,0.02514,0.05263
2008,No migration background,Very important,0.14441,2944,15694,0.13891,0.14991
2008,No migration background,Important,0.41679,8291,15694,0.40908,0.42450
2008,No migration background,Less important,0.12737,2501,15694,0.12215,0.13258
2008,No migration background,Unimportant,0.10977,1958,15694,0.10488,0.11466
2008,Direct migration background,Very important,0.20484,372,1819,0.18629,0.22340
2008,Direct migration background,Important,0.41784,816,1819,0.39516,0.44051
2008,Direct migration background,Less important,0.18111,368,1819,0.16341,0.19882
2008,Direct migration background,Unimportant,0.12719,263,1819,0.11187,0.14250
2008,Indirect migration background,Very important,0.17322,283,736,0.14586,0.20058
2008,Indirect migration background,Important,0.24260,360,736,0.21161,0.27359
2008,Indirect migration background,Less important,0.05835,93,736,0.04140,0.07530
2012,No migration background,Very important,0.14676,4123,21714,0.14205,0.15147
2012,No migration background,Important,0.40485,11571,21714,0.39832,0.41138
2012,No migration background,Less important,0.13536,3851,21714,0.13081,0.13991
2012,No migration background,Unimportant,0.09380,2169,21714,0.08993,0.09768
2012,Direct migration background,Very important,0.21958,760,2978,0.20471,0.23445
2012,Direct migration background,Important,0.43707,1434,2978,0.41925,0.45489
2012,Direct migration background,Less important,0.14950,508,2978,0.13669,0.16231
2012,Direct migration background,Unimportant,0.09903,276,2978,0.08830,0.10976
2012,Indirect migration background,Very important,0.15383,410,1172,0.13316,0.17449
2012,Indirect migration background,Important,0.23738,602,1172,0.21301,0.26175
2012,Indirect migration background,Less important,0.05301,160,1172,0.04018,0.06584
2016,No migration background,Very important,0.12122,2574,16596,0.11625,0.12618
2016,No migration background,Important,0.40465,8627,16596,0.39719,0.41212
2016,No migration background,Less important,0.16969,3597,16596,0.16398,0.17540
2016,No migration background,Unimportant,0.09694,1798,16596,0.09244,0.10144
2016,Direct migration background,Very important,0.22348,1309,4817,0.21171,0.23524
2016,Direct migration background,Important,0.42598,2426,4817,0.41202,0.43995
2016,Direct migration background,Less important,0.14345,751,4817,0.13355,0.15335
2016,Direct migration background,Unimportant,0.08726,331,4817,0.07929,0.09523
2016,Indirect migration background,Very important,0.17765,514,1447,0.15795,0.19735
2016,Indirect migration background,Important,0.25676,761,1447,0.23424,0.27928
2016,Indirect migration background,Less important,0.06420,172,1447,0.05157,0.07684
2021,No migration background,Very important,0.10138,1602,12248,0.09603,0.10673
2021,No migration background,Important,0.39822,6476,12248,0.38955,0.40689
2021,No migration background,Less important,0.18942,2933,12248,0.18248,0.19636
2021,No migration background,Unimportant,0.09070,1237,12248,0.08562,0.09579
2021,Direct migration background,Very important,0.19021,889,2913,0.17596,0.20447
2021,Direct migration background,Important,0.40215,1428,2913,0.38434,0.41996
2021,Direct migration background,Less important,0.16589,455,2913,0.15238,0.17940
2021,Direct migration background,Unimportant,0.05595,141,2913,0.04760,0.06429
2021,Indirect migration background,Very important,0.10065,202,898,0.08096,0.12034
2021,Indirect migration background,Important,0.25878,515,898,0.23012,0.28744
2021,Indirect migration background,Less important,0.09678,181,898,0.07743,0.11613
