year,age_gr,migback,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Very important,0.26393,593,1739,0.24321,0.28466
1990,17-29 y.,No migration background,Important,0.40326,922,1739,0.38020,0.42632
1990,17-29 y.,No migration background,Less important,0.08017,192,1739,0.06740,0.09293
1990,17-29 y.,No migration background,Unimportant,0.01365,32,1739,0.00819,0.01910
1990,17-29 y.,Direct migration background,Very important,0.16216,35,75,0.07818,0.24615
1990,17-29 y.,Direct migration background,Important,0.16556,40,75,0.08087,0.25025
1990,30-45 y.,No migration background,Very important,0.18186,448,1897,0.16449,0.19922
1990,30-45 y.,No migration background,Important,0.43925,1073,1897,0.41691,0.46159
1990,30-45 y.,No migration background,Less important,0.12946,326,1897,0.11435,0.14457
1990,30-45 y.,No migration background,Unimportant,0.01937,50,1897,0.01316,0.02557
1990,30-45 y.,Direct migration background,Very important,0.10360,33,99,0.04326,0.16393
1990,30-45 y.,Direct migration background,Important,0.21261,66,99,0.13160,0.29361
1990,46-65 y.,No migration background,Very important,0.11696,305,1868,0.10238,0.13153
1990,46-65 y.,No migration background,Important,0.38208,969,1868,0.36003,0.40412
1990,46-65 y.,No migration background,Less important,0.13494,347,1868,0.11944,0.15044
1990,46-65 y.,No migration background,Unimportant,0.10270,247,1868,0.08893,0.11648
1990,46-65 y.,Direct migration background,Very important,0.09862,36,134,0.04795,0.14929
1990,46-65 y.,Direct migration background,Important,0.19302,65,134,0.12594,0.26009
1990,46-65 y.,Direct migration background,Unimportant,0.10223,33,134,0.05074,0.15371
1990,66 and older,No migration background,Very important,0.05170,66,837,0.03669,0.06671
1990,66 and older,No migration background,Important,0.16129,203,837,0.13636,0.18622
1990,66 and older,No migration background,Less important,0.13094,149,837,0.10807,0.15380
1990,66 and older,No migration background,Unimportant,0.37249,419,837,0.33972,0.40526
1992,17-29 y.,No migration background,Very important,0.38208,1009,2558,0.36325,0.40092
1992,17-29 y.,No migration background,Important,0.49208,1258,2558,0.47270,0.51146
1992,17-29 y.,No migration background,Less important,0.10325,253,2558,0.09145,0.11504
1992,17-29 y.,No migration background,Unimportant,0.01711,38,2558,0.01208,0.02214
1992,17-29 y.,Direct migration background,Very important,0.14445,35,69,0.06089,0.22801
1992,17-29 y.,Direct migration background,Important,0.17271,34,69,0.08286,0.26255
1992,30-45 y.,No migration background,Very important,0.27418,1078,3421,0.25923,0.28913
1992,30-45 y.,No migration background,Important,0.54841,1829,3421,0.53173,0.56509
1992,30-45 y.,No migration background,Less important,0.14088,429,3421,0.12922,0.15254
1992,30-45 y.,No migration background,Unimportant,0.03030,85,3421,0.02455,0.03604
1992,30-45 y.,Direct migration background,Very important,0.12230,42,124,0.06440,0.18020
1992,30-45 y.,Direct migration background,Important,0.24090,82,124,0.16533,0.31647
1992,46-65 y.,No migration background,Very important,0.18972,627,2857,0.17534,0.20410
1992,46-65 y.,No migration background,Important,0.45045,1363,2857,0.43220,0.46870
1992,46-65 y.,No migration background,Less important,0.15403,435,2857,0.14079,0.16726
1992,46-65 y.,No migration background,Unimportant,0.14694,432,2857,0.13395,0.15992
1992,46-65 y.,Direct migration background,Very important,0.11235,52,229,0.07136,0.15335
1992,46-65 y.,Direct migration background,Important,0.22292,100,229,0.16889,0.27694
1992,46-65 y.,Direct migration background,Less important,0.07805,31,229,0.04323,0.11287
1992,46-65 y.,Direct migration background,Unimportant,0.08601,46,229,0.04961,0.12240
1992,66 and older,No migration background,Very important,0.05234,72,1149,0.03946,0.06523
1992,66 and older,No migration background,Important,0.18009,226,1149,0.15786,0.20232
1992,66 and older,No migration background,Less important,0.12700,173,1149,0.10774,0.14626
1992,66 and older,No migration background,Unimportant,0.51444,678,1149,0.48553,0.54335
