year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,5809,11.28823352487459,11.259930576334172,11.316536473415008,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1984,female,6063,10.517254488262946,10.493394563180944,10.541114413344948,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1985,male,5239,11.322995336227413,11.2927991039535,11.353191568501325,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1985,female,5452,10.566582613056674,10.541054525543272,10.592110700570077,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1986,male,5049,11.351772212830182,11.3208233283258,11.382721097334565,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1986,female,5200,10.615954046166955,10.589585122431208,10.642322969902702,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1987,male,4992,11.372137463402169,11.341078733021561,11.403196193782776,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1987,female,5109,10.660145519385987,10.63299174045821,10.687299298313762,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1988,male,4750,11.403908137535497,11.371911475174672,11.435904799896322,10.5,10.5,11.507952751245655,8.988070873131516,13.019881878114138,10.5,10.5,10.5
1988,female,4871,10.691075216232612,10.663158397258876,10.718992035206348,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1989,male,4581,11.454224679465248,11.421076604640911,11.487372754289586,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5
1989,female,4721,10.719786760711806,10.690923013103605,10.748650508320006,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1990,male,6550,11.563548683443823,11.535846629125556,11.59125073776209,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5
1990,female,6923,10.870603101960086,10.846537531111856,10.894668672808315,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1991,male,6432,11.604618691067307,11.576126650891899,11.633110731242715,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1991,female,6755,10.910506213240465,10.885742334388086,10.935270092092845,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1992,male,6250,11.614488489482659,11.585420732490777,11.64355624647454,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5
1992,female,6622,10.944561357248734,10.91932911351806,10.969793600979408,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1993,male,6154,11.630484645392022,11.600796178172006,11.660173112612037,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1993,female,6495,10.972634563622131,10.946890368708553,10.99837875853571,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1994,male,5972,11.671511245046212,11.641300612247782,11.70172187784464,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1994,female,6357,11.03441324744674,11.007748264350433,11.061078230543046,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1995,male,6111,11.704586251189898,11.674783001179124,11.734389501200672,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1995,female,6532,11.09154879248606,11.06506682141058,11.11803076356154,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1996,male,5990,11.71972070532929,11.689527767143813,11.749913643514768,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1996,female,6402,11.116844640562682,11.090201806444359,11.143487474681006,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1997,male,5882,11.734044163516527,11.703472538338243,11.764615788694812,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1997,female,6259,11.125243752481731,11.098308945169128,11.152178559794335,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1998,male,6373,11.720773576259115,11.691407507400486,11.750139645117743,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1998,female,6802,11.17303017845619,11.146779526176635,11.199280830735743,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1999,male,6264,11.726458607637106,11.696788909743837,11.756128305530375,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1999,female,6688,11.197724924154972,11.171015120853335,11.22443472745661,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
2000,male,11324,11.959874159077119,11.93753487819888,11.982213439955357,10.5,11.0,13.0,7.0,16.75,11.0,11.0,11.0
2000,female,12231,11.453620694936669,11.433563493065083,11.473677896808255,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
2001,male,10201,12.01396915307634,11.990346760264783,12.037591545887897,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0
2001,female,11047,11.51644325847862,11.495213960719338,11.537672556237903,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
2002,male,10718,11.972593679556164,11.949839280121365,11.995348078990963,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0
2002,female,11483,11.49227041392555,11.471677687089457,11.512863140761642,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
2003,male,10237,11.985606700728864,11.962172454731327,12.009040946726401,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0
2003,female,11033,11.55170253407071,11.530284934210476,11.573120133930944,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
2004,male,9899,12.00028208826937,11.976391159249674,12.024173017289067,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0
2004,female,10741,11.543038548984384,11.521418416464876,11.564658681503893,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
2005,male,9384,12.005399717973521,11.980714964202798,12.030084471744244,10.5,11.5,13.0,7.0,16.75,11.5,11.5,12.0
2005,female,10265,11.60673418051971,11.584354550145814,11.629113810893607,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
2006,male,10063,12.082518264376516,12.058114503661328,12.106922025091704,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5
2006,female,11101,11.656217189149931,11.634359467544662,11.6780749107552,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
2007,male,9393,12.143566262851458,12.118196999923162,12.168935525779753,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5
2007,female,10341,11.730083763269208,11.707034316363265,11.753133210175152,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.0
2008,male,8802,12.17961244707077,12.15325141267859,12.20597348146295,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5
