"year","bula_h","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Bayern","Laendlicher Raum","10.71","10.25","808","9","9","11","12","18","10.57","10.85","7","18","10.5","10.5"
"1987","Bayern","Staedtischer Raum","11.36","10.25","867","9","10.5","12","15","18","11.2","11.52","7","18","10.5","10.5"
"1987","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Bremen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Hamburg","Laendlicher Raum","12.45","10","4","9","9","14","18","18","6.22","18.68","9","18","",""
"1987","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Hessen","Staedtischer Raum","11.37","10.25","881","9","10","12","15","18","11.2","11.54","7","18","10.5","10.5"
"1987","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Niedersachsen","Laendlicher Raum","10.77","10.25","561","9","9","11.5","13","18","10.6","10.94","7","18","10.5","10.5"
"1987","Niedersachsen","Staedtischer Raum","11.2","10.25","508","9","10","11.5","14.5","18","10.99","11.41","7","18","10.5","10.5"
"1987","Nordrhein-Westfalen","Laendlicher Raum","10.97","10.25","69","9","10.5","11.5","13","18","10.56","11.38","7","18","10.5","11"
"1987","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.54","10.25","607","9","9","11","12","18","10.38","10.7","7","18","10.5","10.5"
"1987","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Bayern","Laendlicher Raum","10.68","10.25","762","9","9","11","12","18","10.54","10.82","7","18","10.5","10.5"
"1988","Bayern","Staedtischer Raum","11.41","10.25","833","9","10.5","12","15","18","11.25","11.57","7","18","10.5","10.5"
"1988","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Bremen","Staedtischer Raum","10.71","10.25","99","9","9","11.5","13.5","18","10.36","11.06","7","18","10.5","10.5"
"1988","Hamburg","Laendlicher Raum","12.28","10","4","9","9","14","18","18","6.05","18.51","9","18","",""
"1988","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Hessen","Staedtischer Raum","11.34","10.25","835","9","10","11.5","15","18","11.17","11.51","7","18","10.5","10.5"
"1988","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Niedersachsen","Laendlicher Raum","10.8","10.25","514","9","9","11.5","13","18","10.62","10.98","7","18","10.5","10.5"
"1988","Niedersachsen","Staedtischer Raum","11.22","10.25","496","9","10","11.5","15","18","11.01","11.43","7","18","10.5","10.5"
"1988","Nordrhein-Westfalen","Laendlicher Raum","11.04","10.25","70","9","10.5","11.5","13","18","10.58","11.5","7","18","10.5","11"
"1988","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.6","10.25","590","9","9","11","12","18","10.44","10.76","7","18","10.5","10.5"
"1988","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1989","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
