year,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.88471,1767,1993,0.87069,0.89874
1984,Owner,No,0.11529,226,1993,0.10126,0.12931
1984,Tenant,Yes,0.28915,1088,3747,0.27463,0.30366
1984,Tenant,No,0.71085,2659,3747,0.69634,0.72537
1985,Owner,Yes,0.88231,1637,1846,0.86761,0.89701
1985,Owner,No,0.11769,209,1846,0.10299,0.13239
1985,Tenant,Yes,0.30478,994,3310,0.28909,0.32046
1985,Tenant,No,0.69522,2316,3310,0.67954,0.71091
1986,Owner,Yes,0.87975,1605,1812,0.86477,0.89473
1986,Owner,No,0.12025,207,1812,0.10527,0.13523
1986,Tenant,Yes,0.31281,952,3097,0.29648,0.32915
1986,Tenant,No,0.68719,2145,3097,0.67085,0.70352
1987,Owner,Yes,0.87757,1600,1811,0.86247,0.89267
1987,Owner,No,0.12243,211,1811,0.10733,0.13753
1987,Tenant,Yes,0.31280,932,3047,0.29633,0.32926
1987,Tenant,No,0.68720,2115,3047,0.67074,0.70367
1988,Owner,Yes,0.87815,1526,1731,0.86274,0.89357
1988,Owner,No,0.12185,205,1731,0.10643,0.13726
1988,Tenant,Yes,0.34022,964,2934,0.32307,0.35737
1988,Tenant,No,0.65978,1970,2934,0.64263,0.67693
1989,Owner,Yes,0.88779,1503,1695,0.87276,0.90282
1989,Owner,No,0.11221,192,1695,0.09718,0.12724
1989,Tenant,Yes,0.33290,936,2850,0.31560,0.35021
1989,Tenant,No,0.66710,1914,2850,0.64979,0.68440
1990,Owner,Yes,0.89610,2090,2295,0.88361,0.90858
1990,Owner,No,0.10390,205,2295,0.09142,0.11639
1990,Tenant,Yes,0.39323,1361,3192,0.37629,0.41018
1990,Tenant,No,0.60677,1831,3192,0.58982,0.62371
1991,Owner,Yes,0.90322,2127,2336,0.89123,0.91521
1991,Owner,No,0.09678,209,2336,0.08479,0.10877
1991,Tenant,Yes,0.32414,1338,4217,0.31001,0.33827
1991,Tenant,No,0.67586,2879,4217,0.66173,0.68999
1992,Owner,Yes,0.90757,2113,2322,0.89579,0.91935
1992,Owner,No,0.09243,209,2322,0.08065,0.10421
1992,Tenant,Yes,0.32237,1291,4109,0.30808,0.33666
1992,Tenant,No,0.67763,2818,4109,0.66334,0.69192
1993,Owner,Yes,0.90260,2085,2299,0.89048,0.91473
1993,Owner,No,0.09740,214,2299,0.08527,0.10952
1993,Tenant,Yes,0.33259,1313,4056,0.31809,0.34709
1993,Tenant,No,0.66741,2743,4056,0.65291,0.68191
1994,Owner,Yes,0.90482,2094,2306,0.89284,0.91680
1994,Owner,No,0.09518,212,2306,0.08320,0.10716
1994,Tenant,Yes,0.33941,1294,3952,0.32465,0.35418
1994,Tenant,No,0.66059,2658,3952,0.64582,0.67535
1995,Owner,Yes,0.89936,2106,2330,0.88714,0.91158
1995,Owner,No,0.10064,224,2330,0.08842,0.11286
1995,Tenant,Yes,0.33487,1334,4108,0.32043,0.34930
1995,Tenant,No,0.66513,2774,4108,0.65070,0.67957
1996,Owner,Yes,0.90098,2140,2363,0.88893,0.91302
1996,Owner,No,0.09902,223,2363,0.08698,0.11107
1996,Tenant,Yes,0.32955,1300,4017,0.31501,0.34409
1996,Tenant,No,0.67045,2717,4017,0.65591,0.68499
1997,Owner,Yes,0.90290,2173,2403,0.89106,0.91474
1997,Owner,No,0.09710,230,2403,0.08526,0.10894
1997,Tenant,Yes,0.33346,1284,3894,0.31865,0.34827
1997,Tenant,No,0.66654,2610,3894,0.65173,0.68135
1998,Owner,Yes,0.88659,2599,2896,0.87504,0.89814
1998,Owner,No,0.11341,297,2896,0.10186,0.12496
1998,Tenant,Yes,0.30625,1379,4468,0.29274,0.31977
1998,Tenant,No,0.69375,3089,4468,0.68023,0.70726
1999,Owner,Yes,0.88775,2554,2845,0.87614,0.89935
1999,Owner,No,0.11225,291,2845,0.10065,0.12386
1999,Tenant,Yes,0.30813,1320,4211,0.29418,0.32208
1999,Tenant,No,0.69187,2891,4211,0.67792,0.70582
2000,Owner,Yes,0.88394,5196,5780,0.87568,0.89219
2000,Owner,No,0.11606,584,5780,0.10781,0.12432
2000,Tenant,Yes,0.31946,2314,6997,0.30853,0.33038
