year,quintil_oecd_hh,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Yes,0.37041,290,812,0.33717,0.40364
1985,1st Quintile,Urban regions,No,0.59340,522,812,0.55959,0.62720
1985,1st Quintile,Rural regions,Yes,0.61769,147,236,0.55556,0.67983
1985,1st Quintile,Rural regions,No,0.37112,89,236,0.30935,0.43289
1985,2nd Quintile,Urban regions,Yes,0.45408,365,820,0.41998,0.48818
1985,2nd Quintile,Urban regions,No,0.51567,455,820,0.48145,0.54990
1985,2nd Quintile,Rural regions,Yes,0.64334,154,228,0.58102,0.70565
1985,2nd Quintile,Rural regions,No,0.33534,74,228,0.27392,0.39675
1985,3rd Quintile,Urban regions,Yes,0.46253,365,835,0.42869,0.49636
1985,3rd Quintile,Urban regions,No,0.52075,470,835,0.48684,0.55465
1985,3rd Quintile,Rural regions,Yes,0.70985,159,223,0.65015,0.76955
1985,3rd Quintile,Rural regions,No,0.28106,64,223,0.22193,0.34019
1985,4th Quintile,Urban regions,Yes,0.53007,441,856,0.49661,0.56352
1985,4th Quintile,Urban regions,No,0.45326,415,856,0.41989,0.48663
1985,4th Quintile,Rural regions,Yes,0.75718,133,177,0.69383,0.82053
1985,4th Quintile,Rural regions,No,0.22677,44,177,0.16491,0.28864
1985,5th Quintile,Urban regions,Yes,0.56176,435,778,0.52688,0.59665
1985,5th Quintile,Urban regions,No,0.42015,343,778,0.38545,0.45486
1985,5th Quintile,Rural regions,Yes,0.77117,140,184,0.71030,0.83203
1985,5th Quintile,Rural regions,No,0.20725,44,184,0.14852,0.26597
1986,1st Quintile,Urban regions,Yes,0.35836,269,763,0.32431,0.39240
1986,1st Quintile,Urban regions,No,0.61182,494,763,0.57722,0.64642
1986,1st Quintile,Rural regions,Yes,0.63878,133,203,0.57253,0.70502
1986,1st Quintile,Rural regions,No,0.33639,70,203,0.27124,0.40155
1986,2nd Quintile,Urban regions,Yes,0.47707,354,775,0.44188,0.51226
1986,2nd Quintile,Urban regions,No,0.49020,421,775,0.45498,0.52542
1986,2nd Quintile,Rural regions,Yes,0.64813,153,228,0.58600,0.71025
1986,2nd Quintile,Rural regions,No,0.33445,75,228,0.27308,0.39583
1986,3rd Quintile,Urban regions,Yes,0.48553,378,808,0.45105,0.52001
1986,3rd Quintile,Urban regions,No,0.49407,430,808,0.45957,0.52856
1986,3rd Quintile,Rural regions,Yes,0.72925,144,201,0.66766,0.79083
1986,3rd Quintile,Rural regions,No,0.26963,57,201,0.20813,0.33113
