year,bula_h,rentown,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1986,Baden-Wuerttemberg,Owner,Yes,0.84653,294,4749,0,0.80584,0,0.88274
1986,Baden-Wuerttemberg,Owner,No,0.15347,49,4749,0,0.13012,0,0.17640
1986,Baden-Wuerttemberg,Tenant,Yes,0.34360,175,4749,0,0.29936,0,0.38708
1986,Baden-Wuerttemberg,Tenant,No,0.65640,358,4749,0,0.59448,0,0.71343
1986,Bavaria,Owner,Yes,0.88013,320,4749,0,0.84879,0,0.91323
1986,Bavaria,Owner,No,0.11987,44,4749,0,0.10409,0,0.13648
1986,Bavaria,Tenant,Yes,0.34254,144,4749,0,0.31163,0,0.37539
1986,Bavaria,Tenant,No,0.65746,297,4749,0,0.61946,0,0.70652
1986,Berlin,Tenant,No,1.00000,165,4749,0,0.90436,0,1.07602
1987,Schleswig-Holstein,Owner,Yes,1.00000,74,4692,0,0.90898,0,1.07935
1987,Schleswig-Holstein,Tenant,No,1.00000,47,4692,0,0.83965,0,1.17662
1987,Hamburg,Tenant,No,1.00000,89,4692,0,0.89967,0,1.08821
1987,Lower Saxony,Owner,Yes,1.00000,221,4692,0,0.95990,0,1.04481
1987,Lower Saxony,Tenant,Yes,0.37936,101,4692,0,0.34316,0,0.41427
1987,Lower Saxony,Tenant,No,0.62064,173,4692,0,0.56793,0,0.67420
1987,Bremen,Tenant,No,1.00000,39,4692,0,0.80887,0,1.15288
1987,North Rhine-Westphalia,Owner,Yes,0.89381,371,4692,0,0.85508,0,0.92315
1987,North Rhine-Westphalia,Owner,No,0.10619,41,4692,0,0.09030,0,0.12101
1987,North Rhine-Westphalia,Tenant,Yes,0.31374,304,4692,0,0.29191,0,0.33206
1987,North Rhine-Westphalia,Tenant,No,0.68626,615,4692,0,0.65069,0,0.72056
1987,Hesse,Owner,Yes,1.00000,135,4692,0,0.94601,0,1.05749
1987,Hesse,Tenant,Yes,0.35034,96,4692,0,0.31182,0,0.39729
1987,Hesse,Tenant,No,0.64966,228,4692,0,0.56054,0,0.73414
1987,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,167,4692,0,0.95104,0,1.04918
1987,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.35174,58,4692,0,0.29881,0,0.40966
1987,"Rhineland-Palatinate, Saarland",Tenant,No,0.64826,105,4692,0,0.57916,0,0.71838
1987,Baden-Wuerttemberg,Owner,Yes,0.81428,282,4692,0,0.77055,0,0.85272
1987,Baden-Wuerttemberg,Owner,No,0.18572,57,4692,0,0.16286,0,0.21531
1987,Baden-Wuerttemberg,Tenant,Yes,0.36254,176,4692,0,0.31837,0,0.40849
1987,Baden-Wuerttemberg,Tenant,No,0.63746,350,4692,0,0.58240,0,0.70791
1987,Bavaria,Owner,Yes,0.89025,318,4692,0,0.86114,0,0.92033
1987,Bavaria,Owner,No,0.10975,39,4692,0,0.09592,0,0.12487
1987,Bavaria,Tenant,Yes,0.32829,137,4692,0,0.29747,0,0.36487
1987,Bavaria,Tenant,No,0.67171,306,4692,0,0.63150,0,0.71316
1987,Berlin,Tenant,No,1.00000,163,4692,0,0.90619,0,1.09761
1988,Schleswig-Holstein,Owner,Yes,1.00000,71,4531,0,0.91817,0,1.08195
1988,Schleswig-Holstein,Tenant,Yes,0.46352,33,4531,0,0.40802,0,0.52015
1988,Schleswig-Holstein,Tenant,No,0.53648,45,4531,0,0.44168,0,0.62906
1988,Hamburg,Tenant,No,1.00000,77,4531,0,0.86593,0,1.12157
1988,Lower Saxony,Owner,Yes,1.00000,205,4531,0,0.95529,0,1.06044
1988,Lower Saxony,Tenant,Yes,0.40806,103,4531,0,0.36727,0,0.45238
1988,Lower Saxony,Tenant,No,0.59194,167,4531,0,0.52944,0,0.64662
1988,Bremen,Tenant,No,1.00000,36,4531,0,0.85175,0,1.14053
1988,North Rhine-Westphalia,Owner,Yes,0.88141,365,4531,0,0.84722,0,0.91628
1988,North Rhine-Westphalia,Owner,No,0.11859,41,4531,0,0.10424,0,0.13372
1988,North Rhine-Westphalia,Tenant,Yes,0.33041,295,4531,0,0.30662,0,0.35910
1988,North Rhine-Westphalia,Tenant,No,0.66959,565,4531,0,0.63513,0,0.70792
1988,Hesse,Owner,Yes,1.00000,130,4531,0,0.94615,0,1.06459
1988,Hesse,Tenant,Yes,0.36796,94,4531,0,0.32158,0,0.42256
1988,Hesse,Tenant,No,0.63204,214,4531,0,0.56032,0,0.70857
1988,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,153,4531,0,0.93887,0,1.06117
1988,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.43955,71,4531,0,0.37612,0,0.49524
1988,"Rhineland-Palatinate, Saarland",Tenant,No,0.56045,95,4531,0,0.49465,0,0.62608
1988,Baden-Wuerttemberg,Owner,Yes,0.82623,277,4531,0,0.79129,0,0.87438
1988,Baden-Wuerttemberg,Owner,No,0.17377,58,4531,0,0.14715,0,0.20054
1988,Baden-Wuerttemberg,Tenant,Yes,0.37022,179,4531,0,0.32309,0,0.41564
1988,Baden-Wuerttemberg,Tenant,No,0.62978,329,4531,0,0.57561,0,0.70303
1988,Bavaria,Owner,Yes,0.88575,293,4531,0,0.85427,0,0.91823
1988,Bavaria,Owner,No,0.11425,39,4531,0,0.09624,0,0.13316
1988,Bavaria,Tenant,Yes,0.37792,154,4531,0,0.34424,0,0.40503
1988,Bavaria,Tenant,No,0.62208,285,4531,0,0.58151,0,0.67219
1988,Berlin,Tenant,No,1.00000,157,4531,0,0.88386,0,1.09656
1989,Schleswig-Holstein,Owner,Yes,1.00000,66,4388,0,0.92226,0,1.09877
