year,quintil_oecd_hh,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.43230,466,1176,0.40397,0.46062
1984,1st Quintile,West,No,0.56770,710,1176,0.53938,0.59603
1984,2nd Quintile,West,Yes,0.52333,565,1166,0.49465,0.55201
1984,2nd Quintile,West,No,0.47667,601,1166,0.44799,0.50535
1984,3rd Quintile,West,Yes,0.52466,573,1154,0.49584,0.55349
1984,3rd Quintile,West,No,0.47534,581,1154,0.44651,0.50416
1984,4th Quintile,West,Yes,0.55636,607,1168,0.52785,0.58486
1984,4th Quintile,West,No,0.44364,561,1168,0.41514,0.47215
1984,5th Quintile,West,Yes,0.62646,639,1056,0.59727,0.65565
1984,5th Quintile,West,No,0.37354,417,1056,0.34435,0.40273
1985,1st Quintile,West,Yes,0.45109,437,1048,0.42095,0.48123
1985,1st Quintile,West,No,0.54891,611,1048,0.51877,0.57905
1985,2nd Quintile,West,Yes,0.51412,519,1048,0.48384,0.54439
1985,2nd Quintile,West,No,0.48588,529,1048,0.45561,0.51616
1985,3rd Quintile,West,Yes,0.53040,524,1058,0.50031,0.56048
1985,3rd Quintile,West,No,0.46960,534,1058,0.43952,0.49969
1985,4th Quintile,West,Yes,0.58113,574,1033,0.55103,0.61124
1985,4th Quintile,West,No,0.41887,459,1033,0.38876,0.44897
1985,5th Quintile,West,Yes,0.61544,575,962,0.58468,0.64620
1985,5th Quintile,West,No,0.38456,387,962,0.35380,0.41532
1986,1st Quintile,West,Yes,0.44068,402,966,0.40935,0.47200
1986,1st Quintile,West,No,0.55932,564,966,0.52800,0.59065
1986,2nd Quintile,West,Yes,0.53616,507,1003,0.50528,0.56704
1986,2nd Quintile,West,No,0.46384,496,1003,0.43296,0.49472
1986,3rd Quintile,West,Yes,0.54725,522,1009,0.51653,0.57798
1986,3rd Quintile,West,No,0.45275,487,1009,0.42202,0.48347
1986,4th Quintile,West,Yes,0.54724,531,995,0.51630,0.57819
1986,4th Quintile,West,No,0.45276,464,995,0.42181,0.48370
1986,5th Quintile,West,Yes,0.63193,595,935,0.60100,0.66286
1986,5th Quintile,West,No,0.36807,340,935,0.33714,0.39900
1987,1st Quintile,West,Yes,0.45881,393,922,0.42663,0.49099
1987,1st Quintile,West,No,0.54119,529,922,0.50901,0.57337
1987,2nd Quintile,West,Yes,0.50243,479,990,0.47127,0.53359
1987,2nd Quintile,West,No,0.49757,511,990,0.46641,0.52873
1987,3rd Quintile,West,Yes,0.55954,539,1007,0.52887,0.59022
1987,3rd Quintile,West,No,0.44046,468,1007,0.40978,0.47113
1987,4th Quintile,West,Yes,0.53668,524,1001,0.50577,0.56759
1987,4th Quintile,West,No,0.46332,477,1001,0.43241,0.49423
1987,5th Quintile,West,Yes,0.63064,596,937,0.59972,0.66156
1987,5th Quintile,West,No,0.36936,341,937,0.33844,0.40028
1988,1st Quintile,West,Yes,0.44305,368,911,0.41077,0.47532
1988,1st Quintile,West,No,0.55695,543,911,0.52468,0.58923
1988,2nd Quintile,West,Yes,0.53089,481,949,0.49912,0.56266
1988,2nd Quintile,West,No,0.46911,468,949,0.43734,0.50088
1988,3rd Quintile,West,Yes,0.56209,527,967,0.53080,0.59338
1988,3rd Quintile,West,No,0.43791,440,967,0.40662,0.46920
1988,4th Quintile,West,Yes,0.58279,534,960,0.55158,0.61400
1988,4th Quintile,West,No,0.41721,426,960,0.38600,0.44842
1988,5th Quintile,West,Yes,0.65939,579,876,0.62799,0.69079
1988,5th Quintile,West,No,0.34061,297,876,0.30921,0.37201
1989,1st Quintile,West,Yes,0.44915,361,884,0.41634,0.48196
1989,1st Quintile,West,No,0.55085,523,884,0.51804,0.58366
1989,2nd Quintile,West,Yes,0.51952,466,956,0.48784,0.55121
1989,2nd Quintile,West,No,0.48048,490,956,0.44879,0.51216
1989,3rd Quintile,West,Yes,0.58521,529,935,0.55361,0.61681
1989,3rd Quintile,West,No,0.41479,406,935,0.38319,0.44639
1989,4th Quintile,West,Yes,0.58045,531,933,0.54877,0.61214
1989,4th Quintile,West,No,0.41955,402,933,0.38786,0.45123
1989,5th Quintile,West,Yes,0.65452,554,839,0.62233,0.68672
1989,5th Quintile,West,No,0.34548,285,839,0.31328,0.37767
1990,2nd Quintile,West,Yes,0.47871,491,1129,0.44956,0.50786
1990,2nd Quintile,West,No,0.52129,638,1129,0.49214,0.55044
1990,3rd Quintile,West,Yes,0.55653,618,1143,0.52771,0.58534
1990,3rd Quintile,West,No,0.44347,525,1143,0.41466,0.47229
1990,4th Quintile,West,Yes,0.57815,627,1123,0.54925,0.60704
1990,4th Quintile,West,No,0.42185,496,1123,0.39296,0.45075
1990,5th Quintile,West,Yes,0.64536,690,1048,0.61639,0.67434
1990,5th Quintile,West,No,0.35464,358,1048,0.32566,0.38361
1991,1st Quintile,West,No,0.59636,38,38,0.43827,0.75445
1991,1st Quintile,East,Yes,0.45129,938,1932,0.42910,0.47349
1991,1st Quintile,East,No,0.54871,994,1932,0.52651,0.57090
1991,2nd Quintile,West,Yes,0.46173,485,1138,0.43275,0.49071
1991,2nd Quintile,West,No,0.53827,653,1138,0.50929,0.56725
1991,3rd Quintile,West,Yes,0.56978,639,1174,0.54144,0.59811
1991,3rd Quintile,West,No,0.43022,535,1174,0.40189,0.45856
1991,4th Quintile,West,Yes,0.59046,679,1182,0.56242,0.61851
1991,4th Quintile,West,No,0.40954,503,1182,0.38149,0.43758
