year,bula_h,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Hamburg,3rd Quintile,No,0.83023,31,31,0.69588,0.96457
1984,Lower Saxony,1st Quintile,Yes,0.48184,61,137,0.39786,0.56582
1984,Lower Saxony,1st Quintile,No,0.50164,76,137,0.41761,0.58568
1984,Lower Saxony,2nd Quintile,Yes,0.59871,68,112,0.50752,0.68990
1984,Lower Saxony,2nd Quintile,No,0.36792,44,112,0.27821,0.45764
1984,Lower Saxony,3rd Quintile,Yes,0.66673,73,111,0.57864,0.75482
1984,Lower Saxony,3rd Quintile,No,0.32310,38,111,0.23571,0.41050
1984,Lower Saxony,4th Quintile,Yes,0.67932,78,121,0.59581,0.76283
1984,Lower Saxony,4th Quintile,No,0.32068,43,121,0.23717,0.40419
1984,Lower Saxony,5th Quintile,Yes,0.77918,71,71,0.68201,0.87635
1984,North Rhine-Westphalia,1st Quintile,Yes,0.33172,124,377,0.28413,0.37932
1984,North Rhine-Westphalia,1st Quintile,No,0.63840,253,377,0.58983,0.68696
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.46598,140,316,0.41089,0.52107
1984,North Rhine-Westphalia,2nd Quintile,No,0.51487,176,316,0.45967,0.57006
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.51744,144,288,0.45962,0.57525
1984,North Rhine-Westphalia,3rd Quintile,No,0.47450,144,288,0.41673,0.53227
1984,North Rhine-Westphalia,4th Quintile,Yes,0.48240,148,304,0.42614,0.53866
1984,North Rhine-Westphalia,4th Quintile,No,0.51141,156,304,0.45513,0.56770
1984,North Rhine-Westphalia,5th Quintile,Yes,0.64299,181,279,0.58667,0.69931
1984,North Rhine-Westphalia,5th Quintile,No,0.35239,98,279,0.29623,0.40854
1984,Hesse,1st Quintile,Yes,0.45519,49,126,0.36789,0.54249
1984,Hesse,1st Quintile,No,0.52302,77,126,0.43546,0.61059
1984,Hesse,2nd Quintile,Yes,0.53191,48,111,0.43866,0.62516
