year,quintil_oecd_hh,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,Yes,0.85203,228,262,0.80895,0.89511
1984,1st Quintile,Owner,No,0.14026,34,262,0.09813,0.18239
1984,1st Quintile,Tenant,Yes,0.24180,238,914,0.21403,0.26958
1984,1st Quintile,Tenant,No,0.72104,676,914,0.69195,0.75013
1984,2nd Quintile,Owner,Yes,0.89340,336,371,0.86195,0.92484
1984,2nd Quintile,Owner,No,0.09912,35,371,0.06867,0.12957
1984,2nd Quintile,Tenant,Yes,0.27391,229,795,0.24289,0.30493
1984,2nd Quintile,Tenant,No,0.68457,566,795,0.65225,0.71689
1984,3rd Quintile,Owner,Yes,0.88643,351,399,0.85526,0.91760
1984,3rd Quintile,Owner,No,0.11357,48,399,0.08240,0.14474
1984,3rd Quintile,Tenant,Yes,0.28057,222,755,0.24850,0.31263
1984,3rd Quintile,Tenant,No,0.69395,533,755,0.66105,0.72684
1984,4th Quintile,Owner,Yes,0.91275,396,436,0.88623,0.93927
1984,4th Quintile,Owner,No,0.08268,40,436,0.05680,0.10857
1984,4th Quintile,Tenant,Yes,0.28199,211,732,0.24937,0.31461
1984,4th Quintile,Tenant,No,0.69819,521,732,0.66492,0.73147
1984,5th Quintile,Owner,Yes,0.85377,454,522,0.82343,0.88411
1984,5th Quintile,Owner,No,0.13544,68,522,0.10606,0.16482
1984,5th Quintile,Tenant,Yes,0.34616,185,534,0.30577,0.38655
1984,5th Quintile,Tenant,No,0.62448,349,534,0.58337,0.66559
1985,1st Quintile,Owner,Yes,0.87584,209,209,0.83103,0.92066
1985,1st Quintile,Tenant,Yes,0.26756,228,815,0.23715,0.29797
1985,1st Quintile,Tenant,No,0.69447,587,815,0.66282,0.72611
1985,2nd Quintile,Owner,Yes,0.85365,280,321,0.81492,0.89237
1985,2nd Quintile,Owner,No,0.13771,41,321,0.09995,0.17547
1985,2nd Quintile,Tenant,Yes,0.31887,239,727,0.28497,0.35277
1985,2nd Quintile,Tenant,No,0.64310,488,727,0.60825,0.67795
1985,3rd Quintile,Owner,Yes,0.89536,342,382,0.86463,0.92610
1985,3rd Quintile,Owner,No,0.09387,40,382,0.06459,0.12316
1985,3rd Quintile,Tenant,Yes,0.26999,182,676,0.23650,0.30349
1985,3rd Quintile,Tenant,No,0.71235,494,676,0.67820,0.74650
1985,4th Quintile,Owner,Yes,0.88915,381,421,0.85912,0.91917
1985,4th Quintile,Owner,No,0.09739,40,421,0.06903,0.12574
1985,4th Quintile,Tenant,Yes,0.31719,193,612,0.28029,0.35409
1985,4th Quintile,Tenant,No,0.66378,419,612,0.62632,0.70123
1985,5th Quintile,Owner,Yes,0.85644,424,488,0.82530,0.88758
1985,5th Quintile,Owner,No,0.13647,64,488,0.10598,0.16695
1985,5th Quintile,Tenant,Yes,0.31707,151,474,0.27513,0.35900
1985,5th Quintile,Tenant,No,0.65087,323,474,0.60791,0.69383
1986,1st Quintile,Owner,Yes,0.87022,195,195,0.82293,0.91751
1986,1st Quintile,Tenant,Yes,0.27307,207,748,0.24112,0.30502
1986,1st Quintile,Tenant,No,0.68996,541,748,0.65679,0.72313
1986,2nd Quintile,Owner,Yes,0.87309,303,342,0.83776,0.90842
1986,2nd Quintile,Owner,No,0.11117,39,342,0.07781,0.14453
1986,2nd Quintile,Tenant,Yes,0.30666,204,661,0.27149,0.34184
1986,2nd Quintile,Tenant,No,0.65656,457,661,0.62033,0.69279
1986,3rd Quintile,Owner,Yes,0.88421,309,349,0.85059,0.91783
1986,3rd Quintile,Owner,No,0.10633,40,349,0.07394,0.13872
1986,3rd Quintile,Tenant,Yes,0.33323,213,659,0.29721,0.36925
1986,3rd Quintile,Tenant,No,0.64652,446,659,0.60999,0.68304
1986,4th Quintile,Owner,Yes,0.86744,353,395,0.83395,0.90092
1986,4th Quintile,Owner,No,0.11553,42,395,0.08397,0.14710
1986,4th Quintile,Tenant,Yes,0.28716,178,599,0.25090,0.32343
1986,4th Quintile,Tenant,No,0.67705,421,599,0.63957,0.71452
1986,5th Quintile,Owner,Yes,0.85372,445,509,0.82299,0.88445
1986,5th Quintile,Owner,No,0.13145,64,509,0.10206,0.16083
1986,5th Quintile,Tenant,Yes,0.32531,150,426,0.28077,0.36985
1986,5th Quintile,Tenant,No,0.64125,276,426,0.59565,0.68685
1987,1st Quintile,Owner,Yes,0.84407,194,194,0.79289,0.89525
1987,1st Quintile,Tenant,Yes,0.28623,199,699,0.25270,0.31977
1987,1st Quintile,Tenant,No,0.67475,500,699,0.64000,0.70951
1987,2nd Quintile,Owner,Yes,0.89183,269,304,0.85686,0.92680
1987,2nd Quintile,Owner,No,0.09949,35,304,0.06578,0.13319
1987,2nd Quintile,Tenant,Yes,0.30585,210,685,0.27132,0.34038
1987,2nd Quintile,Tenant,No,0.66912,475,685,0.63386,0.70438
1987,3rd Quintile,Owner,Yes,0.90287,337,369,0.87261,0.93312
1987,3rd Quintile,Owner,No,0.09107,32,369,0.06167,0.12046
1987,3rd Quintile,Tenant,Yes,0.31983,202,638,0.28361,0.35605
1987,3rd Quintile,Tenant,No,0.64384,436,638,0.60665,0.68103
