year,rentown,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.88471,1767,1993,0.87069,0.89874
1984,Owner,West,No,0.11529,226,1993,0.10126,0.12931
1984,Tenant,West,Yes,0.28915,1088,3747,0.27463,0.30366
1984,Tenant,West,No,0.71085,2659,3747,0.69634,0.72537
1985,Owner,West,Yes,0.88231,1637,1846,0.86761,0.89701
1985,Owner,West,No,0.11769,209,1846,0.10299,0.13239
1985,Tenant,West,Yes,0.30478,994,3310,0.28909,0.32046
1985,Tenant,West,No,0.69522,2316,3310,0.67954,0.71091
1986,Owner,West,Yes,0.87975,1605,1812,0.86477,0.89473
1986,Owner,West,No,0.12025,207,1812,0.10527,0.13523
1986,Tenant,West,Yes,0.31281,952,3097,0.29648,0.32915
1986,Tenant,West,No,0.68719,2145,3097,0.67085,0.70352
1987,Owner,West,Yes,0.87757,1600,1811,0.86247,0.89267
1987,Owner,West,No,0.12243,211,1811,0.10733,0.13753
1987,Tenant,West,Yes,0.31280,932,3047,0.29633,0.32926
1987,Tenant,West,No,0.68720,2115,3047,0.67074,0.70367
1988,Owner,West,Yes,0.87815,1526,1731,0.86274,0.89357
1988,Owner,West,No,0.12185,205,1731,0.10643,0.13726
1988,Tenant,West,Yes,0.34022,964,2934,0.32307,0.35737
1988,Tenant,West,No,0.65978,1970,2934,0.64263,0.67693
1989,Owner,West,Yes,0.88779,1503,1695,0.87276,0.90282
1989,Owner,West,No,0.11221,192,1695,0.09718,0.12724
1989,Tenant,West,Yes,0.33290,936,2850,0.31560,0.35021
1989,Tenant,West,No,0.66710,1914,2850,0.64979,0.68440
1990,Owner,West,Yes,0.88161,1515,1720,0.86634,0.89688
1990,Owner,West,No,0.11839,205,1720,0.10312,0.13366
1990,Tenant,West,Yes,0.34413,931,2762,0.32641,0.36185
1990,Tenant,West,No,0.65587,1831,2762,0.63815,0.67359
1991,Owner,West,Yes,0.89734,1577,1750,0.88312,0.91157
1991,Owner,West,No,0.10266,173,1750,0.08843,0.11688
1991,Owner,East,Yes,0.94199,550,586,0.92304,0.96093
1991,Owner,East,No,0.05801,36,586,0.03907,0.07696
1991,Tenant,West,Yes,0.33972,950,2871,0.32239,0.35705
1991,Tenant,West,No,0.66028,1921,2871,0.64295,0.67761
1991,Tenant,East,Yes,0.26844,388,1346,0.24475,0.29212
1991,Tenant,East,No,0.73156,958,1346,0.70788,0.75525
1992,Owner,West,Yes,0.90457,1594,1763,0.89085,0.91829
1992,Owner,West,No,0.09543,169,1763,0.08171,0.10915
1992,Owner,East,Yes,0.92848,519,559,0.90709,0.94986
1992,Owner,East,No,0.07152,40,559,0.05014,0.09291
1992,Tenant,West,Yes,0.33465,925,2828,0.31725,0.35204
1992,Tenant,West,No,0.66535,1903,2828,0.64796,0.68275
1992,Tenant,East,Yes,0.27756,366,1281,0.25303,0.30210
1992,Tenant,East,No,0.72244,915,1281,0.69790,0.74697
1993,Owner,West,Yes,0.89855,1576,1751,0.88440,0.91269
1993,Owner,West,No,0.10145,175,1751,0.08731,0.11560
1993,Owner,East,Yes,0.92964,509,548,0.90821,0.95107
1993,Owner,East,No,0.07036,39,548,0.04893,0.09179
1993,Tenant,West,Yes,0.34530,961,2826,0.32777,0.36284
1993,Tenant,West,No,0.65470,1865,2826,0.63716,0.67223
1993,Tenant,East,Yes,0.28588,352,1230,0.26062,0.31115
1993,Tenant,East,No,0.71412,878,1230,0.68885,0.73938
1994,Owner,West,Yes,0.89977,1574,1753,0.88571,0.91384
1994,Owner,West,No,0.10023,179,1753,0.08616,0.11429
1994,Owner,East,Yes,0.93950,520,553,0.91961,0.95939
1994,Owner,East,No,0.06050,33,553,0.04061,0.08039
1994,Tenant,West,Yes,0.35624,963,2750,0.33833,0.37414
1994,Tenant,West,No,0.64376,1787,2750,0.62586,0.66167
1994,Tenant,East,Yes,0.27856,331,1202,0.25320,0.30391
1994,Tenant,East,No,0.72144,871,1202,0.69609,0.74680
1995,Owner,West,Yes,0.89500,1589,1777,0.88075,0.90926
1995,Owner,West,No,0.10500,188,1777,0.09074,0.11925
1995,Owner,East,Yes,0.92870,517,553,0.90724,0.95017
1995,Owner,East,No,0.07130,36,553,0.04983,0.09276
1995,Tenant,West,Yes,0.35286,1025,2951,0.33562,0.37011
1995,Tenant,West,No,0.64714,1926,2951,0.62989,0.66438
1995,Tenant,East,Yes,0.26663,309,1157,0.24114,0.29212
1995,Tenant,East,No,0.73337,848,1157,0.70788,0.75886
1996,Owner,West,Yes,0.89714,1602,1785,0.88304,0.91123
1996,Owner,West,No,0.10286,183,1785,0.08877,0.11696
1996,Owner,East,Yes,0.92730,538,578,0.90611,0.94848
1996,Owner,East,No,0.07270,40,578,0.05152,0.09389
1996,Tenant,West,Yes,0.34642,994,2872,0.32901,0.36382
1996,Tenant,West,No,0.65358,1878,2872,0.63618,0.67099
1996,Tenant,East,Yes,0.26552,306,1145,0.23993,0.29111
1996,Tenant,East,No,0.73448,839,1145,0.70889,0.76007
1997,Owner,West,Yes,0.89862,1629,1814,0.88473,0.91252
1997,Owner,West,No,0.10138,185,1814,0.08748,0.11527
1997,Owner,East,Yes,0.93140,544,589,0.91096,0.95183
1997,Owner,East,No,0.06860,45,589,0.04817,0.08904
1997,Tenant,West,Yes,0.35555,997,2772,0.33773,0.37337
1997,Tenant,West,No,0.64445,1775,2772,0.62663,0.66227
1997,Tenant,East,Yes,0.24999,287,1122,0.22465,0.27534
1997,Tenant,East,No,0.75001,835,1122,0.72466,0.77535
1998,Owner,West,Yes,0.88540,1987,2213,0.87213,0.89868
1998,Owner,West,No,0.11460,226,2213,0.10132,0.12787
1998,Owner,East,Yes,0.89382,612,683,0.87070,0.91694
1998,Owner,East,No,0.10618,71,683,0.08306,0.12930
1998,Tenant,West,Yes,0.33350,1111,3217,0.31721,0.34980
1998,Tenant,West,No,0.66650,2106,3217,0.65020,0.68279
1998,Tenant,East,Yes,0.20415,268,1251,0.18181,0.22650
1998,Tenant,East,No,0.79585,983,1251,0.77350,0.81819
1999,Owner,West,Yes,0.88780,1941,2163,0.87449,0.90110
1999,Owner,West,No,0.11220,222,2163,0.09890,0.12551
1999,Owner,East,Yes,0.88744,613,682,0.86370,0.91118
1999,Owner,East,No,0.11256,69,682,0.08882,0.13630
1999,Tenant,West,Yes,0.33153,1045,2998,0.31468,0.34839
1999,Tenant,West,No,0.66847,1953,2998,0.65161,0.68532
1999,Tenant,East,Yes,0.22082,275,1213,0.19747,0.24417
1999,Tenant,East,No,0.77918,938,1213,0.75583,0.80253
2000,Owner,West,Yes,0.88053,4147,4626,0.87119,0.88988
2000,Owner,West,No,0.11947,479,4626,0.11012,0.12881
2000,Owner,East,Yes,0.90392,1049,1154,0.88690,0.92093
2000,Owner,East,No,0.09608,105,1154,0.07907,0.11310
2000,Tenant,West,Yes,0.34377,1868,5122,0.33076,0.35678
2000,Tenant,West,No,0.65623,3254,5122,0.64322,0.66924
2000,Tenant,East,Yes,0.23070,446,1875,0.21163,0.24977
2000,Tenant,East,No,0.76930,1429,1875,0.75023,0.78837
2001,Owner,West,Yes,0.87858,3690,4122,0.86860,0.88855
2001,Owner,West,No,0.12142,432,4122,0.11145,0.13140
2001,Owner,East,Yes,0.90080,991,1093,0.88307,0.91853
2001,Owner,East,No,0.09920,102,1093,0.08147,0.11693
2001,Tenant,West,Yes,0.35075,1700,4574,0.33692,0.36458
2001,Tenant,West,No,0.64925,2874,4574,0.63542,0.66308
2001,Tenant,East,Yes,0.22822,413,1697,0.20824,0.24819
2001,Tenant,East,No,0.77178,1284,1697,0.75181,0.79176
2002,Owner,West,Yes,0.87466,4200,4683,0.86517,0.88414
2002,Owner,West,No,0.12534,483,4683,0.11586,0.13483
2002,Owner,East,Yes,0.89767,1004,1097,0.87973,0.91562
2002,Owner,East,No,0.10233,93,1097,0.08438,0.12027
2002,Tenant,West,Yes,0.35061,1711,4509,0.33668,0.36454
2002,Tenant,West,No,0.64939,2798,4509,0.63546,0.66332
2002,Tenant,East,Yes,0.23807,437,1682,0.21771,0.25843
2002,Tenant,East,No,0.76193,1245,1682,0.74157,0.78229
2003,Owner,West,Yes,0.87669,4029,4499,0.86708,0.88630
2003,Owner,West,No,0.12331,470,4499,0.11370,0.13292
2003,Owner,East,Yes,0.90267,1002,1093,0.88509,0.92025
2003,Owner,East,No,0.09733,91,1093,0.07975,0.11491
2003,Tenant,West,Yes,0.35704,1638,4317,0.34275,0.37134
2003,Tenant,West,No,0.64296,2679,4317,0.62866,0.65725
2003,Tenant,East,Yes,0.23639,416,1642,0.21583,0.25694
2003,Tenant,East,No,0.76361,1226,1642,0.74306,0.78417
2004,Owner,West,Yes,0.87603,3949,4400,0.86629,0.88577
2004,Owner,West,No,0.12397,451,4400,0.11423,0.13371
2004,Owner,East,Yes,0.91265,998,1087,0.89586,0.92944
2004,Owner,East,No,0.08735,89,1087,0.07056,0.10414
2004,Tenant,West,Yes,0.36236,1619,4184,0.34780,0.37693
2004,Tenant,West,No,0.63764,2565,4184,0.62307,0.65220
2004,Tenant,East,Yes,0.22854,405,1598,0.20794,0.24913
2004,Tenant,East,No,0.77146,1193,1598,0.75087,0.79206
2005,Owner,West,Yes,0.87256,3823,4279,0.86257,0.88256
2005,Owner,West,No,0.12744,456,4279,0.11744,0.13743
2005,Owner,East,Yes,0.91581,1017,1104,0.89942,0.93220
2005,Owner,East,No,0.08419,87,1104,0.06780,0.10058
2005,Tenant,West,Yes,0.35582,1598,4209,0.34135,0.37028
2005,Tenant,West,No,0.64418,2611,4209,0.62972,0.65865
2005,Tenant,East,Yes,0.25635,421,1578,0.23480,0.27790
2005,Tenant,East,No,0.74365,1157,1578,0.72210,0.76520
2006,Owner,West,Yes,0.86506,4251,4789,0.85539,0.87474
2006,Owner,West,No,0.13494,538,4789,0.12526,0.14461
2006,Owner,East,Yes,0.92150,1124,1209,0.90634,0.93667
2006,Owner,East,No,0.07850,85,1209,0.06333,0.09366
2006,Tenant,West,Yes,0.34910,1725,4526,0.33521,0.36298
2006,Tenant,West,No,0.65090,2801,4526,0.63702,0.66479
2006,Tenant,East,Yes,0.23387,452,1709,0.21380,0.25395
2006,Tenant,East,No,0.76613,1257,1709,0.74605,0.78620
2007,Owner,West,Yes,0.86815,3980,4476,0.85824,0.87806
2007,Owner,West,No,0.13185,496,4476,0.12194,0.14176
2007,Owner,East,Yes,0.91136,1055,1140,0.89485,0.92786
2007,Owner,East,No,0.08864,85,1140,0.07214,0.10515
2007,Tenant,West,Yes,0.36384,1679,4194,0.34928,0.37840
2007,Tenant,West,No,0.63616,2515,4194,0.62160,0.65072
2007,Tenant,East,Yes,0.25610,449,1614,0.23480,0.27740
2007,Tenant,East,No,0.74390,1165,1614,0.72260,0.76520
2008,Owner,West,Yes,0.86765,3800,4273,0.85748,0.87781
2008,Owner,West,No,0.13235,473,4273,0.12219,0.14252
2008,Owner,East,Yes,0.92687,1029,1104,0.91150,0.94223
2008,Owner,East,No,0.07313,75,1104,0.05777,0.08850
2008,Tenant,West,Yes,0.36962,1563,3878,0.35442,0.38481
2008,Tenant,West,No,0.63038,2315,3878,0.61519,0.64558
2008,Tenant,East,Yes,0.24653,410,1543,0.22502,0.26804
2008,Tenant,East,No,0.75347,1133,1543,0.73196,0.77498
2009,Owner,West,Yes,0.85974,3541,3979,0.84894,0.87053
2009,Owner,West,No,0.14026,438,3979,0.12947,0.15106
2009,Owner,East,Yes,0.91231,994,1084,0.89547,0.92916
2009,Owner,East,No,0.08769,90,1084,0.07084,0.10453
2009,Tenant,West,Yes,0.38219,1506,3638,0.36640,0.39798
2009,Tenant,West,No,0.61781,2132,3638,0.60202,0.63360
2009,Tenant,East,Yes,0.26468,420,1466,0.24209,0.28728
2009,Tenant,East,No,0.73532,1046,1466,0.71272,0.75791
2010,Owner,West,Yes,0.86852,4576,5091,0.85924,0.87781
2010,Owner,West,No,0.13148,515,5091,0.12219,0.14076
2010,Owner,East,Yes,0.91288,1150,1240,0.89717,0.92858
2010,Owner,East,No,0.08712,90,1240,0.07142,0.10283
2010,Tenant,West,Yes,0.36658,2419,5530,0.35387,0.37928
2010,Tenant,West,No,0.63342,3111,5530,0.62072,0.64613
2010,Tenant,East,Yes,0.26783,605,1918,0.24800,0.28765
2010,Tenant,East,No,0.73217,1313,1918,0.71235,0.75200
2011,Owner,West,Yes,0.85679,5651,6307,0.84814,0.86543
2011,Owner,West,No,0.14321,656,6307,0.13457,0.15186
2011,Owner,East,Yes,0.93683,1327,1413,0.92415,0.94952
2011,Owner,East,No,0.06317,86,1413,0.05048,0.07585
2011,Tenant,West,Yes,0.37938,2913,6542,0.36762,0.39114
2011,Tenant,West,No,0.62062,3629,6542,0.60886,0.63238
2011,Tenant,East,Yes,0.28227,713,2329,0.26398,0.30055
2011,Tenant,East,No,0.71773,1616,2329,0.69945,0.73602
2012,Owner,West,Yes,0.85873,5595,6217,0.85007,0.86738
2012,Owner,West,No,0.14127,622,6217,0.13262,0.14993
2012,Owner,East,Yes,0.93394,1291,1379,0.92082,0.94705
2012,Owner,East,No,0.06606,88,1379,0.05295,0.07918
2012,Tenant,West,Yes,0.38524,2842,6369,0.37329,0.39719
2012,Tenant,West,No,0.61476,3527,6369,0.60281,0.62671
2012,Tenant,East,Yes,0.25526,683,2333,0.23757,0.27296
2012,Tenant,East,No,0.74474,1650,2333,0.72704,0.76243
2013,Owner,West,Yes,0.85882,5696,6371,0.85027,0.86737
2013,Owner,West,No,0.14118,675,6371,0.13263,0.14973
2013,Owner,East,Yes,0.93738,1256,1337,0.92439,0.95037
2013,Owner,East,No,0.06262,81,1337,0.04963,0.07561
2013,Tenant,West,Yes,0.39403,3260,7839,0.38322,0.40485
2013,Tenant,West,No,0.60597,4579,7839,0.59515,0.61678
2013,Tenant,East,Yes,0.26384,675,2319,0.24590,0.28178
2013,Tenant,East,No,0.73616,1644,2319,0.71822,0.75410
2014,Owner,West,Yes,0.85646,5200,5818,0.84745,0.86547
2014,Owner,West,No,0.14354,618,5818,0.13453,0.15255
2014,Owner,East,Yes,0.92856,1156,1233,0.91418,0.94294
