,Unnamed: 0,year,regtyp,sampreg,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,West,Yes,0.48795,1888,5156,0.47724,0.49761
1,1,1985,Urban regions,West,No,0.51205,2207,5156,0.4983,0.52361
2,2,1985,Rural regions,West,Yes,0.70425,743,5156,0.68464,0.72318
3,3,1985,Rural regions,West,No,0.29575,318,5156,0.28118,0.3179
4,4,1986,Urban regions,West,Yes,0.48829,1842,4912,0.47692,0.49873
5,5,1986,Urban regions,West,No,0.51171,2065,4912,0.49474,0.52821
6,6,1986,Rural regions,West,Yes,0.71626,715,4912,0.69465,0.7371
7,7,1986,Rural regions,West,No,0.28374,290,4912,0.26486,0.304
8,8,1987,Urban regions,West,Yes,0.48782,1833,4859,0.47493,0.4988
9,9,1987,Urban regions,West,No,0.51218,2035,4859,0.49722,0.52645
10,10,1987,Rural regions,West,Yes,0.71053,699,4859,0.68919,0.73198
11,11,1987,Rural regions,West,No,0.28947,292,4859,0.26699,0.31313
12,12,1988,Urban regions,West,Yes,0.50731,1822,4665,0.49434,0.5178
13,13,1988,Urban regions,West,No,0.49269,1905,4665,0.47831,0.50824
14,14,1988,Rural regions,West,Yes,0.72785,668,4665,0.70535,0.75314
15,15,1988,Rural regions,West,No,0.27215,270,4665,0.25044,0.2934
16,16,1989,Urban regions,West,Yes,0.51163,1797,4548,0.50058,0.52275
17,17,1989,Urban regions,West,No,0.48837,1853,4548,0.4728,0.50375
18,18,1989,Rural regions,West,Yes,0.72659,644,4548,0.69832,0.75209
19,19,1989,Rural regions,West,No,0.27341,254,4548,0.25342,0.29857
20,20,1990,Urban regions,West,Yes,0.51761,1794,5482,0.50328,0.53031
21,21,1990,Urban regions,West,No,0.48239,1776,5482,0.46515,0.50119
22,22,1990,Urban regions,East,Yes,1.0,221,5482,0.93737,1.06997
23,23,1990,Rural regions,West,Yes,0.73178,652,5482,0.70424,0.76044
24,24,1990,Rural regions,West,No,0.26822,260,5482,0.24419,0.29002
25,25,1990,Rural regions,East,Yes,1.0,779,5482,0.96247,1.03506
26,26,1991,Urban regions,West,Yes,0.52015,1843,6508,0.50693,0.53266
27,27,1991,Urban regions,West,No,0.47985,1833,6508,0.46238,0.49916
28,28,1991,Urban regions,East,Yes,0.28895,196,6508,0.2663,0.30848
29,29,1991,Urban regions,East,No,0.71105,439,6508,0.67735,0.74869
30,30,1991,Rural regions,West,Yes,0.72845,682,6508,0.70377,0.75752
31,31,1991,Rural regions,West,No,0.27155,262,6508,0.24638,0.29625
32,32,1991,Rural regions,East,Yes,0.54826,732,6508,0.52854,0.57032
33,33,1991,Rural regions,East,No,0.45174,521,6508,0.42966,0.47044
34,34,1992,Urban regions,West,Yes,0.53068,1844,6376,0.51607,0.54232
35,35,1992,Urban regions,West,No,0.46932,1801,6376,0.45283,0.48613
36,36,1992,Urban regions,East,Yes,0.29629,191,6376,0.2759,0.32231
37,37,1992,Urban regions,East,No,0.70371,428,6376,0.67212,0.73265
