,Unnamed: 0,year,bula_h,pgisced97,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Schleswig-Holstein,Lower Secondary Level,Seldom,0.44995,32,19266,0.37197,0.52704
1,1,2003,Schleswig-Holstein,Lower Secondary Level,Never,0.55005,40,19266,0.46509,0.62316
2,2,2003,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.12307,46,19266,0.10304,0.1465
3,3,2003,Schleswig-Holstein,Upper Secondary Level,Seldom,0.52018,180,19266,0.47303,0.57307
4,4,2003,Schleswig-Holstein,Upper Secondary Level,Never,0.35675,122,19266,0.3182,0.39595
5,5,2003,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,1.0,62,19266,0.80984,1.26826
6,6,2003,Hamburg,Upper Secondary Level,Seldom,0.46392,59,19266,0.39465,0.54183
7,7,2003,Hamburg,Upper Secondary Level,Never,0.53608,56,19266,0.46022,0.62337
8,8,2003,Hamburg,Second Stage of Tertiary Education,Seldom,0.64076,35,19266,0.42953,0.83939
9,9,2003,Hamburg,Second Stage of Tertiary Education,Never,0.35924,32,19266,0.23324,0.51829
10,10,2003,Lower Saxony,Lower Secondary Level,Sometimes,0.1666,39,19266,0.12068,0.21049
11,11,2003,Lower Saxony,Lower Secondary Level,Seldom,0.163,53,19266,0.13202,0.19854
12,12,2003,Lower Saxony,Lower Secondary Level,Never,0.6704,155,19266,0.61449,0.73097
13,13,2003,Lower Saxony,Upper Secondary Level,Sometimes,0.11935,125,19266,0.10319,0.13875
14,14,2003,Lower Saxony,Upper Secondary Level,Seldom,0.30066,293,19266,0.27558,0.32678
15,15,2003,Lower Saxony,Upper Secondary Level,Never,0.57999,542,19266,0.55173,0.61016
16,16,2003,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.49792,50,19266,0.38946,0.59225
17,17,2003,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.50208,49,19266,0.39307,0.61813
18,18,2003,Lower Saxony,First Stage of Tertiary Education,Seldom,0.4122,47,19266,0.32945,0.51151
19,19,2003,Lower Saxony,First Stage of Tertiary Education,Never,0.5878,61,19266,0.4782,0.68121
20,20,2003,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.14278,42,19266,0.10724,0.18208
21,21,2003,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.36718,101,19266,0.29585,0.45342
22,22,2003,Lower Saxony,Second Stage of Tertiary Education,Never,0.49004,143,19266,0.41052,0.55961
23,23,2003,Bremen,Upper Secondary Level,Never,1.0,50,19266,0.84485,1.18119
24,24,2003,North Rhine-Westphalia,Pre-primary Level,Sometimes,0.59811,45,19266,0.46786,0.76688
25,25,2003,North Rhine-Westphalia,Pre-primary Level,Seldom,0.40189,34,19266,0.30374,0.52928
26,26,2003,North Rhine-Westphalia,Primary Level,Never,1.0,57,19266,0.87026,1.13391
27,27,2003,North Rhine-Westphalia,Lower Secondary Level,Often,0.059,33,19266,0.04426,0.07664
