"pld0044","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","24","","",""
"Sehr oft","2003","Hauptschule","32","0.00383364909801517","0.00250942564888803","0.00515787254714231"
"Sehr oft","2003","Realschule","28","","",""
"Sehr oft","2003","(Fach-)Abitur","26","","",""
"Sehr oft","2003","AkademikerIn","12","","",""
"Oft","2003","(noch) kein Abschluss","119","0.100512082944056","0.0807244846803776","0.120299681207735"
"Oft","2003","Hauptschule","158","0.0197592183297634","0.0167769932080199","0.0227414434515068"
"Oft","2003","Realschule","131","0.023961501517452","0.0200062949381891","0.027916708096715"
"Oft","2003","(Fach-)Abitur","114","0.0486687895045737","0.0400655433234505","0.0572720356856968"
"Oft","2003","AkademikerIn","88","0.0235225691621255","0.0190052712754168","0.0280398670488343"
"Manchmal","2003","(noch) kein Abschluss","236","0.257411519207506","0.228639232848259","0.286183805566754"
"Manchmal","2003","Hauptschule","841","0.100160363964141","0.0937272733699572","0.106593454558325"
"Manchmal","2003","Realschule","730","0.129346740042204","0.120667553118003","0.138025926966405"
"Manchmal","2003","(Fach-)Abitur","510","0.211764281542381","0.195429037931662","0.228099525153101"
"Manchmal","2003","AkademikerIn","571","0.143178771908399","0.132739032124618","0.15361851169218"
"Selten","2003","(noch) kein Abschluss","236","0.247053799660614","0.218670425456053","0.275437173865176"
"Selten","2003","Hauptschule","2138","0.247948168312646","0.238694935275613","0.257201401349679"
"Selten","2003","Realschule","2050","0.355527804505008","0.343147892408126","0.367907716601889"
"Selten","2003","(Fach-)Abitur","905","0.35746118926768","0.338299431924227","0.376622946611133"
"Selten","2003","AkademikerIn","1616","0.379728118530656","0.365262644363274","0.394193592698038"
"Nie","2003","(noch) kein Abschluss","272","0.375500416287982","0.343632213716323","0.407368618859641"
"Nie","2003","Hauptschule","5197","0.628298600295434","0.617943142446226","0.638654058144642"
"Nie","2003","Realschule","2804","0.485272953805941","0.472347070799384","0.498198836812497"
"Nie","2003","(Fach-)Abitur","848","0.370183442837435","0.350877690192111","0.389489195482758"
"Nie","2003","AkademikerIn","2037","0.451068080680008","0.436236564880381","0.465899596479634"
"Sehr oft","2004","(noch) kein Abschluss","","","",""
"Sehr oft","2004","Hauptschule","","","",""
"Sehr oft","2004","Realschule","","","",""
"Sehr oft","2004","(Fach-)Abitur","","","",""
"Sehr oft","2004","AkademikerIn","","","",""
"Oft","2004","(noch) kein Abschluss","","","",""
"Oft","2004","Hauptschule","","","",""
"Oft","2004","Realschule","","","",""
"Oft","2004","(Fach-)Abitur","","","",""
"Oft","2004","AkademikerIn","","","",""
"Manchmal","2004","(noch) kein Abschluss","","","",""
"Manchmal","2004","Hauptschule","","","",""
"Manchmal","2004","Realschule","","","",""
"Manchmal","2004","(Fach-)Abitur","","","",""
"Manchmal","2004","AkademikerIn","","","",""
"Selten","2004","(noch) kein Abschluss","","","",""
"Selten","2004","Hauptschule","","","",""
"Selten","2004","Realschule","","","",""
"Selten","2004","(Fach-)Abitur","","","",""
"Selten","2004","AkademikerIn","","","",""
"Nie","2004","(noch) kein Abschluss","","","",""
"Nie","2004","Hauptschule","","","",""
"Nie","2004","Realschule","","","",""
"Nie","2004","(Fach-)Abitur","","","",""
"Nie","2004","AkademikerIn","","","",""
"Sehr oft","2005","(noch) kein Abschluss","","","",""
"Sehr oft","2005","Hauptschule","","","",""
"Sehr oft","2005","Realschule","","","",""
"Sehr oft","2005","(Fach-)Abitur","","","",""
"Sehr oft","2005","AkademikerIn","","","",""
"Oft","2005","(noch) kein Abschluss","","","",""
"Oft","2005","Hauptschule","","","",""
"Oft","2005","Realschule","","","",""
"Oft","2005","(Fach-)Abitur","","","",""
"Oft","2005","AkademikerIn","","","",""
"Manchmal","2005","(noch) kein Abschluss","","","",""
"Manchmal","2005","Hauptschule","","","",""
"Manchmal","2005","Realschule","","","",""
"Manchmal","2005","(Fach-)Abitur","","","",""
"Manchmal","2005","AkademikerIn","","","",""
"Selten","2005","(noch) kein Abschluss","","","",""
"Selten","2005","Hauptschule","","","",""
"Selten","2005","Realschule","","","",""
"Selten","2005","(Fach-)Abitur","","","",""
"Selten","2005","AkademikerIn","","","",""
"Nie","2005","(noch) kein Abschluss","","","",""
"Nie","2005","Hauptschule","","","",""
"Nie","2005","Realschule","","","",""
"Nie","2005","(Fach-)Abitur","","","",""
"Nie","2005","AkademikerIn","","","",""
"Sehr oft","2006","(noch) kein Abschluss","","","",""
"Sehr oft","2006","Hauptschule","","","",""
"Sehr oft","2006","Realschule","","","",""
"Sehr oft","2006","(Fach-)Abitur","","","",""
"Sehr oft","2006","AkademikerIn","","","",""
"Oft","2006","(noch) kein Abschluss","","","",""
"Oft","2006","Hauptschule","","","",""
"Oft","2006","Realschule","","","",""
"Oft","2006","(Fach-)Abitur","","","",""
"Oft","2006","AkademikerIn","","","",""
"Manchmal","2006","(noch) kein Abschluss","","","",""
"Manchmal","2006","Hauptschule","","","",""
"Manchmal","2006","Realschule","","","",""
"Manchmal","2006","(Fach-)Abitur","","","",""
"Manchmal","2006","AkademikerIn","","","",""
