year,bula_h,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Sometimes,0.12092,99,644,0.09572,0.14612
2003,Schleswig-Holstein,Seldom,0.40580,327,644,0.36784,0.44375
2003,Schleswig-Holstein,Never,0.27311,218,644,0.23867,0.30755
2003,Hamburg,Sometimes,0.12861,42,279,0.08926,0.16796
2003,Hamburg,Seldom,0.37204,124,279,0.31522,0.42886
2003,Hamburg,Never,0.32380,113,279,0.26880,0.37881
2003,Lower Saxony,Often,0.03066,75,1886,0.02288,0.03844
2003,Lower Saxony,Sometimes,0.10688,264,1886,0.09293,0.12082
2003,Lower Saxony,Seldom,0.23898,576,1886,0.21973,0.25823
2003,Lower Saxony,Never,0.44027,971,1886,0.41786,0.46268
2003,Bremen,Seldom,0.21546,51,143,0.14784,0.28308
2003,Bremen,Never,0.49172,92,143,0.40950,0.57395
2003,North Rhine-Westphalia,Very often,0.00632,36,4615,0.00403,0.00861
2003,North Rhine-Westphalia,Often,0.02885,169,4615,0.02402,0.03368
2003,North Rhine-Westphalia,Sometimes,0.11564,674,4615,0.10641,0.12487
2003,North Rhine-Westphalia,Seldom,0.23774,1414,4615,0.22546,0.25002
2003,North Rhine-Westphalia,Never,0.43093,2322,4615,0.41664,0.44522
2003,Hesse,Often,0.02921,50,1471,0.02060,0.03781
2003,Hesse,Sometimes,0.11439,212,1471,0.09812,0.13067
2003,Hesse,Seldom,0.23544,459,1471,0.21375,0.25713
2003,Hesse,Never,0.41779,750,1471,0.39258,0.44301
2003,"Rhineland-Palatinate, Saarland",Sometimes,0.10157,179,1271,0.08496,0.11819
2003,"Rhineland-Palatinate, Saarland",Seldom,0.23164,364,1271,0.20844,0.25484
2003,"Rhineland-Palatinate, Saarland",Never,0.43668,728,1271,0.40940,0.46396
2003,Baden-Wuerttemberg,Often,0.01742,69,2664,0.01245,0.02238
2003,Baden-Wuerttemberg,Sometimes,0.09887,336,2664,0.08753,0.11020
2003,Baden-Wuerttemberg,Seldom,0.28078,936,2664,0.26371,0.29785
2003,Baden-Wuerttemberg,Never,0.40035,1323,2664,0.38174,0.41896
2003,Bavaria,Often,0.02481,94,3093,0.01933,0.03030
2003,Bavaria,Sometimes,0.12612,470,3093,0.11441,0.13782
2003,Bavaria,Seldom,0.24203,1001,3093,0.22693,0.25712
2003,Bavaria,Never,0.43311,1528,3093,0.41564,0.45057
2003,Berlin,Often,0.02896,34,809,0.01740,0.04052
2003,Berlin,Sometimes,0.15026,158,809,0.12562,0.17490
2003,Berlin,Seldom,0.26042,263,809,0.23016,0.29069
2003,Berlin,Never,0.38697,354,809,0.35339,0.42056
2003,Brandenburg,Sometimes,0.08676,89,918,0.06854,0.10497
2003,Brandenburg,Seldom,0.27192,309,918,0.24312,0.30072
2003,Brandenburg,Never,0.49152,520,918,0.45916,0.52388
2003,Mecklenburg-Western Pomerania,Sometimes,0.08597,54,510,0.06161,0.11032
2003,Mecklenburg-Western Pomerania,Seldom,0.25444,180,510,0.21660,0.29228
2003,Mecklenburg-Western Pomerania,Never,0.49605,276,510,0.45261,0.53949
2003,Saxony,Sometimes,0.08942,163,1568,0.07529,0.10354
2003,Saxony,Seldom,0.23392,456,1568,0.21296,0.25488
2003,Saxony,Never,0.51746,949,1568,0.49272,0.54221
2003,Saxony-Anhalt,Sometimes,0.08343,105,912,0.06547,0.10139
2003,Saxony-Anhalt,Seldom,0.23536,267,912,0.20781,0.26291
2003,Saxony-Anhalt,Never,0.53830,540,912,0.50592,0.57067
2003,Thuringa,Sometimes,0.08031,90,942,0.06294,0.09767
2003,Thuringa,Seldom,0.24194,303,942,0.21458,0.26931
2003,Thuringa,Never,0.53790,549,942,0.50604,0.56975
2008,Schleswig-Holstein,Sometimes,0.10492,64,533,0.07888,0.13096
2008,Schleswig-Holstein,Seldom,0.31363,191,533,0.27420,0.35305
2008,Schleswig-Holstein,Never,0.39020,278,533,0.34875,0.43165
2008,Hamburg,Sometimes,0.14296,45,264,0.10066,0.18527
2008,Hamburg,Seldom,0.28802,95,264,0.23329,0.34275
2008,Hamburg,Never,0.39378,124,264,0.33473,0.45283
2008,Lower Saxony,Often,0.02133,45,1720,0.01450,0.02816
2008,Lower Saxony,Sometimes,0.10557,208,1720,0.09105,0.12010
2008,Lower Saxony,Seldom,0.25085,514,1720,0.23036,0.27135
2008,Lower Saxony,Never,0.44762,953,1720,0.42411,0.47113
2008,Bremen,Seldom,0.37426,55,119,0.28694,0.46157
2008,Bremen,Never,0.42972,64,119,0.34040,0.51904
2008,North Rhine-Westphalia,Often,0.02519,101,3897,0.02027,0.03011
2008,North Rhine-Westphalia,Sometimes,0.11154,492,3897,0.10166,0.12143
2008,North Rhine-Westphalia,Seldom,0.23471,1154,3897,0.22141,0.24802
2008,North Rhine-Westphalia,Never,0.45676,2150,3897,0.44112,0.47240
2008,Hesse,Often,0.02422,37,1293,0.01584,0.03260
2008,Hesse,Sometimes,0.12322,183,1293,0.10530,0.14115
2008,Hesse,Seldom,0.26471,420,1293,0.24065,0.28876
2008,Hesse,Never,0.39341,653,1293,0.36677,0.42005
2008,"Rhineland-Palatinate, Saarland",Often,0.02449,32,1062,0.01519,0.03380
2008,"Rhineland-Palatinate, Saarland",Sometimes,0.08663,120,1062,0.06971,0.10356
2008,"Rhineland-Palatinate, Saarland",Seldom,0.20016,261,1062,0.17608,0.22423
2008,"Rhineland-Palatinate, Saarland",Never,0.47937,649,1062,0.44930,0.50943
2008,Baden-Wuerttemberg,Often,0.02201,54,2332,0.01605,0.02797
2008,Baden-Wuerttemberg,Sometimes,0.10612,313,2332,0.09362,0.11863
2008,Baden-Wuerttemberg,Seldom,0.26985,818,2332,0.25183,0.28787
2008,Baden-Wuerttemberg,Never,0.41342,1147,2332,0.39342,0.43341
2008,Bavaria,Often,0.02422,72,2715,0.01843,0.03000
2008,Bavaria,Sometimes,0.09791,333,2715,0.08673,0.10909
2008,Bavaria,Seldom,0.26692,932,2715,0.25027,0.28356
2008,Bavaria,Never,0.43294,1378,2715,0.41430,0.45158
