"pld0044","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Sehr oft","2003","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Sehr oft","2003","Hauptschule","Staedtischer Raum","27","","",""
"Sehr oft","2003","Hauptschule","Laendlicher Raum","5","0.00197083629255225","0.000363041658226366","0.00357863092687814"
"Sehr oft","2003","Realschule","Staedtischer Raum","21","","",""
"Sehr oft","2003","Realschule","Laendlicher Raum","7","0.00418323750170252","0.00156029232605043","0.00680618267735462"
"Sehr oft","2003","(Fach-)Abitur","Staedtischer Raum","23","","",""
"Sehr oft","2003","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Sehr oft","2003","AkademikerIn","Staedtischer Raum","12","","",""
"Sehr oft","2003","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2003","(noch) kein Abschluss","Staedtischer Raum","94","0.112741707851487","0.088044653675315","0.137438762027659"
"Oft","2003","(noch) kein Abschluss","Laendlicher Raum","25","","",""
"Oft","2003","Hauptschule","Staedtischer Raum","112","","",""
"Oft","2003","Hauptschule","Laendlicher Raum","46","0.0160149691166671","0.0114641352443036","0.0205658029890306"
"Oft","2003","Realschule","Staedtischer Raum","98","0.029184850176966","0.0235410372727598","0.0348286630811723"
"Oft","2003","Realschule","Laendlicher Raum","33","0.015286575713519","0.0103005642697996","0.0202725871572385"
"Oft","2003","(Fach-)Abitur","Staedtischer Raum","96","0.0532769719749747","0.0429984738118919","0.0635554701380575"
"Oft","2003","(Fach-)Abitur","Laendlicher Raum","18","","",""
"Oft","2003","AkademikerIn","Staedtischer Raum","72","0.0263565404305338","0.0206769686395734","0.0320361122214941"
"Oft","2003","AkademikerIn","Laendlicher Raum","16","","",""
"Manchmal","2003","(noch) kein Abschluss","Staedtischer Raum","169","","",""
"Manchmal","2003","(noch) kein Abschluss","Laendlicher Raum","67","0.267551495873553","0.213429504307208","0.321673487439898"
"Manchmal","2003","Hauptschule","Staedtischer Raum","574","0.105713070364495","0.0975447698170013","0.113881370911988"
"Manchmal","2003","Hauptschule","Laendlicher Raum","267","","",""
"Manchmal","2003","Realschule","Staedtischer Raum","448","0.132505967096469","0.121138163338425","0.143873770854513"
"Manchmal","2003","Realschule","Laendlicher Raum","282","","",""
"Manchmal","2003","(Fach-)Abitur","Staedtischer Raum","407","0.226112508850233","0.206967761773886","0.245257255926579"
"Manchmal","2003","(Fach-)Abitur","Laendlicher Raum","103","","",""
