year,sex,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,male,Very often,0.00555,68,10586,0.00413,0.00696
2003,male,Often,0.02765,343,10586,0.02453,0.03077
2003,male,Sometimes,0.11940,1550,10586,0.11323,0.12558
2003,male,Seldom,0.26500,3485,10586,0.25659,0.27341
2003,male,Never,0.40013,5140,10586,0.39080,0.40947
2003,female,Very often,0.00370,57,11398,0.00259,0.00482
2003,female,Often,0.01910,291,11398,0.01659,0.02161
2003,female,Sometimes,0.10175,1412,11398,0.09620,0.10730
2003,female,Seldom,0.24342,3545,11398,0.23554,0.25130
2003,female,Never,0.46435,6093,11398,0.45520,0.47351
2008,male,Very often,0.00504,49,9146,0.00359,0.00649
2008,male,Often,0.02683,254,9146,0.02352,0.03015
2008,male,Sometimes,0.11197,1155,9146,0.10551,0.11844
2008,male,Seldom,0.27222,3033,9146,0.26310,0.28134
2008,male,Never,0.40912,4655,9146,0.39905,0.41920
2008,female,Very often,0.00372,44,10031,0.00253,0.00491
2008,female,Often,0.01856,198,10031,0.01592,0.02120
2008,female,Sometimes,0.09543,1131,10031,0.08968,0.10118
2008,female,Seldom,0.24752,3004,10031,0.23907,0.25596
2008,female,Never,0.47562,5654,10031,0.46585,0.48540
2013,male,Very often,0.00255,49,11476,0.00162,0.00347
2013,male,Often,0.02368,398,11476,0.02089,0.02646
2013,male,Sometimes,0.10371,1557,11476,0.09813,0.10928
2013,male,Seldom,0.24747,3739,11476,0.23957,0.25537
2013,male,Never,0.37150,5733,11476,0.36266,0.38034
2013,female,Very often,0.00159,48,13906,0.00093,0.00226
2013,female,Often,0.01724,322,13906,0.01507,0.01940
2013,female,Sometimes,0.08426,1654,13906,0.07964,0.08888
2013,female,Seldom,0.23004,4173,13906,0.22304,0.23703
2013,female,Never,0.43840,7709,13906,0.43016,0.44665
2018,male,Very often,0.00635,110,11769,0.00492,0.00779
2018,male,Often,0.03931,554,11769,0.03580,0.04282
2018,male,Sometimes,0.15151,2089,11769,0.14503,0.15799
2018,male,Seldom,0.28507,4008,11769,0.27691,0.29323
2018,male,Never,0.34268,5008,11769,0.33410,0.35125
2018,female,Very often,0.00397,101,13769,0.00292,0.00502
2018,female,Often,0.03178,512,13769,0.02885,0.03471
2018,female,Sometimes,0.13284,2247,13769,0.12717,0.13851
2018,female,Seldom,0.25561,4343,13769,0.24833,0.26290
2018,female,Never,0.41597,6566,13769,0.40774,0.42421
