"pld0044","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","17-29","(noch) kein Abschluss","24","","",""
"Sehr oft","2003","17-29","Hauptschule","10","","",""
"Sehr oft","2003","17-29","Realschule","24","","",""
"Sehr oft","2003","17-29","(Fach-)Abitur","18","","",""
"Sehr oft","2003","17-29","AkademikerIn","2","","",""
"Sehr oft","2003","30-45","(noch) kein Abschluss","","","",""
"Sehr oft","2003","30-45","Hauptschule","10","","",""
"Sehr oft","2003","30-45","Realschule","4","","",""
"Sehr oft","2003","30-45","(Fach-)Abitur","7","","",""
"Sehr oft","2003","30-45","AkademikerIn","7","","",""
"Sehr oft","2003","46-65","(noch) kein Abschluss","","","",""
"Sehr oft","2003","46-65","Hauptschule","8","","",""
"Sehr oft","2003","46-65","Realschule","","","",""
"Sehr oft","2003","46-65","(Fach-)Abitur","1","","",""
"Sehr oft","2003","46-65","AkademikerIn","3","","",""
"Sehr oft","2003","66","(noch) kein Abschluss","","","",""
"Sehr oft","2003","66","Hauptschule","","","",""
"Sehr oft","2003","66","Realschule","","","",""
"Sehr oft","2003","66","(Fach-)Abitur","","","",""
"Sehr oft","2003","66","AkademikerIn","","","",""
"Oft","2003","17-29","(noch) kein Abschluss","116","0.149378441718355","0.121847738018207","0.176909145418504"
"Oft","2003","17-29","Hauptschule","65","0.0825582416296639","0.0630175435558092","0.102098939703519"
"Oft","2003","17-29","Realschule","83","0.077080662636484","0.0620336928647371","0.092127632408231"
"Oft","2003","17-29","(Fach-)Abitur","80","0.09262446754795","0.0743993074135827","0.110849627682317"
"Oft","2003","17-29","AkademikerIn","7","","",""
"Oft","2003","30-45","(noch) kein Abschluss","","","",""
"Oft","2003","30-45","Hauptschule","43","0.0235883852395637","0.0167373218136849","0.0304394486654425"
"Oft","2003","30-45","Realschule","37","0.0131685403959144","0.00868470104133354","0.0176523797504953"
"Oft","2003","30-45","(Fach-)Abitur","26","","",""
"Oft","2003","30-45","AkademikerIn","42","0.031745880434912","0.0230790522900276","0.0404127085797963"
"Oft","2003","46-65","(noch) kein Abschluss","3","","",""
"Oft","2003","46-65","Hauptschule","37","0.0162807564064315","0.0119863025283696","0.0205752102844933"
"Oft","2003","46-65","Realschule","9","","",""
"Oft","2003","46-65","(Fach-)Abitur","8","","",""
"Oft","2003","46-65","AkademikerIn","38","0.0250310429592054","0.0181604639892466","0.0319016219291642"
"Oft","2003","66","(noch) kein Abschluss","","","",""
"Oft","2003","66","Hauptschule","","","",""
"Oft","2003","66","Realschule","","","",""
"Oft","2003","66","(Fach-)Abitur","","","",""
"Oft","2003","66","AkademikerIn","","","",""
"Manchmal","2003","17-29","(noch) kein Abschluss","203","0.331226041965495","0.294875819633236","0.367576264297754"
"Manchmal","2003","17-29","Hauptschule","162","0.215878732807246","0.186666338643487","0.245091126971005"
"Manchmal","2003","17-29","Realschule","315","0.256693682032335","0.232051114359477","0.281336249705193"
"Manchmal","2003","17-29","(Fach-)Abitur","306","0.319532424840093","0.290218353265821","0.348846496414364"
"Manchmal","2003","17-29","AkademikerIn","49","0.232507601970314","0.174396957522004","0.290618246418623"
"Manchmal","2003","30-45","(noch) kein Abschluss","10","","",""
"Manchmal","2003","30-45","Hauptschule","312","0.172677476031599","0.155614778824304","0.189740173238895"
"Manchmal","2003","30-45","Realschule","276","0.122785148008998","0.109876354961188","0.135693941056808"
"Manchmal","2003","30-45","(Fach-)Abitur","138","0.182388044099245","0.156458188787638","0.208317899410853"
"Manchmal","2003","30-45","AkademikerIn","256","0.179214601635806","0.160255256755625","0.198173946515986"
"Manchmal","2003","46-65","(noch) kein Abschluss","16","","",""
"Manchmal","2003","46-65","Hauptschule","276","0.0890446263318068","0.0793799463328882","0.0987093063307253"
"Manchmal","2003","46-65","Realschule","123","0.0802214688278639","0.0670628383785983","0.0933800992771295"
"Manchmal","2003","46-65","(Fach-)Abitur","60","0.149313959962347","0.115628015910536","0.182999904014157"
"Manchmal","2003","46-65","AkademikerIn","221","0.122750020684403","0.108317873834449","0.137182167534357"
"Manchmal","2003","66","(noch) kein Abschluss","","","",""
"Manchmal","2003","66","Hauptschule","","","",""
"Manchmal","2003","66","Realschule","","","",""
"Manchmal","2003","66","(Fach-)Abitur","","","",""
"Manchmal","2003","66","AkademikerIn","","","",""
"Selten","2003","17-29","(noch) kein Abschluss","184","0.275379639345505","0.240879064034515","0.309880214656494"
"Selten","2003","17-29","Hauptschule","263","0.345100850065983","0.311346415819275","0.378855284312692"
"Selten","2003","17-29","Realschule","452","0.370287901037781","0.343046136439362","0.3975296656362"
"Selten","2003","17-29","(Fach-)Abitur","376","0.344142648720892","0.314275834370595","0.37400946307119"
"Selten","2003","17-29","AkademikerIn","88","0.416187314819606","0.348379264837803","0.48399536480141"
"Selten","2003","30-45","(noch) kein Abschluss","20","","",""
"Selten","2003","30-45","Hauptschule","644","0.360245137868419","0.338573173632275","0.381917102104563"
"Selten","2003","30-45","Realschule","957","0.389978566934996","0.370793971383812","0.40916316248618"
"Selten","2003","30-45","(Fach-)Abitur","351","0.423029734091516","0.389856298068334","0.456203170114698"
"Selten","2003","30-45","AkademikerIn","640","0.42263573829403","0.398216625643374","0.447054850944687"
"Selten","2003","46-65","(noch) kein Abschluss","24","","",""
"Selten","2003","46-65","Hauptschule","838","0.244027447013409","0.229452485313543","0.258602408713275"
"Selten","2003","46-65","Realschule","542","0.327629940701559","0.304893644109467","0.350366237293651"
"Selten","2003","46-65","(Fach-)Abitur","151","0.321161742525445","0.277029202778006","0.365294282272885"
"Selten","2003","46-65","AkademikerIn","733","0.374108102500114","0.352826384173086","0.395389820827141"
"Selten","2003","66","(noch) kein Abschluss","","","",""
"Selten","2003","66","Hauptschule","","","",""
"Selten","2003","66","Realschule","","","",""
"Selten","2003","66","(Fach-)Abitur","","","",""
"Selten","2003","66","AkademikerIn","","","",""
"Nie","2003","17-29","(noch) kein Abschluss","117","0.213392833767984","0.181750098194467","0.245035569341501"
"Nie","2003","17-29","Hauptschule","262","0.341490796448936","0.307820958072146","0.375160634825725"
"Nie","2003","17-29","Realschule","333","0.27012688599007","0.245077213906863","0.295176558073277"
"Nie","2003","17-29","(Fach-)Abitur","192","0.218471632520127","0.19249487988837","0.244448385151885"
"Nie","2003","17-29","AkademikerIn","57","0.322673845772681","0.25836349512469","0.386984196420673"
"Nie","2003","30-45","(noch) kein Abschluss","43","0.565990059289775","0.452295180980026","0.679684937599524"
"Nie","2003","30-45","Hauptschule","876","0.436676103845032","0.414286252285226","0.459065955404838"
"Nie","2003","30-45","Realschule","1209","0.472699705140443","0.453062421910229","0.492336988370656"
"Nie","2003","30-45","(Fach-)Abitur","330","0.359515489822502","0.32729431193762","0.391736667707385"
"Nie","2003","30-45","AkademikerIn","627","0.361388779782427","0.337640758751613","0.38513680081324"
"Nie","2003","46-65","(noch) kein Abschluss","65","0.581211784223598","0.488165154895274","0.674258413551921"
"Nie","2003","46-65","Hauptschule","2177","0.649114379757395","0.632919472309702","0.665309287205087"
"Nie","2003","46-65","Realschule","963","0.583376470062685","0.559494502585207","0.607258437540164"
"Nie","2003","46-65","(Fach-)Abitur","210","0.500374390804965","0.453115475890542","0.547633305719387"
"Nie","2003","46-65","AkademikerIn","991","0.477121517879119","0.455154386089652","0.499088649668586"
"Nie","2003","66","(noch) kein Abschluss","","","",""
"Nie","2003","66","Hauptschule","","","",""
"Nie","2003","66","Realschule","","","",""
"Nie","2003","66","(Fach-)Abitur","","","",""
"Nie","2003","66","AkademikerIn","","","",""
"Sehr oft","2004","17-29","(noch) kein Abschluss","","","",""
"Sehr oft","2004","17-29","Hauptschule","","","",""
"Sehr oft","2004","17-29","Realschule","","","",""
"Sehr oft","2004","17-29","(Fach-)Abitur","","","",""
"Sehr oft","2004","17-29","AkademikerIn","","","",""
"Sehr oft","2004","30-45","(noch) kein Abschluss","","","",""
"Sehr oft","2004","30-45","Hauptschule","","","",""
"Sehr oft","2004","30-45","Realschule","","","",""
"Sehr oft","2004","30-45","(Fach-)Abitur","","","",""
"Sehr oft","2004","30-45","AkademikerIn","","","",""
"Sehr oft","2004","46-65","(noch) kein Abschluss","","","",""
"Sehr oft","2004","46-65","Hauptschule","","","",""
"Sehr oft","2004","46-65","Realschule","","","",""
"Sehr oft","2004","46-65","(Fach-)Abitur","","","",""
"Sehr oft","2004","46-65","AkademikerIn","","","",""
"Sehr oft","2004","66","(noch) kein Abschluss","","","",""
"Sehr oft","2004","66","Hauptschule","","","",""
"Sehr oft","2004","66","Realschule","","","",""
"Sehr oft","2004","66","(Fach-)Abitur","","","",""
"Sehr oft","2004","66","AkademikerIn","","","",""
"Oft","2004","17-29","(noch) kein Abschluss","","","",""
"Oft","2004","17-29","Hauptschule","","","",""
"Oft","2004","17-29","Realschule","","","",""
"Oft","2004","17-29","(Fach-)Abitur","","","",""
"Oft","2004","17-29","AkademikerIn","","","",""
"Oft","2004","30-45","(noch) kein Abschluss","","","",""
"Oft","2004","30-45","Hauptschule","","","",""
"Oft","2004","30-45","Realschule","","","",""
"Oft","2004","30-45","(Fach-)Abitur","","","",""
"Oft","2004","30-45","AkademikerIn","","","",""
"Oft","2004","46-65","(noch) kein Abschluss","","","",""
"Oft","2004","46-65","Hauptschule","","","",""
"Oft","2004","46-65","Realschule","","","",""
"Oft","2004","46-65","(Fach-)Abitur","","","",""
"Oft","2004","46-65","AkademikerIn","","","",""
"Oft","2004","66","(noch) kein Abschluss","","","",""
"Oft","2004","66","Hauptschule","","","",""
"Oft","2004","66","Realschule","","","",""
"Oft","2004","66","(Fach-)Abitur","","","",""
"Oft","2004","66","AkademikerIn","","","",""
"Manchmal","2004","17-29","(noch) kein Abschluss","","","",""
"Manchmal","2004","17-29","Hauptschule","","","",""
"Manchmal","2004","17-29","Realschule","","","",""
"Manchmal","2004","17-29","(Fach-)Abitur","","","",""
"Manchmal","2004","17-29","AkademikerIn","","","",""
"Manchmal","2004","30-45","(noch) kein Abschluss","","","",""
"Manchmal","2004","30-45","Hauptschule","","","",""
"Manchmal","2004","30-45","Realschule","","","",""
"Manchmal","2004","30-45","(Fach-)Abitur","","","",""
"Manchmal","2004","30-45","AkademikerIn","","","",""
"Manchmal","2004","46-65","(noch) kein Abschluss","","","",""
"Manchmal","2004","46-65","Hauptschule","","","",""
"Manchmal","2004","46-65","Realschule","","","",""
"Manchmal","2004","46-65","(Fach-)Abitur","","","",""
"Manchmal","2004","46-65","AkademikerIn","","","",""
"Manchmal","2004","66","(noch) kein Abschluss","","","",""
"Manchmal","2004","66","Hauptschule","","","",""
"Manchmal","2004","66","Realschule","","","",""
"Manchmal","2004","66","(Fach-)Abitur","","","",""
"Manchmal","2004","66","AkademikerIn","","","",""
"Selten","2004","17-29","(noch) kein Abschluss","","","",""
"Selten","2004","17-29","Hauptschule","","","",""
"Selten","2004","17-29","Realschule","","","",""
"Selten","2004","17-29","(Fach-)Abitur","","","",""
"Selten","2004","17-29","AkademikerIn","","","",""
"Selten","2004","30-45","(noch) kein Abschluss","","","",""
"Selten","2004","30-45","Hauptschule","","","",""
"Selten","2004","30-45","Realschule","","","",""
"Selten","2004","30-45","(Fach-)Abitur","","","",""
"Selten","2004","30-45","AkademikerIn","","","",""
"Selten","2004","46-65","(noch) kein Abschluss","","","",""
"Selten","2004","46-65","Hauptschule","","","",""
