"pld0044","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","2005","Bremen","Laendlicher Raum","","","",""
"Nie","2005","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Nie","2005","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Nie","2005","Hessen","Staedtischer Raum","","","",""
"Nie","2005","Hessen","Laendlicher Raum","","","",""
"Nie","2005","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Nie","2005","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Nie","2005","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Nie","2005","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Nie","2005","Bayern","Staedtischer Raum","","","",""
"Nie","2005","Bayern","Laendlicher Raum","","","",""
"Nie","2005","Saarland","Staedtischer Raum","","","",""
"Nie","2005","Saarland","Laendlicher Raum","","","",""
"Nie","2005","Berlin","Staedtischer Raum","","","",""
"Nie","2005","Berlin","Laendlicher Raum","","","",""
"Nie","2005","Brandenburg","Staedtischer Raum","","","",""
"Nie","2005","Brandenburg","Laendlicher Raum","","","",""
"Nie","2005","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","2005","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","2005","Sachsen","Staedtischer Raum","","","",""
"Nie","2005","Sachsen","Laendlicher Raum","","","",""
"Nie","2005","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","2005","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","2005","Thueringen","Staedtischer Raum","","","",""
"Nie","2005","Thueringen","Laendlicher Raum","","","",""
"Sehr oft","2006","Schleswig-Holstein","Staedtischer Raum","","","",""
"Sehr oft","2006","Schleswig-Holstein","Laendlicher Raum","","","",""
"Sehr oft","2006","Hamburg","Staedtischer Raum","","","",""
"Sehr oft","2006","Hamburg","Laendlicher Raum","","","",""
"Sehr oft","2006","Niedersachsen","Staedtischer Raum","","","",""
"Sehr oft","2006","Niedersachsen","Laendlicher Raum","","","",""
"Sehr oft","2006","Bremen","Staedtischer Raum","","","",""
"Sehr oft","2006","Bremen","Laendlicher Raum","","","",""
"Sehr oft","2006","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Sehr oft","2006","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Sehr oft","2006","Hessen","Staedtischer Raum","","","",""
"Sehr oft","2006","Hessen","Laendlicher Raum","","","",""
"Sehr oft","2006","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Sehr oft","2006","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Sehr oft","2006","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Sehr oft","2006","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Sehr oft","2006","Bayern","Staedtischer Raum","","","",""
"Sehr oft","2006","Bayern","Laendlicher Raum","","","",""
"Sehr oft","2006","Saarland","Staedtischer Raum","","","",""
"Sehr oft","2006","Saarland","Laendlicher Raum","","","",""
"Sehr oft","2006","Berlin","Staedtischer Raum","","","",""
"Sehr oft","2006","Berlin","Laendlicher Raum","","","",""
"Sehr oft","2006","Brandenburg","Staedtischer Raum","","","",""
"Sehr oft","2006","Brandenburg","Laendlicher Raum","","","",""
"Sehr oft","2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sehr oft","2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Sehr oft","2006","Sachsen","Staedtischer Raum","","","",""
"Sehr oft","2006","Sachsen","Laendlicher Raum","","","",""
"Sehr oft","2006","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Sehr oft","2006","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Sehr oft","2006","Thueringen","Staedtischer Raum","","","",""
"Sehr oft","2006","Thueringen","Laendlicher Raum","","","",""
"Oft","2006","Schleswig-Holstein","Staedtischer Raum","","","",""
"Oft","2006","Schleswig-Holstein","Laendlicher Raum","","","",""
"Oft","2006","Hamburg","Staedtischer Raum","","","",""
"Oft","2006","Hamburg","Laendlicher Raum","","","",""
"Oft","2006","Niedersachsen","Staedtischer Raum","","","",""
"Oft","2006","Niedersachsen","Laendlicher Raum","","","",""
"Oft","2006","Bremen","Staedtischer Raum","","","",""
"Oft","2006","Bremen","Laendlicher Raum","","","",""
"Oft","2006","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Oft","2006","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Oft","2006","Hessen","Staedtischer Raum","","","",""
"Oft","2006","Hessen","Laendlicher Raum","","","",""
"Oft","2006","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Oft","2006","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Oft","2006","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Oft","2006","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Oft","2006","Bayern","Staedtischer Raum","","","",""
"Oft","2006","Bayern","Laendlicher Raum","","","",""
"Oft","2006","Saarland","Staedtischer Raum","","","",""
"Oft","2006","Saarland","Laendlicher Raum","","","",""
"Oft","2006","Berlin","Staedtischer Raum","","","",""
"Oft","2006","Berlin","Laendlicher Raum","","","",""
"Oft","2006","Brandenburg","Staedtischer Raum","","","",""
"Oft","2006","Brandenburg","Laendlicher Raum","","","",""
"Oft","2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Oft","2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Oft","2006","Sachsen","Staedtischer Raum","","","",""
"Oft","2006","Sachsen","Laendlicher Raum","","","",""
"Oft","2006","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Oft","2006","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Oft","2006","Thueringen","Staedtischer Raum","","","",""
"Oft","2006","Thueringen","Laendlicher Raum","","","",""
"Manchmal","2006","Schleswig-Holstein","Staedtischer Raum","","","",""
"Manchmal","2006","Schleswig-Holstein","Laendlicher Raum","","","",""
"Manchmal","2006","Hamburg","Staedtischer Raum","","","",""
"Manchmal","2006","Hamburg","Laendlicher Raum","","","",""
"Manchmal","2006","Niedersachsen","Staedtischer Raum","","","",""
"Manchmal","2006","Niedersachsen","Laendlicher Raum","","","",""
"Manchmal","2006","Bremen","Staedtischer Raum","","","",""
"Manchmal","2006","Bremen","Laendlicher Raum","","","",""
"Manchmal","2006","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Manchmal","2006","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Manchmal","2006","Hessen","Staedtischer Raum","","","",""
"Manchmal","2006","Hessen","Laendlicher Raum","","","",""
"Manchmal","2006","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Manchmal","2006","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Manchmal","2006","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Manchmal","2006","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Manchmal","2006","Bayern","Staedtischer Raum","","","",""
"Manchmal","2006","Bayern","Laendlicher Raum","","","",""
"Manchmal","2006","Saarland","Staedtischer Raum","","","",""
"Manchmal","2006","Saarland","Laendlicher Raum","","","",""
"Manchmal","2006","Berlin","Staedtischer Raum","","","",""
"Manchmal","2006","Berlin","Laendlicher Raum","","","",""
"Manchmal","2006","Brandenburg","Staedtischer Raum","","","",""
"Manchmal","2006","Brandenburg","Laendlicher Raum","","","",""
"Manchmal","2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Manchmal","2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Manchmal","2006","Sachsen","Staedtischer Raum","","","",""
"Manchmal","2006","Sachsen","Laendlicher Raum","","","",""
"Manchmal","2006","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Manchmal","2006","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Manchmal","2006","Thueringen","Staedtischer Raum","","","",""
"Manchmal","2006","Thueringen","Laendlicher Raum","","","",""
"Selten","2006","Schleswig-Holstein","Staedtischer Raum","","","",""
"Selten","2006","Schleswig-Holstein","Laendlicher Raum","","","",""
"Selten","2006","Hamburg","Staedtischer Raum","","","",""
"Selten","2006","Hamburg","Laendlicher Raum","","","",""
"Selten","2006","Niedersachsen","Staedtischer Raum","","","",""
"Selten","2006","Niedersachsen","Laendlicher Raum","","","",""
"Selten","2006","Bremen","Staedtischer Raum","","","",""
"Selten","2006","Bremen","Laendlicher Raum","","","",""
"Selten","2006","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Selten","2006","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Selten","2006","Hessen","Staedtischer Raum","","","",""
"Selten","2006","Hessen","Laendlicher Raum","","","",""
"Selten","2006","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Selten","2006","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Selten","2006","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Selten","2006","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Selten","2006","Bayern","Staedtischer Raum","","","",""
"Selten","2006","Bayern","Laendlicher Raum","","","",""
"Selten","2006","Saarland","Staedtischer Raum","","","",""
"Selten","2006","Saarland","Laendlicher Raum","","","",""
"Selten","2006","Berlin","Staedtischer Raum","","","",""
"Selten","2006","Berlin","Laendlicher Raum","","","",""
"Selten","2006","Brandenburg","Staedtischer Raum","","","",""
"Selten","2006","Brandenburg","Laendlicher Raum","","","",""
"Selten","2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Selten","2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Selten","2006","Sachsen","Staedtischer Raum","","","",""
"Selten","2006","Sachsen","Laendlicher Raum","","","",""
"Selten","2006","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Selten","2006","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Selten","2006","Thueringen","Staedtischer Raum","","","",""
"Selten","2006","Thueringen","Laendlicher Raum","","","",""
"Nie","2006","Schleswig-Holstein","Staedtischer Raum","","","",""
"Nie","2006","Schleswig-Holstein","Laendlicher Raum","","","",""
"Nie","2006","Hamburg","Staedtischer Raum","","","",""
"Nie","2006","Hamburg","Laendlicher Raum","","","",""
"Nie","2006","Niedersachsen","Staedtischer Raum","","","",""
"Nie","2006","Niedersachsen","Laendlicher Raum","","","",""
"Nie","2006","Bremen","Staedtischer Raum","","","",""
"Nie","2006","Bremen","Laendlicher Raum","","","",""
"Nie","2006","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Nie","2006","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Nie","2006","Hessen","Staedtischer Raum","","","",""
"Nie","2006","Hessen","Laendlicher Raum","","","",""
"Nie","2006","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Nie","2006","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Nie","2006","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Nie","2006","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Nie","2006","Bayern","Staedtischer Raum","","","",""
"Nie","2006","Bayern","Laendlicher Raum","","","",""
"Nie","2006","Saarland","Staedtischer Raum","","","",""
"Nie","2006","Saarland","Laendlicher Raum","","","",""
"Nie","2006","Berlin","Staedtischer Raum","","","",""
"Nie","2006","Berlin","Laendlicher Raum","","","",""
"Nie","2006","Brandenburg","Staedtischer Raum","","","",""
"Nie","2006","Brandenburg","Laendlicher Raum","","","",""
"Nie","2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","2006","Sachsen","Staedtischer Raum","","","",""
"Nie","2006","Sachsen","Laendlicher Raum","","","",""
"Nie","2006","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","2006","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","2006","Thueringen","Staedtischer Raum","","","",""
"Nie","2006","Thueringen","Laendlicher Raum","","","",""
"Sehr oft","2007","Schleswig-Holstein","Staedtischer Raum","","","",""
"Sehr oft","2007","Schleswig-Holstein","Laendlicher Raum","","","",""
"Sehr oft","2007","Hamburg","Staedtischer Raum","","","",""
"Sehr oft","2007","Hamburg","Laendlicher Raum","","","",""
"Sehr oft","2007","Niedersachsen","Staedtischer Raum","","","",""
"Sehr oft","2007","Niedersachsen","Laendlicher Raum","","","",""
"Sehr oft","2007","Bremen","Staedtischer Raum","","","",""
"Sehr oft","2007","Bremen","Laendlicher Raum","","","",""
"Sehr oft","2007","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Sehr oft","2007","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Sehr oft","2007","Hessen","Staedtischer Raum","","","",""
"Sehr oft","2007","Hessen","Laendlicher Raum","","","",""
"Sehr oft","2007","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Sehr oft","2007","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Sehr oft","2007","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Sehr oft","2007","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Sehr oft","2007","Bayern","Staedtischer Raum","","","",""
"Sehr oft","2007","Bayern","Laendlicher Raum","","","",""
"Sehr oft","2007","Saarland","Staedtischer Raum","","","",""
"Sehr oft","2007","Saarland","Laendlicher Raum","","","",""
"Sehr oft","2007","Berlin","Staedtischer Raum","","","",""
"Sehr oft","2007","Berlin","Laendlicher Raum","","","",""
"Sehr oft","2007","Brandenburg","Staedtischer Raum","","","",""
"Sehr oft","2007","Brandenburg","Laendlicher Raum","","","",""
"Sehr oft","2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sehr oft","2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Sehr oft","2007","Sachsen","Staedtischer Raum","","","",""
"Sehr oft","2007","Sachsen","Laendlicher Raum","","","",""
"Sehr oft","2007","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Sehr oft","2007","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Sehr oft","2007","Thueringen","Staedtischer Raum","","","",""
"Sehr oft","2007","Thueringen","Laendlicher Raum","","","",""
"Oft","2007","Schleswig-Holstein","Staedtischer Raum","","","",""
"Oft","2007","Schleswig-Holstein","Laendlicher Raum","","","",""
"Oft","2007","Hamburg","Staedtischer Raum","","","",""
"Oft","2007","Hamburg","Laendlicher Raum","","","",""
"Oft","2007","Niedersachsen","Staedtischer Raum","","","",""
"Oft","2007","Niedersachsen","Laendlicher Raum","","","",""
"Oft","2007","Bremen","Staedtischer Raum","","","",""
"Oft","2007","Bremen","Laendlicher Raum","","","",""
"Oft","2007","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Oft","2007","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Oft","2007","Hessen","Staedtischer Raum","","","",""
"Oft","2007","Hessen","Laendlicher Raum","","","",""
"Oft","2007","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Oft","2007","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Oft","2007","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Oft","2007","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Oft","2007","Bayern","Staedtischer Raum","","","",""
"Oft","2007","Bayern","Laendlicher Raum","","","",""
"Oft","2007","Saarland","Staedtischer Raum","","","",""
"Oft","2007","Saarland","Laendlicher Raum","","","",""
"Oft","2007","Berlin","Staedtischer Raum","","","",""
"Oft","2007","Berlin","Laendlicher Raum","","","",""
"Oft","2007","Brandenburg","Staedtischer Raum","","","",""
"Oft","2007","Brandenburg","Laendlicher Raum","","","",""
"Oft","2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Oft","2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Oft","2007","Sachsen","Staedtischer Raum","","","",""
"Oft","2007","Sachsen","Laendlicher Raum","","","",""
"Oft","2007","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Oft","2007","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Oft","2007","Thueringen","Staedtischer Raum","","","",""
"Oft","2007","Thueringen","Laendlicher Raum","","","",""
"Manchmal","2007","Schleswig-Holstein","Staedtischer Raum","","","",""
"Manchmal","2007","Schleswig-Holstein","Laendlicher Raum","","","",""
"Manchmal","2007","Hamburg","Staedtischer Raum","","","",""
"Manchmal","2007","Hamburg","Laendlicher Raum","","","",""
"Manchmal","2007","Niedersachsen","Staedtischer Raum","","","",""
"Manchmal","2007","Niedersachsen","Laendlicher Raum","","","",""
"Manchmal","2007","Bremen","Staedtischer Raum","","","",""
"Manchmal","2007","Bremen","Laendlicher Raum","","","",""
"Manchmal","2007","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Manchmal","2007","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Manchmal","2007","Hessen","Staedtischer Raum","","","",""
"Manchmal","2007","Hessen","Laendlicher Raum","","","",""
"Manchmal","2007","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Manchmal","2007","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Manchmal","2007","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Manchmal","2007","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Manchmal","2007","Bayern","Staedtischer Raum","","","",""
"Manchmal","2007","Bayern","Laendlicher Raum","","","",""
"Manchmal","2007","Saarland","Staedtischer Raum","","","",""
"Manchmal","2007","Saarland","Laendlicher Raum","","","",""
"Manchmal","2007","Berlin","Staedtischer Raum","","","",""
"Manchmal","2007","Berlin","Laendlicher Raum","","","",""
"Manchmal","2007","Brandenburg","Staedtischer Raum","","","",""
"Manchmal","2007","Brandenburg","Laendlicher Raum","","","",""
"Manchmal","2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Manchmal","2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Manchmal","2007","Sachsen","Staedtischer Raum","","","",""
"Manchmal","2007","Sachsen","Laendlicher Raum","","","",""
"Manchmal","2007","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Manchmal","2007","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Manchmal","2007","Thueringen","Staedtischer Raum","","","",""
"Manchmal","2007","Thueringen","Laendlicher Raum","","","",""
"Selten","2007","Schleswig-Holstein","Staedtischer Raum","","","",""
"Selten","2007","Schleswig-Holstein","Laendlicher Raum","","","",""
"Selten","2007","Hamburg","Staedtischer Raum","","","",""
"Selten","2007","Hamburg","Laendlicher Raum","","","",""
"Selten","2007","Niedersachsen","Staedtischer Raum","","","",""
"Selten","2007","Niedersachsen","Laendlicher Raum","","","",""
"Selten","2007","Bremen","Staedtischer Raum","","","",""
"Selten","2007","Bremen","Laendlicher Raum","","","",""
"Selten","2007","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Selten","2007","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Selten","2007","Hessen","Staedtischer Raum","","","",""
"Selten","2007","Hessen","Laendlicher Raum","","","",""
"Selten","2007","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Selten","2007","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Selten","2007","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Selten","2007","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Selten","2007","Bayern","Staedtischer Raum","","","",""
"Selten","2007","Bayern","Laendlicher Raum","","","",""
"Selten","2007","Saarland","Staedtischer Raum","","","",""
"Selten","2007","Saarland","Laendlicher Raum","","","",""
"Selten","2007","Berlin","Staedtischer Raum","","","",""
"Selten","2007","Berlin","Laendlicher Raum","","","",""
"Selten","2007","Brandenburg","Staedtischer Raum","","","",""
"Selten","2007","Brandenburg","Laendlicher Raum","","","",""
"Selten","2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Selten","2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Selten","2007","Sachsen","Staedtischer Raum","","","",""
"Selten","2007","Sachsen","Laendlicher Raum","","","",""
"Selten","2007","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Selten","2007","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Selten","2007","Thueringen","Staedtischer Raum","","","",""
"Selten","2007","Thueringen","Laendlicher Raum","","","",""
"Nie","2007","Schleswig-Holstein","Staedtischer Raum","","","",""
"Nie","2007","Schleswig-Holstein","Laendlicher Raum","","","",""
"Nie","2007","Hamburg","Staedtischer Raum","","","",""
"Nie","2007","Hamburg","Laendlicher Raum","","","",""
"Nie","2007","Niedersachsen","Staedtischer Raum","","","",""
"Nie","2007","Niedersachsen","Laendlicher Raum","","","",""
"Nie","2007","Bremen","Staedtischer Raum","","","",""
"Nie","2007","Bremen","Laendlicher Raum","","","",""
"Nie","2007","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Nie","2007","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Nie","2007","Hessen","Staedtischer Raum","","","",""
"Nie","2007","Hessen","Laendlicher Raum","","","",""
"Nie","2007","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Nie","2007","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Nie","2007","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Nie","2007","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Nie","2007","Bayern","Staedtischer Raum","","","",""
"Nie","2007","Bayern","Laendlicher Raum","","","",""
"Nie","2007","Saarland","Staedtischer Raum","","","",""
"Nie","2007","Saarland","Laendlicher Raum","","","",""
"Nie","2007","Berlin","Staedtischer Raum","","","",""
"Nie","2007","Berlin","Laendlicher Raum","","","",""
"Nie","2007","Brandenburg","Staedtischer Raum","","","",""
"Nie","2007","Brandenburg","Laendlicher Raum","","","",""
"Nie","2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","2007","Sachsen","Staedtischer Raum","","","",""
"Nie","2007","Sachsen","Laendlicher Raum","","","",""
"Nie","2007","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","2007","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","2007","Thueringen","Staedtischer Raum","","","",""
"Nie","2007","Thueringen","Laendlicher Raum","","","",""
"Sehr oft","2008","Schleswig-Holstein","Staedtischer Raum","","","",""
"Sehr oft","2008","Schleswig-Holstein","Laendlicher Raum","1","","",""
"Sehr oft","2008","Hamburg","Staedtischer Raum","2","","",""
"Sehr oft","2008","Hamburg","Laendlicher Raum","","","",""
"Sehr oft","2008","Niedersachsen","Staedtischer Raum","5","0.00718184639491062","0.00141634082440084","0.0129473519654204"
"Sehr oft","2008","Niedersachsen","Laendlicher Raum","3","","",""
"Sehr oft","2008","Bremen","Staedtischer Raum","1","","",""
"Sehr oft","2008","Bremen","Laendlicher Raum","","","",""
"Sehr oft","2008","Nordrhein-Westfalen","Staedtischer Raum","22","","",""
"Sehr oft","2008","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Sehr oft","2008","Hessen","Staedtischer Raum","3","","",""
"Sehr oft","2008","Hessen","Laendlicher Raum","2","","",""
"Sehr oft","2008","Rheinland-Pfalz,Saarland","Staedtischer Raum","7","0.0102683594560799","0.00327825025936733","0.0172584686527925"
"Sehr oft","2008","Rheinland-Pfalz,Saarland","Laendlicher Raum","2","","",""
"Sehr oft","2008","Baden-Wuerttemberg","Staedtischer Raum","12","","",""
"Sehr oft","2008","Baden-Wuerttemberg","Laendlicher Raum","2","","",""
"Sehr oft","2008","Bayern","Staedtischer Raum","6","0.00541100401697986","0.00136036472063007","0.00946164331332965"
"Sehr oft","2008","Bayern","Laendlicher Raum","7","0.00630772034122959","0.00225779295845552","0.0103576477240037"
"Sehr oft","2008","Saarland","Staedtischer Raum","","","",""
"Sehr oft","2008","Saarland","Laendlicher Raum","","","",""
"Sehr oft","2008","Berlin","Staedtischer Raum","6","0.0054362789707821","5.41303333793973e-05","0.0108184276081848"
"Sehr oft","2008","Berlin","Laendlicher Raum","","","",""
"Sehr oft","2008","Brandenburg","Staedtischer Raum","","","",""
"Sehr oft","2008","Brandenburg","Laendlicher Raum","2","","",""
"Sehr oft","2008","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sehr oft","2008","Mecklenburg-Vorpommern","Laendlicher Raum","1","","",""
"Sehr oft","2008","Sachsen","Staedtischer Raum","2","","",""
"Sehr oft","2008","Sachsen","Laendlicher Raum","3","","",""
"Sehr oft","2008","Sachsen-Anhalt","Staedtischer Raum","2","","",""
"Sehr oft","2008","Sachsen-Anhalt","Laendlicher Raum","1","","",""
"Sehr oft","2008","Thueringen","Staedtischer Raum","","","",""
"Sehr oft","2008","Thueringen","Laendlicher Raum","1","","",""
"Oft","2008","Schleswig-Holstein","Staedtischer Raum","5","0.0269648479353435","0.00584663696424025","0.0480830589064468"
"Oft","2008","Schleswig-Holstein","Laendlicher Raum","11","","",""
"Oft","2008","Hamburg","Staedtischer Raum","12","","",""
"Oft","2008","Hamburg","Laendlicher Raum","","","",""
"Oft","2008","Niedersachsen","Staedtischer Raum","27","","",""
"Oft","2008","Niedersachsen","Laendlicher Raum","18","","",""
"Oft","2008","Bremen","Staedtischer Raum","2","","",""
"Oft","2008","Bremen","Laendlicher Raum","","","",""
"Oft","2008","Nordrhein-Westfalen","Staedtischer Raum","99","0.0305142602071846","0.0250571082969974","0.0359714121173718"
"Oft","2008","Nordrhein-Westfalen","Laendlicher Raum","2","","",""
"Oft","2008","Hessen","Staedtischer Raum","34","0.0332268060871655","0.0225227879118193","0.0439308242625117"
"Oft","2008","Hessen","Laendlicher Raum","3","","",""
"Oft","2008","Rheinland-Pfalz,Saarland","Staedtischer Raum","28","","",""
"Oft","2008","Rheinland-Pfalz,Saarland","Laendlicher Raum","4","0.011178115346297","-0.00131604189215774","0.0236722725847517"
"Oft","2008","Baden-Wuerttemberg","Staedtischer Raum","51","0.0281433330246829","0.0211232319535397","0.0351634340958262"
"Oft","2008","Baden-Wuerttemberg","Laendlicher Raum","3","","",""
"Oft","2008","Bayern","Staedtischer Raum","44","0.0372646398956078","0.0268062520252766","0.047723027765939"
"Oft","2008","Bayern","Laendlicher Raum","28","","",""
"Oft","2008","Saarland","Staedtischer Raum","","","",""
"Oft","2008","Saarland","Laendlicher Raum","","","",""
"Oft","2008","Berlin","Staedtischer Raum","24","","",""
"Oft","2008","Berlin","Laendlicher Raum","","","",""
"Oft","2008","Brandenburg","Staedtischer Raum","1","","",""
"Oft","2008","Brandenburg","Laendlicher Raum","13","","",""
"Oft","2008","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Oft","2008","Mecklenburg-Vorpommern","Laendlicher Raum","3","","",""
"Oft","2008","Sachsen","Staedtischer Raum","8","0.0140382899899006","0.00546265926177229","0.0226139207180289"
"Oft","2008","Sachsen","Laendlicher Raum","13","","",""
"Oft","2008","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Oft","2008","Sachsen-Anhalt","Laendlicher Raum","8","0.025566538862189","0.0133950446879786","0.0377380330363994"
"Oft","2008","Thueringen","Staedtischer Raum","4","0.026968069497505","0.00731563702195542","0.0466205019730546"
"Oft","2008","Thueringen","Laendlicher Raum","7","0.0118928627258892","0.00329733180282566","0.0204883936489527"
"Manchmal","2008","Schleswig-Holstein","Staedtischer Raum","23","","",""
"Manchmal","2008","Schleswig-Holstein","Laendlicher Raum","41","0.138390174261552","0.100790547357457","0.175989801165647"
"Manchmal","2008","Hamburg","Staedtischer Raum","45","0.162695942426763","0.119309339025445","0.20608254582808"
