"pld0044","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Hamburg","1","","",""
"Sehr oft","2003","(noch) kein Abschluss","Niedersachsen","2","","",""
"Sehr oft","2003","(noch) kein Abschluss","Bremen","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Nordrhein-Westfalen","5","","",""
"Sehr oft","2003","(noch) kein Abschluss","Hessen","3","","",""
"Sehr oft","2003","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","3","","",""
"Sehr oft","2003","(noch) kein Abschluss","Baden-Wuerttemberg","3","","",""
"Sehr oft","2003","(noch) kein Abschluss","Bayern","5","","",""
"Sehr oft","2003","(noch) kein Abschluss","Saarland","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Berlin","2","","",""
"Sehr oft","2003","(noch) kein Abschluss","Brandenburg","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Sachsen","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Thueringen","","","",""
"Sehr oft","2003","Hauptschule","Schleswig-Holstein","1","","",""
"Sehr oft","2003","Hauptschule","Hamburg","","","",""
"Sehr oft","2003","Hauptschule","Niedersachsen","3","","",""
"Sehr oft","2003","Hauptschule","Bremen","","","",""
"Sehr oft","2003","Hauptschule","Nordrhein-Westfalen","8","","",""
"Sehr oft","2003","Hauptschule","Hessen","7","","",""
"Sehr oft","2003","Hauptschule","Rheinland-Pfalz,Saarland","1","","",""
"Sehr oft","2003","Hauptschule","Baden-Wuerttemberg","2","","",""
"Sehr oft","2003","Hauptschule","Bayern","8","","",""
"Sehr oft","2003","Hauptschule","Saarland","","","",""
"Sehr oft","2003","Hauptschule","Berlin","","","",""
"Sehr oft","2003","Hauptschule","Brandenburg","","","",""
"Sehr oft","2003","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2003","Hauptschule","Sachsen","1","","",""
"Sehr oft","2003","Hauptschule","Sachsen-Anhalt","1","","",""
"Sehr oft","2003","Hauptschule","Thueringen","","","",""
"Sehr oft","2003","Realschule","Schleswig-Holstein","1","","",""
"Sehr oft","2003","Realschule","Hamburg","","","",""
"Sehr oft","2003","Realschule","Niedersachsen","5","","",""
"Sehr oft","2003","Realschule","Bremen","","","",""
"Sehr oft","2003","Realschule","Nordrhein-Westfalen","4","","",""
"Sehr oft","2003","Realschule","Hessen","4","","",""
"Sehr oft","2003","Realschule","Rheinland-Pfalz,Saarland","1","","",""
"Sehr oft","2003","Realschule","Baden-Wuerttemberg","4","","",""
"Sehr oft","2003","Realschule","Bayern","5","","",""
"Sehr oft","2003","Realschule","Saarland","","","",""
"Sehr oft","2003","Realschule","Berlin","2","","",""
"Sehr oft","2003","Realschule","Brandenburg","1","","",""
"Sehr oft","2003","Realschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2003","Realschule","Sachsen","","","",""
"Sehr oft","2003","Realschule","Sachsen-Anhalt","","","",""
"Sehr oft","2003","Realschule","Thueringen","1","","",""
"Sehr oft","2003","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Sehr oft","2003","(Fach-)Abitur","Hamburg","2","","",""
"Sehr oft","2003","(Fach-)Abitur","Niedersachsen","2","","",""
"Sehr oft","2003","(Fach-)Abitur","Bremen","","","",""
"Sehr oft","2003","(Fach-)Abitur","Nordrhein-Westfalen","11","","",""
"Sehr oft","2003","(Fach-)Abitur","Hessen","1","","",""
"Sehr oft","2003","(Fach-)Abitur","Rheinland-Pfalz,Saarland","2","","",""
"Sehr oft","2003","(Fach-)Abitur","Baden-Wuerttemberg","1","","",""
"Sehr oft","2003","(Fach-)Abitur","Bayern","4","","",""
"Sehr oft","2003","(Fach-)Abitur","Saarland","","","",""
"Sehr oft","2003","(Fach-)Abitur","Berlin","2","","",""
"Sehr oft","2003","(Fach-)Abitur","Brandenburg","","","",""
"Sehr oft","2003","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2003","(Fach-)Abitur","Sachsen","","","",""
"Sehr oft","2003","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Sehr oft","2003","(Fach-)Abitur","Thueringen","1","","",""
"Sehr oft","2003","AkademikerIn","Schleswig-Holstein","","","",""
"Sehr oft","2003","AkademikerIn","Hamburg","","","",""
"Sehr oft","2003","AkademikerIn","Niedersachsen","1","","",""
"Sehr oft","2003","AkademikerIn","Bremen","","","",""
"Sehr oft","2003","AkademikerIn","Nordrhein-Westfalen","6","","",""
"Sehr oft","2003","AkademikerIn","Hessen","","","",""
"Sehr oft","2003","AkademikerIn","Rheinland-Pfalz,Saarland","1","","",""
"Sehr oft","2003","AkademikerIn","Baden-Wuerttemberg","1","","",""
