year,pgisced97,quintil_oecd,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,1st Quintile,Sometimes,0.30361,32,68,0.19351,0.41371
2003,Pre-primary Level,1st Quintile,Never,0.35016,36,68,0.23594,0.46438
2003,Pre-primary Level,2nd Quintile,Seldom,0.26141,34,34,0.11149,0.41133
2003,Pre-primary Level,3rd Quintile,Sometimes,0.36786,35,68,0.25239,0.48333
2003,Pre-primary Level,3rd Quintile,Seldom,0.25849,33,68,0.15366,0.36332
2003,Pre-primary Level,4th Quintile,Often,0.18279,32,108,0.10956,0.25602
2003,Pre-primary Level,4th Quintile,Sometimes,0.28794,36,108,0.20214,0.37374
2003,Pre-primary Level,4th Quintile,Seldom,0.33457,40,108,0.24517,0.42397
2003,Pre-primary Level,5th Quintile,Often,0.17500,38,146,0.11315,0.23685
2003,Pre-primary Level,5th Quintile,Sometimes,0.36040,60,146,0.28225,0.43855
2003,Pre-primary Level,5th Quintile,Seldom,0.29169,48,146,0.21770,0.36567
2003,Primary Level,1st Quintile,Never,0.66240,83,83,0.56005,0.76476
2003,Primary Level,2nd Quintile,Never,0.65762,44,44,0.51579,0.79944
2003,Lower Secondary Level,1st Quintile,Often,0.04590,37,822,0.03159,0.06022
2003,Lower Secondary Level,1st Quintile,Sometimes,0.11721,98,822,0.09521,0.13921
2003,Lower Secondary Level,1st Quintile,Seldom,0.20463,187,822,0.17703,0.23222
2003,Lower Secondary Level,1st Quintile,Never,0.62178,500,822,0.58861,0.65496
2003,Lower Secondary Level,2nd Quintile,Sometimes,0.13846,91,656,0.11200,0.16491
2003,Lower Secondary Level,2nd Quintile,Seldom,0.23504,169,656,0.20257,0.26752
2003,Lower Secondary Level,2nd Quintile,Never,0.58040,396,656,0.54261,0.61819
2003,Lower Secondary Level,3rd Quintile,Sometimes,0.09335,59,454,0.06656,0.12014
2003,Lower Secondary Level,3rd Quintile,Seldom,0.23882,128,454,0.19956,0.27809
2003,Lower Secondary Level,3rd Quintile,Never,0.62777,267,454,0.58326,0.67229
2003,Lower Secondary Level,4th Quintile,Sometimes,0.14016,68,390,0.10566,0.17466
2003,Lower Secondary Level,4th Quintile,Seldom,0.26733,113,390,0.22335,0.31131
2003,Lower Secondary Level,4th Quintile,Never,0.52834,209,390,0.47873,0.57795
2003,Lower Secondary Level,5th Quintile,Sometimes,0.10898,46,257,0.07081,0.14716
2003,Lower Secondary Level,5th Quintile,Seldom,0.23801,70,257,0.18584,0.29017
2003,Lower Secondary Level,5th Quintile,Never,0.58443,141,257,0.52406,0.64480
2003,Upper Secondary Level,1st Quintile,Often,0.02253,37,1720,0.01552,0.02955
2003,Upper Secondary Level,1st Quintile,Sometimes,0.14596,239,1720,0.12927,0.16265
2003,Upper Secondary Level,1st Quintile,Seldom,0.23920,444,1720,0.21903,0.25936
2003,Upper Secondary Level,1st Quintile,Never,0.58530,1000,1720,0.56201,0.60859
2003,Upper Secondary Level,2nd Quintile,Often,0.01767,34,2233,0.01221,0.02314
2003,Upper Secondary Level,2nd Quintile,Sometimes,0.11363,240,2233,0.10046,0.12679
2003,Upper Secondary Level,2nd Quintile,Seldom,0.27602,626,2233,0.25747,0.29457
2003,Upper Secondary Level,2nd Quintile,Never,0.58672,1333,2233,0.56629,0.60715
2003,Upper Secondary Level,3rd Quintile,Often,0.01384,38,2312,0.00908,0.01860
2003,Upper Secondary Level,3rd Quintile,Sometimes,0.10304,246,2312,0.09064,0.11543
2003,Upper Secondary Level,3rd Quintile,Seldom,0.29512,709,2312,0.27652,0.31371
2003,Upper Secondary Level,3rd Quintile,Never,0.58329,1319,2312,0.56319,0.60339
2003,Upper Secondary Level,4th Quintile,Often,0.02585,54,2263,0.01931,0.03239
2003,Upper Secondary Level,4th Quintile,Sometimes,0.12189,303,2263,0.10841,0.13538
2003,Upper Secondary Level,4th Quintile,Seldom,0.34069,749,2263,0.32115,0.36022
2003,Upper Secondary Level,4th Quintile,Never,0.50735,1157,2263,0.48675,0.52796
2003,Upper Secondary Level,5th Quintile,Often,0.02395,60,2442,0.01788,0.03001
2003,Upper Secondary Level,5th Quintile,Sometimes,0.12051,312,2442,0.10759,0.13342
2003,Upper Secondary Level,5th Quintile,Seldom,0.33642,871,2442,0.31767,0.35516
2003,Upper Secondary Level,5th Quintile,Never,0.51533,1199,2442,0.49551,0.53516
2003,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.21017,33,143,0.14316,0.27719
2003,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.33451,52,143,0.25691,0.41212
2003,Post-secondary Non-tertiary Level,1st Quintile,Never,0.40914,58,143,0.32827,0.49001
2003,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.32458,51,123,0.24149,0.40766
2003,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.48401,72,123,0.39533,0.57269
2003,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.22563,41,199,0.16740,0.28385
2003,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.27557,69,199,0.21333,0.33780
2003,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.48166,89,199,0.41206,0.55126
2003,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.16521,40,250,0.11909,0.21134
2003,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.47899,115,250,0.41694,0.54104
2003,Post-secondary Non-tertiary Level,4th Quintile,Never,0.33262,95,250,0.27410,0.39115
2003,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.16442,64,381,0.12715,0.20169
2003,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.39536,156,381,0.34620,0.44452
