year,sampreg,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,Very concerned,0.43639,4644,9036,0.42616,0.44661
1994,West,Somewhat concerned,0.34206,3887,9036,0.33228,0.35184
1994,West,Not concerned at all,0.03910,505,9036,0.03510,0.04309
1994,East,Very concerned,0.61551,2766,3765,0.59996,0.63105
1994,East,Somewhat concerned,0.19017,952,3765,0.17763,0.20271
1994,East,Not concerned at all,0.00989,47,3765,0.00672,0.01305
1995,West,Very concerned,0.42121,4720,9501,0.41128,0.43114
1995,West,Somewhat concerned,0.34229,4158,9501,0.33275,0.35183
1995,West,Not concerned at all,0.04779,623,9501,0.04350,0.05208
1995,East,Very concerned,0.59025,2565,3661,0.57432,0.60618
1995,East,Somewhat concerned,0.21442,1045,3661,0.20112,0.22771
1995,East,Not concerned at all,0.01176,51,3661,0.00827,0.01525
1996,West,Very concerned,0.44680,4850,9248,0.43666,0.45693
1996,West,Somewhat concerned,0.32302,3941,9248,0.31348,0.33255
1996,West,Not concerned at all,0.03668,457,9248,0.03285,0.04051
1996,East,Very concerned,0.61341,2631,3649,0.59761,0.62922
1996,East,Somewhat concerned,0.19775,970,3649,0.18483,0.21068
1996,East,Not concerned at all,0.01067,48,3649,0.00733,0.01400
1997,West,Very concerned,0.47678,5064,9115,0.46652,0.48703
1997,West,Somewhat concerned,0.30278,3652,9115,0.29335,0.31221
1997,West,Not concerned at all,0.03162,399,9115,0.02803,0.03522
1997,East,Very concerned,0.62645,2635,3615,0.61068,0.64222
1997,East,Somewhat concerned,0.19474,927,3615,0.18183,0.20765
1997,East,Not concerned at all,0.00999,53,3615,0.00675,0.01323
1998,West,Very concerned,0.45428,5489,10242,0.44463,0.46392
1998,West,Somewhat concerned,0.31760,4250,10242,0.30858,0.32662
1998,West,Not concerned at all,0.03826,503,10242,0.03455,0.04198
1998,East,Very concerned,0.56420,2492,3824,0.54848,0.57992
1998,East,Somewhat concerned,0.24862,1261,3824,0.23492,0.26232
1998,East,Not concerned at all,0.01476,71,3824,0.01093,0.01858
1999,West,Very concerned,0.41894,4866,9854,0.40920,0.42869
